,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randomseed,[1],modified_value,[i],x[1.000000],from,[1],,,,,,,,,,,,,,,,,,,,,,,
drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs[-1],delta_obs[-2],delta_obs[-3],delta_wall,cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall,dist_d_obs_ltr,dist_d_obs_dia,dist_d_obs_btt,relative_s_obs_dia,dist_first_saw,dist_biggest_infl,dist_closest,accu_infl,max_relative_s,extra_dist_with_1st,extra_dist_with_2nd,extra_dist_with_3rd
1,1,0.0794808998,0.0724528279,0,0,0,0,0,0,0.5231287419,0.4768712581,0,0,0,0,0,0,997.337540144,997.337539977,4.1972056192,0.7496808467,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7496808467,to_be_removed,to_be_removed,to_be_removed
1,2,0.0247682208,0.0787549985,0,6.37678312693E-06,0,0,0,0,0.23923807,0.7607003362,0,6.15938182876E-05,0,0,0,0,997.25168768,997.251687357,4.1889790539,0.7496934734,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7496934734,to_be_removed,to_be_removed,to_be_removed
1,3,0.0565685425,0.0008694112,0,0,0,0,0,0,0.9848634726,0.0151365274,0,0,0,0,0,0,997.163860207,997.163859705,4.1908836891,0.749680949,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7496934734,to_be_removed,to_be_removed,to_be_removed
1,4,0.0553443238,0.0318859093,0,5.47559525775E-06,0,0,0,0,0.6344228145,0.3655144176,0,6.27678199644E-05,0,0,0,0,997.111493215,997.111492563,4.1504117597,0.7496901782,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7496934734,to_be_removed,to_be_removed,to_be_removed
1,5,0.006494282,0.0082610755,0,0.0006134018,0,0,0,0,0.4225638439,0.5375239028,0,0.0399122534,0,0,0,0,997.028876932,997.028876147,4.1391631119,0.7497029182,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497029182,to_be_removed,to_be_removed,to_be_removed
1,6,0.0274581622,0.0104271482,0,0.0041437195,0,0,0,0,0.6533142033,0.2480939542,0,0.0985918424,0,0,0,0,996.955952285,996.955951379,4.1186727194,0.7497154857,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497154857,to_be_removed,to_be_removed,to_be_removed
1,7,0.0601955434,0.0194718661,0.000925578,0.0059430265,0,0,0,0,0.695612619,0.2250145948,0.0106958709,0.0686769154,0,0,0,0,996.892652834,996.892651815,4.089159785,0.7497270894,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497270894,to_be_removed,to_be_removed,to_be_removed
1,8,0.0667049062,0.0202254437,0.0011378779,0.0006803233,0,0,0,0,0.7516168474,0.2278960445,0.0128213682,0.0076657399,0,0,0,0,996.844484727,996.844483592,4.0456721376,0.7497348225,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497348225,to_be_removed,to_be_removed,to_be_removed
1,9,0.0772283602,0.0443223104,0.0022504412,0.0025133994,0,0,0,0,0.6113973722,0.3508885085,0.0178161729,0.0198979463,0,0,0,0,996.78159064,996.78158941,4.0162360311,0.7497463679,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497463679,to_be_removed,to_be_removed,to_be_removed
1,10,0.052781799,0.0494843044,0.0075803808,0.0001643922,0,0,0,0,0.4797870968,0.4498128372,0.0689057393,0.0014943267,0,0,0,0,996.741453473,996.741452102,3.9666779054,0.7497453095,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497463679,to_be_removed,to_be_removed,to_be_removed
1,11,0.0782423163,0.0773195143,0.0041173912,0.0077256505,0,0,0,0,0.4673837459,0.4618713497,0.0245954085,0.0461494958,0,0,0,0,996.678524857,996.678523407,3.937517705,0.7497568618,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,12,0.0058555956,0.0089498169,0.0096916694,0.012981939,0,0,0,0,0.1562366215,0.2387953768,0.2585891832,0.3463788184,0,0,0,0,996.600999689,996.600998037,3.9274531294,0.7497441101,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,13,0.079693834,0.0063127582,0.0002040524,5.14086280723E-05,0,0,0,0,0.9238573735,0.0731811729,0.0023654949,0.0005959588,0,0,0,0,996.552599799,996.552597963,3.8876298019,0.7497362754,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,14,0.0799970233,0.0109264445,7.43892673278E-05,0.0001047518,0,0,0,0,0.8780980509,0.1199355834,0.0008165438,0.0011498219,0,0,0,0,996.500924274,996.500922239,3.8515622033,0.7497272518,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,15,0.077987122,0.0003648341,0,0.0002776879,0,0,0,0,0.991828502,0.0046399049,0,0.0035315931,0,0,0,0,996.455839385,996.455837162,3.8084224181,0.7497210148,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,16,0.0787105571,0.0049229344,0,0.0001024437,0,0,0,0,0.9399854061,0.0587911798,0,0.0012234141,0,0,0,0,996.411330473,996.411328059,3.7647537476,0.7497151186,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,17,0.0765926848,0.0022519376,0,0.0002505618,0,0,0,0,0.9683609133,0.0284712351,0,0.0031678516,0,0,0,0,996.368794962,996.368792361,3.7188242604,0.7497106386,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,18,0.0664212508,0.0028598178,0,0.000376766,0,0,0,0,0.9535359699,0.0410552207,0,0.0054088094,0,0,0,0,996.32686969,996.326866903,3.6722019412,0.7497067187,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,19,0.0705069325,0.0009335701,0,0.0003197094,0,0,0,0,0.9825351758,0.013009578,0,0.0044552462,0,0,0,0,996.285538989,996.285536019,3.6248530718,0.7497034466,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,20,0.0700274326,0.0018330572,0,0.0003122207,0,0,0,0,0.9702757752,0.0253982033,0,0.0043260214,0,0,0,0,1.8849004269,1.6850515795,1.3148408309,0.3164192823,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,21,0.0689022857,0.0015626633,0,0.0003510027,0,0,0,0,0.9729769077,0.0220665444,0,0.0049565479,0,0,0,0,1.9317761531,1.5657252712,1.2701605146,0.3149522613,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,22,0.0676946587,0.0008525988,0,0.0003688526,0,0,0,0,0.9822762582,0.0123715454,0,0.0053521964,0,0,0,0,1.9803563834,1.4465700274,1.2249236881,0.3135621071,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,23,0.0341577837,0.0005467921,0,0.0005018118,0,0,0,0,0.9702155231,0.0155310473,0,0.0142534296,0,0,0,0,2.0306787588,1.3276778327,1.1793351033,0.3121363306,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,24,0.0674905322,0.0007330046,0,0.0003459773,0,0,0,0,0.9842644069,0.0106899495,0,0.0050456437,0,0,0,0,2.0851767165,1.2089346858,1.1347427775,0.309929554,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,25,0.033832036,0.0008132921,0,0.0004722564,0,0,0,0,0.9633930265,0.0231591132,0,0.0134478603,0,0,0,0,2.1409089915,1.0905838929,1.0898382199,0.3074479989,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,26,0.0335515419,0.0006111896,0,0.0004456799,0,0,0,0,0.9694620624,0.0176601458,0,0.0128777918,0,0,0,0,2.1990294158,0.9726622786,1.0453389541,0.3041091719,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,27,0.0321814995,0.0003755632,0,0.0004660018,0,0,0,0,0.9745158407,0.011372755,0,0.0141114044,0,0,0,0,2.259346983,0.8553969397,1.0013022739,0.2994772601,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,28,0.0576573523,0.0074441019,0,0.0003173011,0,0,0,0,0.8813581362,0.1137915556,0,0.0048503083,0,0,0,0,2.2461588321,0.8154533868,0.9661836893,0.2933610438,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,29,0.0660454154,0.0044535131,0,0.0003065664,0,0,0,0,0.9327724573,0.0628978453,0,0.0043296974,0,0,0,0,2.1721434591,0.7391360881,0.9572075318,0.2867962567,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,30,0.0634968932,0.0021326381,0,0.0003571853,0,0,0,0,0.9622678095,0.0323192025,0,0.005412988,0,0,0,0,2.1524144794,0.7000295664,0.9194724406,0.2771448271,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,31,0.0777438207,0.0020429989,0,0.0002315101,0,0.0004741851,0,0,0.9658515558,0.0253812288,0,0.0028761698,0,0.0058910456,0,0,2.2269027212,0.6256901389,0.9105813522,0.2603000855,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,32,0.012027551,0.0067339539,0,0.0001005172,0,0.0775317035,0,0,0.124775248,0.0698588404,0,0.001042777,0,0.8043231346,0,0,2.204808596,0.5872511184,0.87190159,0.2298264042,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,33,0.0054002585,0.0108024171,0,0.007665059,0,0.0794212437,0,0,0.052283008,0.1045844128,0,0.0742098445,0,0.7689227348,0,0,2.1298842612,0.5161840133,0.8630879922,0.1913942037,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,34,0.0400469058,0.0160593653,0,0.0115371583,0,0.0613103846,0,0,0.3105523178,0.1245357914,0,0.0894673675,0,0.4754445233,0,0,2.1062034656,0.4777917259,0.8240828187,0.1320494868,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,35,0.0504104297,0.0050544222,0,0.0001041653,0,0.0464023493,0,0,0.4943586759,0.0495670737,0,0.0010215149,0,0.4550527355,0,0,2.1815407174,0.4126409011,0.8153469236,0.0193991725,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,36,0.0693494815,0.0002323401,0,0,0,0.0085119132,0,0,0.8880287474,0.0029751438,0,0,0,0.1089961089,0,0,2.1567743278,0.3740473478,0.7759762292,0.0884337641,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,37,0.0684289735,0.0004506919,0,0,0,0.0141739359,0,0,0.8239133818,0.0054265179,0,0,0,0.1706601003,0,0,2.0810504461,0.3203284745,0.7673147689,0.0445533319,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,38,0.0715398382,0.0008693957,0,0,0,0.002473575,0,0,0.9553573018,0.0116100837,0,0,0,0.0330326144,0,0,2.0817026499,0.3548996086,0.7941522578,0.1280004094,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,39,0.0670914747,0.0005459892,0,0,0,0.0110220603,0,0,0.852935171,0.0069411705,0,0,0,0.1401236585,0,0,2.1569259186,0.3114198236,0.7853364079,0.0821497833,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,40,0.0797886141,0.0006197425,0,0,0,0.0005338522,0,0,0.9857479211,0.0076566053,0,0,0,0.0065954736,0,0,2.1776555783,0.3508685433,0.82364993,0.1210381506,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,41,0.0633840521,0.0007613067,0,0,0,0.0154389396,0,0,0.7964391645,0.0095660413,0,0,0,0.1939947942,0,0,2.1028776301,0.3206736449,0.8147944402,0.0827154165,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
1,42,0.0788620132,0.0014178311,0,0,0,0.0006194276,0,0,0.974817342,0.0175258825,0,0,0,0.0076567755,0,0,2.1292548744,0.3265465159,0.8157004649,0.1319327846,to_be_removed,to_be_removed,to_be_removed,to_be_removed,0.7497568618,to_be_removed,to_be_removed,to_be_removed
