cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall
0.6080771651,0.3919228349,0,0,0,0,0,0
0.4327426767,0.5672573233,0,0,0,0,0,0
0.708698595,0.291301405,0,0,0,0,0,0
0.9645481092,0.0354518908,0,0,0,0,0,0
0.9559911365,0.0440088635,0,0,0,0,0,0
0.615683732,0.3764822644,0.0078340036,0,0,0,0,0
0.714749248,0.2685512805,0.0166994716,0,0,0,0,0
0.4412677338,0.5063009175,0.0524313487,0,0,0,0,0
0.5490909191,0.3974009527,0.0535081282,0,0,0,0,0
0.5189537879,0.3088263579,0.1722198543,0,0,0,0,0
0.7457975535,0.2163619238,0.0378405226,0,0,0,0,0
0.677420931,0.320647514,0.001931555,0,0,0,0,0
0.7741779908,0.2236082901,0.0022137192,0,0,0,0,0
0.9074421336,0.0925578664,0,0,0,0,0,0
0.8952821986,0.1047178014,0,0,0,0,0,0
0.9679669505,0.0320330495,0,0,0,0,0,0
0.9395924548,0.0604075452,0,0,0,0,0,0
0.9664515419,0.0335484581,0,0,0,0,0,0
0.9807634066,0.0192365934,0,0,0,0,0,0
0.9885070199,0.0114929801,0,0,0,0,0,0
0.990392403,0.009607597,0,0,0,0,0,0
0.9744632243,0.0255367757,0,0,0,0,0,0
0.9797982451,0.0202017549,0,0,0,0,0,0
0.9939091003,0.0060908997,0,0,0,0,0,0
0.9946566768,0.0053433232,0,0,0,0,0,0
0.9952748712,0.0047251288,0,0,0,0,0,0
0.9292633348,0.0707366652,0,0,0,0,0,0
0.736010406,0.263989594,0,0,0,0,0,0
0.4150369899,0.5849630101,0,0,0,0,0,0
0.4390415591,0.5609584409,0,0,0,0,0,0
0.4359720324,0.5640279676,0,0,0,0,0,0
0.4177467733,0.5822532267,0,0,0,0,0,0
0.3578300744,0.6421699256,0,0,0,0,0,0
0.3494682621,0.6505317379,0,0,0,0,0,0
0.7592598655,0.2341042495,0,0,0,0.0066358849,0,0
0.1771065562,0.8228934438,0,0,0,0,0,0
0.8263742201,0.1650024714,0,2.71623988624E-05,0,0.0085961461,0,0
0.267436841,0.720734142,0,0.011829017,0,0,0,0
0.8953212365,0.0901798263,0,0.0135963077,0,0.0009026296,0,0
0.814860646,0.1505681794,0,0.0345711746,0,0,0,0
0.8246919794,0.1415940411,0,0.0332872807,0,0.0004266988,0,0
0.8315546487,0.1358243079,0,0.0326210434,0,0,0,0
0.8201512618,0.1259452574,0,0.0002468196,0,0.0536566613,0,0
0.8351069183,0.1249947115,0,0.0398983702,0,0,0,0
0.8499426902,0.1051291423,0,0.0427497666,0,0.0021784009,0,0
0.8260366368,0.1288656759,0,0.0450976873,0,0,0,0
0.8512586499,0.1102152962,0,0.0385260539,0,0,0,0
0.8402542879,0.1142364962,0,0.0455092159,0,0,0,0
0.8745309471,0.0963081204,0,0.0238521668,0,0.0053087657,0,0
0.8550966932,0.1041370038,0,0.040766303,0,0,0,0
0.8792329613,0.0915039583,0,0.0292630804,0,0,0,0
0.8563421234,0.1164192537,0,0.0272386229,0,0,0,0
0.8687691883,0.1100082446,0,0.0212225671,0,0,0,0
0.8758641078,0.1017219642,0,0.022413928,0,0,0,0
0.8774945035,0.1004871173,0,0.0220183792,0,0,0,0
0.8857326278,0.0957657757,0,0.0185015965,0,0,0,0
0.8795409905,0.0993203833,0,0.0211386262,0,0,0,0
0.8803075601,0.0985353902,0,0.0211570497,0,0,0,0
0.8765895245,0.1034338689,0,0.0199766066,0,0,0,0
0.8844050884,0.1009912599,0,0.0146036517,0,0,0,0
0.8972237697,0.0866848865,0,0.0160913438,0,0,0,0
0.8980907133,0.086323265,0,0.0155860216,0,0,0,0
0.8850368525,0.1011309977,0,0.0138321499,0,0,0,0
0.8913886577,0.0950365117,0,0.0135748306,0,0,0,0
0.8921607733,0.0942526377,0,0.013586589,0,0,0,0
0.8930406776,0.0938471109,0,0.0131122115,0,0,0,0
0.8884747338,0.0991200503,0,0.0124052159,0,0,0,0
0.8915136142,0.096419095,0,0.0120672909,0,0,0,0
0.8981930306,0.089818255,0,0.0119887143,0,0,0,0
0.8996674968,0.0893147508,0,0.0110177524,0,0,0,0
0.895188315,0.0938780182,0,0.0109336668,0,0,0,0
0.877825822,0.1140417966,0,0.0081323814,0,0,0,0
0.8758836823,0.1161084215,0,0.0080078962,0,0,0,0
0.8723757363,0.1200492112,0,0.0075750524,0,0,0,0
0.8731125584,0.1188620898,0,0.0080253519,0,0,0,0
0.8773489996,0.1161924794,0,0.006458521,0,0,0,0
0.8851476377,0.1079074006,0,0.0069449617,0,0,0,0
0.8586069422,0.1336463655,0,0.0077466923,0,0,0,0
0.8559393116,0.1380397408,0,0.0060209477,0,0,0,0
0.8564309387,0.1374360106,0,0.0061330507,0,0,0,0
0.8660788339,0.1271974771,0,0.006723689,0,0,0,0
0.8506554139,0.1423964555,0,0.0069481306,0,0,0,0
0.8223845093,0.1711034905,0,0.0065120003,0,0,0,0
0.8499729917,0.1438016433,0,0.0062253651,0,0,0,0
0.8478972269,0.1439851774,0,0.0081175957,0,0,0,0
0.8323207723,0.1595798205,0,0.0080994072,0,0,0,0
0.7502109802,0.246461655,0,0.0033273649,0,0,0,0
0.8070992532,0.1892832919,0,0.0036174549,0,0,0,0
0.8043134497,0.1908835509,0,0.0048029994,0,0,0,0
0.8294103073,0.1648425285,0,0.0057471641,0,0,0,0
0.5663266108,0.4207025069,0,0.0129708823,0,0,0,0
0.8499224641,0.1383675959,0,0.01170994,0,0,0,0
0.8326759688,0.150587985,0,0.0167360463,0,0,0,0
0.6968940236,0.3010582311,0,0.0020477453,0,0,0,0
0.767292436,0.2298255673,0,0.000627611,0,0.0022543857,0,0
0.758429459,0.2325045356,0,0.0090660054,0,0,0,0
0.6073755831,0.3702947129,0,0.0223297041,0,0,0,0
0.8561839332,0.1234715361,0,0.0197737552,0,0.0005707754,0,0
0.7879989926,0.197623102,0,0.0143779054,0,0,0,0
0.8051107774,0.1783416419,0,0.0165475807,0,0,0,0
0.8545604563,0.119618692,0,0.0258208518,0,0,0,0
0.8547863231,0.1137269663,0,0.0314867106,0,0,0,0
0.7718624468,0.1206174609,0,0.0003964222,0,0.1071236702,0,0
0.8772312271,0.0999968211,0,0.0227719518,0,0,0,0
0.7919514738,0.1977902765,0,0.0102582498,0,0,0,0
0.8367850738,0.1274571331,0,0.0343468106,0,0.0014109826,0,0
0.8082119294,0.1755195372,0,0.0162685334,0,0,0,0
0.8477110003,0.0919906957,0,0.060298304,0,0,0,0
0.6353983486,0.1775879095,0,0.1870137418,0,0,0,0
0.386885614,0.2132245223,0,0.3998898636,0,0,0,0
0.7582336422,0.0060928235,0,0.2356735343,0,0,0,0
0.5441211191,0.120848284,0,0.335030597,0,0,0,0
0.6665541184,0.0140142155,0,0.3194316661,0,0,0,0
0.6028799567,0.345410375,0,0.0517096683,0,0,0,0
0.1789823296,0.3673780974,0,0.453639573,0,0,0,0
