x y
-6.2556998319 -1.226508169
0.0630986262 0.0345132267
-5.8349671121 -0.9025212127
-0.0408661948 0.1925065001
-0.3028484429 5.4120904015
2.134318527 -1.9234178262
1.885413144 3.8894487772
-2.2764495646 -3.0225408845
-0.2590334784 -4.8904174528
0.4925600921 -4.3786722203
5.0032471204 0.7610240213
-3.3236853374 -0.9471149442
-6.2007292523 -1.6733965507
-2.5712084105 -0.5475257848
0.7867242136 5.0439169814
-2.2307581751 0.1255398695
-0.0868008126 -0.9174437458
4.5563549645 -2.3742620228
0.719498144 -3.4074831169
-0.1253861409 -3.9504866113
3.3871133471 0.5429694732
2.2308141255 1.5729941665
-0.0847700814 -3.3591543701
-0.0878032995 -0.4103648335
-3.1210127855 -2.4353879757
-1.9091377435 -3.5464072787
2.5430878975 -1.0066903144
-2.9355198707 -3.8180103567
-0.758300682 -6.309621323
-1.1188519893 -1.2239313224
-0.8185268703 -3.2224089585
-0.5056243419 0.2106146827
2.3315181505 -4.8384921423
5.5891844784 -2.0069154062
-1.5198363667 -5.1293633341
0.1255257693 -0.0949086363
-2.6406231961 2.02149985
-0.1417750552 0.1389755903
5.1956415341 -3.6651232045
-0.9042563105 1.7232109714
4.4736324806 -0.2182921539
3.8944921177 5.8036099928
1.5330865819 1.4573003766
3.1278192488 0.4917383702
-2.7262100528 3.2455290539
-3.6671851248 -5.4506296925
1.0211271182 -4.4010722541
-1.1976474103 1.1395739417
-0.1817188774 3.920232045
-2.412386248 -3.9729500786
0.9855122507 0.0108159282
4.9090741728 1.3371384502
-3.9296570189 -4.9186019378
-0.2447622787 1.2673903916
-1.4197140558 1.0466956134
-3.6516506409 4.7522358674
-1.4427746224 3.1069430674
2.5519376973 5.9708891958
-3.8974495352 0.5340040072
1.6767314157 -1.2180304438
-6.1910317787 -0.5401383033
1.848195651 3.3068373586
5.3565391486 -3.5458920045
-2.1402231638 -5.5194023014
-1.2824993 -1.8580138658
2.2117230284 4.9077665279
1.4865563198 1.6233165896
-0.3438385684 -1.5491676812
0.0731313978 0.3445114339
-4.7878051092 -1.3984567206
-0.4164965231 -3.3941272451
4.6065393172 2.4268326836
0.2653582062 5.0448797056
0.3447013706 -0.2555776862
0.0272189749 0.1386090519
3.9324533026 -1.5442038806
3.1777716412 0.4908609463
1.9927427814 -0.9152948981
4.3724435448 -5.0285841894
5.9642811088 3.3914848067
3.7296967569 -5.7893570031
6.4700371864 -1.9767015826
2.7680053404 -5.1876341295
-3.8138950153 -2.4370794725
-3.1531244615 -3.2708985637
0.0151345285 0.5254899645
-0.6341690284 0.2339851786
1.8918156664 -4.8393731516
4.439035663 1.5243803699
0.924487233 -3.2499543909
0.2950899246 -1.607917094
1.1257885904 -1.071633493
1.773619295 3.9289953213
-0.078336024 -0.1282816809
2.9603118882 0.0744200431
-6.3499516986 1.3615920294
2.2750116017 -2.5414579934
4.9335528613 0.8056601906
1.0073428034 1.933574919
3.2110365787 5.2226780943
0.8291146797 -6.8716138902
-3.5435665384 -1.2397331669
-0.5354354369 -0.0505029349
-4.1997887479 0.1891926325
-0.1932420834 -2.7705084854
-6.5844219501 0.8241731406
-1.3002725621 1.2576459483
4.4841430697 2.3833493508
-1.2704864241 6.584576479
-3.132130667 -1.6906129714
-0.6877807635 -0.341122539
-0.1202857689 3.8750239558
-0.878510959 0.4384696633
1.6268358948 -3.4913927721
3.3596745932 -3.700509771
-4.2236548933 4.7274611474
2.271313244 2.8223375338
3.0588054609 -5.1051032415
-2.110758806 3.4430081099
3.1023456819 4.6691313386
-2.3169456985 0.1486488546
0.249972476 -0.8499232916
1.1416711198 -0.6369765132
0.6829819381 -0.8215459163
2.7608704989 1.534544359
-2.0573043241 4.0186698114
1.2463454272 1.0218946749
-4.2493632188 -3.6521782117
5.9970908239 -3.4940909441
-2.8471701088 1.8595561769
3.5339551039 -0.5482381082
1.3290646392 1.6797368135
-0.0306306112 -0.0100435459
5.3993863793 3.2516992352
4.2050746117 -5.5581828939
-1.4255170001 -2.8110486376
4.9577512369 2.2690978959
0.5654903688 1.684397896
-0.6730459733 3.5000283372
0.961124434 0.2569362635
-0.5859668969 0.8002134458
-0.3755209746 -0.3500904657
-2.9011394944 -1.2005552665
-4.2780149808 -4.6793937122
-1.5347354741 -1.1254530759
0.0617166269 1.181794212
-5.2773590778 1.0496586735
0.8764826825 -5.9758844496
0.1681020424 -3.1948253266
-0.4949881357 2.4869581443
0.9188907865 -0.2522437281
2.468206459 -6.282257627
-6.5678952958 1.2310269867
-2.6355462047 -4.998233073
2.5259858117 -2.6450569717
-0.5064621324 1.4605290477
-4.8986937003 1.2552999412
-0.9283783747 0.2115710478
2.8966725826 3.3346430916
0.3023007388 -0.9876164629
0.1992227928 0.2200705974
0.8219725443 1.3828529995
-0.2331527455 -0.2134574193
-4.9037814368 1.0834384909
4.4269210278 3.8620583643
-4.1174048693 1.6319581434
-0.137477147 0.0731536733
-5.5449770424 2.6766166614
-2.6406736126 -5.7550215981
-0.8671555194 -2.0663728094
3.0232416337 -5.6385994847
6.2102755211 -2.6921851497
-2.8227664785 4.2539213381
-0.2872785441 4.0117117868
-3.4359506649 -0.5096989695
1.9164477272 -0.9413440063
5.049818444 -4.6492160701
5.2644712562 4.0099888703
-5.045368028 1.1301005315
1.939686148 1.7471959712
0.0945650775 1.9880375923
-1.9489528244 1.613263837
-0.0752395869 -3.1714353742
0.959274283 -1.4070249485
-1.0193634095 -4.4580086656
-5.238459804 0.3297568308
0.05315047 -3.0803303681
-4.4231508852 -1.3840074459
-2.5680391935 -3.6657948536
0.0468764053 -0.0467118467
-5.3204899043 -2.2342505555
-0.518826257 -0.9323355228
5.2296012625 -2.0180580559
0.3829280332 -2.1805936314
-0.0059528544 0.7528686866
1.1489612003 2.9131888761
-1.4440639901 -5.970391836
-5.4403264939 -0.4483519544
-1.8076404737 1.9960164158
2.7274242453 4.6668223694
3.9880625007 3.3059655597
1.8945194928 3.3230294708
-1.864438838 0.7454865834
-0.7011461723 -1.2046353256
0.0579714301 1.2392960931
-2.6600072344 -0.7933794347
-4.0370248602 -4.954660556
-1.0059541493 -2.3708307608
-3.751410139 2.5183727379
1.8076311553 -3.5784793921
-0.1177675587 -5.5324811141
2.1438928035 2.4718935596
0.7354865842 -1.5560777214
6.3251145384 1.1791217847
-2.166317654 -0.7227692775
0.0130513974 -0.7624190319
1.3582772538 -3.1072943991
-1.5204782344 3.2614137067
2.7562750641 -4.5602619926
-5.8246222083 0.3024978663
-0.8157005728 0.8134377603
1.5186109753 5.8199733464
5.6387008178 0.497704578
2.6852740606 2.5895358654
-0.06389634 -2.1721570855
0.1674052894 -4.3118494752
-4.8121912309 -1.0115651727
3.1582059604 -0.2388961662
