x y
900 900
100 100
-10.70 -7.25
-9.90 -7.25
-9.10 -7.25
-8.30 -7.25
-7.50 -7.25
-6.70 -7.25
-5.90 -7.25
-5.10 -7.25
-4.30 -7.25
-3.50 -7.25
-2.70 -7.25
-1.90 -7.25
-1.10 -7.25
-0.30 -7.25
0.50 -7.25
1.30 -7.25
2.10 -7.25
2.90 -7.25
3.70 -7.25
4.50 -7.25
5.30 -7.25
6.10 -7.25
-10.70 -6.45
-9.90 -6.45
-9.10 -6.45
-8.30 -6.45
-7.50 -6.45
-6.70 -6.45
-5.90 -6.45
-5.10 -6.45
-4.30 -6.45
-3.50 -6.45
-2.70 -6.45
-1.90 -6.45
-1.10 -6.45
-0.30 -6.45
0.50 -6.45
1.30 -6.45
2.10 -6.45
2.90 -6.45
3.70 -6.45
4.50 -6.45
5.30 -6.45
6.10 -6.45
-10.70 -5.65
-9.90 -5.65
-9.10 -5.65
-8.30 -5.65
-7.50 -5.65
-6.70 -5.65
-5.90 -5.65
-5.10 -5.65
-4.30 -5.65
-3.50 -5.65
-2.70 -5.65
-1.90 -5.65
-1.10 -5.65
-0.30 -5.65
0.50 -5.65
1.30 -5.65
2.10 -5.65
2.90 -5.65
3.70 -5.65
4.50 -5.65
5.30 -5.65
6.10 -5.65
-10.70 -4.85
-9.90 -4.85
-9.10 -4.85
-8.30 -4.85
-7.50 -4.85
-6.70 -4.85
-5.90 -4.85
-5.10 -4.85
-4.30 -4.85
-3.50 -4.85
-2.70 -4.85
-1.90 -4.85
-1.10 -4.85
-0.30 -4.85
0.50 -4.85
1.30 -4.85
2.10 -4.85
2.90 -4.85
3.70 -4.85
4.50 -4.85
5.30 -4.85
6.10 -4.85
-10.70 -4.05
-9.90 -4.05
-9.10 -4.05
-8.30 -4.05
-7.50 -4.05
-6.70 -4.05
-5.90 -4.05
-5.10 -4.05
-4.30 -4.05
-3.50 -4.05
-2.70 -4.05
-1.90 -4.05
-1.10 -4.05
-0.30 -4.05
0.50 -4.05
1.30 -4.05
2.10 -4.05
2.90 -4.05
3.70 -4.05
4.50 -4.05
5.30 -4.05
6.10 -4.05
-10.70 -3.25
-9.90 -3.25
-9.10 -3.25
-8.30 -3.25
-7.50 -3.25
-6.70 -3.25
-5.90 -3.25
-5.10 -3.25
-4.30 -3.25
-3.50 -3.25
-2.70 -3.25
-1.90 -3.25
-1.10 -3.25
-0.30 -3.25
0.50 -3.25
1.30 -3.25
2.10 -3.25
2.90 -3.25
3.70 -3.25
4.50 -3.25
5.30 -3.25
6.10 -3.25
-10.70 -2.45
-9.90 -2.45
-9.10 -2.45
-8.30 -2.45
-7.50 -2.45
-6.70 -2.45
-5.90 -2.45
