"rollback","rand_seed","modi_param","vari","modi_start","recog_time","version","l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","1stO.x","1stO.y","3rdO.x","3rdO.y","2ndO.x","2ndO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","data_raw_preproc_1$modi_start","new_l.x","new_l.y","new_f1.x","new_f1.y","new_f2.x","new_f2.y","new_f3.x","new_f3.y"
100,3,"a",2,178,277,2,0.498724168,-2.021672029,0.486523939126705,-1.80659996195205,0.0779278481424866,-2.32151989387456,0.100727603050441,-2.06833922502525,14.31,2.05,0.786,-1.85,-2.05,0.51,1.022553535,-2.131096389,0.798907335,-1.931140451,0.737563513,-2.224801711,0.513917313,-2.024845773,FALSE,"null","null",277,"null","[178]",-0.287275832,-0.171672029,-0.141558974,0.210007366,-0.524925316,-0.0691827119999999,-0.354695297,0.120084929
100,4,"a",2,223,323,2,-0.123569939,-1.861287708,-0.0962923103964239,-1.57218384695348,-0.644195522669553,-2.06864141341438,-0.479080380860982,-1.87384424352805,17.07,2.05,0.142,-1.85,-2.05,0.97,0.391461018,-1.576180879,0.09150971,-1.570776036,0.236804633,-1.833243911,-0.063146676,-1.827839068,TRUE,"L","1stO",63,"null","[223]",-0.265569939,-0.011287708,0.006049094,0.233020622,-0.437344571,-0.0954083929999998,-0.329416198,-0.25105203
100,5,"a",2,211,308,2,0.055382191,-1.648925674,-0.0936750317190146,-1.44654169431032,-0.490409032357688,-1.79034944467471,-0.347112221185444,-1.5285384591752,16.17,2.05,0.352,-1.85,-2.05,0.82,0.576529143,-1.690447428,0.329455551,-1.520286797,0.305628919,-1.81933912,0.058555327,-1.64917849,FALSE,"null","null",308,"null","[211]",-0.296617809,0.201074326,-0.122262173,0.18925292,-0.49565101,0.0652592320000001,-0.503560382,-0.10516579
100,7,"a",2,192,291,2,0.290373377,-1.811231766,0.22901281714592,-1.60425018336132,-0.21898350829669,-2.03727533117147,-0.172265735556492,-1.74020854384184,15.15,2.05,0.59,-1.85,-2.05,0.65,0.808419373,-1.660452299,0.517044329,-1.58903393,0.600881729,-1.877081305,0.309506685,-1.805662936,TRUE,"L","2ndO",198,"null","[192]",-0.299626623,0.0387682340000002,-0.122024524,0.175601938,-0.511953582,-0.209559537,-0.390329963,-0.00213321900000008
100,8,"a",2,180,279,2,0.476608274,-1.648707557,0.354254576673771,-1.42358768776022,-0.0686806755666368,-1.80397525189232,0.013432357462988,-1.49362721253091,14.43,2.05,0.758,-1.85,-2.05,0.53,0.926103126,-1.560608755,0.642295965,-1.463379669,0.699996687,-1.757778423,0.416189526,-1.660549337,TRUE,"f2","2ndO",197,"null","[180]",-0.281391726,0.201292443,-0.145272464,0.161369288,-0.407512202,-0.208429617,-0.562561094,-0.055936891
100,9,"a",2,195,293,2,0.273550903,-1.76471381,0.139566548233883,-1.53728782787497,-0.199442054763569,-1.75518038000919,-0.290305847667812,-1.66223833649506,15.27,2.05,0.562,-1.85,-2.05,0.67,0.805767057,-1.692548262,0.528160662,-1.578817486,0.568470118,-1.876097064,0.290863723,-1.762366288,TRUE,"L","2ndO",201,"null","[195]",-0.288449097,0.0852861900000002,-0.121103478,0.182974221,-0.432347463,-0.188629103,-0.511533001,0.0262027789999999
100,10,"a",2,193,291,2,0.293257782,-1.955284347,0.236945743159713,-1.70253531618322,-0.233232562574503,-1.98513206826194,-0.0600911739715831,-2.10504774881255,15.15,2.05,0.59,-1.85,-2.05,0.65,0.762093519,-2.051810045,0.537871335,-1.852500205,0.477375042,-2.146337232,0.253152858,-1.947027392,TRUE,"L","2ndO",200,"null","[193]",-0.296742218,-0.105284347,-0.215717889,0.191555414,-0.396999184,-0.0895830479999997,-0.556560386,0.112061029
100,14,"a",2,212,312,2,0.025814642,-1.655168379,-0.0268105030981223,-1.42945128097642,-0.443512020777253,-1.76028027228224,-0.483662263648452,-1.60049904063633,16.41,2.05,0.296,-1.85,-2.05,0.86,0.509215042,-1.60622845,0.235619838,-1.483160726,0.265837664,-1.781634984,-0.007757539,-1.65856726,TRUE,"f1","2ndO",220,"null","[212]",-0.270185358,0.194831621,-0.132403661,0.174492223,-0.494140085,-0.228969227,-0.512546036,-0.00104559400000004
100,16,"a",2,186,283,2,0.453982183,-1.627509355,0.333073125857626,-1.36632521539925,-0.0669044009322119,-1.7317335375991,0.144881905399874,-1.60237678910479,14.67,2.05,0.702,-1.85,-2.05,0.57,1.085271598,-1.546672971,0.808516244,-1.430886642,0.846620019,-1.728456974,0.569864665,-1.612670645,TRUE,"f1","1stO",63,"null","[186]",-0.248017817,0.222490645,0.216483909,0.196330608,-0.394126135,-0.202894984,-0.328317707,0.0249500469999999
100,19,"a",2,176,275,2,0.552029181,-1.893786947,0.600788857387273,-1.67717751235056,0.0965534580468759,-2.06354467865554,0.178511101149131,-1.97747728693558,14.19,2.05,0.814,-1.85,-2.05,0.49,1.258419142,-1.914736937,1.003172426,-1.75710092,0.994278989,-2.056969069,0.739032273,-1.899333052,TRUE,"f1","1stO",58,"null","[176]",-0.261970819,-0.0437869469999999,0.224725478,0.216228759,-0.41356483,-0.116068945,-0.202131448,0.051274421
