"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.152203308,-1.796780838,-0.227658689,-1.539220411,-0.716116149,-2.027088002,-0.553522549,-1.765251064,0.114,-1.85,0.241684334,-1.761829709,-0.030364438,-1.635380249,-0.00384849600000001,-1.934206126,-0.275897268,-1.807756667,TRUE,"f1","1stO",70,"null",285,1,325,0.2,-0.152203308,-1.796780838,0
0.230847762,-1.6419168,-0.0875191229999996,-1.711774908,-0.472256795,-1.782279842,-0.262224405,-1.53434394,0.506,-1.85,0.626323814,-1.660679387,0.373916554,-1.4985357,0.359699632,-1.798198643,0.107292372,-1.636054956,FALSE,"null","null",297,"null",257,2,297,0.2,0.230847762,-1.6419168,0.135909455230028
0.464505364,-2.01481428,0.247908612,-2.039085152,-0.124866144,-2.077109639,0.0792776120000003,-1.835993578,0.772,-1.85,0.920593612,-2.110598242,0.697161843,-1.910402727,0.635503325,-2.203998072,0.412071556,-2.003802557,FALSE,"null","null",278,"null",238,3,278,0.2,0.464505364,-2.01481428,0.29550555745214
-0.159611694,-1.880803097,-0.170392791,-1.605366976,-0.668461827,-2.047259793,-0.389570967,-2.012453674,0.142,-1.85,0.351555658,-1.609520978,0.0517466539999995,-1.598817658,0.192381809,-1.863811532,-0.107427195,-1.853108211,TRUE,"L","1stO",63,"null",283,4,323,0.2,-0.159611694,-1.880803097,-0.399411507175959
0.041540063,-1.64256571,-0.357736735,-1.490558847,-0.938557792,-1.748044161,-0.665774766,-1.614562673,0.31,-1.85,0.317428699,-1.668838176,0.073011101,-1.49488405,0.044571208,-1.793532962,-0.19984639,-1.619578835,FALSE,"null","null",311,"null",271,5,311,0.2,0.041540063,-1.64256571,0.18344417609891
0.288530855,-1.817297861,0.125460834,-1.605674264,-0.306725936,-2.057691652,-0.164592144,-1.799518653,0.576,-1.85,0.759755973,-1.67877915,0.468191164,-1.608139484,0.552797823,-1.895961848,0.261233015,-1.825322182,FALSE,"null","null",292,"null",252,7,292,0.2,0.288530855,-1.817297861,-0.197399252385047
0.467000305,-1.65195602,0.291851195,-1.445647498,0.0491764190000004,-1.856154948,-0.17907605,-1.733007665,0.744,-1.85,0.875361027,-1.571977103,0.59156712,-1.474709335,0.649227716,-1.769115951,0.365433809,-1.671848184,FALSE,"null","null",280,"null",240,8,280,0.2,0.467000305,-1.65195602,-0.104903514418103
0.275977485,-1.767287835,0.0755523419999998,-1.596952276,-0.116405032,-1.971303622,-0.321000294,-1.775316759,0.534,-1.85,0.755010814,-1.703853296,0.477760208,-1.589257916,0.517143,-1.886661674,0.239892394,-1.772066294,FALSE,"null","null",295,"null",255,9,295,0.2,0.275977485,-1.767287835,-0.0431540244466061
0.306671817,-1.957471358,0.0557975590000003,-1.762291811,-0.131497101,-2.070666406,-0.327603942,-1.842141188,0.562,-1.85,0.762093519,-2.051810045,0.538112731,-1.852228967,0.477260841,-2.145992558,0.253280053,-1.946411479,TRUE,"f2","2ndO",210,"null",253,10,293,0.2,0.306671817,-1.957471358,0.292758933134249
0.128164175,-1.555228217,-0.322144274,-1.405410603,-0.0698242590000003,-1.742488666,-0.515426793,-1.612578224,0.324,-1.85,0.607051864,-1.521817358,0.337434486,-1.390263302,0.358314021,-1.689535828,0.088696643,-1.557981773,TRUE,"f1","1stO",60,"null",270,13,310,0.2,0.128164175,-1.555228217,0.018847199943607
0.026136336,-1.656086703,-0.21234837,-1.527984431,-0.531495008,-1.909105752,-0.515799871,-1.634130517,0.296,-1.85,0.45754167,-1.612047612,0.183844013,-1.489207909,0.214310538,-1.787656885,-0.059387119,-1.664817182,FALSE,"null","null",312,"null",272,14,312,0.2,0.026136336,-1.656086703,-0.0132285028750539
0.407012689,-1.638029816,0.591623751,-1.390975661,-0.028610743,-1.880185672,-0.0207114050000003,-1.612791319,0.66,-1.85,1.033892953,-1.554687632,0.756583199,-1.440235458,0.796119585,-1.737618837,0.518809831,-1.623166662,TRUE,"f1","1stO",63,"null",246,16,286,0.2,0.407012689,-1.638029816,-0.0436704900780217
0.406804867,-1.840489024,0.178510816,-1.705568345,-0.0535183389999999,-2.093938142,-0.217147262,-1.857335292,0.702,-1.85,0.847272478,-1.78518909,0.570803008,-1.668721791,0.608174103,-1.966385025,0.331704633,-1.849917726,TRUE,"f2","1stO",59,"null",243,17,283,0.2,0.406804867,-1.840489024,-0.0363928043936781
0.506657723,-1.894123351,0.685664969,-1.601250657,0.0710678049999998,-2.02513718,0.290737501000001,-1.797473853,0.8,-1.85,1.154424388,-1.913692428,0.899264686,-1.755915602,0.890205798,-2.055778798,0.635046096,-1.898001973,TRUE,"f1","1stO",58,"null",236,19,276,0.2,0.506657723,-1.894123351,0.118702846426596
0.45106905,-2.009968266,0.204775877,-1.814097484,-0.0476625830000003,-1.909597463,-0.0759378930000003,-2.158206835,0.744,-1.85,0.896429889999999,-1.963515817,0.622463052,-1.84127764,0.653585105,-2.13965897,0.379618267,-2.017420793,TRUE,"f3","2ndO",193,"null",240,20,280,0.2,0.45106905,-2.009968266,-0.0154251973561898
