"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.156784913,-1.795806062,-0.489443663,-1.805000501,-0.604203169,-1.975746487,-0.496353303,-1.622761504,0.044,-1.85,0.241684334,-1.761829709,-0.029927777,-1.634445011,-0.004440106,-1.933360348,-0.276052217,-1.80597565,FALSE,"null","null",330,"null",1,1,330,0.2,-0.156784913,-1.795806062,0
0.288828137,-1.64227242,-0.347427572999999,-1.48944212,-0.655226878,-1.611049178,-0.595817536,-1.785300449,0.394,-1.85,0.470444945,-1.654532996,0.221330516,-1.487374385,0.201124126,-1.786693114,-0.0479903019999997,-1.619534503,FALSE,"null","null",305,"null",1,2,305,0.2,0.288828137,-1.64227242,0.152467106488908
0.478602784,-2.012227734,0.158501238,-1.797634367,-0.512254661,-1.939465691,-0.0538425020000003,-1.898444534,0.646,-1.85,0.767653726,-2.079851023,0.548846656,-1.874611003,0.48050712,-2.166723494,0.261700049,-1.961483474,TRUE,"f2","1stO",58,"null",1,3,287,0.2,0.478602784,-2.012227734,0.31487753475937
-0.165152404,-1.901821144,-0.221507853,-1.699484498,-0.8603156,-1.959266333,-0.566616518,-2.038216656,0.0300000000000001,-1.85,0.271744937,-1.676201177,-0.0279250939999998,-1.662134463,0.109727791,-1.92868968,-0.18994224,-1.914622966,TRUE,"L","1stO",63,"null",1,4,331,0.2,-0.165152404,-1.901821144,-0.391631090038936
0.110375651,-1.646597822,-0.622170566999999,-1.501863421,-0.763454827,-1.72264644,-0.40141428,-1.61661283,0.24,-1.85,0.369248788,-1.673160027,0.126108784,-1.497424605,0.095487446,-1.795857736,-0.147652558,-1.620122314,TRUE,"f1","f2",283,"null",1,5,316,0.2,0.110375651,-1.646597822,0.187310645278837
0.274145763,-1.839151508,0.0531759320000003,-1.726758851,-0.559564779,-1.939112863,-0.280310143,-1.923492198,0.492,-1.85,0.662429172,-1.71543285,0.36934517,-1.651387804,0.460422534,-1.937228518,0.167338532,-1.873183472,FALSE,"null","null",298,"null",1,7,298,0.2,0.274145763,-1.839151508,-0.223398067893543
0.574147885,-1.631806498,0.361614241000001,-1.514217315,-0.216651429,-1.81612408,0.0435000580000001,-1.723328527,0.674,-1.85,0.926103126,-1.560608755,0.641712287,-1.465100375,0.701195023,-1.759144256,0.416804184,-1.663635876,FALSE,"null","null",285,"null",1,8,285,0.2,0.574147885,-1.631806498,-0.11453702607081
0.199740108,-1.795098001,-0.313157855999999,-1.624147888,-0.473703641,-1.780718567,-0.438985872,-1.959212809,0.422,-1.85,0.551985842,-1.749073434,0.274934087,-1.633998135,0.313801832,-1.931469643,0.0367500759999998,-1.816394343,TRUE,"f1","f2",204,"null",1,9,303,0.2,0.199740108,-1.795098001,-0.044862927708796
0.226419637,-1.938226041,-0.244309613,-1.702656482,-0.654893307,-1.819266258,-0.563845241,-1.991044243,0.45,-1.85,0.456201696,-1.990375587,0.236035792,-1.786593903,0.169638628,-2.079154011,-0.0505272750000003,-1.875372327,FALSE,"null","null",301,"null",1,10,301,0.2,0.226419637,-1.938226041,0.308233246767597
0.083827729,-1.650124545,-0.496377294,-1.498679192,-0.476363638,-1.686731091,-0.508796794,-1.860825936,0.24,-1.85,0.45754167,-1.612047612,0.183867719,-1.489155104,0.21427666,-1.787609952,-0.0593972910000002,-1.664717443,TRUE,"f1","f3",60,"null",1,14,316,0.2,0.083827729,-1.650124545,-0.0164760784775597
0.42705282,-1.843091681,-0.272458236,-1.751546348,-0.0754500789999998,-2.047021512,-0.845864441999996,-1.818074229,0.618,-1.85,0.590136369,-1.823673129,0.314415766,-1.705443906,0.349886557,-2.003339564,0.0741659539999998,-1.885110341,TRUE,"f1","1stO",56,"null",1,17,289,0.2,0.42705282,-1.843091681,-0.0334517572018231
0.317505965,-1.899592224,-0.0151242989999997,-1.738972214,-0.620346375,-1.937192283,-0.978435893999999,-1.773130291,0.534,-1.85,0.478458482,-1.906903118,0.22572485,-1.745268618,0.212112084,-2.044959613,-0.0406215479999998,-1.883325114,TRUE,"f1","f2",169,"null",1,19,295,0.2,0.317505965,-1.899592224,0.130452917391137
0.449518624,-2.02637613,0.196119771,-1.847853435,-0.394101352,-2.012735578,-0.00422516400000039,-1.987076824,0.562,-1.85,0.847381986,-1.98078727,0.572187431,-1.861338717,0.606339227,-2.159388469,0.331144672,-2.039939916,TRUE,"f2","f3",117,"null",1,20,293,0.2,0.449518624,-2.02637613,-0.0290252049458181
0.203696693,-1.747445055,-0.190422974,-1.656286828,-0.422183222,-1.793988515,-0.376326992,-1.97367159,0.38,-1.85,0.55718089,-1.679866117,0.273828088,-1.581320748,0.330161697,-1.875984157,0.0468088950000002,-1.777438789,TRUE,"f1","2ndO",216,"null",1,22,306,0.2,0.203696693,-1.747445055,-0.103838677784125
0.014178502,-1.705360457,-0.195819815,-1.575884012,-0.560910279,-1.917306012,-0.474672597,-1.716953641,0.184,-1.85,0.454749096,-1.648395675,0.177851791,-1.532949224,0.216320885,-1.830472549,-0.060576419,-1.715026099,TRUE,"L","1stO",59,"null",1,23,320,0.2,0.014178502,-1.705360457,-0.0435229109000323
0.144518008,-1.702710753,-0.176375499,-1.545987829,-0.567661975,-1.759966958,-0.414880209,-1.903275803,0.352,-1.85,0.536142715,-1.669464135,0.26457781,-1.541978832,0.289954752,-1.84090359,0.018389847,-1.713418287,TRUE,"f1","1stO",62,"null",1,24,308,0.2,0.144518008,-1.702710753,0.000370431643897259
0.108712878,-1.993095785,-0.156832065,-1.79061732,-0.223137031,-2.074316534,-0.3856521,-1.881227616,0.268,-1.85,0.620882248,-2.117322937,0.403752954,-1.910308759,0.333038064,-2.201855333,0.11590877,-1.994841155,TRUE,"f1","1stO",62,"null",1,26,314,0.2,0.108712878,-1.993095785,0.323017012179686
0.425029713,-1.942220341,-0.440987759,-1.730806453,-0.00563460200000032,-2.092087447,-0.0819309540000004,-1.901088242,0.632,-1.85,0.748461237,-1.966049714,0.500377543,-1.797365154,0.478334276,-2.096554215,0.230250582,-1.927869654,FALSE,"null","null",288,"null",1,27,288,0.2,0.425029713,-1.942220341,0.158605279798477
0.40218746,-1.639414909,-0.0212526250000003,-1.491309695,-0.187878778,-1.783286268,-0.344949577,-1.629904492,0.506,-1.85,0.765336847,-1.646865357,0.508660671,-1.49156777,0.502507104,-1.791504653,0.245830927,-1.636207066,TRUE,"f3","1stO",68,"null",1,32,297,0.2,0.40218746,-1.639414909,0.10557477116664
0.033547027,-1.640553707,-0.355572095,-1.497748267,-0.505764124,-1.801528387,-0.628568573,-1.629440494,0.142,-1.85,0.370770368,-1.62794557,0.105539847,-1.48775723,0.116748443,-1.787547769,-0.148482078,-1.647359428,FALSE,"null","null",323,"null",1,33,323,0.2,0.033547027,-1.640553707,0.0476907574611097
-0.096852673,-1.806954626,-0.478769633,-1.704569454,-0.716588274,-1.860525878,-0.649323241,-2.032666906,0.0999999999999996,-1.85,0.299208328999999,-1.745261256,0.0194097049999997,-1.637035891,0.065583101,-1.93346129,-0.214215523,-1.825235925,TRUE,"f1","2ndO",238,"null",1,34,326,0.2,-0.096852673,-1.806954626,-0.0694641112362578
0.051798035,-1.775381347,-1.06151337,-1.61770145,-0.71851559,-1.809364927,-0.508177745,-1.670025832,0.24,-1.85,0.244790529,-1.809607549,0.0151676159999998,-1.616544559,-0.0372183809999999,-1.91193533,-0.266841294,-1.71887234,TRUE,"f1","2ndO",232,"null",1,35,316,0.2,0.051798035,-1.775381347,0.260581256767296
-0.366676561,-1.765866616,-0.127788795000001,-1.579080088,-0.339730326,-1.952635875,-0.93696604,-1.742615167,-0.152,-1.85,0.312386295,-1.661615939,0.0328257339999996,-1.552777099,0.0783488149999997,-1.849303066,-0.201211746,-1.740464227,TRUE,"L","2ndO",233,"null",1,36,344,0.2,-0.366676561,-1.765866616,-0.0672706210752587
0.344240597,-1.856571938,-0.155635486,-1.673484089,-0.487619442999999,-1.93656836,-0.250874251,-1.871840217,0.562,-1.85,0.642965684,-1.84363247,0.376910193,-1.705016182,0.389892711,-2.00473514,0.12383722,-1.866118852,FALSE,"null","null",293,"null",1,39,293,0.2,0.344240597,-1.856571938,0.0417728628369312
0.396405914,-1.732465342,-0.053677139,-1.552274983,-0.534418381,-1.787285958,-0.2321166,-1.6851458,0.59,-1.85,0.658449742,-1.754512042,0.412132404,-1.58325852,0.386981172,-1.882202354,0.140663834,-1.710948831,FALSE,"null","null",291,"null",1,40,291,0.2,0.396405914,-1.732465342,0.168997404219669
0.371326031,-1.689867351,-0.161849362,-1.539190463,-0.140396763,-1.826048118,-0.358800626,-1.666509352,0.534,-1.85,0.729657757,-1.701227359,0.474733583,-1.543070268,0.465227611,-1.842919625,0.210303437,-1.684762534,TRUE,"f1","f2",158,"null",1,41,295,0.2,0.371326031,-1.689867351,0.116753317623533
0.41849163,-1.663260355,0.0508809459999998,-1.545358072,-0.199727426,-1.688642873,-0.179618415,-1.860076881,0.576,-1.85,0.780884887,-1.625564886,0.506952502,-1.503249521,0.537990481,-1.801639607,0.264058096,-1.679324242,TRUE,"f1","f2",186,"null",1,43,292,0.2,0.41849163,-1.663260355,-0.0185839542395956
