cf,x,y,z
6,1.9269698858,1.9831796885,0.0210512187
6,1.9320431948,1.989161253,0.0211472847
6,1.943821311,1.9891289473,0.0216432922
6,1.9513193369,1.9842617512,0.0217586532
6,1.9609901905,1.9972634315,0.0219736863
6,1.9698797464,1.9926151037,0.0221180115
6,1.9677449465,1.9906527996,0.0223862715
6,1.9797526598,2.0025513172,0.0208403803
6,1.9825931787,2.0013687611,0.020814823
6,1.9826946259,2.001452446,0.0207862332
6,1.9947077036,1.9964584112,0.0209133383
6,2.0026679039,1.9968162775,0.0210575107
6,2.0074563026,1.9960027933,0.02107618
6,2.0157651901,2.0078258514,0.0212765485
6,2.0167443752,2.0039625168,0.0213670805
6,2.0207085609,2.0091211796,0.0208787601
6,2.0241353512,2.0051484108,0.020956412
6,2.0327355862,1.984742403,0.0213650856
6,2.0336446762,1.9902169704,0.0214846432
6,2.0203464031,1.9752523899,0.0220031459
6,2.0307188034,1.985981226,0.0222138334
6,2.0357866287,1.986910224,0.0224756915
6,2.0385627747,1.9865319729,0.0225372966
6,2.0491199493,1.9925824404,0.0229434371
6,2.0541305542,1.9888868332,0.0214504395
6,2.0482337475,1.9946991205,0.0215424299
6,2.0505485535,1.9943362474,0.0215842798
6,2.0631389618,1.9943194389,0.0218133554
6,2.0638084412,1.9994506836,0.0211557783
6,2.0672359467,1.9989281893,0.0211750679
6,2.0745327473,2.0092298985,0.0213376619
6,2.0774269104,2.0058865547,0.0214016866
6,2.0805702209,2.0020465851,0.0214885473
6,2.0834033489,2.0064976215,0.0205604117
6,2.0884962082,2.0024104118,0.0206066314
6,2.0795783997,2.0092759132,0.0206762403
6,2.075119257,2.0074901581,0.0207419377
6,2.0786247253,2.0093791485,0.0209356435
6,2.071844101,2.0151810646,0.0214934666
6,2.072984457,2.0138514042,0.021507781
6,2.0792930126,2.0241348743,0.0217351485
6,2.084325552,2.0201356411,0.0218777359
6,2.071164608,2.0308320522,0.0225122906
6,2.0759544373,2.0322773457,0.0227467977
6,2.0777008533,2.0317730904,0.022855632
6,2.078230381,2.0362081528,0.0230214931
6,2.0827350616,2.0324578285,0.0232232045
6,2.0852510929,2.036952734,0.0224456321
6,2.0858402252,2.0387051105,0.0226646643
6,2.0889205933,2.0354661942,0.0227817539
6,2.0895366669,2.0403716564,0.0229430776
6,2.0953848362,2.035410881,0.022312358
6,2.0965156555,2.0264005661,0.0223394316
6,2.098988533,2.0219624043,0.0224371105
6,2.1074945927,2.0160396099,0.022632597
6,2.1081209183,2.0202829838,0.0227832701
6,2.1125123501,2.0169661045,0.022570366
6,2.1147921085,2.0206313133,0.0226862971
6,2.1118676662,2.0231201649,0.0229189973
6,2.1140751839,2.0203127861,0.0230382532
6,2.1108772755,2.0249330997,0.0215680581
6,2.1149888039,2.0212788582,0.0216311868
6,2.1150343418,2.025482893,0.0217102915
6,2.1193094254,2.0223739147,0.0217936225
6,2.1217055321,2.0258703232,0.0218825638
6,2.1246519089,2.0279304981,0.0219908822
6,2.1285150051,2.0246162415,0.0220772065
6,2.1290986538,2.028645277,0.0221714657
6,2.1315264702,2.025793314,0.0222718045
6,2.1337423325,2.0255534649,0.0209732149
6,2.1321601868,2.0244562626,0.0209298711
6,2.1330914497,2.0183665752,0.0215376429
6,2.1243155003,2.0068657398,0.0223375224
6,2.1168923378,2.0135085583,0.0224497225
6,2.1096737385,1.9992367029,0.022982128
6,2.1002426147,2.0028412342,0.023239987
6,2.1032099724,1.9843916893,0.0237787273
6,2.0893809795,1.9878013134,0.0242803395
6,2.0924971104,1.9852946997,0.0211347584
6,2.0759868622,1.9769248962,0.0217298791
6,2.0757536888,1.9767794609,0.0217105448
6,2.0786366463,1.978022337,0.0218594428
6,2.0719873905,1.9832854271,0.0220309421
6,2.0736415386,1.9805010557,0.0208213683
6,2.0851972103,1.9831386805,0.0208425596
6,2.0848758221,1.9806647301,0.0208593905
6,2.087198019,1.9779989719,0.020880146
6,2.084774971,1.9918259382,0.0199002586
6,2.087416172,1.9892255068,0.0198767092
6,2.0920126438,1.9923473597,0.0198615119
6,2.0957267284,1.9995522499,0.0199804176
6,2.0974156857,1.9972565174,0.0199802574
6,2.1045436859,2.0012731552,0.0204551388
6,2.1076595783,1.9983648062,0.0205030162
6,2.1119732857,1.9958759546,0.0204535425
6,2.1138694286,1.9973307848,0.0206471011
6,2.1145071983,1.9971561432,0.0211847499
6,2.1136898994,1.9989167452,0.0213586111
6,2.1164152622,1.996235013,0.0214636456
6,2.1228523254,2.0037624836,0.0216934923
6,2.1239788532,2.0017206669,0.0218405332
6,2.1305780411,2.0056595802,0.0217244774
6,2.1325085163,2.0052850246,0.0217811055
6,2.1342902184,2.0049118996,0.0218509249
6,2.1384224892,2.0113749504,0.0220712032
6,2.1421124935,2.0085549355,0.0221580658
6,2.1441240311,2.0062863827,0.0222550407
6,2.1468546391,2.006857872,0.0225200187
6,2.1474411488,2.0102286339,0.0226827264
6,2.1476795673,2.0080187321,0.0221014004
6,2.1503710747,2.0089440346,0.0222946405
6,2.1554567814,2.0149419308,0.0225236379
6,2.1576948166,2.0146610737,0.0226030685
6,2.1586651802,2.0148048401,0.021584386
6,2.1611106396,2.0122132301,0.0216617193
6,2.1617660522,2.0163092613,0.0217593554
6,2.1679162979,2.0203413963,0.0220567919
6,2.1705303192,2.0177116394,0.0221844502
6,2.1701779366,2.0177369118,0.0217075869
6,2.1730949879,2.0155148506,0.0217737854
6,2.1768293381,2.021832943,0.0219534822
6,2.1791110039,2.0191607475,0.0220769197
6,2.1811153889,2.0189170837,0.021673359
6,2.1809988022,2.0189418793,0.021664368
6,2.1826081276,2.0165178776,0.0217396505
6,2.1937665939,2.0275948048,0.0222903602
6,2.1949810982,2.0274934769,0.0226140376
6,2.2006278038,2.0283796787,0.0227279086
6,2.2011728287,2.0252630711,0.0228918903
6,2.2034695148,2.0281720161,0.0230441447
6,2.2086474895,2.0320081711,0.0217033662
6,2.2101671696,2.0294754505,0.0217614416
6,2.2147991657,2.0346040726,0.0219368376
6,2.2173404694,2.0315992832,0.0220600236
6,2.2177286148,2.0347735882,0.0221762415
6,2.2224760056,2.0318238735,0.021336019
6,2.2236177921,2.0291221142,0.0213827528
6,2.2239277363,2.0291337967,0.0213617887
6,2.2255647182,2.0269687176,0.0214325041
6,2.2269091606,2.0303404331,0.0205197092
6,2.2288012505,2.0278401375,0.0205395371
6,2.2301456928,2.0255219936,0.0205576494
6,2.2339301109,2.0281989574,0.0206143521
6,2.2293169498,2.0189576149,0.0206997748
6,2.230281353,2.0185115337,0.020775266
6,2.2322723866,2.0161709785,0.0208254028
6,2.2336914539,2.0170156956,0.0209609196
6,2.2347590923,2.0198099613,0.0210612155
6,2.2368981838,2.0195336342,0.020248197
6,2.2381646633,2.0224695206,0.0202700831
6,2.2405261993,2.0200507641,0.0203109942
6,2.2418584824,2.0225625038,0.0203480609
6,2.2440199852,2.0232074261,0.0205248203
6,2.2454462051,2.021245718,0.0190633126
6,2.2457029819,2.0239620209,0.0190476421
6,2.2467792034,2.0218904018,0.0190241951
6,2.2467060089,2.0248093605,0.0191188529
6,2.24608922,2.0235424042,0.019800812
