cf,x,y,z
6,2.2917461395,3.6753816605,0.0294677503
6,2.2959513664,3.673658371,0.0295215454
6,2.2975273132,3.6887507439,0.0301710889
6,2.2749462128,3.6600723267,0.0296794698
6,2.2691378593,3.6733660698,0.0300368853
6,2.2755978107,3.6824512482,0.030399017
6,2.2430710793,3.6539509296,0.0315353088
6,2.2408530712,3.6679208279,0.0321857445
6,2.2419903278,3.6679852009,0.0305867437
6,2.244913578,3.6697103977,0.0307461787
6,2.2536072731,3.681753397,0.0312710181
6,2.2539999485,3.6797304153,0.0312941894
6,2.2585496902,3.691737175,0.0299433861
6,2.2630977631,3.6932406425,0.0300688799
6,2.263843298,3.7059500217,0.0304026939
6,2.2729258537,3.7175168991,0.0309196357
6,2.2747781277,3.7289288044,0.0275405217
6,2.2749354839,3.7289626598,0.0274281763
6,2.2791616917,3.7408242226,0.0276669972
6,2.2708830833,3.7195696831,0.0279868692
6,2.2473320961,3.7030925751,0.0280675367
6,2.2550694942,3.7145423889,0.0283905584
6,2.2302961349,3.6895279884,0.0291823167
6,2.2343637943,3.7104389668,0.029889252
6,2.2259988785,3.7166316509,0.02940033
6,2.2331638336,3.7357239723,0.0300181489
6,2.2338778973,3.7374577522,0.0300971325
6,2.2383742332,3.7488946915,0.0305732954
6,2.236168623,3.7253630161,0.0296433829
6,2.2364902496,3.7265453339,0.0296752211
6,2.2386264801,3.733430624,0.0300592259
6,2.2398126125,3.7341547012,0.0301117059
6,2.2481718063,3.7448325157,0.0288319904
6,2.2590515614,3.7382161617,0.0290371738
6,2.2581372261,3.7469906807,0.0292509943
6,2.264282465,3.7570607662,0.0295889452
6,2.2643637657,3.7654592991,0.0298743173
6,2.2713420391,3.7726614475,0.0271062329
6,2.2782161236,3.7728800774,0.0271062888
6,2.2791984081,3.7820036411,0.0273525491
6,2.2821764946,3.781898737,0.0273076091
6,2.2842102051,3.7797160149,0.0260608364
6,2.2869651318,3.7803034782,0.0259739161
6,2.2934808731,3.7810337543,0.0259509962
6,2.2985966206,3.7921664715,0.0264051799
6,2.3021979332,3.8036682606,0.0266520679
6,2.3091003895,3.8040986061,0.0267261695
6,2.3092336655,3.8055858612,0.0266951323
6,2.3090982437,3.8138325214,0.026590718
6,2.3099863529,3.8144795895,0.0265505984
6,2.3170189857,3.8251309395,0.0269450694
6,2.3202579021,3.8252427578,0.0269764848
6,2.3212990761,3.8357195854,0.027290564
6,2.3245778084,3.835647583,0.0272190291
6,2.3255109787,3.8359024525,0.0272151716
6,2.3305110931,3.8417561054,0.0276595932
6,2.3324193954,3.8382205963,0.0277740769
6,2.3356115818,3.8492970467,0.0277372096
6,2.3399479389,3.845143795,0.0278830417
6,2.339700222,3.846765995,0.0279253796
6,2.3463101387,3.8560791016,0.0284310821
6,2.3465111256,3.8569693565,0.0285021253
6,2.3514771461,3.8660099506,0.0290738326
6,2.3560593128,3.8624796867,0.0292982124
6,2.3560771942,3.8631014824,0.0293836035
6,2.3600039482,3.8592431545,0.029646771
6,2.3621304035,3.8571186066,0.0298815034
6,2.3638954163,3.8565793037,0.0292168204
6,2.3682739735,3.8532626629,0.0294110719
6,2.3599221706,3.8320543766,0.0299605336
6,2.3597898483,3.8375694752,0.0305818412
6,2.3362114429,3.815243721,0.0299029537
6,2.3431355953,3.8227992058,0.0303136948
6,2.3388600349,3.801728487,0.0309162214
6,2.3321163654,3.7923483849,0.0318733044
6,2.3325476646,3.7982468605,0.0325963162
6,2.316824913,3.7937529087,0.0307968054
6,2.3164687157,3.8005111217,0.0313295126
6,2.3241832256,3.796145916,0.0316366814
6,2.3237428665,3.7963140011,0.0317835435
6,2.3303756714,3.7964873314,0.0296247583
6,2.3315541744,3.7970359325,0.0296490826
6,2.3367834091,3.7986881733,0.0298369918
6,2.342772007,3.7988991737,0.0300236046
6,2.3433263302,3.7995121479,0.0300660599
6,2.3522377014,3.7939639091,0.0278718006
6,2.3526008129,3.7953615189,0.0278135762
6,2.3556890488,3.8028621674,0.0280029867
6,2.3598475456,3.7994301319,0.027236959
6,2.3634026051,3.7965934277,0.0272385683
6,2.3630027771,3.796980381,0.0271505248
6,2.3699510098,3.8057408333,0.0274864268
6,2.369913578,3.8074595928,0.0274399891
6,2.3725187778,3.8051977158,0.0263850167
6,2.3759109974,3.8118007183,0.0266369712
6,2.3763120174,3.8127677441,0.0265591685
6,2.3798360825,3.822072506,0.0268319547
6,2.381029129,3.8193893433,0.0249468908
6,2.3883330822,3.8260233402,0.0248895623
6,2.3916230202,3.8227775097,0.0249012671
6,2.3939504623,3.8206942081,0.0248683505
6,2.3955099583,3.8185617924,0.0246978495
6,2.3986232281,3.8237974644,0.0249465797
6,2.3983690739,3.8243525028,0.0248465911
6,2.4016349316,3.8233120441,0.0249426998
6,2.4034698009,3.8239183426,0.024847066
6,2.4110510349,3.8336265087,0.0251077544
6,2.4112238884,3.8345491886,0.0250693318
6,2.4145772457,3.8311378956,0.0258661509
6,2.4161098003,3.8284096718,0.0259361807
6,2.4185271263,3.8379809856,0.0262646042
6,2.4223012924,3.8346602917,0.0264107343
6,2.4242098331,3.8443200588,0.0248704236
6,2.4278502464,3.8488125801,0.0251372494
6,2.4230523109,3.8541448116,0.0250486471
6,2.4254662991,3.8546919823,0.025030002
6,2.4264867306,3.863068819,0.0260118451
6,2.4302816391,3.8599200249,0.0261341128
6,2.4298956394,3.8603830338,0.0261612069
6,2.4363715649,3.8672602177,0.0265746899
6,2.4383568764,3.8676040173,0.0259952061
6,2.4392371178,3.8658521175,0.0259341635
6,2.4425029755,3.8629879951,0.0260633361
6,2.4431836605,3.8637223244,0.0260826536
6,2.4471151829,3.8692615032,0.0266022924
6,2.4493250847,3.8662352562,0.0268586762
6,2.4517168999,3.8751900196,0.0272119734
6,2.4542691708,3.8725457191,0.0274001732
6,2.4547157288,3.8737478256,0.0275183693
6,2.4583282471,3.8703649044,0.0274467021
6,2.4597389698,3.8675999641,0.0275949147
6,2.4657995701,3.8825905323,0.028524708
6,2.4683940411,3.8806245327,0.0286171846
6,2.4732468128,3.8850092888,0.0279686414
6,2.4730570316,3.8860485554,0.0280697662
6,2.4730715752,3.8868067265,0.0281652585
6,2.4762375355,3.8836681843,0.0283970311
6,2.4780437946,3.8929846287,0.0272556115
6,2.4828891754,3.8928976059,0.0273992214
6,2.4835469723,3.8933372498,0.0274317283
6,2.4877283573,3.8942101002,0.0276172198
6,2.4892702103,3.8946933746,0.0276864208
6,2.4894807339,3.8943867683,0.0257909968
6,2.4915165901,3.8946146965,0.0257698912
6,2.490840435,3.8944330215,0.0257126056
6,2.4963235855,3.9033517838,0.026136104
6,2.4983296394,3.9033095837,0.0252794512
6,2.4995212555,3.9117839336,0.0254407413
6,2.5027825832,3.9168071747,0.0257627219
6,2.5027961731,3.9171981812,0.0257190987
6,2.5056834221,3.9218697548,0.0261215214
6,2.5085813999,3.9186825752,0.0257369261
6,2.509759903,3.9269492626,0.025938876
6,2.5145778656,3.9321956635,0.0263435766
6,2.5157551765,3.9330937862,0.026637461
6,2.5167782307,3.9295091629,0.0267209653
6,2.5185773373,3.928166151,0.0266929995
6,2.5211687088,3.9249191284,0.0268152077
6,2.5216572285,3.9249794483,0.0268324763
6,2.5239179134,3.9220077991,0.0270013418
6,2.525154829,3.9192180634,0.0271044709
6,2.5271327496,3.9196164608,0.0271764286
6,2.5293781757,3.9173223972,0.0273165759
6,2.5290350914,3.917100668,0.024835946
6,2.5349385738,3.9252548218,0.0250741132
6,2.5350532532,3.9260933399,0.0250008963
6,2.5372123718,3.9340960979,0.0252446253
6,2.5394880772,3.931101799,0.0253205635
6,2.5411403179,3.9390716553,0.0265577491
6,2.5438094139,3.9342851639,0.0271911658
6,2.5444297791,3.9342861176,0.0272832643
6,2.5468580723,3.9315457344,0.0280635078
6,2.5468420982,3.9316370487,0.028144585
6,2.5495278835,3.9288470745,0.0283398628
6,2.550216198,3.9269394875,0.0283445101
6,2.5506188869,3.9272875786,0.0284601953
6,2.5533120632,3.92426157,0.0280494969
6,2.5532784462,3.925239563,0.0281183384
6,2.5573685169,3.9253821373,0.0282956865
6,2.5573534966,3.9254827499,0.0283627361
6,2.5587522984,3.9261450768,0.0279014967
6,2.5620532036,3.9229412079,0.0280381087
6,2.5620322227,3.9238724709,0.0280873943
6,2.5648338795,3.9288785458,0.0285273064
6,2.5653614998,3.9274179935,0.0285082012
6,2.5705010891,3.935990572,0.0282926951
6,2.5746929646,3.936393261,0.0284438021
6,2.5753083229,3.944434166,0.0287634227
6,2.5777406693,3.9525439739,0.0291800741
6,2.5776498318,3.9527029991,0.0279715918
6,2.5804526806,3.9497671127,0.0280710924
6,2.5821642876,3.9465661049,0.0282000396
6,2.5819182396,3.9469480515,0.0282279644
6,2.5849080086,3.9439294338,0.0283767264
6,2.5850548744,3.9447112083,0.0270413272
6,2.5873403549,3.9427163601,0.0270929076
6,2.5926988125,3.9410979748,0.0271279905
6,2.5949981213,3.9497647285,0.0273052063
6,2.5954318047,3.9495809078,0.0272984058
6,2.5981626511,3.9538640976,0.0276275408
6,2.5982186794,3.9538793564,0.0276341271
6,2.6029040813,3.9620215893,0.0280844234
6,2.6044301987,3.9697563648,0.0278911795
6,2.6046214104,3.969956398,0.0279107206
6,2.607714653,3.9747540951,0.0283216685
6,2.6101098061,3.9710075855,0.0274565388
6,2.6118769646,3.9674963951,0.0275251269
6,2.6118535995,3.9683129787,0.0275153704
6,2.615218401,3.9686403275,0.0276452377
6,2.6157538891,3.9689557552,0.0276489388
6,2.6210637093,3.9770741463,0.0272819772
6,2.6256051064,3.989877224,0.0280083269
6,2.6257486343,3.9902873039,0.0267888103
6,2.6291601658,3.9945893288,0.0270695426
6,2.6319544315,3.9952259064,0.0271459688
6,2.6336591244,4.0035190582,0.027425779
6,2.6359512806,4.0116062164,0.0278741624
6,2.6372680664,4.0191268921,0.0281142835
6,2.6379315853,4.0145411491,0.0282815192
6,2.6389994621,4.0220713615,0.0286228582
6,2.6436522007,4.0299925804,0.0278844368
6,2.6441166401,4.0272173882,0.0278059542
6,2.6452100277,4.0351548195,0.0280550849
6,2.6467466354,4.0316138268,0.0281684957
6,2.6471097469,4.0320186615,0.0282193571
6,2.6471729279,4.0319666862,0.0277450345
6,2.6471092701,4.0321683884,0.0277424641
6,2.648560524,4.0293784142,0.027823085
6,2.6524236202,4.030318737,0.0271701552
6,2.6523196697,4.0296459198,0.0271299183
6,2.6517617702,4.0296778679,0.0270808116
6,2.6525433064,4.027987957,0.0269238185
6,2.6564352512,4.0285801888,0.0274104793
6,2.65686059,4.0286569595,0.0273983739
6,2.6562347412,4.0289502144,0.0273712017
6,2.656822443,4.0364971161,0.0276673213
6,2.6567809582,4.0345773697,0.0277347602
6,2.6625673771,4.0419282913,0.0280589387
6,2.662820816,4.0421681404,0.0280829649
6,2.6659817696,4.0472464561,0.0283467546
6,2.6673095226,4.0543203354,0.028694516
6,2.6672356129,4.0525884628,0.027193848
6,2.6712982655,4.0560679436,0.0274797939
6,2.6731376648,4.0531635284,0.0275601596
6,2.6729829311,4.0530443192,0.0275450256
6,2.6752564907,4.0498805046,0.0269996952
6,2.6751270294,4.0497775078,0.0269463193
6,2.6777601242,4.0539369583,0.0272454973
6,2.6745319366,4.0510082245,0.0271566119
6,2.6753835678,4.0576720238,0.0273988526
6,2.6776165962,4.0543532372,0.0272968262
6,2.6773748398,4.0541996956,0.0272620916
6,2.679936409,4.0585489273,0.0276055429
6,2.6811444759,4.0554766655,0.02769343
6,2.6823801994,4.0623345375,0.0268029068
6,2.6855852604,4.0660634041,0.0270505417
6,2.6851599216,4.0665268898,0.0270031281
6,2.6874172688,4.0699658394,0.027324494
6,2.6894137859,4.0670757294,0.0274112169
6,2.6903645992,4.0741844177,0.027437862
6,2.6927790642,4.0785455704,0.0277322847
6,2.6924469471,4.0783696175,0.0277293399
6,2.6935958862,4.0852894783,0.0280325282
6,2.694231987,4.0853462219,0.0268299468
6,2.6968612671,4.0855088234,0.0268625636
6,2.6977102757,4.0926017761,0.0270845946
6,2.6972639561,4.092854023,0.0270529632
6,2.7009532452,4.0971503258,0.0274265036
6,2.7025184631,4.0933208466,0.0269053299
6,2.7038316727,4.1000766754,0.0271041878
6,2.7073011398,4.1009244919,0.0271792039
6,2.708067894,4.1070008278,0.0274427757
6,2.7118060589,4.113925457,0.0271378811
6,2.712280035,4.1138014793,0.0271124877
6,2.7131872177,4.1202378273,0.0273434874
6,2.7148365974,4.1176362038,0.0274374355
6,2.7140831947,4.1165471077,0.0273889042
6,2.7159321308,4.1133174896,0.0264425147
6,2.7158186436,4.1130766869,0.0263734292
6,2.7170393467,4.1104059219,0.026439324
6,2.7186322212,4.1072134972,0.0265287831
6,2.7226257324,4.1107225418,0.0260256492
6,2.725417614,4.1141047478,0.0262691416
6,2.7250602245,4.1124377251,0.0261439439
6,2.7286355495,4.1192374229,0.0264960881
6,2.7287895679,4.1196212769,0.0264596138
6,2.7298929691,4.1260528564,0.0264451765
6,2.7334110737,4.1328148842,0.0267601013
6,2.7333052158,4.1325864792,0.0267328154
