id,x[m],y[m],z[m],t[s]
1,2.7839973038,3.2366594287,0.5,1
1,2.8119706372,3.2080676009,0.5,2
1,2.7726730814,3.2155309852,0.5,3
1,2.7334498544,3.2233756306,0.5,4
1,2.694058512,3.230327044,0.5,5
1,2.6553755305,3.2405067759,0.5,6
1,2.6164632819,3.249771597,0.5,7
1,2.5781963267,3.2614180617,0.5,8
1,2.5396777659,3.2722032587,0.5,9
1,2.50095789,3.282241745,0.5,10
1,2.4619111951,3.2909225064,0.5,11
1,2.4226548587,3.2985997489,0.5,12
1,2.3843296904,3.310053197,0.5,13
1,2.3448831729,3.3166843553,0.5,14
1,2.3057905078,3.3251556914,0.5,15
1,2.2666938214,3.333608449,0.5,16
1,2.2271810784,3.339832848,0.5,17
1,2.1880969812,3.3483436261,0.5,18
1,2.1488212515,3.3559210304,0.5,19
1,2.1090720937,3.3603936641,0.5,20
1,2.0690823036,3.3612973748,0.5,21
1,2.0291790039,3.3640770639,0.5,22
1,1.9894430794,3.3686657787,0.5,23
1,1.9498393773,3.3742824306,0.5,24
1,1.910375995,3.367752388,0.5,25
1,1.8706464255,3.3631089723,0.5,26
1,1.8321992264,3.3520720852,0.5,27
1,1.7933751285,3.3424445506,0.5,28
1,1.7542303767,3.334217254,0.5,29
1,1.7148145401,3.3274060994,0.5,30
1,1.6754305192,3.3204133249,0.5,31
1,1.6371727976,3.3087365644,0.5,32
1,1.5973605519,3.3048655057,0.5,33
1,1.5587177663,3.2945342368,0.5,34
1,1.519690183,3.2857679521,0.5,35
1,1.4803818342,3.278361623,0.5,36
1,1.4410898511,3.2708689556,0.5,37
1,1.4033158806,3.2577111764,0.5,38
1,1.3641541686,3.2495649927,0.5,39
1,1.3265219649,3.2360070707,0.5,40
1,1.2934549527,3.2134999006,0.5,41
1,1.2644691725,3.1859349855,0.5,42
1,1.2359170531,3.1579211233,0.5,43
1,1.2061319592,3.1312219063,0.5,44
1,1.1793437171,3.1015168548,0.5,45
1,1.1487235952,3.0757795641,0.5,46
1,1.1152864503,3.0538260372,0.5,47
1,1.0821610453,3.0314048968,0.5,48
1,1.0491644902,3.0087945595,0.5,49
1,1.0162149176,2.9861158103,0.5,50
1,0.9839577491,2.9624625846,0.5,51
1,0.9526587425,2.937555313,0.5,52
1,0.9220348248,2.9118225387,0.5,53
1,0.8941272537,2.8831665189,0.5,54
1,0.867983426,2.8528927633,0.5,55
1,0.8403469983,2.8239751586,0.5,56
1,0.8099474212,2.7979777412,0.5,57
1,0.777551401,2.77451505,0.5,58
1,0.7431961938,2.7540279873,0.5,59
1,0.7071670851,2.7366526219,0.5,60
1,0.6697949415,2.7223934885,0.5,61
1,0.6317908263,2.7099160199,0.5,62
1,0.5928766391,2.7006593446,0.5,63
1,0.5540522609,2.6910329404,0.5,64
1,0.5148637252,2.6830167899,0.5,65
1,0.4753613377,2.6767270062,0.5,66
1,0.4355535906,2.6728099569,0.5,67
1,0.3956213703,2.6704823447,0.5,68
1,0.3556255943,2.6710636379,0.5,69
1,0.3159833575,2.676401527,0.5,70
1,0.2778614963,2.688514483,0.5,71
1,0.2405963867,2.703051044,0.5,72
1,0.2015077406,2.7115409052,0.5,73
1,0.1624659664,2.7202437708,0.5,74
1,0.1232235044,2.7279916203,0.5,75
1,0.0850299158,2.739876476,0.5,76
1,0.0459462571,2.7483892675,0.5,77
1,0.0059706774,2.7497867772,0.5,78
1,-0.033886785,2.753160601,0.5,79
1,-0.0730489842,2.7450167597,0.5,80
1,-0.1129710927,2.7425217141,0.5,81
2,2.6160194997,2.6880900373,0.5,1
2,2.5961366216,2.7227984103,0.5,2
2,2.5734757379,2.7557602724,0.5,3
2,2.5474283739,2.7861170645,0.5,4
2,2.5102515503,2.8008779515,0.5,5
2,2.4915188465,2.7655355434,0.5,6
2,2.4539841802,2.7793612016,0.5,7
2,2.4939750715,2.7802147904,0.5,8
2,2.4541027281,2.7770216364,0.5,9
2,2.4886513847,2.7971807615,0.5,10
2,2.4491157359,2.8032579709,0.5,11
2,2.4872550397,2.7912000478,0.5,12
2,2.4524462148,2.8109065369,0.5,13
2,2.4215973991,2.836369266,0.5,14
2,2.3819429156,2.8416154009,0.5,15
2,2.4164171686,2.8619015015,0.5,16
2,2.3765590445,2.8652674997,0.5,17
2,2.3856109312,2.9042298322,0.5,18
2,2.3456716165,2.9064323633,0.5,19
2,2.3376930428,2.9456285667,0.5,20
2,2.3010335662,2.9616311533,0.5,21
2,2.2760030005,2.9928316465,0.5,22
2,2.3134987332,3.0067625485,0.5,23
2,2.2739826721,3.0129658473,0.5,24
2,2.2382999575,3.0310419053,0.5,25
2,2.2441705625,3.0706087601,0.5,26
2,2.2717776265,3.099554399,0.5,27
2,2.2319694889,3.1034674765,0.5,28
2,2.1929151456,3.1121137632,0.5,29
2,2.1549687,3.1247655323,0.5,30
2,2.1183463363,3.1408528714,0.5,31
2,2.0812454775,3.1558036666,0.5,32
2,2.0427868143,3.1668005401,0.5,33
2,2.0044747545,3.1782977602,0.5,34
2,1.9655277558,3.1874153967,0.5,35
2,1.9256185551,3.1901090373,0.5,36
2,1.8856192797,3.1903498051,0.5,37
2,1.8456248032,3.1896850867,0.5,38
2,1.8056397944,3.1907801071,0.5,39
2,1.7656403729,3.1909952217,0.5,40
2,1.7261554944,3.1845964426,0.5,41
2,1.6872718956,3.1752121074,0.5,42
2,1.6756332487,3.1369427737,0.5,43
2,1.6377087959,3.1496603159,0.5,44
2,1.5980882973,3.1551572321,0.5,45
2,1.5581468161,3.1573201201,0.5,46
2,1.5181488056,3.1569211842,0.5,47
2,1.4782811897,3.1601728309,0.5,48
2,1.4383022382,3.1614703057,0.5,49
2,1.3986257538,3.1665473698,0.5,50
2,1.3588640034,3.1709066369,0.5,51
2,1.3208005603,3.1586113413,0.5,52
2,1.2818367967,3.1495656169,0.5,53
2,1.2429934786,3.1400159237,0.5,54
2,1.2044528028,3.1293100229,0.5,55
2,1.1645862712,3.1260451105,0.5,56
2,1.1259652322,3.1156328413,0.5,57
2,1.0860850633,3.1125389565,0.5,58
2,1.0461341079,3.1105587624,0.5,59
2,1.0064685745,3.1053968389,0.5,60
2,0.9670719874,3.0984752112,0.5,61
2,0.9277587951,3.0910946349,0.5,62
2,0.8884048376,3.0839346045,0.5,63
2,0.8492193502,3.0759035662,0.5,64
2,0.8100822741,3.0676398336,0.5,65
2,0.7711902574,3.058290447,0.5,66
2,0.7325137723,3.0480860604,0.5,67
2,0.6943708926,3.036039454,0.5,68
2,0.6586759952,3.0179874652,0.5,69
2,0.6255880014,2.9955111518,0.5,70
2,0.5956369085,2.9689982862,0.5,71
2,0.6349885373,2.9761711039,0.5,72
2,0.5960102329,2.9671882434,0.5,73
2,0.5597210646,2.9503627785,0.5,74
2,0.5336573576,2.920020017,0.5,75
2,0.5039853332,2.893195197,0.5,76
2,0.4770569993,2.8636170829,0.5,77
2,0.4525282336,2.8320205696,0.5,78
2,0.4252567403,2.8027585524,0.5,79
2,0.3876368247,2.7891665712,0.5,80
2,0.3526670026,2.7697472112,0.5,81
3,2.9750955034,2.6981355839,0.5,1
3,3.001063377,2.7285604017,0.5,2
3,3.0209501272,2.7632665563,0.5,3
3,3.0337011071,2.8011797798,0.5,4
3,3.0435723437,2.8399426317,0.5,5
3,3.0501056545,2.8794054731,0.5,6
3,3.053607517,2.9192518902,0.5,7
3,3.0556484385,2.9591997893,0.5,8
3,3.0544609094,2.9991821576,0.5,9
3,3.0522916319,3.0391232922,0.5,10
3,3.0491230309,3.0789975943,0.5,11
3,3.0463529404,3.1189015615,0.5,12
3,3.0423216124,3.1586978979,0.5,13
3,3.0358366905,3.1981687199,0.5,14
3,3.0300007697,3.2377407053,0.5,15
3,3.0208785016,3.2766866194,0.5,16
3,3.0128159,3.3158656247,0.5,17
3,3.0028149286,3.3545952074,0.5,18
3,2.9933301461,3.3934544263,0.5,19
3,2.9781872921,3.4304773108,0.5,20
3,2.9647308798,3.4681459313,0.5,21
3,2.9487406578,3.5048108027,0.5,22
3,2.9239357246,3.5361909762,0.5,23
3,2.8896868743,3.5568553478,0.5,24
3,2.8497501029,3.5546071719,0.5,25
3,2.8123986719,3.5402938703,0.5,26
3,2.7724031691,3.5408936638,0.5,27
3,2.7365499834,3.5586291953,0.5,28
3,2.7010287161,3.5770204859,0.5,29
3,2.661042132,3.5780563869,0.5,30
3,2.6210687449,3.5795152661,0.5,31
3,2.5810797606,3.5804539523,0.5,32
3,2.54108002,3.580309886,0.5,33
3,2.5013556639,3.5849976927,0.5,34
3,2.4623857697,3.5940169688,0.5,35
3,2.4232151044,3.602119992,0.5,36
3,2.3834433038,3.5978533923,0.5,37
3,2.3438209491,3.603336914,0.5,38
3,2.3043229043,3.5970199163,0.5,39
3,2.2648479945,3.5905599245,0.5,40
3,2.2249477067,3.5877373313,0.5,41
3,2.185156724,3.5836534975,0.5,42
3,2.145497694,3.5784418438,0.5,43
3,2.1059308241,3.5725713408,0.5,44
3,2.0666117799,3.5652220029,0.5,45
3,2.0274649813,3.5570044511,0.5,46
3,1.9876499723,3.5608469833,0.5,47
3,1.9490798864,3.550247527,0.5,48
3,1.9092220431,3.5468782046,0.5,49
3,1.8692241896,3.5464638263,0.5,50
3,1.8293170599,3.5491879776,0.5,51
3,1.7894311629,3.5461688354,0.5,52
3,1.7495518941,3.543063369,0.5,53
3,1.7097099754,3.5395106915,0.5,54
3,1.6697145027,3.540112493,0.5,55
3,1.6297295804,3.5412106676,0.5,56
3,1.6562131609,3.511233677,0.5,57
3,1.6916365075,3.4926544812,0.5,58
3,1.7146507912,3.4599383882,0.5,59
3,1.6746681465,3.4611165736,0.5,60
3,1.6972364535,3.4280912573,0.5,61
3,1.6996584908,3.388164653,0.5,62
3,1.6875919619,3.350028071,0.5,63
3,1.677975606,3.3112012028,0.5,64
3,1.653165627,3.2798250184,0.5,65
3,1.6262837762,3.2502046522,0.5,66
3,1.5960019023,3.2240702283,0.5,67
3,1.5611695013,3.2044054416,0.5,68
3,1.5222129798,3.1953285788,0.5,69
3,1.4824566693,3.1909199768,0.5,70
3,1.4424630037,3.1902081388,0.5,71
3,1.4026170479,3.1937152471,0.5,72
3,1.3635953417,3.2025076552,0.5,73
3,1.3245094585,3.2110102278,0.5,74
3,1.2851556017,3.2181708108,0.5,75
3,1.2455275614,3.2236130918,0.5,76
3,1.205716777,3.2274991503,0.5,77
3,1.1657596075,3.2293497195,0.5,78
3,1.1257714388,3.2303225307,0.5,79
3,1.0857847557,3.2313546039,0.5,80
3,1.0457863157,3.2317078657,0.5,81
4,2.7746586923,2.3649232331,0.5,1
4,2.8121643457,2.3788274037,0.5,2
4,2.8405392597,2.4070207407,0.5,3
4,2.8587559468,2.442631867,0.5,4
4,2.8786760905,2.4773188656,0.5,5
4,2.898153275,2.5122565141,0.5,6
4,2.9051192965,2.5516452758,0.5,7
4,2.9223237417,2.5877563138,0.5,8
4,2.920528908,2.6277160256,0.5,9
4,2.9290572175,2.6667963012,0.5,10
4,2.9265037914,2.7067147182,0.5,11
4,2.9389447895,2.744730788,0.5,12
4,2.9194603371,2.7796643838,0.5,13
4,2.9013429598,2.815326137,0.5,14
4,2.8725439373,2.8430861137,0.5,15
4,2.8688110727,2.8829115543,0.5,16
4,2.8435879827,2.9139566139,0.5,17
4,2.8365400511,2.9533308017,0.5,18
4,2.8063273614,2.9795451753,0.5,19
4,2.7965474919,3.0183311798,0.5,20
4,2.7682774803,3.0466297035,0.5,21
4,2.741690583,3.0765150996,0.5,22
4,2.7776840677,3.0939641414,0.5,23
4,2.7384391606,3.1016995964,0.5,24
4,2.712663914,3.071111418,0.5,25
4,2.7513397246,3.0609044756,0.5,26
4,2.728438684,3.0936999378,0.5,27
4,2.692329752,3.1109088026,0.5,28
4,2.6540665356,3.1225675448,0.5,29
4,2.6140863245,3.121309484,0.5,30
4,2.5741933597,3.1242337547,0.5,31
4,2.5379935458,3.1412506134,0.5,32
4,2.5005829665,3.155408599,0.5,33
4,2.4623736187,3.1672426912,0.5,34
4,2.4253831669,3.182464599,0.5,35
4,2.3855613017,3.1862354142,0.5,36
4,2.3460461175,3.1800265319,0.5,37
4,2.3065554212,3.1863893066,0.5,38
4,2.2718024699,3.1665844491,0.5,39
4,2.2337965625,3.179056458,0.5,40
4,2.1995926798,3.1583177404,0.5,41
4,2.1597922669,3.1543268589,0.5,42
4,2.1228575613,3.1389701821,0.5,43
4,2.0834842894,3.1319171362,0.5,44
4,2.0453143283,3.119956615,0.5,45
4,2.0053229918,3.1207890858,0.5,46
4,1.9656018312,3.1160742796,0.5,47
4,1.9256068137,3.1167056093,0.5,48
4,1.8864821385,3.1083833627,0.5,49
4,1.8467846482,3.1132934818,0.5,50
4,1.808590886,3.1014091841,0.5,51
4,1.7685975322,3.1021383238,0.5,52
4,1.7286299776,3.1037490945,0.5,53
4,1.6897863609,3.0942006161,0.5,54
4,1.6561288586,3.1158147906,0.5,55
4,1.6217493,3.0953686186,0.5,56
4,1.5842821499,3.0813610255,0.5,57
4,1.544895391,3.0743836892,0.5,58
4,1.5056756179,3.0665217936,0.5,59
4,1.4665571873,3.0748733435,0.5,60
4,1.4280192248,3.0641576798,0.5,61
4,1.3886785693,3.0569249192,0.5,62
4,1.3489995819,3.0518674533,0.5,63
4,1.3103144048,3.0416960684,0.5,64
4,1.2722331526,3.0294560428,0.5,65
4,1.2343270579,3.0166838859,0.5,66
4,1.1978427281,3.0002859081,0.5,67
4,1.162954301,2.9807206928,0.5,68
4,1.1289330574,2.9596837019,0.5,69
4,1.0973490161,2.9351388789,0.5,70
4,1.0673116984,2.9087237403,0.5,71
4,1.0573947045,2.8699725696,0.5,72
4,1.0384583728,2.8347388451,0.5,73
4,1.0165205216,2.8012914135,0.5,74
4,0.9972366988,2.7662466681,0.5,75
4,0.9782282601,2.7310517926,0.5,76
4,0.9597814601,2.6955593206,0.5,77
4,0.9467112253,2.6577549695,0.5,78
4,0.908290768,2.6466253487,0.5,79
4,0.8858597817,2.6797440874,0.5,80
4,0.8458814871,2.6810616474,0.5,81
5,3.0456251418,1.9407219323,0.5,1
5,3.049227394,1.9805593993,0.5,2
5,3.0555101715,2.0200629017,0.5,3
5,3.0634998194,2.0592568493,0.5,4
5,3.072979608,2.0981172869,0.5,5
5,3.0839489827,2.1365838024,0.5,6
5,3.095428584,2.1749011452,0.5,7
5,3.1081733042,2.2128164733,0.5,8
5,3.1162599725,2.2519905182,0.5,9
5,3.1184489055,2.2919305805,0.5,10
5,3.1237240281,2.3315812183,0.5,11
5,3.1135470518,2.3702649249,0.5,12
5,3.0913728842,2.4035561593,0.5,13
5,3.1048321548,2.4412237586,0.5,14
5,3.1159380941,2.479651068,0.5,15
5,3.0873133015,2.5075906681,0.5,16
5,3.0680659127,2.5426554371,0.5,17
5,3.0912514059,2.5752504199,0.5,18
5,3.0645057004,2.604993776,0.5,19
5,3.0439469325,2.6393061217,0.5,20
5,3.0294709352,2.6765947996,0.5,21
5,3.0600169004,2.7024200588,0.5,22
5,3.0200373781,2.7036998254,0.5,23
