"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.133764994",-1.794557964,-0.188332689,-1.588407123,-0.55124971,-2.039323448,-0.572419148,-1.807069255,0.156,-1.85,0.241684334,-1.761829709,-0.030168006,-1.634958493,-0.004115532,-1.933825133,-0.275967872,-1.806953917,TRUE,"f1","1stO",70,"null","125","1","322"
"0.275640016",-1.645043606,0.103700786,-1.481864488,-0.208850343,-1.808466294,-0.158857497,-1.57938594,0.562,-1.85,0.777158374,-1.666626878,0.524040421,-1.505594888,0.511141603,-1.80531746,0.25802365,-1.64428547,TRUE,"f3","2ndO",216,"null","97","2","293"
"0.551954579",-2.032476833,0.465987243,-1.826973629,0.078812538,-2.121732406,0.219992734,-1.918018968,0.814,-1.85,1.073533497,-2.141345462,0.849855844,-1.941424708,0.78855822,-2.235095615,0.564880567,-2.035174861,FALSE,"null","null",275,"null","78","3","275"
"-0.124710214",-1.861221289,-0.066491596,-1.618343234,-0.598846281,-2.064383141,-0.388757783,-1.947661906,0.17,-1.85,0.391461018,-1.576180879,0.091515465,-1.570465548,0.23653862,-1.833083682,-0.063406933,-1.827368352,TRUE,"L","1stO",63,"null","123","4","321"
"0.057450413",-1.649391799,-0.061524115,-1.461590858,-0.418080133,-1.588679482,-0.421446917,-1.762740426,0.352,-1.85,0.576529143,-1.690447428,0.329357427,-1.520429362,0.305703321,-1.81949538,0.058531605,-1.649477314,FALSE,"null","null",308,"null","111","5","308"
"0.328831953",-1.799951691,0.204971716,-1.626512537,-0.171937563,-2.02405022,-0.097286877,-1.803785654,0.618,-1.85,0.857082774,-1.642125449,0.565208029,-1.572777536,0.651088347,-1.860222436,0.359213602,-1.790874523,TRUE,"L","2ndO",196,"null","92","7","289"
"0.524881009",-1.636346434,0.398800948,-1.461044136,-0.003522407,-1.858471969,0.146851501,-1.645405047,0.772,-1.85,1.027587325,-1.537872058,0.743790151,-1.440613823,0.801460636,-1.735018503,0.517663463,-1.637760268,FALSE,"null","null",278,"null","80","8","278"
"0.302011402",-1.754818525,0.252464155,-1.549019992,-0.101388356,-1.947631981,-0.16248725,-1.732027871,0.604,-1.85,0.8565233,-1.681243227,0.579243105,-1.56671946,0.61870271,-1.864113037,0.341422515,-1.749589269,TRUE,"L","2ndO",198,"null","95","9","290"
"0.337633392",-1.964840287,0.172984142,-1.776248885,-0.165538573,-2.059107437,-0.125892861,-1.83162381,0.59,-1.85,0.813075489,-2.062049121,0.588581172,-1.863045851,0.528486443,-2.156965268,0.303992126,-1.957961997,TRUE,"L","2ndO",199,"null","93","10","291"
"0.009082841",-1.657023817,-0.102879032,-1.470001882,-0.537864473,-1.835264148,-0.33930272,-1.649215975,0.31,-1.85,0.560888413,-1.600409289,0.287128085,-1.47770932,0.317746959,-1.776142703,0.04398663,-1.653442734,TRUE,"f1","f3",155,"null","112","14","311"
