"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.19881268",-1.801749488,-0.250732876,-1.541018085,-0.668277088,-2.065789029,-0.635128476,-1.77460028,0.17,-1.85,0.241684334,-1.761829709,-0.030601123,-1.635890717,-0.003524761,-1.934666336,-0.275810219,-1.808727344,TRUE,"f1","1stO",70,"null","125","1","321"
"0.167752489",-1.643275052,-0.021233274,-1.444348414,-0.300676948,-1.845970935,-0.404061449,-1.569374923,0.548,-1.85,0.626323814,-1.660679387,0.372392024,-1.50093382,0.3610142,-1.800717984,0.10708241,-1.640972417,TRUE,"L","2ndO",205,"null","97","2","294"
"0.434757076",-2.009246427,0.387769753,-1.748283243,-0.048176341,-2.134438125,-0.062480545,-1.846352401,0.814,-1.85,0.920593612,-2.110598242,0.696893743,-1.910702348,0.635628754,-2.204380064,0.411928886,-2.004484169,TRUE,"L","2ndO",184,"null","78","3","275"
"-0.190892103",-1.886043715,-0.189874898,-1.607854394,-0.625660113,-2.06938661,-0.574918442,-1.975739828,0.184,-1.85,0.351555658,-1.609520978,0.051963775,-1.593877974,0.188212477,-1.861153657,-0.111379406,-1.845510653,TRUE,"L","1stO",63,"null","123","4","320"
"-0.039790898",-1.644039894,-0.181368159,-1.414891895,-0.486528832,-1.767645309,-0.568048793,-1.602009545,0.366,-1.85,0.472888965,-1.681803727,0.224802413,-1.513123371,0.202764216,-1.812312806,-0.045322337,-1.64363245,TRUE,"f1","2ndO",226,"null","111","5","307"
"0.21234178",-1.828526781,0.194869359,-1.55819515,-0.229427867,-2.067432914,-0.227603289,-1.78480631,0.604,-1.85,0.759755973,-1.67877915,0.469576675,-1.602647847,0.548734682,-1.892016142,0.258555385,-1.81588484,TRUE,"L","2ndO",197,"null","92","7","290"
"0.397134126",-1.66211963,0.363018632,-1.394725547,-0.008529242,-1.922788828,-0.074177653,-1.639079792,0.758,-1.85,0.875361027,-1.571977103,0.592264691,-1.472697373,0.64783409,-1.767505856,0.364737755,-1.668226126,TRUE,"f1","f3",119,"null","80","8","279"
"0.200813623",-1.770185474,0.170291239,-1.505787007,-0.181810148,-1.982112056,-0.244839801,-1.702874332,0.604,-1.85,0.755010814,-1.703853296,0.479218063,-1.585792471,0.514870765,-1.883666412,0.239078014,-1.765605587,TRUE,"L","f1",184,"null","95","9","290"
"0.211163068",-1.94103331,0.054896151,-1.703944453,-0.303840704,-2.057363261,-0.307032001,-1.772690021,0.604,-1.85,0.660129578,-2.031331892,0.434999058,-1.833048638,0.375845982,-2.127159014,0.150715462,-1.92887576,TRUE,"L","2ndO",200,"null","93","10","290"
"0.014638736",-1.564436636,-0.070334757,-1.309364178,-0.359576087,-1.804078344,-0.489976674,-1.527820978,0.408,-1.85,0.555528919,-1.528844885,0.286432925,-1.396227593,0.306130978,-1.695580206,0.037034985,-1.562962914,TRUE,"f1","1stO",60,"null","110","13","304"
"-0.072649166",-1.667107408,-0.253879815,-1.475671798,-0.540051052,-1.914407263,-0.613452281,-1.633079753,0.324,-1.85,0.405868298,-1.617866773,0.132071096,-1.495249107,0.162779683,-1.793673273,-0.111017519,-1.671055607,TRUE,"f2","f3",128,"null","112","14","310"
"0.328741642",-1.65239028,0.345417388,-1.386394432,-0.08603436,-1.892907126,-0.147670482,-1.612557687,0.716,-1.85,0.879757016,-1.578731615,0.602365183,-1.464478514,0.642115012,-1.761833439,0.364723179,-1.647580338,TRUE,"f1","1stO",63,"null","86","16","282"
"0.341327498",-1.845074569,0.279408356,-1.584304177,-0.096798984,-2.074872032,-0.108938925,-1.789697806,0.702,-1.85,0.860659757,-1.783185495,0.58492758,-1.664983266,0.620427535,-1.96287545,0.344695359,-1.84467322,TRUE,"f2","1stO",59,"null","83","17","283"
"0.485062643",-1.898399594,0.580671015,-1.632745293,0.048394483,-2.082524778,0.05674271,-1.79586659,0.884,-1.85,1.050429633,-1.912647919,0.794483565,-1.756149963,0.786925393,-2.056054738,0.530979325,-1.899556782,TRUE,"f1","1stO",58,"null","76","19","270"
"0.409747102",-2.000071639,0.365436053,-1.737481524,-0.044033873,-2.162381183,-0.065513618,-1.881726896,0.786,-1.85,0.945477794,-1.946244364,0.671976049,-1.822969083,0.701967396,-2.121466184,0.42846565,-1.998190902,TRUE,"f2","f3",97,"null","80","20","277"
"0.296076311",-1.659952997,0.308891341,-1.388687782,-0.029282798,-1.925063169,-0.103214984,-1.638175527,0.688,-1.85,0.8776041,-1.565497006,0.597108402,-1.45909135,0.645206251,-1.755210578,0.364710553,-1.648804922,TRUE,"f2","f3",160,"null","92","21","284"
"0.099036626",-1.759158428,0.133553393,-1.4848797,-0.299134119,-2.00256986,-0.289452658,-1.718798476,0.45,-1.85,0.710035904,-1.648699711,0.42768759,-1.547312188,0.481057577,-1.842526761,0.198709263,-1.741139239,TRUE,"f2","f3",118,"null","103","22","301"
"-0.003555901",-1.708858419,-0.225974818,-1.543158309,-0.520149651,-1.974661371,-0.513362041,-1.682498085,0.38,-1.85,0.40401598,-1.659804047,0.128145657,-1.541924596,0.163994219,-1.83977503,-0.111876103,-1.721895579,TRUE,"L","1stO",56,"null","108","23","306"
"0.14982519",-1.695393339,-0.154712972,-1.539318538,-0.313112758,-1.914833436,-0.442472657,-1.640433544,0.534,-1.85,0.586222451,-1.655463418,0.313827854,-1.52976066,0.341163371,-1.82851268,0.068768774,-1.702809922,TRUE,"L","2ndO",202,"null","97","24","295"
"-0.013166097",-1.641652564,-0.141535294,-1.404731687,-0.464996851,-1.862990765,-0.5052603,-1.630337949,0.366,-1.85,0.488694487,-1.551618706,0.206482297,-1.449852897,0.259456616,-1.745138727,-0.022755574,-1.643372917,TRUE,"f3","1stO",60,"null","109","25","307"
"0.098769598",-1.993922101,0.002563949,-1.734685007,-0.422942316,-2.08419156,-0.414702468,-1.808918769,0.492,-1.85,0.570286511,-2.10531996,0.35192823,-1.89960253,0.28295085,-2.191565064,0.064592569,-1.985847634,TRUE,"f2","f3",121,"null","101","26","298"
"0.375444028",-1.94004969,0.316981755,-1.679775489,-0.072333577,-2.118994395,-0.081281808,-1.829214743,0.744,-1.85,0.904219456,-1.974731722,0.654786187,-1.808049257,0.635151572,-2.107406038,0.385718303,-1.940723573,TRUE,"L","f1",166,"null","82","27","280"
"0.428494902",-1.598577418,0.339318319,-1.340680649,-0.003437006,-1.843603192,-0.081197884,-1.556354003,0.786,-1.85,0.929560109,-1.558107013,0.658519817,-1.429510121,0.682671788,-1.728536345,0.411631497,-1.599939454,TRUE,"L","1stO",54,"null","79","28","277"
