"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.047641235",-1.78350692,-0.109965417,-1.630882915,-0.438174084,-1.98187058,-0.560764679,-1.852856896,0.142,-1.85,0.293596235,-1.758804071,0.023636271,-1.627954471,0.045297176,-1.927171458,-0.224662788,-1.796321858,TRUE,"f1","1stO",70,"null","165","1","323"
"-0.016160871",-1.798707944,0.077940364,-1.578334682,-0.385344095,-2.028448588,-0.356952974,-1.916885411,0.128,-1.85,0.511177099,-1.476160581,0.211273445,-1.483763088,0.367809236,-1.739686018,0.067905582,-1.747288524,TRUE,"L","1stO",63,"null","163","4","324"
"0.452878428",-1.755115421,0.463023547,-1.587285741,0.028165773,-1.951518156,0.017978757,-1.812080081,0.632,-1.85,1.003072976,-1.587144898,0.710788998,-1.51954256,0.798385645,-1.806469079,0.506101667,-1.738866741,TRUE,"f2","2ndO",200,"null","132","7","288"
"0.443603262",-1.718728436,0.647174764,-1.543620015,0.048437115,-1.861061447,0.094570299,-1.713986691,0.632,-1.85,1.026952497,-1.643283208,0.750051399,-1.527845857,0.78853027,-1.825367918,0.511629172,-1.709930567,TRUE,"L","2ndO",195,"null","135","9","288"
"0.435033873",-1.978594975,0.521017438,-1.834117682,-0.004231324,-2.033629626,0.026753734,-1.879530709,0.604,-1.85,0.88352505,-2.060931142,0.65507305,-1.866484019,0.600902902,-2.161552816,0.372450902,-1.967105693,TRUE,"L","2ndO",199,"null","133","10","290"
"0.56843788",-1.805514662,0.637945889,-1.63549444,0.137390992,-1.98134435,0.13845845,-1.833360959,0.744,-1.85,1.075086242,-1.700879393,0.790309734,-1.606527178,0.850986572,-1.900326976,0.566210064,-1.80597476,TRUE,"f2","1stO",59,"null","123","17","280"
"0.768688761",-1.893145201,1.025208936,-1.737077517,0.356743445,-1.988117394,0.565958964,-1.881329731,0.912,-1.85,1.411690774,-1.900486365,1.153612525,-1.747530106,1.150187643,-2.047510556,0.892109394,-1.894554297,TRUE,"f1","1stO",58,"null","116","19","268"
"0.654830975",-1.936655053,0.862916695,-1.749006905,0.203127279,-2.037843632,0.340432161,-1.927619061,0.828,-1.85,1.288813125,-1.825344195,1.006980342,-1.722532315,1.058859034,-2.018012604,0.777026251,-1.915200725,TRUE,"f2","f3",144,"null","120","20","274"
"0.270192973",-1.723046849,0.448906043,-1.53511227,-0.146777446,-1.899473018,-0.060243384,-1.751910311,0.436,-1.85,0.913842588,-1.607144502,0.631564367,-1.505561995,0.684730446,-1.800813359,0.402452224,-1.699230851,TRUE,"f1","f3",151,"null","143","22","302"
"0.169137824",-1.682252621,-0.073558331,-1.558716546,-0.28659485,-1.882921311,-0.405332155,-1.745421931,0.31,-1.85,0.606948443,-1.614170556,0.32717747,-1.50587373,0.373275154,-1.802310913,0.09350418,-1.694014087,TRUE,"L","1stO",56,"null","148","23","311"
"0.573928909",-1.95060615,0.59001726,-1.793291551,0.120422276,-2.06782759,0.119845542,-1.910245917,0.758,-1.85,1.111897081,-1.986307734,0.862592406,-1.819432993,0.842726979,-2.118774545,0.593422304,-1.951899804,TRUE,"L","2ndO",180,"null","122","27","279"
"0.039862241",-1.781846062,0.038128971,-1.620518612,-0.347375145,-1.973708721,-0.360705295,-1.822911892,0.184,-1.85,0.607066984,-1.694595207,0.327474045,-1.585839572,0.373085372,-1.882351977,0.093492432,-1.773596342,TRUE,"f1","2ndO",223,"null","159","34","320"
"0.168640516",-1.794833491,0.193835761,-1.640371145,-0.274469735,-1.882983203,-0.196223931,-1.730515974,0.352,-1.85,0.75993556,-1.880498992,0.524319501,-1.694797423,0.481305254,-1.9916977,0.245689195,-1.805996131,TRUE,"f2","f3",173,"null","148","35","308"
