"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.160593171",-1.797832434,-0.203464378,-1.552752053,-0.672690398,-2.00908367,-0.482425121,-1.773275985,0.114,-1.85,0.241684334,-1.761829709,-0.030460141,-1.635586354,-0.003717856,-1.93439206,-0.275862331,-1.808148705,TRUE,"f1","1stO",70,"null","265","1","325"
"0.214308296",-1.641829702,-0.060483402,-1.489678328,-0.335293032,-1.825043368,-0.529006269,-1.628215462,0.478,-1.85,0.626323814,-1.660679387,0.373642983,-1.498962357,0.359932342,-1.79864889,0.107251512,-1.63693186,FALSE,"null","null",299,"null","237","2","299"
"0.475593958",-2.01653929,0.205510385,-2.019394263,-0.135802887,-2.054756122,0.097685457,-1.823163772,0.758,-1.85,0.920593612,-2.110598242,0.69742209,-1.910112652,0.635382236,-2.203627654,0.412210715,-2.003142063,FALSE,"null","null",279,"null","218","3","279"
"-0.166000682",-1.882587491,-0.202108454,-1.630057034,-0.676830281,-2.044842966,-0.424574607,-2.027470824,0.142,-1.85,0.351555658,-1.609520978,0.051773488,-1.598090741,0.191765697,-1.863424835,-0.108016473,-1.851994598,TRUE,"L","1stO",63,"null","263","4","323"
"0.005617548",-1.642516531,-0.275628802,-1.496684018,-0.669451796,-1.637530686,-0.567419236,-1.849632263,0.282,-1.85,0.421068877,-1.677481877,0.174756416,-1.50622134,0.14959667,-1.805164457,-0.096715791,-1.63390392,FALSE,"null","null",313,"null","251","5","313"
"0.307917319",-1.815588739,0.102721425,-1.68552195,-0.279464739,-2.068737225,-0.21759538,-1.811205274,0.562,-1.85,0.759755973,-1.67877915,0.467628015,-1.610505758,0.554565502,-1.897632686,0.262437544,-1.829359294,FALSE,"null","null",293,"null","232","7","293"
"0.456837864",-1.654154173,0.245390663,-1.525678599,-0.005991277,-1.836420822,-0.206289157,-1.738766581,0.744,-1.85,0.824618927,-1.583345451,0.541138049,-1.485169121,0.597855292,-1.779758928,0.314374414,-1.681582597,FALSE,"null","null",280,"null","220","8","280"
"0.259152998",-1.770812787,0.031492766,-1.629881856,-0.215579246,-1.993885359,-0.245106823,-1.738979126,0.52,-1.85,0.755010814,-1.703853296,0.477466642,-1.589970759,0.517613557,-1.887272331,0.240069385,-1.773389794,FALSE,"null","null",296,"null","235","9","296"
"0.285284681",-1.953761999,-0.011022021,-2.046822415,-0.070095114,-1.841801511,-0.316887689,-1.846320968,0.548,-1.85,0.762093519,-2.051810045,0.537823545,-1.852553981,0.477397719,-2.146405507,0.253127745,-1.947149444,TRUE,"f2","2ndO",210,"null","233","10","294"
"0.12270999",-1.554727857,-0.24448903,-1.391964774,-0.034279712,-1.748485336,-0.414861029,-1.605958901,0.31,-1.85,0.658574809,-1.51478983,0.38833719,-1.384514623,0.410634361,-1.68368487,0.140396743,-1.553409663,TRUE,"f1","1stO",60,"null","250","13","311"
"0.027522773",-1.655680347,-0.196944202,-1.525236014,-0.517922417,-1.897013066,-0.473679294,-1.635142901,0.296,-1.85,0.509215042,-1.60622845,0.235446924,-1.48354586,0.266084743,-1.7819773,-0.007683374,-1.65929471,FALSE,"null","null",312,"null","252","14","312"
"0.39417782",-1.639003429,0.6587816,-1.438942447,0.000391201,-1.881240483,-0.082159745,-1.636050719,0.646,-1.85,1.033892953,-1.554687632,0.756712214,-1.43992336,0.795913809,-1.737351057,0.51873307,-1.622586786,TRUE,"f1","1stO",63,"null","226","16","287"
"0.400270568",-1.841505177,0.034134832,-1.980056284,0.061011293,-1.759678678,-0.176414866,-1.880030348,0.702,-1.85,0.847272478,-1.78518909,0.570752816,-1.668841007,0.608252252,-1.966488101,0.33173259,-1.850140018,TRUE,"f2","1stO",59,"null","223","17","283"
"0.528072664",-1.89898993,0.714559931,-1.615731915,-0.022649149,-2.079567366,-0.041609837,-1.822742063,0.786,-1.85,1.10242701,-1.913170173,0.84640076,-1.756803428,0.838996311,-2.056712038,0.582970061,-1.900345293,TRUE,"f1","1stO",58,"null","216","19","277"
"0.459345982",-2.018771842,0.142896272,-1.806218201,-0.083157011,-1.921565617,-0.112189881,-2.149349946,0.73,-1.85,0.89642989,-1.963515817,0.619860608,-1.847285733,0.657487044,-2.144916799,0.380917762,-2.028686715,TRUE,"f3","2ndO",193,"null","220","20","281"
"0.294136103",-1.660635678,0.226674202,-1.425331669,-0.094008063,-1.911375855,-0.063027886,-1.650357539,0.576,-1.85,0.8776041,-1.565497006,0.597043158,-1.459263501,0.645322715,-1.755353157,0.364761773,-1.649119652,FALSE,"null","null",292,"null","232","21","292"
"0.128510845",-1.759096262,-0.069635464,-1.575076725,-0.474288677,-1.937018777,-0.226892887,-1.802408216,0.422,-1.85,0.608132562,-1.669477315,0.325193843,-1.569749277,0.380296188,-1.864645414,0.09735747,-1.764917376,FALSE,"null","null",303,"null","243","22","303"
"0.048305504",-1.701024059,-0.200425263,-1.573911271,-0.435570666,-1.955294537,-0.532469784,-1.713438869,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.060564133,-1.715121053,TRUE,"L","1stO",56,"null","248","23","308"
"0.207231399",-1.694077641,-0.254067284,-1.70953818,-0.423833538,-1.867446887,-0.255279127,-1.483201921,0.506,-1.85,0.586222451,-1.655463418,0.312548624,-1.532570635,0.342957266,-1.831025514,0.069283438,-1.708132731,FALSE,"null","null",297,"null","237","24","297"
"0.041109857",-1.632836315,-0.153924101,-1.48627162,-0.544236124,-1.885181381,-0.49073049,-1.630247091,0.338,-1.85,0.488694487,-1.551618706,0.206280085,-1.450415418,0.259842667,-1.745595109,-0.022571735,-1.644391821,TRUE,"f3","1stO",60,"null","249","25","309"
"0.166815285",-2.006941018,-0.085685735,-1.798762421,-0.462520463,-2.073533246,-0.597412113,-1.832400943,0.436,-1.85,0.519690775,-2.093316982,0.302997052,-1.885846911,0.231669562,-2.177244216,0.014975838,-1.969774145,FALSE,"null","null",302,"null","241","26","302"
"0.444368472",-1.943271468,0.224377913,-1.776458022,-0.129146368,-2.101877367,-0.067057615,-1.848974263,0.716,-1.85,0.904219456,-1.974731722,0.655255892,-1.807348498,0.634779549,-2.106648881,0.385815985,-1.939265657,FALSE,"null","null",282,"null","222","27","282"
