"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
-0.590558561613568,-1.87460310290035,-1.6785231415881,-1.99620737673721,-1.44183675797454,-1.73513957131591,-1.04565646763737,-1.99969069599622,-0.194,-1.85,-0.495378116,-1.850749663,-0.779537899,-1.754556015,-0.720764151,-2.048742429,-1.004923933,-1.952548781,TRUE,"f1","1stO",70,"null","145","1","347"
-0.454516132195046,-1.6847340502381,-1.40992814799618,-1.75346304888597,-0.527368639774379,-1.39717369035386,-0.743509596654636,-1.72803481403178,-0.04,-1.85,-0.049151286,-1.634045026,-0.314383323,-1.493859555,-0.303171484,-1.793649973,-0.568403522,-1.653464501,FALSE,"null","null",336,"null","117","2","336"
-0.584535464937862,-2.06581830859197,-1.41098232040645,-2.03545994840994,-1.45291785263929,-1.81238760096764,-0.880346653224697,-2.17940915662816,-0.152,-1.85,-0.350357243,-2.009331262,-0.639664751,-1.92995138,-0.563755992,-2.220188973,-0.8530635,-2.14080909,TRUE,"L","1stO",63,"null","143","4","344"
-0.337750652980287,-1.68322549470784,-1.06246904243648,-1.66459089923542,-1.51067339061876,-1.74299601597994,-1.04951374408523,-1.87152760396893,0.072,-1.85,-0.20077219,-1.625619673,-0.444064605,-1.450095314,-0.474426951,-1.748554906,-0.717719367,-1.573030547,FALSE,"null","null",328,"null","131","5","328"
-0.267689714888315,-1.98515738026591,-0.21350231616116,-1.61016885618354,-1.53479363605298,-1.87850298443393,-0.735376780915446,-1.90382488523414,0.17,-1.85,0.175795165,-1.898701353,-0.102612782,-1.786947092,-0.060190837,-2.083932578,-0.338598784,-1.972178317,FALSE,"null","null",321,"null","112","7","321"
-0.293691062955938,-1.78849391709859,-1.75744609730666,-2.00734974322998,-1.3728372890234,-1.7463533256664,-0.71213421680213,-1.85047466854322,0.198,-1.85,-0.13720514,-1.781237467,-0.420072996,-1.681308612,-0.365179994,-1.976243789,-0.64804785,-1.876314935,FALSE,"null","null",319,"null","100","8","319"
-0.271253918819586,-1.83183360871917,-0.889962410533998,-1.72681285607557,-0.579931923157928,-1.51604200279158,-0.760590020428535,-2.06026848438842,0.198,-1.85,0.145935899,-1.83951371,-0.108723319,-1.680930348,-0.11873093,-1.980763381,-0.373390148,-1.822180019,FALSE,"null","null",319,"null","115","9","319"
-0.152566394737829,-1.80832662436863,-0.936776585892748,-1.70998017763013,-1.36300398522712,-1.86724618241029,-0.556450332870662,-1.77967751928324,0.268,-1.85,0.048345931,-1.908462977,-0.171760595,-1.704617161,-0.238242988,-1.997157912,-0.458349514,-1.793312095,FALSE,"null","null",314,"null","113","10","314"
-0.290526001277395,-1.59185823596776,-0.994941707953196,-1.54751910313407,-1.31215029565185,-1.7748807708317,-0.653032336480125,-1.73813018340095,0.156,-1.85,-0.084073484,-1.56568465,-0.340538948,-1.410039331,-0.347099017,-1.709967598,-0.603564481,-1.554322278,TRUE,"f1","1stO",60,"null","130","13","322"
-0.162061735737692,-1.72639662964863,-0.616159632190924,-1.56899448117524,-0.483010400051538,-2.04424792073138,-0.965088596840407,-1.73600401983505,0.24,-1.85,0.147501439,-1.646962581,-0.126236126,-1.524211834,-0.095672609,-1.822650892,-0.369410173,-1.699900144,FALSE,"null","null",316,"null","132","14","316"
-0.459403694097395,-1.9676390422615,-1.16781434380059,-1.85241645821779,-0.576225137891687,-2.13424386483433,-1.92957900233512,-1.71227484303752,-0.04,-1.85,-0.272954619,-1.943209102,-0.546902692,-1.820928877,-0.515826437,-2.11931498,-0.78977451,-1.997034754,TRUE,"f2","1stO",59,"null","103","17","336"
0.03501862696789,-1.91075419042415,-0.321740437778938,-1.72002051843757,-1.27810987528098,-1.84454146865421,-0.683077013559642,-1.87753123525114,0.464,-1.85,0.218471595,-1.904291844,-0.036972872,-1.746976479,-0.045489741,-2.04685556,-0.300934208,-1.889540195,TRUE,"f1","1stO",58,"null","96","19","300"
0.049573771922386,-1.99915745033461,-0.306672384169295,-1.77892628934464,-0.762481470540081,-1.84864190906762,-0.771807830677774,-2.10069683029378,0.478,-1.85,0.352384907,-2.074526297,0.129704471,-1.873495396,0.066946822,-2.166857761,-0.155733615,-1.96582686,FALSE,"null","null",299,"null","100","20","299"
-0.198895990059591,-1.71480845023546,-0.493260698220847,-1.57247372082038,-1.14436084543723,-1.88132438401993,-0.740266243823267,-1.9969613835086,0.268,-1.85,0.15991012,-1.687559903,-0.119658324,-1.578741314,-0.074113764,-1.875263983,-0.353682208,-1.766445395,FALSE,"null","null",314,"null","112","21","314"
-0.204343314735084,-1.84012123955575,-0.432606208448562,-1.60524533297697,-1.50421664961875,-1.84997434431481,-1.04112814209356,-1.89442046342483,0.198,-1.85,0.047664179,-1.783754137,-0.234882445,-1.682920584,-0.180933551,-1.978029915,-0.463480175,-1.877196362,FALSE,"null","null",319,"null","123","22","319"
-0.381531958274117,-1.75308365841918,-0.885550061826056,-1.6380113402169,-1.52388997729422,-1.77475079222368,-0.946383557093352,-2.0012983771968,0.142,-1.85,0.000583161,-1.714472216,-0.2715927,-1.588296542,-0.244776108,-1.887095589,-0.516951969,-1.760919916,TRUE,"L","1stO",56,"null","128","23","323"
-0.165139533760561,-1.71684986434673,-0.841628529788266,-1.6000059527486,-1.34474537853676,-1.80881774576866,-0.680476649304371,-1.80987840737985,0.254,-1.85,0.032744133,-1.725281036,-0.212402844,-1.552356314,-0.239586558,-1.851122185,-0.484733535,-1.678197462,FALSE,"null","null",315,"null","117","24","315"
-0.116858566252362,-1.69047877966273,-0.831919530373624,-1.57723233117917,-1.26394274204905,-1.98755559336291,-1.00838234124308,-1.78755795252972,0.282,-1.85,0.182597569,-1.612022987,-0.100726451,-1.513394901,-0.044478869,-1.808074743,-0.32780289,-1.709446656,TRUE,"f3","1stO",60,"null","129","25","313"
-0.142783563699314,-1.91154541444205,-0.893985833123358,-1.7653695178011,-0.322808527697339,-1.97975895861734,-1.73484764135896,-1.72438687908825,0.296,-1.85,-0.036862324,-1.96128423,-0.247096785,-1.747271446,-0.327320062,-2.036346222,-0.537554523,-1.822333438,FALSE,"null","null",312,"null","121","26","312"
