"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.445108978,-1.844939407,-0.409049051342894,-1.22948498490236,-0.439664152322431,-2.03045305067092,-1.03227028037052,-1.80716062870334,0.002,-1.85,-0.086162861,-1.775924033,-0.36961937,-1.677677367,-0.312975224,-1.972281238,-0.596431734,-1.874034572,TRUE,"f1","1stO",70,"null",225,1,333,2,-0.445108978,-1.844939407,0
-0.314311101,-1.687891356,-0.520731647649889,-1.81971952002375,-0.173213117621698,-2.18107375850442,-0.527883118691143,-1.79815313445904,0.142,-1.85,0.574364191,-1.65863059,0.309761023,-1.517261698,0.319633555,-1.817099209,0.0550303880000003,-1.675730317,FALSE,"null","null",323,"null",197,2,323,2,-0.314311101,-1.687891356,0.157039717194111
-0.055831242,-1.946433797,-0.529328168009697,-1.57148051361214,-1.04009448990322,-1.99826156689952,-0.489607315765076,-1.8172430624527,0.351999999999999,-1.85,0.818633688,-2.090100096,0.586580511,-1.899965084,0.537945349,-2.195996537,0.305892171,-2.005861525,FALSE,"null","null",308,"null",178,3,308,2,-0.055831242,-1.946433797,0.352789964763587
-0.390454535,-1.989407707,-1.15776246540627,-2.03091650239198,-0.30021283443338,-2.13506743448151,-0.846128758129498,-2.3840993255605,0.0579999999999999,-1.85,-0.0161988779999999,-1.864990738,-0.310059646,-1.804609869,-0.215420628,-2.089291193,-0.509281396,-2.028910324,TRUE,"L","1stO",63,"null",223,4,329,2,-0.390454535,-1.989407707,-0.130990839787862
-0.217873778,-1.623130506,-0.833871173037811,-1.15386105361055,-0.286211506581447,-1.57313819899167,-0.388754822389198,-1.5139913532193,0.226,-1.85,0.00650816599999979,-1.642907074,-0.239126524,-1.470675837,-0.265465806,-1.769517337,-0.511100496,-1.5972861,FALSE,"null","null",317,"null",211,5,317,2,-0.217873778,-1.623130506,0.277864895664505
0.002370384,-1.922251235,-0.651107307679332,-1.89147357161869,-0.245886181187379,-2.24478115053987,0.208108761813478,-1.82674437197723,0.45,-1.85,0.370448768,-1.825393952,0.081022531,-1.746448062,0.157366504,-2.036571481,-0.132059733,-1.957625591,FALSE,"null","null",301,"null",192,7,301,2,0.002370384,-1.922251235,-0.0673557683514039
-0.000209397,-1.695659435,-0.881626877540284,-1.97660081838639,-0.394195465969288,-1.8376260642175,-0.953681687237554,-1.90106843421097,0.45,-1.85,0.976845226,-1.549240406,0.697676254,-1.439401044,0.742137062,-1.736088146,0.462968091,-1.626248784,FALSE,"null","null",301,"null",180,8,301,2,-0.000209397,-1.695659435,0.0412034535613869
0.099105155,-1.811853553,-0.543157422874909,-1.88357488622881,-0.246199944623942,-2.41186256165974,-0.182945897618286,-1.95280817818387,0.52,-1.85,0.399717114,-1.782988538,0.126761802,-1.658508025,0.155436172,-1.957134515,-0.11751914,-1.832654002,FALSE,"null","null",296,"null",195,9,296,2,0.099105155,-1.811853553,0.0942267349220183
0.041337019,-1.905770843,-0.432138713221113,-1.47908220310494,-0.3962240000372,-1.90550780331642,-0.678476966865659,-1.94479424990226,0.491999999999999,-1.85,0.456201696,-1.990375587,0.23160682,-1.791485814,0.171660661,-2.085435568,-0.052934214,-1.886545794,FALSE,"null","null",298,"null",193,10,298,2,0.041337019,-1.905770843,0.391128851817518
-0.113044681,-1.569214732,-0.780596842781666,-1.39673380375321,-0.620265432798882,-1.74292052160081,-0.539025519670505,-1.74358114363657,0.296,-1.85,0.227923419,-1.5642944,-0.034021501,-1.418058773,-0.0296928099999997,-1.718027542,-0.29163773,-1.571791914,TRUE,"f1","1stO",60,"null",210,13,312,2,-0.113044681,-1.569214732,0.175524625343391
-0.1320319,-1.67451812,-0.680191746209489,-1.67648912282092,-0.0461845054702529,-1.85796981119204,-0.472994231859479,-1.67862241712721,0.282,-1.85,0.147501439,-1.646962581,-0.125768195,-1.523173619,-0.0963377639999999,-1.821726545,-0.369607398,-1.697937583,FALSE,"null","null",313,"null",212,14,313,2,-0.1320319,-1.67451812,0.0916946230229546
0.184764776,-1.68291433,-0.590515960297336,-1.00504640620054,-0.192355731299979,-1.8356397944531,-0.136527966605353,-2.09950531107687,0.632,-1.85,0.520106498,-1.634834241,0.241640045,-1.523225842,0.284217563,-1.820189064,0.00575110999999962,-1.708580665,TRUE,"f1","1stO",63,"null",186,16,288,2,0.184764776,-1.68291433,0.0475482099057208
-0.000903303,-1.839796729,-0.0424806501952256,-1.26120733742297,-0.332620299010429,-2.10787607715921,-1.03319780275463,-1.80451482617635,0.408,-1.85,0.910413914,-1.768068493,0.639637482,-1.63891694,0.663177173,-1.937991986,0.39240074,-1.808840433,TRUE,"f2","1stO",59,"null",183,17,304,2,-0.000903303,-1.839796729,0.11140772319863
0.293093986,-1.89956912,-1.39614540716378,-1.36143641942998,0.445063294815982,-2.32068011483106,-0.474173663028947,-2.12527973652682,0.73,-1.85,0.582453237,-1.907947627,0.327095948,-1.750490792,0.318412973,-2.050365109,0.0630556839999999,-1.892908274,TRUE,"f1","1stO",58,"null",176,19,281,2,0.293093986,-1.89956912,0.218901391485443
0.169236096,-2.033637288,-1.10492471729483,-1.65693697142119,0.320018827193357,-2.08971798856649,-0.150393630564266,-1.61300029575611,0.59,-1.85,0.504046655,-2.10168744,0.279321272,-1.902945139,0.219568083,-2.19693418,-0.00515730100000023,-1.99819188,FALSE,"null","null",291,"null",180,20,291,2,0.169236096,-2.033637288,0.390472427693883
0.166738234,-1.682718701,-0.690839150121754,-0.937734014011569,-0.348147771581832,-1.88374669270459,-0.153882441846571,-1.74092698579912,0.59,-1.85,0.51875711,-1.626528454,0.238553331,-1.519356434,0.285841528,-1.815606035,0.00563774900000028,-1.708434015,FALSE,"null","null",291,"null",192,21,291,2,0.166738234,-1.682718701,0.0316666208485235
-0.012582746,-1.78891808,-1.1414082616516,-1.81910683562136,-0.363316830439027,-2.02901985175078,-0.583484424583774,-1.85365697547424,0.422,-1.85,0.404325877,-1.711032523,0.12139068,-1.611294494,0.176482612,-1.906192577,-0.106452585,-1.806454548,FALSE,"null","null",303,"null",203,22,303,2,-0.012582746,-1.78891808,0.0052661770713322
