"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
0.030708631,-1.776830904,0.00390432039135383,-1.61378349157952,-0.426704203542539,-1.91650178148358,-0.340705132344616,-1.70260649363592,0.17,-1.85,0.397420038,-1.752752795,0.128342879,-1.620097292,0.147998423,-1.919452699,-0.121078736,-1.786797196,TRUE,"f1","1stO",69,"null",1,1,321,0.2,0.030708631,-1.776830904,0
0.0162509,-1.77776629,0.051800866040698,-1.59330144430438,-0.231108251484784,-2.0785445991126,-0.20926601087994,-1.88597751432542,0.17,-1.85,0.55108246,-1.442820482,0.251275858,-1.45359088,0.410506597,-1.707845814,0.110699995,-1.718616212,TRUE,"f1","f2",14,"null",1,4,321,0.2,0.0162509,-1.77776629,-0.493942372998331
0.417255879,-1.67019743,0.379773400731122,-1.5085512184445,-0.00526564993394896,-1.68158517599145,-0.00121985661639662,-1.49903839716672,0.282,-1.85,0.991089854,-1.725022231,0.746726174,-1.550992371,0.718193735,-1.849632455,0.473830055,-1.675602596,TRUE,"f1","1stO",64,"null",1,5,313,0.2,0.417255879,-1.67019743,0.160817547812946
0.494916434,-1.740211545,0.61489270001224,-1.55997139481307,0.115008807692078,-2.00767719421777,0.067201987797524,-1.80649423101428,0.66,-1.85,1.051736377,-1.568818048,0.759297769,-1.501887782,0.847553762,-1.788612179,0.555115154,-1.721681912,TRUE,"L","1stO",56,"null",1,7,286,0.2,0.494916434,-1.740211545,-0.233038946573079
0.495143415,-1.713527738,0.585866092329858,-1.53749406734053,0.0455111475129784,-1.89783867606988,0.0221923496430965,-1.63246986724899,0.646,-1.85,1.073195398,-1.619500985,0.792675438,-1.513159309,0.840840824,-1.809267558,0.560320865,-1.702925882,TRUE,"f1","f2",27,"null",1,9,287,0.2,0.495143415,-1.713527738,-0.0956837170380751
0.436201923,-1.978950891,0.602965136032083,-1.86119610968897,0.00245146220632975,-2.00314973404252,-0.0506131775162323,-1.84063976678793,0.618,-1.85,0.88352505,-2.060931142,0.655013563,-1.866553931,0.600933704,-2.161639289,0.372422217,-1.967262078,TRUE,"f1","f3",11,"null",1,10,289,0.2,0.436201923,-1.978950891,0.246822520573157
0.645178854,-1.785659955,0.596703967783095,-1.6399206977383,0.215602754198902,-1.92607053237891,0.200937011911177,-1.92057822298765,0.786,-1.85,1.15996232,-1.640779049,0.869233366,-1.566774488,0.950508012,-1.855555429,0.659779058,-1.781550867,TRUE,"f1","f3",11,"null",1,17,277,0.2,0.645178854,-1.785659955,-0.208778515054695
0.795807489,-1.895846846,0.681068267159548,-1.73337906960003,0.305919810390497,-2.01442744088251,0.345056516003475,-1.82268820469495,0.94,-1.85,1.411690774,-1.900486365,1.15302046,-1.748533516,1.150760589,-2.048525004,0.892090275,-1.896572155,TRUE,"f1","f3",11,"null",1,19,266,0.2,0.795807489,-1.895846846,0.0730984164466429
0.700126605,-1.931013921,0.779858277436144,-1.77203166099467,0.297345320296575,-2.17017486787874,0.250535070797138,-1.97604504960939,0.87,-1.85,1.288813125,-1.825344195,1.006591008,-1.72360592,1.059594135,-2.01888658,0.777372018,-1.917148305,TRUE,"f1","f3",11,"null",1,20,271,0.2,0.700126605,-1.931013921,-0.112043958399937
0.312870084,-1.715493285,0.356789395019237,-1.53986538413406,-0.0461579853290141,-1.90345233329578,-0.0562857378402195,-1.80739975367112,0.45,-1.85,0.96479426,-1.5967557,0.682313645,-1.495737374,0.736069515,-1.790881925,0.4535889,-1.689863599,TRUE,"f1","1stO",65,"null",1,22,301,0.2,0.312870084,-1.715493285,-0.114593790135784
0.166847151,-1.682169662,0.356979327113485,-1.50578394563671,-0.280320510699915,-1.79843421796481,-0.276494120093992,-1.6184402472215,0.338,-1.85,0.606948443,-1.614170556,0.327283135,-1.505601152,0.373091926,-1.802083115,0.093426619,-1.69351371,TRUE,"L","1stO",54,"null",1,23,309,0.2,0.166847151,-1.682169662,-0.0877302194494079
0.687266904,-1.954789227,0.728589238009957,-1.80357199647872,0.250945311409211,-2.0547187538729,0.287336876051836,-1.90987354204311,0.828,-1.85,1.253339922,-1.977026642,0.999620543,-1.816943923,0.987844531,-2.11671271,0.734125152,-1.956629991,TRUE,"f2","1stO",56,"null",1,27,274,0.2,0.687266904,-1.954789227,0.10482890725591
0.045042496,-1.781466526,0.0729190707537533,-1.62312368537603,-0.325335395291311,-1.92913419411076,-0.346794762045441,-1.803022979574,0.212,-1.85,0.607066984,-1.694595207,0.327395239,-1.586042386,0.373221611,-1.882521632,0.093549866,-1.773968812,TRUE,"f1","f2",18,"null",1,34,318,0.2,0.045042496,-1.781466526,-0.0877895154274187
0.20865343,-1.799713567,0.140344436040052,-1.6276023768132,-0.298835756659122,-1.76900398729026,-0.119632363359265,-1.75654093904265,0.352,-1.85,0.811450063,-1.887588136,0.575997838,-1.701678884,0.532721816,-1.998541118,0.297269591,-1.812631866,TRUE,"f1","1stO",64,"null",1,35,308,0.2,0.20865343,-1.799713567,0.210323893980917
-0.087081138,-1.735961089,0.0437727889101197,-1.55747184385154,-0.441719394407881,-1.90221621039957,-0.563863952249239,-1.79609017615842,0.1,-1.85,0.516443406,-1.621308427,0.233205638,-1.522432917,0.289195818,-1.817161775,0.00595804899999999,-1.718286265,TRUE,"f1","1stO",57,"null",1,36,326,0.2,-0.087081138,-1.735961089,-0.122169312827967
0.561463007,-1.833987875,0.463748461113114,-1.66582443429075,0.19146142209935,-1.96415533081816,0.125144390325781,-1.87354677354409,0.73,-1.85,1.173176547,-1.810199787,0.907736412,-1.670408749,0.919393889,-1.970182168,0.653953753,-1.83039113,TRUE,"f1","f3",11,"null",1,39,281,0.2,0.561463007,-1.833987875,0.0266974026958292
0.587492937,-1.711995993,0.537020477581064,-1.55509296957352,0.148412340780051,-1.92277079451362,0.13575716887916,-1.67281402493666,0.744,-1.85,1.162520602,-1.628035487,0.883767037,-1.517146129,0.927110818,-1.813998477,0.648357253,-1.703109118,TRUE,"f1","f3",11,"null",1,40,280,0.2,0.587492937,-1.711995993,-0.0794212568608336
0.595233861,-1.690015724,0.766507630345698,-1.55483331913669,0.16296420511388,-1.765420923456,0.150984765169384,-1.74991399012254,0.73,-1.85,1.197578626,-1.7098332,0.942843919,-1.551371126,0.93297909,-1.851208891,0.678244383,-1.692746816,TRUE,"L","2ndO",190,"null",1,41,281,0.2,0.595233861,-1.690015724,0.0984541348314379
