"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.141245897,-1.795599195,-0.0357128516602426,-1.61733577774538,-0.364547167158961,-1.87159521077456,-0.609138787530531,-1.8589299305819,0.114,-1.85,0.241684334,-1.761829709,-0.030295804,-1.635232692,-0.00394196800000002,-1.934072909,-0.275922105,-1.807475892,TRUE,"f1","1stO",70,"null",265,1,325,0.2,-0.141245897,-1.795599195,0
0.257339727,-1.641598429,0.12634776337323,-1.4349833594816,-0.426150606196843,-1.88944330394808,-0.473878729993662,-1.50560735195758,0.548,-1.85,0.777158374,-1.666626878,0.524865288999999,-1.504305594,0.510437476000001,-1.803958457,0.258144391,-1.641637172,FALSE,"null","null",294,"null",237,2,294,0.2,0.257339727,-1.641598429,0.136070767581793
0.483844731,-2.018491794,0.234106069426294,-1.66117031296156,0.0295401645746222,-2.06033189263099,-0.0429963178145613,-1.87475121367877,0.772000000000001,-1.85,1.073533497,-2.141345462,0.849780659,-1.941508859,0.788593504,-2.235202802,0.564840666,-2.0353662,FALSE,"null","null",278,"null",218,3,278,0.2,0.483844731,-2.018491794,0.293357880736084
-0.15149543,-1.878027996,0.0310775956954484,-1.58495804199655,-0.740660042286643,-2.22864404792525,-0.593524137796264,-2.1196802506281,0.142,-1.85,0.351555658,-1.609520978,0.0517220929999998,-1.599529317,0.192985844,-1.864188632,-0.106847721,-1.854196971,TRUE,"L","1stO",63,"null",263,4,323,0.2,-0.15149543,-1.878027996,-0.402327580924943
0.085060367,-1.644896849,-0.0544113187847814,-1.41930282251229,-0.23764202304181,-1.86710275821347,-0.626808468030155,-1.56754037992322,0.366,-1.85,0.576529143,-1.690447428,0.331673318,-1.51711069,0.303987212,-1.815830424,0.059131387,-1.642493685,FALSE,"null","null",307,"null",251,5,307,0.2,0.085060367,-1.644896849,0.180378024110819
0.311139717,-1.800434202,0.190586188998417,-1.63157194209862,0.0736775506506032,-2.0401307089318,0.0169626117048807,-1.73602922372779,0.576,-1.85,0.857082774,-1.642125449,0.565779082,-1.570416601,0.649329244,-1.858547423,0.358025552,-1.786838575,FALSE,"null","null",292,"null",232,7,292,0.2,0.311139717,-1.800434202,-0.194273029853803
0.469590928,-1.648366423,0.230218568265774,-1.5020943809697,0.0611704366657689,-1.9188674615367,-0.0547710703804829,-1.74776117798337,0.744,-1.85,0.976845226,-1.549240406,0.693092264,-1.451853258,0.750629,-1.746284106,0.466876038,-1.648896958,FALSE,"null","null",280,"null",220,8,280,0.2,0.469590928,-1.648366423,-0.105025289608168
0.290083959,-1.754557344,0.180702751857971,-1.50892180738696,-0.116166977893551,-1.97349709919534,-0.347644867269007,-1.80263383278445,0.562,-1.85,0.8565233,-1.681243227,0.579611006,-1.565832737,0.618118736,-1.863351063,0.341206442,-1.747940573,FALSE,"null","null",293,"null",235,9,293,0.2,0.290083959,-1.754557344,-0.0407547176076356
0.301313364,-1.956287979,0.367781333830842,-1.82668057956905,-0.240731737223725,-1.95257718883923,-0.103112216280589,-1.85206110617246,0.59,-1.85,0.813075489,-2.062049121,0.589001895,-1.862572245,0.528286649,-2.156364108,0.304213055,-1.956887231,TRUE,"f2","2ndO",210,"null",233,10,291,0.2,0.301313364,-1.956287979,0.291751340110926
0.022400861,-1.655815401,0.164531242375692,-1.53113553473135,-0.390863868462233,-1.57213152696356,-0.813158730694608,-1.55258213708408,0.296,-1.85,0.509215042,-1.60622845,0.235544471,-1.483328414,0.265945203,-1.781784098,-0.00772536700000005,-1.658884062,FALSE,"null","null",312,"null",252,14,312,0.2,0.022400861,-1.655815401,-0.0135505162609305
0.411564262,-1.62987639,0.277053064838841,-1.46795932101828,-0.0441795865985459,-1.87551129484339,0.0856084021831287,-1.631572004924,0.674,-1.85,1.085271598,-1.546672971,0.809037504,-1.429648508,0.845808393,-1.727386483,0.569574298,-1.610362019,TRUE,"f1","1stO",63,"null",226,16,285,0.2,0.411564262,-1.62987639,-0.0349191247473502
0.410240239,-1.838070079,0.0802828871975027,-1.73049554761102,0.131131758899041,-1.9913775504628,0.0854142076591498,-1.95845984478612,0.702,-1.85,0.860659757000001,-1.783185495,0.584616103,-1.665712514,0.620903344,-1.963509821,0.34485969,-1.84603684,TRUE,"f2","1stO",59,"null",223,17,283,0.2,0.410240239,-1.838070079,-0.0332948776261134
0.523268885,-1.892227005,0.783747411457265,-1.77008473355617,0.259412551525993,-2.18378714067884,0.195766230959582,-1.89317434916341,0.8,-1.85,1.206421765,-1.914214682,0.951573948,-1.755934582,0.941923269,-2.055779316,0.687075452,-1.897499216,TRUE,"f1","1stO",58,"null",216,19,276,0.2,0.523268885,-1.892227005,0.12013397909934
0.471331971,-1.985316504,0.267403782107777,-1.85992751053214,-0.0465854274365647,-2.0730922573503,-0.0669629598300611,-1.93902376210722,0.744,-1.85,1.043573603,-1.911701459,0.766750674,-1.796076781,0.805028231,-2.093624809,0.528205302,-1.978000131,TRUE,"f3","2ndO",193,"null",220,20,280,0.2,0.471331971,-1.985316504,-0.0399811104510287
0.294107585,-1.660432475,0.312581931189469,-1.53615334822584,-0.326441507394571,-1.86260344958478,-0.193912308771169,-1.6014749856103,0.576,-1.85,0.8776041,-1.565497006,0.597080039,-1.459166149,0.645256847,-1.755272541,0.364732785,-1.648941684,FALSE,"null","null",292,"null",232,21,292,0.2,0.294107585,-1.660432475,-0.0733282331829046
0.128421724,-1.758098458,-0.341860227760318,-1.60797688532849,-0.293265801588643,-1.88720808153829,-0.26482396395105,-1.79038910392754,0.422,-1.85,0.659084233,-1.659088513,0.376172064,-1.559285181,0.431195928,-1.854195971,0.14828376,-1.75439264,FALSE,"null","null",303,"null",243,22,303,0.2,0.128421724,-1.758098458,-0.0964976080718847
0.048305504,-1.701024059,0.042713045505625,-1.54424989692875,-0.250923559648158,-1.92690860301207,-0.498945198472914,-1.71172566722587,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.0605641330000004,-1.715121053,TRUE,"L","1stO",56,"null",248,23,308,0.2,0.048305504,-1.701024059,-0.0408091172704293
0.235548477,-1.687123658,0.274631221038218,-1.5549936735381,-0.330796259174803,-1.91072289309312,-0.0827103306363773,-1.75213222270581,0.506,-1.85,0.686381923,-1.627461985,0.409140955,-1.512843287,0.448498735,-1.810250357,0.171257767,-1.695631658,TRUE,"f2","f3",260,"null",237,24,297,0.2,0.235548477,-1.687123658,-0.0436123819151036
0.072508167,-1.621831992,0.107133923240388,-1.40096141596726,-0.423062957442102,-1.78566527569429,-0.0435680096138256,-1.66776564527209,0.338,-1.85,0.641742944999999,-1.521416566,0.359827472,-1.418831645,0.411944061,-1.714270067,0.130028588,-1.611685146,TRUE,"f3","1stO",60,"null",249,25,309,0.2,0.072508167,-1.621831992,-0.0866483515586657
0.19005027,-2.00876344,0.350637754656174,-1.88204345722728,-0.226778925665138,-2.0424803254094,-0.421793809390711,-1.73086055037261,0.492,-1.85,0.72207372,-2.141328892,0.506241212,-1.93296304,0.433707345,-2.224062401,0.217874837,-2.015696549,FALSE,"null","null",298,"null",241,26,298,0.2,0.19005027,-2.00876344,0.332158901197311
0.45214606,-1.944184075,0.373526021337359,-1.78796929266324,-0.0880250573692287,-2.1730963103457,-0.257733930410014,-1.82935239308593,0.716,-1.85,1.008058268,-1.980519728,0.758587309,-1.813893679,0.739020397,-2.113254892,0.489549437,-1.946628843,FALSE,"null","null",282,"null",222,27,282,0.2,0.45214606,-1.944184075,0.153228870044994
0.543540882,-1.584702693,0.317879920705997,-1.40704497094611,0.0631273465385745,-1.83652574201297,0.355751216083867,-1.51286546899998,0.758,-1.85,1.084213682,-1.537655307,0.812380803,-1.410742401,0.838387441,-1.709613033,0.566554562,-1.582700126,TRUE,"L","1stO",54,"null",219,28,279,0.2,0.543540882,-1.584702693,0.00116175781052094
0.425144666,-1.587752511,0.620870073901424,-1.44323040701675,-0.0896117699456369,-1.86168802570616,0.13116690815994,-1.6140139720985,0.646,-1.85,0.940033617,-1.572911535,0.676012101,-1.4304593,0.684655605,-1.730334757,0.420634089,-1.587882522,TRUE,"f1","1stO",62,"null",228,31,287,0.2,0.425144666,-1.587752511,0.0591438321412218
0.316840841,-1.637566452,0.058120742572018,-1.48687008981708,-0.141036827997279,-1.7546725011894,-0.170109236205361,-1.51166222181873,0.604,-1.85,0.817334345,-1.64737553,0.560515864,-1.492313388,0.554637350000001,-1.792255787,0.297818869,-1.637193644,TRUE,"f2","f3",243,"null",232,32,290,0.2,0.316840841,-1.637566452,0.107555801214863
0.057255712,-1.636623694,0.0653806724710536,-1.50363264583461,-0.456503082815203,-1.8703014744555,-0.428292430328621,-1.58636952337465,0.338,-1.85,0.472714143,-1.607367265,0.203011468,-1.475988168,0.22408517,-1.775247085,-0.0456175049999997,-1.643867988,FALSE,"null","null",309,"null",250,33,309,0.2,0.057255712,-1.636623694,0.0176559249454792
-0.065469016,-1.799849322,-0.426629018809055,-1.63117813799329,-0.421190548726986,-1.91094494916006,-0.199846114359526,-1.83076202668188,0.198,-1.85,0.504447433,-1.71148389,0.224724702,-1.603062519,0.270690406,-1.899520196,-0.00903232500000003,-1.791098825,FALSE,"null","null",319,"null",259,34,319,0.2,-0.065469016,-1.799849322,-0.0658654341379804
0.082416145,-1.784711429,0.203300938795524,-1.65811571121,-0.41733927955202,-1.80323066792473,-0.387571752217275,-1.59428989231852,0.366,-1.85,0.656906554,-1.866320703,0.42077779,-1.681271502,0.378584862,-1.97828961,0.142456099,-1.793240409,FALSE,"null","null",307,"null",248,35,307,0.2,0.082416145,-1.784711429,0.229070431144124
-0.175537301,-1.754651244,-0.118823006591467,-1.55314612154065,-0.526510055103833,-1.95327342736196,-0.694759537477216,-1.79180503472608,0.114,-1.85,0.363400573,-1.651539061,0.0800339620000005,-1.553033408,0.136408869,-1.847688918,-0.146957742,-1.749183265,TRUE,"L","2ndO",228,"null",265,36,325,0.2,-0.175537301,-1.754651244,-0.101080781765176
