"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.141245897,-1.795599195,-0.0740985011710237,-1.61736830477978,-0.42400451507072,-1.88965603874923,-0.594195760699032,-1.84132413467355,0.114,-1.85,0.241684334,-1.761829709,-0.030295804,-1.635232692,-0.00394196800000002,-1.934072909,-0.275922105,-1.807475892,TRUE,"f1","1stO",70,"null",265,1,325,0.2,-0.141245897,-1.795599195,0
0.257339727,-1.641598429,0.153245310298209,-1.44088729772817,-0.374522302965738,-1.84856112139525,-0.391920685679598,-1.52400787422059,0.548,-1.85,0.777158374,-1.666626878,0.524865288999999,-1.504305594,0.510437476000001,-1.803958457,0.258144391,-1.641637172,FALSE,"null","null",294,"null",237,2,294,0.2,0.257339727,-1.641598429,0.136070767581793
0.483844731,-2.018491794,0.297928734748058,-1.70439918631832,0.0220421866116389,-2.05201235061223,-0.00844461837351779,-1.87948510135919,0.772000000000001,-1.85,1.073533497,-2.141345462,0.849780659,-1.941508859,0.788593504,-2.235202802,0.564840666,-2.0353662,FALSE,"null","null",278,"null",218,3,278,0.2,0.483844731,-2.018491794,0.293357880736084
-0.15149543,-1.878027996,-0.0430472033093489,-1.62194776468011,-0.684935285947712,-2.22023092770014,-0.577594541226896,-2.09758671294608,0.142,-1.85,0.351555658,-1.609520978,0.0517220929999998,-1.599529317,0.192985844,-1.864188632,-0.106847721,-1.854196971,TRUE,"L","1stO",63,"null",263,4,323,0.2,-0.15149543,-1.878027996,-0.402327580924943
0.085060367,-1.644896849,-0.023361713407202,-1.42973726683675,-0.277027327270996,-1.82732797159226,-0.548898012650715,-1.56683078439428,0.366,-1.85,0.576529143,-1.690447428,0.331673318,-1.51711069,0.303987212,-1.815830424,0.059131387,-1.642493685,FALSE,"null","null",307,"null",251,5,307,0.2,0.085060367,-1.644896849,0.180378024110819
0.311139717,-1.800434202,0.200350663064469,-1.63240902914198,0.0270836153737626,-2.03882495268186,-0.00994624867194766,-1.77008797670978,0.576,-1.85,0.857082774,-1.642125449,0.565779082,-1.570416601,0.649329244,-1.858547423,0.358025552,-1.786838575,FALSE,"null","null",292,"null",232,7,292,0.2,0.311139717,-1.800434202,-0.194273029853803
0.469590928,-1.648366423,0.273456872262839,-1.49563268494228,0.0525131798173609,-1.90018318005584,-0.0253344506629662,-1.73184520927443,0.744,-1.85,0.976845226,-1.549240406,0.693092264,-1.451853258,0.750629,-1.746284106,0.466876038,-1.648896958,FALSE,"null","null",280,"null",220,8,280,0.2,0.469590928,-1.648366423,-0.105025289608168
0.290083959,-1.754557344,0.194241190955048,-1.52632336143275,-0.128281238259662,-1.96048823134159,-0.290230377533146,-1.79300013171221,0.562,-1.85,0.8565233,-1.681243227,0.579611006,-1.565832737,0.618118736,-1.863351063,0.341206442,-1.747940573,FALSE,"null","null",293,"null",235,9,293,0.2,0.290083959,-1.754557344,-0.0407547176076356
0.301313364,-1.956287979,0.352478275614478,-1.81297876213996,-0.226290986471813,-1.95583987666422,-0.0992143846572689,-1.84707269635526,0.59,-1.85,0.813075489,-2.062049121,0.589001895,-1.862572245,0.528286649,-2.156364108,0.304213055,-1.956887231,TRUE,"f2","2ndO",210,"null",233,10,291,0.2,0.301313364,-1.956287979,0.291751340110926
0.022400861,-1.655815401,0.116393929648862,-1.51793889606234,-0.40231760332378,-1.63167101687237,-0.706313687350049,-1.5780000233515,0.296,-1.85,0.509215042,-1.60622845,0.235544471,-1.483328414,0.265945203,-1.781784098,-0.00772536700000005,-1.658884062,FALSE,"null","null",312,"null",252,14,312,0.2,0.022400861,-1.655815401,-0.0135505162609305
0.411564262,-1.62987639,0.297131043934289,-1.46435143669806,-0.0441621784372148,-1.85516456021392,0.0650674670965666,-1.63293815121921,0.674,-1.85,1.085271598,-1.546672971,0.809037504,-1.429648508,0.845808393,-1.727386483,0.569574298,-1.610362019,TRUE,"f1","1stO",63,"null",226,16,285,0.2,0.411564262,-1.62987639,-0.0349191247473502
0.410240239,-1.838070079,0.149294031224233,-1.71328007880073,0.0869237804124011,-1.99392758821204,0.0645880425577843,-1.92998672930601,0.702,-1.85,0.860659757000001,-1.783185495,0.584616103,-1.665712514,0.620903344,-1.963509821,0.34485969,-1.84603684,TRUE,"f2","1stO",59,"null",223,17,283,0.2,0.410240239,-1.838070079,-0.0332948776261134
0.523268885,-1.892227005,0.712049004309766,-1.75496951530157,0.206483415331366,-2.13387375658737,0.176559571327655,-1.87894934921024,0.8,-1.85,1.206421765,-1.914214682,0.951573948,-1.755934582,0.941923269,-2.055779316,0.687075452,-1.897499216,TRUE,"f1","1stO",58,"null",216,19,276,0.2,0.523268885,-1.892227005,0.12013397909934
0.471331971,-1.985316504,0.304613015156004,-1.84725676087341,-0.0308153179847808,-2.09278643614417,-0.0344087588054349,-1.95290344636252,0.744,-1.85,1.043573603,-1.911701459,0.766750674,-1.796076781,0.805028231,-2.093624809,0.528205302,-1.978000131,TRUE,"f3","2ndO",193,"null",220,20,280,0.2,0.471331971,-1.985316504,-0.0399811104510287
0.294107585,-1.660432475,0.292730586108704,-1.52368880291243,-0.28356200216294,-1.8574668470313,-0.173793247004009,-1.62192100175713,0.576,-1.85,0.8776041,-1.565497006,0.597080039,-1.459166149,0.645256847,-1.755272541,0.364732785,-1.648941684,FALSE,"null","null",292,"null",232,21,292,0.2,0.294107585,-1.660432475,-0.0733282331829046
0.128421724,-1.758098458,-0.240526982812638,-1.60233753793089,-0.299019620520204,-1.90292533943871,-0.268238900127949,-1.7903819762769,0.422,-1.85,0.659084233,-1.659088513,0.376172064,-1.559285181,0.431195928,-1.854195971,0.14828376,-1.75439264,FALSE,"null","null",303,"null",243,22,303,0.2,0.128421724,-1.758098458,-0.0964976080718847
0.048305504,-1.701024059,0.0303019034773014,-1.53943685849288,-0.289791018273226,-1.91216972188258,-0.464150109769019,-1.71144123601914,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.0605641330000004,-1.715121053,TRUE,"L","1stO",56,"null",248,23,308,0.2,0.048305504,-1.701024059,-0.0408091172704293
0.235548477,-1.687123658,0.250927970709956,-1.54405847455832,-0.302767366622464,-1.89687383514026,-0.10515611228458,-1.7385570249046,0.506,-1.85,0.686381923,-1.627461985,0.409140955,-1.512843287,0.448498735,-1.810250357,0.171257767,-1.695631658,TRUE,"f2","f3",260,"null",237,24,297,0.2,0.235548477,-1.687123658,-0.0436123819151036
0.072508167,-1.621831992,0.0826662117255855,-1.41285149110933,-0.410813188357973,-1.7916043103581,-0.116349827764324,-1.66334546178178,0.338,-1.85,0.641742944999999,-1.521416566,0.359827472,-1.418831645,0.411944061,-1.714270067,0.130028588,-1.611685146,TRUE,"f3","1stO",60,"null",249,25,309,0.2,0.072508167,-1.621831992,-0.0866483515586657
0.19005027,-2.00876344,0.313666175037968,-1.8677104973092,-0.243637650119463,-2.03149335492106,-0.364707887564766,-1.76538959395655,0.492,-1.85,0.72207372,-2.141328892,0.506241212,-1.93296304,0.433707345,-2.224062401,0.217874837,-2.015696549,FALSE,"null","null",298,"null",241,26,298,0.2,0.19005027,-2.00876344,0.332158901197311
0.45214606,-1.944184075,0.388116389927014,-1.78117951574309,-0.0725706642556575,-2.13489827974421,-0.180828052435623,-1.84073511154973,0.716,-1.85,1.008058268,-1.980519728,0.758587309,-1.813893679,0.739020397,-2.113254892,0.489549437,-1.946628843,FALSE,"null","null",282,"null",222,27,282,0.2,0.45214606,-1.944184075,0.153228870044994
0.543540882,-1.584702693,0.362344517882511,-1.40691216036815,0.067905088210344,-1.81049585616168,0.300670565542144,-1.52893312983346,0.758,-1.85,1.084213682,-1.537655307,0.812380803,-1.410742401,0.838387441,-1.709613033,0.566554562,-1.582700126,TRUE,"L","1stO",54,"null",219,28,279,0.2,0.543540882,-1.584702693,0.00116175781052094
0.425144666,-1.587752511,0.56258965612374,-1.43419601821015,-0.078194339056689,-1.82338489605314,0.10291435776759,-1.59964765576579,0.646,-1.85,0.940033617,-1.572911535,0.676012101,-1.4304593,0.684655605,-1.730334757,0.420634089,-1.587882522,TRUE,"f1","1stO",62,"null",228,31,287,0.2,0.425144666,-1.587752511,0.0591438321412218
0.316840841,-1.637566452,0.115648323487247,-1.4789797522448,-0.14516222858553,-1.74986624180225,-0.14962198498065,-1.53042261989083,0.604,-1.85,0.817334345,-1.64737553,0.560515864,-1.492313388,0.554637350000001,-1.792255787,0.297818869,-1.637193644,TRUE,"f2","f3",243,"null",232,32,290,0.2,0.316840841,-1.637566452,0.107555801214863
0.057255712,-1.636623694,0.052135151124605,-1.49214211938602,-0.443982373015564,-1.84690076870861,-0.408888383632118,-1.59535888649202,0.338,-1.85,0.472714143,-1.607367265,0.203011468,-1.475988168,0.22408517,-1.775247085,-0.0456175049999997,-1.643867988,FALSE,"null","null",309,"null",250,33,309,0.2,0.057255712,-1.636623694,0.0176559249454792
-0.065469016,-1.799849322,-0.351246467541999,-1.62969914130843,-0.444853661181124,-1.92773816967154,-0.268177501414166,-1.82797998837386,0.198,-1.85,0.504447433,-1.71148389,0.224724702,-1.603062519,0.270690406,-1.899520196,-0.00903232500000003,-1.791098825,FALSE,"null","null",319,"null",259,34,319,0.2,-0.065469016,-1.799849322,-0.0658654341379804
0.082416145,-1.784711429,0.171503166433701,-1.64366920731338,-0.413086925562689,-1.80851510524179,-0.369037105551957,-1.61700024707138,0.366,-1.85,0.656906554,-1.866320703,0.42077779,-1.681271502,0.378584862,-1.97828961,0.142456099,-1.793240409,FALSE,"null","null",307,"null",248,35,307,0.2,0.082416145,-1.784711429,0.229070431144124
