"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.00891274,-1.780113394,-0.125380382187376,-1.60162271579253,-0.420378738545421,-1.84094674993446,-0.209371909984073,-1.83710683289026,0.142,-1.85,0.345508137,-1.755778433,0.076035784,-1.623927565,0.09658576,-1.923222902,-0.172886593,-1.791372034,TRUE,"f1","1stO",70,"null",85,1,323,0.2,-0.00891274,-1.780113394,0
-0.017817959,-1.798609171,-0.171592471129342,-1.70087645190705,-0.526538717844412,-2.33912691499609,-0.443791501196359,-2.10892584696753,0.17,-1.85,0.511177099,-1.476160581,0.211262152,-1.483303725,0.36740577,-1.739466116,0.067490823,-1.74660926,TRUE,"L","1stO",63,"null",83,4,321,0.2,-0.017817959,-1.798609171,-0.478857903106592
0.496591284,-1.739776061,1.09974103020992,-1.42473615425445,0.127217954881153,-1.93763288315405,-0.196617343875151,-1.76488959181823,0.66,-1.85,1.051736377,-1.568818048,0.759288956,-1.501926299,0.847582712,-1.788639069,0.555135291,-1.72174732,TRUE,"L","1stO",56,"null",52,7,286,0.2,0.496591284,-1.739776061,-0.230182498044881
0.497034024,-1.711915478,0.463389253060629,-1.57435702202834,0.12255593807017,-1.97827427741101,0.0808658647832954,-1.77980516520288,0.646,-1.85,1.073195398,-1.619500985,0.792910811,-1.512540478,0.840422587,-1.808754304,0.560138,-1.701793797,TRUE,"L","1stO",56,"null",55,9,287,0.2,0.497034024,-1.711915478,-0.090488620768643
0.437954471,-1.979342882,0.956320688582977,-1.88406223197152,-0.0517406325527308,-2.16295563952212,-0.26226671736125,-1.66041168540569,0.618,-1.85,0.88352505,-2.060931142,0.654983681,-1.866589066,0.600949191,-2.161682736,0.372407821,-1.96734066,TRUE,"L","1stO",55,"null",53,10,289,0.2,0.437954471,-1.979342882,0.249656929986303
0.606320918,-1.796735213,1.60871539532762,-1.45261669855862,0.262035433529294,-2.08285198362124,0.20721273206983,-1.62332204804324,0.786,-1.85,1.117524281,-1.670829221,0.829383369999999,-1.58731386,0.901127401000001,-1.878608889,0.61298649,-1.795093527,TRUE,"L","1stO",53,"null",43,17,277,0.2,0.606320918,-1.796735213,-0.172933424718769
0.793117289,-1.896029876,0.392064323483845,-1.75815281066278,0.310177646566739,-1.89020778940831,0.560269527597444,-1.94943942753985,0.94,-1.85,1.411690774,-1.900486365,1.152970537,-1.748618532,1.150809254,-2.048610747,0.892089017,-1.896742914,TRUE,"f2","f3",39,"null",36,19,266,0.2,0.793117289,-1.896029876,0.0757579385540593
0.682996729,-1.93804954,1.2710354417307,-1.68176487276623,0.201012673326857,-1.84901979853871,0.57440444833495,-2.01476162108882,0.87,-1.85,1.288813125,-1.825344195,1.005953004,-1.725393445,1.060823176,-2.02033287,0.777963056,-1.92038212,TRUE,"f2","f3",44,"null",40,20,271,0.2,0.682996729,-1.93804954,-0.115382384941967
0.310159455,-1.715424831,0.574337055740072,-1.51325725505108,-0.0540732645208836,-1.89342218018716,-0.199664511769359,-1.80465349618895,0.45,-1.85,0.96479426,-1.5967557,0.682397717,-1.495502588,0.735908221,-1.790691724,0.453511678,-1.689438612,TRUE,"f1","2ndO",203,"null",63,22,301,0.2,0.310159455,-1.715424831,-0.110774353840135
0.171509703,-1.682075379,-0.215586373957058,-1.55067997693855,-0.38895576846939,-1.63807935089689,0.243848987113135,-1.57836915645277,0.324,-1.85,0.606948443,-1.614170556,0.327130972,-1.505993928,0.373355999,-1.802411281,0.093538528,-1.694234653,TRUE,"L","1stO",56,"null",68,23,310,0.2,0.171509703,-1.682075379,-0.0861461323696633
0.647238739,-1.953783046,0.737948210286072,-1.80844856942586,0.232566829666596,-1.97478989870931,0.245111231012944,-1.8764245666054,0.814,-1.85,1.201653442,-1.982728201,0.950019803,-1.819386498,0.934378558,-2.118978473,0.682744919,-1.95563677,TRUE,"f2","f3",46,"null",42,27,275,0.2,0.647238739,-1.953783046,0.12071473448053
0.045775234,-1.781680261,0.232384347834081,-1.60536389503752,-0.3847288320339,-1.96356623514803,-0.385712594477405,-1.85574685643382,0.212,-1.85,0.607066984,-1.694595207,0.327333526,-1.586201516,0.373328566,-1.882654643,0.093595107,-1.774260953,TRUE,"f2","f3",83,"null",79,34,318,0.2,0.045775234,-1.781680261,-0.085370287787625
0.187956032,-1.796996257,0.789423572184701,-1.76246342867189,-0.28131704734517,-1.80815801019358,-0.199920010897389,-1.69140289976531,0.366,-1.85,0.75993556,-1.880498992,0.52452173,-1.694541123,0.481184407000001,-1.991394415,0.245770577,-1.805436546,TRUE,"f1","2ndO",214,"null",68,35,307,0.2,0.187956032,-1.796996257,0.213518548159587
-0.08682888,-1.735819624,0.180773883043363,-1.52471764856862,-0.69226097109522,-1.80129808788891,-0.78762728744323,-1.91925849370135,0.1,-1.85,0.516443406,-1.621308427,0.233220439000001,-1.522390528,0.289166509,-1.817127762,0.00594354100000002,-1.718209863,TRUE,"f2","f3",89,"null",85,36,326,0.2,-0.08682888,-1.735819624,-0.119031493626904
0.561584902,-1.835008687,0.738176659229041,-1.66576199289426,0.0760272762426605,-2.03502236201909,0.368866336675711,-1.80518829038989,0.73,-1.85,1.173176547,-1.810199787,0.907502744,-1.670853348,0.919662089,-1.970606831,0.653988285,-1.831260391,TRUE,"f2","f3",52,"null",48,39,281,0.2,0.561584902,-1.835008687,0.028011344020902
0.588087446,-1.711918901,0.633229685142724,-1.57327114591992,0.163948713374403,-1.95344512672826,0.340813546017058,-1.63870664018246,0.744,-1.85,1.162520602,-1.628035487,0.883765201,-1.517150744,0.927113897,-1.814002374,0.648358496,-1.703117631,TRUE,"f2","f3",48,"null",46,40,280,0.2,0.588087446,-1.711918901,-0.0764496561688945
0.560591999,-1.689981268,0.636264675076925,-1.50924040994457,0.251545836960322,-1.56473278764765,-0.115494219146993,-1.49723304136141,0.744,-1.85,1.145587418,-1.708876996,0.890757794,-1.550567606,0.881072653,-1.850411229,0.626243029,-1.692101839,TRUE,"f1","1stO",54,"null",48,41,280,0.2,0.560591999,-1.689981268,0.100843017750583
0.278415536,-1.682056353,-0.113516599143438,-1.47922375745338,-0.22842214261158,-1.82236685659665,-0.367883750353925,-1.65905270508976,0.422,-1.85,0.866574104,-1.732147613,0.620432476,-1.56064164,0.59497476,-1.859559529,0.348833132,-1.688053556,TRUE,"f2","1stO",66,"null",66,47,303,0.2,0.278415536,-1.682056353,0.15351483173769
0.322452384,-1.841261316,1.07720837778102,-1.85179637145176,-0.19806176746542,-2.04195972852628,-0.17563740125058,-1.77860524827307,0.492,-1.85,0.889427464,-1.938299689,0.658648173,-1.746620481,0.608038754,-2.042320813,0.377259464,-1.850641605,TRUE,"f1","2ndO",204,"null",59,48,298,0.2,0.322452384,-1.841261316,0.238062251998422
0.017019249,-1.786932678,0.3881988734866,-1.52721411669233,-0.536485295368154,-2.07075183262729,-0.128422237561953,-1.77646994482321,0.198,-1.85,0.451875785,-1.635031774,0.157135827,-1.579100058,0.256067518,-1.862318207,-0.03867244,-1.806386491,TRUE,"L","2ndO",227,"null",79,49,319,0.2,0.017019249,-1.786932678,-0.267508779027148
0.429279524,-1.678950886,0.229654808666146,-1.4470358115464,0.0898828708617068,-1.6001510582384,0.0868357544841989,-1.41136509399831,0.436,-1.85,1.020726582,-1.90791578,0.832593462,-1.674236665,0.724287972,-1.954004285,0.536154851,-1.720325169,TRUE,"L","2ndO",210,"null",63,52,302,0.2,0.429279524,-1.678950886,0.437913205761273
0.557733973,-1.75483213,0.756544116616512,-1.4770067792308,0.0135185624646122,-1.82701942201871,-0.127542305878539,-1.99159066346067,0.73,-1.85,1.116946465,-1.514524812,0.819023232,-1.479286381,0.937467472,-1.754914685,0.639544238,-1.719676253,TRUE,"f1","1stO",55,"null",46,60,281,0.2,0.557733973,-1.75483213,-0.337311938845795
0.227949392,-1.719905778,0.344966344739343,-1.58350203480177,-0.192693112729218,-1.63041278631891,-0.0917394771513677,-1.86639762152255,0.366,-1.85,0.833318188,-1.672070844,0.562502039,-1.543002593,0.586133730000001,-1.842070383,0.315317581,-1.713002133,TRUE,"f2","1stO",67,"null",67,61,307,0.2,0.227949392,-1.719905778,-0.0103003931177106
0.740039856,-1.745820631,0.120748190144484,-1.78605412621626,0.272054811213508,-1.89731197368219,0.105147360002315,-1.67314127829767,0.898,-1.85,1.274587906,-1.562340873,0.980155424,-1.504812497,1.07755063,-1.788562694,0.783118149,-1.731034318,TRUE,"L","1stO",53,"null",39,62,269,0.2,0.740039856,-1.745820631,-0.262088784723972
0.653124692,-1.830637049,0.656776404727749,-1.63811615337906,0.293084363974039,-2.1425107774528,0.363143077200691,-2.03891870990103,0.842,-1.85,1.176307225,-1.549355557,0.87644491,-1.540267544,1.018505617,-1.804499933,0.718643302,-1.79541192,TRUE,"f2","f3",48,"null",36,63,273,0.2,0.653124692,-1.830637049,-0.424747161492674
0.476382244,-1.786656459,0.579709918155637,-1.61940275609523,0.120956315834592,-1.81987031326358,-0.08652431152894,-1.85713808175091,0.618,-1.85,1.112671087,-1.767331111,0.848429517,-1.625287481,0.85753691,-1.925149208,0.59329534,-1.783105578,TRUE,"L","2ndO",197,"null",53,64,289,0.2,0.476382244,-1.786656459,0.0381909615545486
0.509292726,-1.753983746,0.128322793858058,-1.64820949659769,0.162999296496063,-1.93137272676502,0.214854505408156,-1.95043672173971,0.674000000000001,-1.85,1.135679337,-1.635503841,0.852520268999999,-1.536403173,0.908276107,-1.831176453,0.625117039,-1.732075785,TRUE,"f1","f3",50,"null",49,65,285,0.2,0.509292726,-1.753983746,-0.118386103122164
0.447485291,-1.882919276,0.275261273441821,-1.73862831541867,0.262411296833973,-2.28022698968723,0.156295744420393,-1.91882603896378,0.618,-1.85,1.003354462,-1.633295023,0.704899032,-1.602891794,0.827796779000001,-1.876563393,0.529341349,-1.846160164,TRUE,"L","1stO",53,"null",52,71,289,0.2,0.447485291,-1.882919276,-0.353526793116168
0.545523801,-1.697089912,0.862694877846397,-1.47441825545186,0.133447065365804,-1.96281332987051,0.0601808041822693,-1.67121119938666,0.716,-1.85,1.138801262,-1.606841787,0.859390233,-1.497619643,0.904506597,-1.794207765,0.625095567,-1.684985621,TRUE,"L","1stO",55,"null",46,72,282,0.2,0.545523801,-1.697089912,-0.0824070014774274
0.347345431,-1.971905537,0.596976114949307,-1.79319489814457,0.213355928501294,-2.25135917595152,0.15016505880359,-1.99665753120668,0.492,-1.85,0.961339128,-1.897419763,0.685357858,-1.779800296,0.721487047,-2.07761682,0.445505778,-1.959997354,TRUE,"f1","1stO",64,"null",60,73,298,0.2,0.347345431,-1.971905537,-0.0521700564356666
0.42685855,-1.756573265,0.381206873429131,-1.59980487513464,-0.0370063122951397,-1.99529336320544,0.0914592270283268,-1.85580598312,0.59,-1.85,1.011215698,-1.633950667,0.726140625,-1.54050441,0.787751329,-1.834109793,0.502676256,-1.740663536,TRUE,"L","1stO",58,"null",56,76,291,0.2,0.42685855,-1.756573265,-0.138287139082865
0.503448128,-1.819677299,0.779660251411974,-1.7108040868201,-0.0102992005762996,-2.2071816946756,0.0502528164061123,-1.59534501639963,0.646,-1.85,0.998777192,-1.867443154,0.754567312,-1.693197538,0.725771123,-1.991812306,0.481561243,-1.81756669,TRUE,"f1","f3",55,"null",53,77,287,0.2,0.503448128,-1.819677299,0.164688912457295
0.611969652,-1.672564492,0.308818446132528,-1.51749362564409,0.204707876163393,-1.90350515721688,0.410800125056575,-1.36606742261786,0.772,-1.85,1.246332584,-1.645730103,0.980417573,-1.506844514,0.993096629,-1.806576463,0.727181618,-1.667690874,TRUE,"f1","1stO",55,"null",42,79,278,0.2,0.611969652,-1.672564492,0.0262774863656813
-0.087872942,-1.766059999,-0.0381996615129366,-1.56560243314708,-0.195045685966649,-2.03186044789097,-0.377772006120895,-1.83232718366308,0.1,-1.85,0.472455594,-1.613405354,0.182355578,-1.536972504,0.261212796,-1.826422913,-0.02888722,-1.749990062,TRUE,"f2","f3",96,"null",88,80,326,0.2,-0.087872942,-1.766059999,-0.197428948026118
0.514122269,-1.738030736,-0.0689185506366357,-1.62901930873971,0.130803444800106,-1.52930977327938,0.154218656839615,-1.72095691443009,0.66,-1.85,1.006299492,-1.705563766,0.737181868,-1.572990374,0.756928755,-1.872339769,0.48781113,-1.739766377,TRUE,"L","1stO",51,"null",49,85,286,0.2,0.514122269,-1.738030736,0.00268302160842147
0.243584207,-1.699171183,0.334600185605765,-1.53970673568099,-0.0330342152280099,-2.07587210677627,-0.0971066069850077,-1.86530278710427,0.394,-1.85,0.80241363,-1.547832796,0.512429582999999,-1.470961135,0.590848795000001,-1.760530517,0.300864748,-1.683658856,TRUE,"f2","f3",69,"null",66,86,305,0.2,0.243584207,-1.699171183,-0.195916028032705
0.523236468,-1.79504882,1.83476181417771,-1.86841070003842,0.159202398122527,-1.89820200981896,0.278355193599666,-1.87041605024181,0.66,-1.85,0.980233886,-1.834955171,0.734459973,-1.662922664,0.708362408,-1.96178537,0.462588495,-1.789752862,TRUE,"L","2ndO",190,"null",47,89,286,0.2,0.523236468,-1.79504882,0.155655581587537
0.212814329,-1.771708064,0.392104021428252,-1.56089703953827,-0.307137931506796,-1.94532539884448,-0.0684840383104099,-1.69481960294071,0.352,-1.85,0.709846772,-1.673101435,0.425816162,-1.576527047,0.484195593,-1.870791965,0.200164983,-1.774217577,TRUE,"f1","1stO",59,"null",68,90,308,0.2,0.212814329,-1.771708064,-0.127294105208447
-0.00891274,-1.780113394,-0.496953748636407,-1.65935206843362,-0.286877747050461,-2.14028635966408,-0.779597505548254,-2.04429924070025,0.142,-1.85,0.345508137,-1.755778433,0.076035784,-1.623927565,0.09658576,-1.923222902,-0.172886593,-1.791372034,TRUE,"f1","1stO",70,"null",85,1,323,0.2,-0.00891274,-1.780113394,0
-0.017817959,-1.798609171,0.202103705399189,-1.54230983884502,-0.433167149131095,-1.86304205217756,-0.27900396932927,-1.76244564039673,0.17,-1.85,0.511177099,-1.476160581,0.211262152,-1.483303725,0.36740577,-1.739466116,0.067490823,-1.74660926,TRUE,"L","1stO",63,"null",83,4,321,0.2,-0.017817959,-1.798609171,-0.478857903106592
0.496591284,-1.739776061,0.379159190675866,-1.59838823056095,-0.0185908271043572,-1.9030462348819,-0.0464227262655729,-1.76510037335468,0.66,-1.85,1.051736377,-1.568818048,0.759288956,-1.501926299,0.847582712,-1.788639069,0.555135291,-1.72174732,TRUE,"L","1stO",56,"null",52,7,286,0.2,0.496591284,-1.739776061,-0.230182498044881
0.497034024,-1.711915478,0.739070129266063,-1.53560620842366,0.153030278836488,-1.83749082388849,0.206825357571651,-1.66884383766413,0.646,-1.85,1.073195398,-1.619500985,0.792910811,-1.512540478,0.840422587,-1.808754304,0.560138,-1.701793797,TRUE,"L","1stO",56,"null",55,9,287,0.2,0.497034024,-1.711915478,-0.090488620768643
