"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-1.325209205",-2.087162591,-1.562801442,-1.942540266,-1.307682369,0.429046303,-1.841964015,-2.02963371,-1.076,-1.85,-1.251794237,-2.066209799,-1.54279262,-1.993271872,-1.460459526,-2.281752828,-1.751457909,-2.208814901,TRUE,"f1","1stO",70,"f2","125","1","410"
"-1.185382424",-1.679725121,-0.907641658,-1.487578224,-1.165432821,0.437654836,-1.519597774,-1.717951243,-0.908,-1.85,-0.568747517,-1.613557056,-0.84307606,-1.492132799,-0.81106828,-1.790420415,-1.085396824,-1.668996157,FALSE,"null","null",398,"f2","97","2","398"
"-0.408148405",-1.595831425,-1.631385217,-1.687117577,-1.165462501,0.417844654,-0.907379231,-1.427310752,-0.166,-1.85,-0.408052545,-1.608332272,-0.260049179,-1.347382078,-0.560040359,-1.3496825,-0.412036994,-1.088732306,FALSE,"null","null",345,"f2","111","5","345"
"-1.08808048",-1.91310641,-1.190569851,-2.11617332,-1.190029241,0.429332485,-1.360310206,-1.8866304,-0.81,-1.85,-0.646930921,-1.884094783,-0.916021835,-1.751467182,-0.896335249,-2.050820549,-1.165426163,-1.918192949,FALSE,"null","null",391,"f2","80","8","391"
"-1.137411068",-1.750452868,-1.748827915,-1.698565353,-1.243884579,0.445097986,-1.447862176,-1.738742972,-0.866,-1.85,-0.878341726,-1.782705637,-1.117627926,-1.601757814,-1.154690238,-1.899459653,-1.393976437,-1.71851183,FALSE,"null","null",395,"f2","95","9","395"
"-1.152204557",-1.735241083,-1.119561101,-1.964679857,-1.177687877,0.3972163,-1.519874275,-1.730783244,-0.894,-1.85,-0.614419685,-1.775354986,-0.862349896,-1.60644492,-0.884665199,-1.905613815,-1.13259541,-1.736703749,FALSE,"null","null",397,"f2","93","10","397"
"-0.571612269",-1.575856215,-1.23915959,-1.634368693,-1.144376705,0.434988698,-0.970660786,-1.704510122,-0.362,-1.85,-0.292071419,-1.566611483,-0.556695039,-1.42528088,-0.546779122,-1.725116959,-0.811402742,-1.583786356,TRUE,"f1","1stO",60,"f2","110","13","359"
"-0.285375308",-1.691486751,-0.833365974,-1.596846381,-1.131455525,0.421865108,-0.605233641,-1.813007573,0.016,-1.85,-0.110865421,-1.676058389,-0.382873518,-1.549521457,-0.356453667,-1.848355845,-0.628461764,-1.721818913,FALSE,"null","null",332,"f2","112","14","332"
"-1.104839068",-1.994567285,-1.182526822,-2.209873341,-1.220161108,0.432152994,-1.402699482,-1.948143368,-0.81,-1.85,-0.73662437,-2.006725729,-0.991340171,-1.848233265,-1.001240771,-2.148069851,-1.255956571,-1.989577387,TRUE,"f2","1stO",59,"f2","83","17","391"
"-1.098492908",-1.835106131,-1.167033951,-2.043727974,-1.179209674,0.434674512,-1.371540933,-1.794539106,-0.824,-1.85,-0.646943004,-1.887623923,-0.887682013,-1.708613506,-0.922340077,-2.006604812,-1.163079086,-1.827594395,TRUE,"f1","1stO",58,"f2","76","19","392"
"-0.285564607",-1.95240118,-0.139897537,-1.837503744,-0.437139302,-2.303051713,-0.321926611,-2.15447617,0.002,-1.85,0.504046655,-2.10168744,0.276627326,-1.90603354,0.220895743,-2.200811407,-0.006523587,-2.005157507,FALSE,"null","null",333,"null","80","20","333"
"-0.401925509",-1.779818722,-0.352773957,-2.019851142,-1.147553527,0.387661843,-0.817578541,-1.842853133,-0.124,-1.85,0.006118553,-1.713716238,-0.274332652,-1.607193369,-0.22635856,-1.903332671,-0.506809765,-1.796809803,FALSE,"null","null",342,"f2","92","21","342"
"-0.736198699",-1.936822601,-0.95964534,-1.806300844,-1.167206942,0.381494239,-1.33108843,-2.006978895,-0.46,-1.85,-0.563755875,-1.908419762,-0.844487311,-1.802637624,-0.795731612,-2.098649248,-1.076463048,-1.99286711,FALSE,"null","null",366,"f2","103","22","366"
"-1.382383186",-1.856672013,-1.620673605,-1.702718545,-1.308248878,0.436074668,-1.798594473,-1.923306511,-1.104,-1.85,-1.195796645,-1.840682943,-1.467462519,-1.713412942,-1.441848636,-2.01231749,-1.713514509,-1.885047489,TRUE,"L","1stO",56,"f2","108","23","412"
"-1.27610536",-1.654496217,-1.540994952,-1.719715821,-1.280243013,0.393311975,-1.782452866,-1.892233397,-0.978,-1.85,-1.209419538,-1.617001782,-1.50940006,-1.613583216,-1.362370364,-1.875083251,-1.662350885,-1.871664686,FALSE,"null","null",403,"f2","97","24","403"
"-0.066029643",-1.65928355,-1.456104696,-1.698370345,-0.45797821,-1.919531588,-0.684006504,-1.753895817,0.24,-1.85,0.131581416,-1.622090367,-0.151488145,-1.522734324,-0.095998222,-1.817557777,-0.379067783,-1.718201733,TRUE,"f3","1stO",60,"null","109","25","316"
"-0.251538259",-1.921613652,-1.439782276,-1.726892936,-0.015815201,-2.160149639,-0.483305941,-1.903695729,0.044,-1.85,0.216116357,-2.021299117,-0.006711085,-1.820431173,-0.069254106,-2.113839371,-0.292081548,-1.912971426,FALSE,"null","null",330,"null","101","26","330"
"-2.167641227",-1.674861478,-1.319997445,-1.441050622,-1.346882645,0.434318588,-2.015518602,-1.281663178,-1.874,-1.85,-2.176368583,-1.67775393,-1.882563132,-1.738403389,-1.976941885,-1.453635675,-1.683136434,-1.514285134,FALSE,"null","null",467,"f2","82","27","467"
"-1.751685732",-1.708138099,-1.538032496,-1.645632524,-1.97173866,-1.129184412,-1.327026662,0.407911059,-1.454,-1.85,-1.240828161,-1.66407722,-1.512564279,-1.536957267,-1.486785329,-1.835847625,-1.758521446,-1.708727671,TRUE,"L","1stO",54,"f3","79","28","437"
"-1.054076831",-1.672564693,-0.976596514,-1.778910006,-1.151313468,0.435273202,-1.205851752,-1.845068379,-0.796,-1.85,-0.388645801,-1.615200717,-0.660376478,-1.488069136,-0.634610318,-1.786960596,-0.906340996,-1.659829015,TRUE,"f1","1stO",62,"f2","88","31","390"
"-1.143217231",-1.685375493,-0.91864998,-1.586119521,-1.163063432,0.43916262,-1.369485118,-1.714350178,-0.852,-1.85,-0.534600585,-1.634111023,-0.806081515,-1.506446994,-0.780901342,-1.805388391,-1.052382273,-1.677724362,FALSE,"null","null",394,"f2","92","32","394"
"-1.003208709",-1.661759267,-1.349922275,-1.634061039,-1.227943485,0.432088408,-1.459762074,-1.848278597,-0.726,-1.85,-0.744231662,-1.653059493,-1.008928898,-1.511866812,-0.998856728,-1.811697684,-1.263553964,-1.670505003,FALSE,"null","null",385,"f2","110","33","385"
"-0.443965791",-1.863589443,-0.675578713,-1.738578808,-0.824103249,-2.068807021,-1.156116404,0.434803968,-0.152,-1.85,-0.162579653,-1.821260331,-0.441810144,-1.711577457,-0.397183053,-2.008239593,-0.676413545,-1.89855672,FALSE,"null","null",344,"f3","119","34","344"
"-0.683875555",-1.676498417,-1.26431833,-1.579003309,-1.171398689,0.437376633,-1.338542381,-1.811934277,-0.418,-1.85,-0.527927019,-1.703270385,-0.758609308,-1.511474448,-0.809368317,-1.807149139,-1.040050606,-1.615353202,FALSE,"null","null",363,"f2","108","35","363"
"-1.031869507",-1.73274468,-0.356505892,-1.565347399,-0.607902075,-2.081624079,-0.819280987,-1.625833037,-0.768,-1.85,0.108329184,-1.70192345,-0.155436806,-1.558998636,-0.147330331,-1.858889091,-0.411096321,-1.715964278,FALSE,"null","null",388,"null","125","36","388"
"-0.630151586",-1.810884345,-1.074160794,-1.692980478,-1.165591531,0.390627866,-1.183879776,-1.950548096,-0.362,-1.85,-0.423604315,-1.766409804,-0.709165579,-1.67446001,-0.646015805,-1.967738215,-0.931577068,-1.875788421,FALSE,"null","null",359,"f2","103","38","359"
"-0.293359216",-1.898242846,-0.912261527,-1.716229185,-1.137210714,0.409388278,-0.91345977,-1.958878961,-0.012,-1.85,-0.291179083,-1.902535386,-0.275088745,-1.602967195,-0.542567578,-1.738816649,-0.52647724,-1.439248458,FALSE,"null","null",334,"f2","88","39","334"
