"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.1943554",-1.801414694,-0.24717949,-1.537696626,-0.666761993,-2.06763351,-0.640102512,-1.77422885,0.198,-1.85,0.241684334,-1.761829709,-0.030620928,-1.635933543,-0.003497574,-1.9347049,-0.275802836,-1.808808735,TRUE,"f2","f3",56,"null","1","1","319"
"0.180735011",-1.642997906,0.027019941,-1.422396374,-0.268605779,-1.830152005,-0.387946218,-1.578197777,0.548,-1.85,0.678283437,-1.662728184,0.424623429,-1.502551406,0.412736274,-1.802315807,0.159076266,-1.642139029,TRUE,"f1","1stO",61,"null","1","2","294"
"0.435464324",-2.009427307,0.385639641,-1.749773531,-0.048079765,-2.134964875,-0.062712205,-1.84520161,0.814,-1.85,0.920593612,-2.110598242,0.696880579,-1.91071708,0.635634931,-2.204398831,0.411921899,-2.004517668,TRUE,"f2","f3",23,"null","1","3","275"
"-0.192534198",-1.887123343,-0.186578617,-1.607238029,-0.627649684,-2.066273827,-0.566848163,-1.976918447,0.198,-1.85,0.351555658,-1.609520978,0.05195826,-1.593983959,0.188301506,-1.861211426,-0.111295893,-1.845674407,TRUE,"L","f1",12,"null","1","4","319"
"-0.015128381",-1.644708242,-0.137250287,-1.397597477,-0.448206479,-1.768415868,-0.543209308,-1.600970664,0.366,-1.85,0.472888965,-1.681803727,0.225197779,-1.512543347,0.202459583,-1.811680397,-0.045231603,-1.642420016,TRUE,"f2","f3",49,"null","1","5","307"
"0.213989171",-1.828169705,0.198849146,-1.556858898,-0.224615882,-2.068291861,-0.221748496,-1.787886085,0.618,-1.85,0.759755973,-1.67877915,0.469564535,-1.602694136,0.548768699,-1.8920498,0.258577261,-1.815964786,TRUE,"f2","f3",38,"null","1","7","289"
"0.381078206",-1.66511273,0.350278759,-1.399647732,-0.024130209,-1.925131967,-0.082036851,-1.639968384,0.772,-1.85,0.875361027,-1.571977103,0.592271157,-1.472678937,0.647821358,-1.767491039,0.364731488,-1.668192873,TRUE,"f2","f3",33,"null","1","8","278"
"0.241327397",-1.76478545,0.208878035,-1.500065839,-0.14575428,-1.979274079,-0.201150104,-1.699815539,0.604,-1.85,0.805767057,-1.692548262,0.529019597,-1.576743067,0.567103086,-1.874315995,0.290355626,-1.7585108,TRUE,"f2","f3",35,"null","1","9","290"
"0.214211817",-1.941622405,0.053413499,-1.70588766,-0.30131829,-2.057598666,-0.306356528,-1.775039508,0.618,-1.85,0.660129578,-2.031331892,0.435009352,-1.833036951,0.375841008,-2.127144256,0.150720782,-1.928849314,TRUE,"f2","f3",21,"null","1","10","289"
"0.017030964",-1.565328984,-0.074104493,-1.310239036,-0.358380805,-1.8039709,-0.489796356,-1.528848739,0.408,-1.85,0.555528919,-1.528844885,0.286176052,-1.396750097,0.306455043,-1.696063916,0.037102176,-1.563969127,TRUE,"f2","f3",50,"null","1","13","304"
"-0.068690674",-1.666714817,-0.259418214,-1.481475743,-0.544184479,-1.915493092,-0.611622392,-1.632715958,0.324,-1.85,0.405868298,-1.617866773,0.132067325,-1.495257527,0.162785089,-1.793680748,-0.111015883,-1.671071502,TRUE,"f2","f3",14,"null","1","14","310"
"0.333529702",-1.652391154,0.317130428,-1.386746171,-0.0786612,-1.893045624,-0.141609883,-1.613305236,0.73,-1.85,0.879757016,-1.578731615,0.602233679,-1.464798313,0.642326214,-1.762107224,0.364802877,-1.648173922,TRUE,"L","f1",15,"null","1","16","281"
"0.330293706",-1.847453909,0.254948683,-1.590017477,-0.147090999,-2.084772778,-0.113418246,-1.797653594,0.73,-1.85,0.847272478,-1.78518909,0.571392605,-1.667331993,0.607265301,-1.96517952,0.331385428,-1.847322423,TRUE,"f2","f3",19,"null","1","17","281"
"0.519236881",-1.898801189,0.574749242,-1.632371435,0.102832501,-2.087538907,0.110221035,-1.800249948,0.884,-1.85,1.10242701,-1.913170173,0.84639288,-1.75681633,0.839003545,-2.056725312,0.582969415,-1.900371469,TRUE,"f2","f3",20,"null","1","19","270"
"0.394389895",-2.005295049,0.326124507,-1.745611205,-0.053512438,-2.166449517,-0.090163352,-1.887347663,0.8,-1.85,0.945477794,-1.946244364,0.67116752,-1.824778841,0.703130428,-2.123071269,0.428820154,-2.001605746,TRUE,"f2","f3",22,"null","1","20","276"
"0.270929546",-1.663606276,0.26215133,-1.39721834,-0.088448039,-1.932633512,-0.075268623,-1.637832891,0.674,-1.85,0.8776041,-1.565497006,0.59718217,-1.458897094,0.645074904,-1.755049565,0.364652974,-1.648449653,TRUE,"f2","f3",38,"null","1","21","285"
"0.098567782",-1.759631347,0.129713479,-1.486859898,-0.302828665,-2.002894737,-0.297339402,-1.720068462,0.45,-1.85,0.710035904,-1.648699711,0.427625327,-1.54748575,0.481176754,-1.842667464,0.198766177,-1.741453503,TRUE,"f2","f3",44,"null","1","22","301"
"-0.001775817",-1.708094705,-0.239884587,-1.555000911,-0.527310193,-1.975315648,-0.525765193,-1.683135236,0.366,-1.85,0.40401598,-1.659804047,0.128303265,-1.54155643,0.163754182,-1.839454454,-0.111958532,-1.721206837,TRUE,"f2","f3",34,"null","1","23","307"
"0.147249965",-1.695756992,-0.140143709,-1.537474547,-0.308466058,-1.914228111,-0.436737057,-1.640237825,0.534,-1.85,0.586222451,-1.655463418,0.313791511,-1.529839445,0.341213429,-1.828583547,0.068782488,-1.702959574,TRUE,"f2","f3",19,"null","1","24","295"
"-0.024207669",-1.644748329,-0.173554215,-1.428739207,-0.487070224,-1.864582484,-0.542644033,-1.6432076,0.366,-1.85,0.488694487,-1.551618706,0.206268691,-1.450447219,0.259864511,-1.745620876,-0.022561285,-1.644449389,TRUE,"f2","f3",31,"null","1","25","307"
"0.100561338",-1.994219547,0.011432923,-1.735101806,-0.418258262,-2.085152283,-0.414077601,-1.809643406,0.506,-1.85,0.570286511,-2.10531996,0.351980441,-1.899547125,0.282928974,-2.191492146,0.064622903,-1.985719311,TRUE,"f2","f3",42,"null","1","26","297"
"0.378703048",-1.940593082,0.304881144,-1.682336169,-0.073683954,-2.119882786,-0.079641722,-1.830891411,0.744,-1.85,0.904219456,-1.974731722,0.654682126,-1.808205085,0.635234493,-2.107574071,0.385697163,-1.941047434,TRUE,"f2","f3",34,"null","1","27","280"
"0.446916033",-1.59638276,0.364674835,-1.337740333,0.017361329,-1.839154373,-0.071539712,-1.556773918,0.8,-1.85,0.929560109,-1.558107013,0.658707229,-1.42911586,0.682424054,-1.728176911,0.411571174,-1.599185759,TRUE,"f2","f3",13,"null","1","28","276"
"0.357067345",-1.594075016,0.256597585,-1.340999209,0.009343851,-1.825109238,-0.100158324,-1.541195323,0.744,-1.85,0.909759215,-1.574336739,0.644763583,-1.433704899,0.655470653,-1.733513769,0.39047502,-1.592881928,TRUE,"f2","f3",46,"null","1","31","280"
"0.21592553",-1.641016024,0.042672149,-1.435655113,-0.237924648,-1.846716321,-0.322577604,-1.576503867,0.618,-1.85,0.71333935,-1.646355183,0.455156677,-1.493575252,0.451936712,-1.793557971,0.193754039,-1.640778039,TRUE,"f2","f3",50,"null","1","32","289"
"-0.059947098",-1.645937684,-0.519670717,-1.466454104,-0.374265127,-1.833154525,-0.666676653,-1.722411108,0.352,-1.85,0.31979848,-1.638234723,0.057002239,-1.493534565,0.063086347,-1.793472865,-0.199709894,-1.648772707,TRUE,"f2","f3",47,"null","1","33","308"
"-0.137854492",-1.809576788,-0.133811362,-1.542547646,-0.562237391,-2.038735952,-0.523079936,-1.770816752,0.226,-1.85,0.453137657,-1.719928231,0.173772161,-1.610589675,0.218764942,-1.907196569,-0.060600554,-1.797858013,TRUE,"f2","f3",55,"null","1","34","317"
"0.01478545",-1.779688576,-0.142950233,-1.550692396,-0.4396656,-1.949437415,-0.461521934,-1.662731358,0.38,-1.85,0.502363044,-1.84505327,0.264789775,-1.661862272,0.224928351,-1.959202257,-0.012644917,-1.776011258,TRUE,"f2","f3",51,"null","1","35","306"
"-0.237684549",-1.766483008,-0.285389809,-1.501986984,-0.689280877,-1.960366281,-0.693075988,-1.788619234,0.128,-1.85,0.312386295,-1.661615939,0.029084558,-1.562923863,0.085265582,-1.857616402,-0.198036155,-1.758924326,TRUE,"f2","f3",52,"null","1","36","324"
"0.056597005",-1.64098637,0.018081313,-1.373463975,-0.377736091,-1.904079113,-0.42731992,-1.649115341,0.45,-1.85,0.56205325,-1.520027882,0.274469707,-1.434612977,0.34429,-1.726375083,0.056706458,-1.640960177,TRUE,"f2","f3",20,"null","1","38","301"
"0.335496578",-1.850545724,0.399055861,-1.587066999,-0.084013932,-2.060038049,-0.11241745,-1.769890094,0.702,-1.85,0.902450342,-1.827270549,0.636708605,-1.688053707,0.649014151,-1.987801223,0.383272414,-1.848584381,TRUE,"f2","f3",26,"null","1","39","283"
"0.330154168",-1.731922989,0.299677165,-1.470782388,-0.08886509,-1.916963854,-0.168925865,-1.634773197,0.702,-1.85,0.865996301,-1.768238873,0.616926066,-1.601014419,0.596640558,-1.900327796,0.347570323,-1.733103342,TRUE,"f2","f3",17,"null","1","40","283"
"0.291321987",-1.692005433,0.247513327,-1.4318727,-0.117497306,-1.892386334,-0.20213987,-1.615109438,0.688,-1.85,0.833640172,-1.703139769,0.576966292,-1.547838386,0.57080829,-1.847775177,0.31413441,-1.692473795,TRUE,"f1","1stO",55,"null","1","41","284"
"0.363156931",-1.666626223,0.261263577,-1.41374435,-0.030235716,-1.916441676,-0.116442228,-1.630942869,0.772,-1.85,0.884182971,-1.613502305,0.610500229,-1.490629376,0.640930522,-1.789082048,0.36724778,-1.666209119,TRUE,"f2","f3",15,"null","1","43","278"
"0.046820038",-1.676343302,-0.059548518,-1.422721673,-0.360190224,-1.865161741,-0.44576542,-1.5975592,0.422,-1.85,0.555492685,-1.708223761,0.305576492,-1.542266246,0.286811165,-1.841678775,0.036894972,-1.675721261,TRUE,"f2","f3",53,"null","1","47","303"
"0.109198141",-1.812010621,-0.098239503,-1.609684248,-0.338726414,-1.979626456,-0.411493714,-1.693946432,0.506,-1.85,0.581852312,-1.885940105,0.348345842,-1.697592744,0.301985477,-1.99398896,0.068479007,-1.805641599,TRUE,"f2","f3",46,"null","1","48","297"
"-0.151883061",-1.821479732,-0.251747825,-1.569816069,-0.621402242,-1.981401329,-0.62925225,-1.750247751,0.212,-1.85,0.386785654,-1.793356474,0.119510726,-1.65710629,0.135152069,-1.95669826,-0.132122859,-1.820448075,TRUE,"f2","f3",51,"null","1","49","318"
"0.25806716",-2.024578196,0.177544088,-1.767115694,-0.225794801,-2.166175882,-0.177208641,-1.88067328,0.618,-1.85,0.801225399,-2.099088953,0.564214564,-1.915170862,0.523442243,-2.212387311,0.286431408,-2.02846922,TRUE,"f2","f3",45,"null","1","50","289"
"0.145775345",-1.572675409,-0.028212528,-1.344565376,-0.285933009,-1.710013572,-0.34915449,-1.46779816,0.506,-1.85,0.644250688,-1.730935835,0.442014378,-1.509349565,0.351233194,-1.795284482,0.148996884,-1.573698212,TRUE,"f2","f3",34,"null","1","52","297"
"0.1193356",-1.598684534,-0.093272725,-1.422929949,-0.34850116,-1.805791146,-0.389576896,-1.551427979,0.478,-1.85,0.619564495,-1.572083044,0.35215792,-1.436091413,0.368089,-1.735668116,0.100682425,-1.599676484,TRUE,"f1","f2",11,"null","1","55","299"
"-0.297608226",-1.620951773,-0.593612828,-1.469341998,-0.671909466,-1.804900787,-0.898834243,-1.657767356,0.1,-1.85,-0.089765985,-1.602334931,-0.361919821,-1.476111757,-0.335155379,-1.774915479,-0.607309214,-1.648692305,TRUE,"L","f1",11,"null","1","56","326"
"0.331120617",-2.09284272,0.354648053,-1.833149847,-0.105827098,-2.218581047,-0.08953472,-1.945108133,0.702,-1.85,0.874405591,-2.169973337,0.638261548,-1.984943635,0.596093147,-2.281965226,0.359949103,-2.096935524,TRUE,"f2","f3",40,"null","1","57","283"
"0.311348321",-1.864360697,0.292275638,-1.589823013,-0.181062778,-2.151471553,-0.130602627,-1.881638233,0.688,-1.85,0.833070837,-1.64397993,0.535371464,-1.606897816,0.652107097,-1.883254093,0.354407724,-1.846171978,TRUE,"f2","f3",34,"null","1","60","284"
"-0.007373523",-1.740249624,-0.16445397,-1.529807532,-0.510399444,-1.940937264,-0.520807848,-1.688685321,0.38,-1.85,0.470781014,-1.704671415,0.200559294,-1.574363235,0.222819959,-1.8735362,-0.047401761,-1.743228019,TRUE,"L","f1",32,"null","1","61","306"
"0.434257172",-1.827080383,0.451327653,-1.560317244,0.016918286,-2.064824184,0.004700132,-1.776051413,0.8,-1.85,0.982185842,-1.772927649,0.70888498,-1.649207646,0.738390745,-1.947753136,0.465089884,-1.824033133,TRUE,"f2","f3",31,"null","1","62","276"
"0.422209364",-1.939450468,0.548730731,-1.645245879,0.012377971,-2.162385356,0.098197705,-1.884130051,0.8,-1.85,0.983606234,-1.72390162,0.687296179,-1.67699372,0.794827773,-1.957059705,0.498517718,-1.910151805,TRUE,"f2","f3",34,"null","1","63","276"
"0.241411882",-1.808114035,0.129172743,-1.559058298,-0.229703653,-1.98908513,-0.243151596,-1.703076773,0.604,-1.85,0.750496071,-1.803735206,0.489407901,-1.655975377,0.491988221,-1.95596428,0.23090005,-1.808204451,TRUE,"f2","f3",40,"null","1","64","290"
"0.274899498",-1.803246255,0.338082226,-1.531224631,-0.118622242,-2.025298049,-0.119010529,-1.740730904,0.632,-1.85,0.884113465,-1.701189547,0.603093485,-1.596176354,0.652659381,-1.892053392,0.371639401,-1.787040198,TRUE,"f2","f3",40,"null","1","65","288"
"0.076859743",-1.746851172,-0.132140056,-1.552822568,-0.374899569,-1.938939504,-0.39976572,-1.653253446,0.464,-1.85,0.585009544,-1.778181555,0.334925182,-1.612477566,0.316463499,-1.911908971,0.066379137,-1.746204982,TRUE,"f1","1stO",60,"null","1","68","300"
"0.307449623",-1.74321571,0.259095789,-1.480379405,-0.155397369,-1.978357052,-0.150111738,-1.696050901,0.674,-1.85,0.857133415,-1.649012649,0.575721895,-1.54505325,0.626396174,-1.840742475,0.344984655,-1.736783076,TRUE,"f1","f2",11,"null","1","72","285"
"0.130352932",-2.01025738,0.124578843,-1.746845111,-0.381838504,-2.151609334,-0.333441744,-1.883370085,0.492,-1.85,0.607178203,-1.981479499,0.338805946,-1.847403657,0.356878989,-2.14685877,0.088506731,-2.012782927,TRUE,"f2","f3",57,"null","1","73","298"
