size	ver	log	param	vari.	rollback	rollback	standard	size_r	mean:	f1	f2	f3	var:	f1	f2	f3
0.7	x	[log]	b	x2.0	rollback	240.csv	0.01375	0.734375subset's	mean:	-0.075646742	-0.42053798	-0.497858729	var:	0.006456992	0.001025711	0.001431538
0.7	y	[log]	b	x2.0	rollback	240.csv	0.01375	0.734375subset's	mean:	0.244531149	-0.237674268	0.030997022	var:	0.000864368	0.000457613	0.000275287
0.7	x	[log]	i	x0.2	rollback	0.csv	0.016875	0.769230769230769subset's	mean:	0.091231817	-0.415175814	-0.40039373	var:	0.003849671	0.000384657	0.001199495
0.7	y	[log]	i	x0.2	rollback	0.csv	0.016875	0.769230769230769subset's	mean:	0.159551889	-0.133856384	0.01584757	var:	2.37E-05	0.000920906	0.000678613
0.7	x	[log]	i	x0.2	rollback	100.csv	0.02	0.769230769230769subset's	mean:	0.013061114	-0.478424883	-0.417756121	var:	0.002743744	0.000542767	0.001916552
0.7	y	[log]	i	x0.2	rollback	100.csv	0.02	0.769230769230769subset's	mean:	0.158011323	-0.137727436	0.004997755	var:	2.42E-05	0.000883671	0.000561193
0.7	x	[log]	i	x0.2	rollback	120.csv	0.02	0.717948717948718subset's	mean:	0.031756128	-0.455682068	-0.381739392	var:	0.002962552	0.001125743	0.002347154
0.7	y	[log]	i	x0.2	rollback	120.csv	0.02	0.717948717948718subset's	mean:	0.159999103	-0.123703463	0.00380933	var:	2.42E-05	0.001314096	0.000362077
0.7	x	[log]	i	x0.2	rollback	140.csv	0.016875	0.736842105263158subset's	mean:	0.135692538	-0.411872069	-0.386025825	var:	0.007414393	0.000336132	0.00105968
0.7	y	[log]	i	x0.2	rollback	140.csv	0.016875	0.736842105263158subset's	mean:	0.161766607	-0.136711035	0.014527786	var:	3.28E-05	0.000896946	0.000631759
0.7	x	[log]	i	x0.2	rollback	160.csv	0.02	0.763157894736842subset's	mean:	0.103716783	-0.429766727	-0.408858644	var:	0.004466375	0.000304955	0.000673458
0.7	y	[log]	i	x0.2	rollback	160.csv	0.02	0.763157894736842subset's	mean:	0.160689474	-0.128097221	0.004546857	var:	3.06E-05	0.00178963	0.000605828
0.7	x	[log]	i	x0.2	rollback	180.csv	0.0121875	0.717948717948718subset's	mean:	0.09525186	-0.42122836	-0.402182847	var:	0.004436131	0.000198206	0.001629101
0.7	y	[log]	i	x0.2	rollback	180.csv	0.0121875	0.717948717948718subset's	mean:	0.16093476	-0.157026398	0.007914423	var:	2.68E-05	0.000995222	0.000668752
0.7	x	[log]	i	x0.2	rollback	20.csv	0.0325	0.775subset's	mean:	-0.168606082	-0.487110605	-0.433691926	var:	0.007662825	0.004112811	0.007453531
0.7	y	[log]	i	x0.2	rollback	20.csv	0.0325	0.775subset's	mean:	0.139982929	-0.150154955	-0.02134764	var:	0.000349747	0.001813559	0.00093641
0.7	x	[log]	i	x0.2	rollback	200.csv	0.01375	0.794871794871795subset's	mean:	0.097889644	-0.41546263	-0.396058621	var:	0.00410667	0.000108772	0.001442667
0.7	y	[log]	i	x0.2	rollback	200.csv	0.01375	0.794871794871795subset's	mean:	0.161715573	-0.163012086	0.016677094	var:	2.90E-05	0.000209796	0.000884788
0.7	x	[log]	i	x0.2	rollback	220.csv	0.016875	0.743589743589744subset's	mean:	0.107026536	-0.411215882	-0.396350954	var:	0.004308145	0.000189429	0.001683897
0.7	y	[log]	i	x0.2	rollback	220.csv	0.016875	0.743589743589744subset's	mean:	0.16109211	-0.15637092	0.016099832	var:	2.92E-05	0.000415035	0.001026976
0.7	x	[log]	i	x0.2	rollback	240.csv	0.016875	0.763157894736842subset's	mean:	0.104969204	-0.42010003	-0.399810642	var:	0.003835497	0.000370261	0.001240985
0.7	y	[log]	i	x0.2	rollback	240.csv	0.016875	0.763157894736842subset's	mean:	0.16060458	-0.147744651	0.01026652	var:	2.72E-05	0.000836851	0.000583523
0.7	x	[log]	i	x0.2	rollback	40.csv	0.02625	0.75subset's	mean:	-0.174777565	-0.483937663	-0.412577552	var:	0.007250202	0.002241501	0.004675808
