"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.072583512,-1.788991033,-0.393208667509052,-1.65600057520893,-0.565789416698652,-1.8082551165117,-0.487355490177474,-1.8296922226138,0.086,-1.85,0.345508137,-1.755778433,0.074638048,-1.626823422,0.098394777,-1.925881305,-0.172475312,-1.796926294,TRUE,"f1","1stO",70,"null",305,1,327,0.2,-0.072583512,-1.788991033,0
-0.055851603,-1.820534436,-0.435967836766757,-1.85090973581632,-0.353039627593238,-2.24814351091486,-0.487368055175528,-2.10355825135278,0.1,-1.85,0.471271739,-1.50950068,0.171285217,-1.512344318,0.32374114,-1.770718449,0.023754618,-1.773562087,TRUE,"L","1stO",63,"null",303,4,326,0.2,-0.055851603,-1.820534436,-0.453805616339336
0.365149839,-1.79390334,0.145201418510289,-1.64756990298685,-0.0923459439277066,-2.02153150053825,-0.0029015532068653,-1.87799475329466,0.548,-1.85,0.857082774,-1.642125449,0.564599857,-1.57538908,0.653045924,-1.862054901,0.360563007,-1.795318532,FALSE,"null","null",294,"null",272,7,294,0.2,0.365149839,-1.79390334,-0.219995282723752
0.354955626,-1.752953208,0.353902765293211,-1.61696260268708,-0.131733574765563,-2.03320472660319,0.0372817180821712,-1.80414377096208,0.506,-1.85,0.8565233,-1.681243227,0.57810113,-1.569524404,0.620560876,-1.866504488,0.342138706,-1.754785664,FALSE,"null","null",297,"null",275,9,297,0.2,0.354955626,-1.752953208,-0.0627372201662577
0.38512066,-1.973659338,0.0735684343082237,-1.75274424836779,-0.147293060217129,-1.96415804763597,0.00998386823764458,-1.85031791003302,0.534,-1.85,0.821137487,-2.06366827,0.597020620999999,-1.864240012,0.536369116000001,-2.15804504,0.31225225,-1.958616782,TRUE,"f2","2ndO",210,"null",273,10,295,0.2,0.38512066,-1.973659338,0.282846984661306
0.525807827,-1.822778409,0.352972340808356,-1.7009040642575,0.0936157664309148,-1.96702974311951,-0.041033689694792,-1.85545011155729,0.66,-1.85,0.960168072,-1.75295149,0.679845841,-1.64608968,0.727461914,-1.942286759,0.447139683,-1.835424949,TRUE,"f2","1stO",59,"null",263,17,286,0.2,0.525807827,-1.822778409,-0.0801222374827968
0.586658731,-1.895827976,0.38661032682171,-1.71987838978085,0.0463532745290746,-2.07655481926856,0.184642262041284,-1.92340336876024,0.772,-1.85,1.258419142,-1.914736937,1.002934971,-1.757486061,0.994493803,-2.057367282,0.739009631,-1.900116406,TRUE,"f1","1stO",58,"null",256,19,278,0.2,0.586658731,-1.895827976,0.107413034550514
0.530091235,-1.99679989,0.500871195756836,-1.87429858437446,-0.0479460920957484,-2.11218022796384,0.0245516465050626,-1.98228425644531,0.716,-1.85,0.994525699,-1.928972912,0.715768785,-1.818091971,0.75912153,-2.11494301,0.480364616,-2.004062069,TRUE,"f3","2ndO",193,"null",260,20,282,0.2,0.530091235,-1.99679989,-0.0657448030893013
0.246151122,-1.735189247,0.270262305403631,-1.63075284714138,-0.241742978333162,-1.93934846306585,-0.390326066259277,-1.83044798158142,0.38,-1.85,0.760987575,-1.638310909,0.477921952,-1.538943646,0.53340019,-1.833769298,0.250334566,-1.734402036,FALSE,"null","null",306,"null",283,22,306,0.2,0.246151122,-1.735189247,-0.106725953369945
0.166835812,-1.682303349,-0.0877149643248944,-1.56429221913296,-0.358163467026467,-1.89684759829657,-0.397991204670919,-1.69190714611493,0.31,-1.85,0.606948443000001,-1.614170556,0.327251361,-1.505683035,0.373146951999999,-1.802151574,0.09344987,-1.693664053,TRUE,"L","1stO",56,"null",288,23,311,0.2,0.166835812,-1.682303349,-0.074316342462963
