"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.13828272,-1.795356355,-0.324071101869247,-1.58459128418248,-0.513573961162435,-1.89360718791816,-0.452427138158296,-1.80695526511832,0.17,-1.85,0.241684334,-1.761829709,-0.030301911,-1.635245814,-0.00393365800000001,-1.934084759,-0.275919903,-1.807500864,TRUE,"f1","1stO",70,"null",85,1,321,2,-0.13828272,-1.795356355,0
0.275342172,-1.644795442,0.264326784316441,-1.41799007953391,-0.324019405427575,-1.75245778846727,-0.156794122891178,-1.56253872239749,0.562,-1.85,0.777158374,-1.666626878,0.524115829,-1.505476418,0.511076709,-1.80519292,0.258034165,-1.64404246,FALSE,"null","null",293,"null",57,2,293,2,0.275342172,-1.644795442,0.131485171520813
0.553211056,-2.032401994,0.520586864274107,-1.79198593163155,-0.0427313394146822,-2.17486884139424,0.235478364824132,-1.90265966697387,0.842,-1.85,1.073533497,-2.141345462,0.849979987000001,-1.9412859,0.788500080000001,-2.2349187,0.564946569,-2.034859139,TRUE,"f3","1stO",55,"null",38,3,273,2,0.553211056,-2.032401994,0.294403021573298
-0.108357689,-1.844828214,-0.281137304021971,-1.64558051088277,-0.36593931427938,-2.30527844643708,-0.495241050886677,-1.96046779380314,0.184,-1.85,0.431366379,-1.54284078,0.131393613,-1.538798554,0.277879326,-1.800603703,-0.0220934400000001,-1.796561477,TRUE,"L","1stO",63,"null",83,4,320,2,-0.108357689,-1.844828214,-0.422116540916754
0.057993492,-1.649414359,0.0924418544253887,-1.46131615815964,-0.407426226161696,-1.79908672402405,-0.382544825650835,-1.64484029390657,0.352,-1.85,0.576529143,-1.690447428,0.329364072,-1.520419701,0.305698277,-1.819484795,0.058533207,-1.649457068,FALSE,"null","null",308,"null",71,5,308,2,0.057993492,-1.649414359,0.166975774837789
0.328329602,-1.799628213,0.106502861403755,-1.64561811375615,0.0425530229826222,-1.94563114689607,0.0149692677425235,-1.91400286506784,0.632,-1.85,0.857082774,-1.642125449,0.565265162000001,-1.572537512,0.650909046,-1.860052946,0.359091434,-1.790465009,TRUE,"L","2ndO",195,"null",52,7,288,2,0.328329602,-1.799628213,-0.201499089662368
0.522364321,-1.636571901,0.41527120265369,-1.45386284934568,0.206720234913688,-1.72090759442768,0.120467051943359,-1.73539534891518,0.786,-1.85,1.027587325,-1.537872058,0.74383979,-1.4404691,0.801360121,-1.734903153,0.517612586,-1.637500195,FALSE,"null","null",277,"null",40,8,277,2,0.522364321,-1.636571901,-0.104921326841563
0.34257089,-1.748983284,-0.101698648802062,-1.60903953473163,-0.155838495916802,-1.88605908318274,-0.0825182644653922,-1.75779205250929,0.604,-1.85,0.907279543,-1.669938193,0.629186793,-1.557401878,0.670773860000001,-1.854505422,0.39268111,-1.741969106,TRUE,"f1","1stO",58,"null",55,9,290,2,0.34257089,-1.748983284,-0.0510636749225483
0.338145762,-1.964636138,0.17046523651259,-1.74175436704297,-0.16779298324784,-1.99738975271776,-0.103797667621007,-2.00557570531108,0.604,-1.85,0.813075489,-2.062049121,0.588705443,-1.862905749,0.528427247,-2.156787595,0.304057201,-1.957644223,TRUE,"L","2ndO",198,"null",53,10,290,2,0.338145762,-1.964636138,0.290312197051828
0.011821865,-1.657100412,-0.287729016386514,-1.4586793847648,-0.422769203203945,-1.7537871614178,-0.418781383054738,-1.80617727802791,0.31,-1.85,0.560888413,-1.600409289,0.287049063,-1.47788578,0.317860267,-1.776299368,0.044020917,-1.65377586,TRUE,"f1","f3",155,"null",72,14,311,2,0.011821865,-1.657100412,-0.0148776891712282
0.464882167,-1.627567759,0.496498889681279,-1.44547601145514,-0.0471277650906113,-1.59591948351961,0.0948009780711591,-1.63939510477114,0.73,-1.85,1.136650244,-1.53865831,0.859407585,-1.424043702,0.898769752,-1.721450191,0.621527094,-1.606835583,TRUE,"f1","1stO",61,"null",46,16,281,2,0.464882167,-1.627567759,-0.0435788896231739
0.473344902,-1.827984062,0.507852535609736,-1.69683036091302,-0.0477898837963406,-1.91398257567952,0.121101510093694,-1.89102735736979,0.744,-1.85,0.960168071999999,-1.75295149,0.680543176,-1.644278046,0.726241661,-1.940777032,0.446616765,-1.832103588,TRUE,"f2","1stO",58,"null",43,17,280,2,0.473344902,-1.827984062,-0.064915881457684
