"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.232078535,-1.806488105,-0.376814461570049,-1.50116000945941,-0.670961911606544,-2.06567299431973,-0.633609187343528,-1.84327837956462,0.128,-1.85,0.241684334,-1.761829709,-0.031053731,-1.636873925,-0.00289958200000001,-1.935549909,-0.275637647,-1.810594125,TRUE,"f1","1stO",70,"null",245,1,324,2,-0.232078535,-1.806488105,0
0.171111026,-1.643300872,0.347894524854619,-1.40195482553107,-0.241625766081071,-1.89924583281969,-0.369818500903281,-1.55276352960663,0.534,-1.85,0.678283437,-1.662728184,0.424407773,-1.502893435,0.412924650999999,-1.802673584,0.159048987,-1.642838834,TRUE,"f3","2ndO",217,"null",217,2,295,2,0.171111026,-1.643300872,0.132271893882738
0.422389698,-2.00721633,0.838034371156409,-1.85071496941525,-0.0614226449070714,-2.08089867719045,-0.0763525034541723,-1.97750112705215,0.786,-1.85,0.920593612,-2.110598242,0.696682386,-1.910939126,0.635728132,-2.204681494,0.411816905,-2.005022378,TRUE,"f2","f3",214,"null",198,3,277,2,0.422389698,-2.00721633,0.298590907993427
-0.226696161,-1.905680723,-0.545660478733245,-1.75670402395044,-0.695530767874804,-2.06945956436293,-0.568288699027152,-2.11217720277159,0.156,-1.85,0.311650298,-1.642861077,0.0123732379999996,-1.622046625,0.143985923,-1.891635388,-0.155291137,-1.870820935,TRUE,"L","1stO",63,"null",243,4,322,2,-0.226696161,-1.905680723,-0.360176013630995
0.20171472,-1.837794925,-0.097946323484562,-1.5791419409875,-0.256660492415252,-1.94249280762921,-0.488199762481356,-1.7615392920681,0.59,-1.85,0.711092572,-1.697106,0.420727068,-1.621688005,0.500595921,-1.910860905,0.210230416,-1.83544291,TRUE,"f2","f3",251,"null",212,7,291,2,0.20171472,-1.837794925,-0.175493772363802
0.378633919,-1.668072493,0.262121145498805,-1.41305113627658,-0.00966239136074187,-1.87063326190262,-0.0769783885607585,-1.5634978079321,0.757999999999999,-1.85,0.773876828,-1.5947138,0.491058732,-1.4946442,0.545804965,-1.789606656,0.262986869,-1.689537056,TRUE,"f2","f3",223,"null",200,8,279,2,0.378633919,-1.668072493,-0.0895303153184299
0.215951806,-1.942750717,0.0726237423931268,-1.6226583434163,-0.335321250111383,-2.06923537036839,-0.135623032066548,-1.78076049558694,0.59,-1.85,0.711111548,-2.041570969,0.485685236,-1.843624062,0.426971342,-2.137822428,0.20154503,-1.939875521,TRUE,"f2","2ndO",210,"null",213,10,291,2,0.215951806,-1.942750717,0.290969906779807
0.0155482,-1.564291863,-0.0880038841721069,-1.3662997296292,-0.379614291327017,-1.64970319211083,-0.498852073637202,-1.44262223210958,0.38,-1.85,0.607051864,-1.521817358,0.337168003,-1.390810863,0.358654981,-1.69004039,0.08877112,-1.559033895,TRUE,"f1","1stO",60,"null",230,13,306,2,0.0155482,-1.564291863,0.0223008313304472
0.316731658,-1.64983758,0.197826046972759,-1.32775821037715,-0.106333639710968,-1.83506087614758,-0.18313218789437,-1.58278542689199,0.702,-1.85,0.982514307,-1.562702293,0.70543811,-1.447685855,0.744369051,-1.745149099,0.467292854,-1.630132661,TRUE,"f1","1stO",63,"null",206,16,283,2,0.316731658,-1.64983758,-0.0361513484546589
0.32090096,-1.850406323,0.206369776830466,-1.61279056836151,-0.0533674987155937,-2.08738811888313,-0.232624691909087,-1.91261157609649,0.716,-1.85,0.795845257,-1.792885898,0.51988761,-1.675211018,0.555956998,-1.97303479,0.279999351,-1.85535991,TRUE,"f2","1stO",59,"null",203,17,282,2,0.32090096,-1.850406323,-0.0265373925691029
0.428904595,-1.896348795,0.545822345635981,-1.67488070278427,-0.113280481136572,-2.0100637712188,-0.0598852668576831,-1.80703937000322,0.828,-1.85,1.050429633,-1.912647919,0.794643612,-1.755888513,0.786778994999999,-2.055785408,0.530992973,-1.899026002,TRUE,"f1","1stO",58,"null",196,19,274,2,0.428904595,-1.896348795,0.120203864010541
0.363468005,-2.003780914,0.26663691695819,-1.78288526163941,-0.00347511408238693,-2.20276099141293,-0.157075444012585,-2.04400229876512,0.772,-1.85,0.89642989,-1.963515817,0.626060321,-1.833514678,0.648660816,-2.132662162,0.378291247,-2.002661023,TRUE,"f3","2ndO",193,"null",200,20,278,2,0.363468005,-2.003780914,0.0185790434630286
0.122752771,-1.699618058,-0.0564645970219567,-1.44861389540909,-0.447121416335912,-1.91979133778673,-0.304919858207726,-1.62951400771126,0.520000000000001,-1.85,0.586222451,-1.655463418,0.313359865,-1.530779781,0.341811962,-1.829427531,0.068949376,-1.704743894,FALSE,"null","null",296,"null",217,24,296,2,0.122752771,-1.699618058,-0.000997606592115979
