"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.266315738,-1.804737426,-0.977878609421958,-1.65513928282509,-0.679021110681327,-1.80026837245694,-0.999454916722873,-1.95328702441728,0.016,-1.85,0.224239689,-1.758320357,-0.048542732,-1.633461431,-0.020282523,-1.9321274,-0.293064943,-1.807268475,TRUE,"f1","1stO",70,"null",105,1,332,2,-0.266315738,-1.804737426,0
0.102907611,-1.636711336,0.388460683754284,-1.6563753593913,-0.539519343024466,-1.50110864380791,-0.554479559199832,-1.408680205863,0.366,-1.85,0.418485322,-1.652484199,0.166489396,-1.489701972,0.151513815,-1.789327959,-0.100482111,-1.626545732,FALSE,"null","null",307,"null",77,2,307,2,0.102907611,-1.636711336,0.144279934029379
0.371938707,-1.993976507,0.0988483249736559,-1.37296415467936,-0.451965764049458,-2.06172233646089,-0.500858842266401,-1.73832569392157,0.632,-1.85,0.818633688,-2.090100096,0.596196155,-1.88880046,0.533084321999999,-2.182086833,0.310646789,-1.980787196,FALSE,"null","null",288,"null",58,3,288,2,0.371938707,-1.993976507,0.30629682697561
-0.345778938,-1.943575739,-1.47044127945216,-1.86801319068895,-0.564852689536409,-2.05229387515503,-0.670885606699136,-1.92948952168438,-0.0540000000000003,-1.85,0.231839577,-1.709541276,-0.0652817839999997,-1.668081699,0.0473738499999997,-1.946126135,-0.249747512,-1.904666558,TRUE,"L","1stO",63,"null",103,4,337,2,-0.345778938,-1.943575739,-0.290615881945636
0.012298837,-1.64119089,0.188413601880575,-1.39138087335567,-0.00247033714721869,-1.68367040608018,-0.65487975495672,-1.55894965949429,0.282,-1.85,0.317428699,-1.668838176,0.0722168370000001,-1.496005475,0.045145258,-1.794781528,-0.200066604,-1.621948826,FALSE,"null","null",313,"null",91,5,313,2,0.012298837,-1.64119089,0.184702089397436
0.141133725,-1.866024993,-0.73326508167997,-1.75691350928887,-0.177439133518727,-1.8603172513825,-0.0954318962440227,-2.02699144008745,0.421999999999999,-1.85,0.56510237,-1.752086551,0.275267234,-1.674655331,0.353127399,-1.964375531,0.063292263,-1.886944312,FALSE,"null","null",303,"null",72,7,303,2,0.141133725,-1.866024993,-0.168198938512985
0.288385572,-1.68919409,-0.223076888431471,-1.5262793174681,0.00272104878004426,-1.69580386460253,-0.11218971320094,-1.59441127069031,0.562,-1.85,0.60676255,-1.63111259,0.324253015,-1.530175171,0.378093414,-1.825304314,0.0955838780000003,-1.724366896,FALSE,"null","null",293,"null",60,8,293,2,0.288385572,-1.68919409,-0.0861050642472069
0.125140893,-1.811844084,-0.587747141470104,-1.9382657867936,-0.0569702836922325,-2.17590075361972,-0.564199415259629,-1.79662262280287,0.422,-1.85,0.399717114,-1.782988538,0.125655049,-1.660964013,0.157009743,-1.959320986,-0.117052322,-1.837296461,FALSE,"null","null",303,"null",75,9,303,2,0.125140893,-1.811844084,-0.0103662925228421
0.052708048,-1.909917353,0.042846458431191,-1.74438463158448,-0.76832344252723,-1.75919319221156,-0.616631883227308,-1.30445060324525,0.338,-1.85,0.558165637000001,-2.01085374,0.332762288,-1.812880685,0.274014268,-2.107072239,0.048610919,-1.909099185,FALSE,"null","null",309,"null",73,10,309,2,0.052708048,-1.909917353,0.291441010066937
-0.028494537,-1.565786246,-0.419486110191198,-1.55850834036854,0.174052263480839,-1.89524245336315,-0.727083428537708,-1.59292871935477,0.156,-1.85,0.452483029,-1.542899941,0.185839661,-1.40541789,0.200098397,-1.705078846,-0.066544971,-1.567596796,TRUE,"f1","1stO",60,"null",90,13,322,2,-0.028494537,-1.565786246,0.0467935425928046
0.006384104,-1.658856672,-0.421105987349094,-1.56435358805618,0.102371708832614,-1.8003402143818,-0.956973515722398,-1.57768205459136,0.268,-1.85,0.45754167,-1.612047612,0.183641348,-1.489660464,0.21460113,-1.788058674,-0.059299191,-1.665671526,FALSE,"null","null",314,"null",92,14,314,2,0.006384104,-1.658856672,-0.00904276096535864
