"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.116482091,-1.79291361,-0.512777687503813,-1.51195935561696,-0.653452585267612,-1.91099140964866,-0.606965695916372,-1.35537404901502,0.142,-1.85,0.241684334,-1.761829709,-0.030119545,-1.634854705,-0.00418118399999999,-1.933731271,-0.275985063,-1.806756267,TRUE,"f1","1stO",70,"null",165,1,323,2,-0.116482091,-1.79291361,0
0.275466617,-1.644740799,0.622497745632451,-1.38147551495034,-0.253097810399063,-1.51099797583267,-0.146834937087213,-1.89362362301498,0.562,-1.85,0.777158374,-1.666626878,0.524135086,-1.505446185,0.511060155,-1.805161127,0.258036867,-1.643980434,TRUE,"f3","2ndO",216,"null",137,2,293,2,0.275466617,-1.644740799,0.130166198423203
0.517123054,-2.02581525,0.611441198240754,-1.93548769338778,0.196913960394861,-1.92797889907642,-0.0241176783950122,-1.895158546897,0.786,-1.85,1.022553535,-2.131096389,0.798793704,-1.931267618,0.737616827,-2.224963702,0.513856996,-2.025134931,FALSE,"null","null",277,"null",118,3,277,2,0.517123054,-2.02581525,0.291932672111747
-0.1409906,-1.864349818,-0.769098837178755,-1.89026889710032,-0.341423572220602,-2.13863071101315,-0.556209209879573,-1.74772382732237,0.156,-1.85,0.391461018,-1.576180879,0.0915746799999999,-1.567923521,0.234366767,-1.831761387,-0.065519571,-1.823504029,TRUE,"L","1stO",63,"null",163,4,322,2,-0.1409906,-1.864349818,-0.409501485299359
0.056149749,-1.650558159,0.826891053959966,-1.5991725298505,-0.503453991790441,-1.91139363766782,-0.749337695630313,-1.41837583231651,0.352,-1.85,0.576529143,-1.690447428,0.32894597,-1.521029092,0.306016974,-1.820151577,0.058433801,-1.650733241,FALSE,"null","null",308,"null",151,5,308,2,0.056149749,-1.650558159,0.163073883084828
0.310088518,-1.805285556,-0.0609080641406977,-1.71289534386242,-0.0899177141653696,-1.91262300914202,0.362918923559026,-2.1284520798814,0.618,-1.85,0.808419373,-1.660452299,0.51707184,-1.588921784,0.600798363,-1.877001407,0.309450829,-1.805470891,TRUE,"L","2ndO",196,"null",132,7,289,2,0.310088518,-1.805285556,-0.196275382532251
0.512392423,-1.638467206,0.47265671828095,-1.63520135382849,-0.034775775214993,-1.90585464905742,0.225383397649308,-1.7541105794955,0.772,-1.85,1.027587325,-1.537872058,0.743849406,-1.440441092,0.801340674,-1.734880821,0.517602754,-1.637449855,FALSE,"null","null",278,"null",120,8,278,2,0.512392423,-1.638467206,-0.106261072218559
0.335679175,-1.748717004,-0.0821589356185814,-1.57879324511563,0.0444720442423684,-2.02181050429345,-0.522749759036711,-1.60786716675813,0.59,-1.85,0.907279543,-1.669938193,0.629425174,-1.556814589,0.670384444,-1.854005333,0.392530075,-1.740881729,TRUE,"f1","2ndO",201,"null",135,9,291,2,0.335679175,-1.748717004,-0.050389380422059
0.320605853,-1.960630741,0.39314819989218,-1.78653569452482,-0.135497335179134,-2.34389170296018,0.21392715220651,-1.67487356362678,0.59,-1.85,0.813075489,-2.062049121,0.588863728,-1.862727556,0.52835207,-2.15656142,0.304140309,-1.957239855,TRUE,"L","2ndO",199,"null",133,10,291,2,0.320605853,-1.960630741,0.289668215496933
0.013090309,-1.657150702,-0.111214878665572,-1.43350495829249,-0.662311438694807,-1.90556174377361,-0.362046398296291,-1.594841713563,0.31,-1.85,0.560888413,-1.600409289,0.287008966,-1.477975437,0.317917863,-1.776378922,0.044038416,-1.65394507,TRUE,"f1","f3",155,"null",152,14,311,2,0.013090309,-1.657150702,-0.0166435256996124
