"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.160593171,-1.797832434,-0.395144044800183,-2.01746097271293,-0.432268894089834,-2.40619914134741,-0.181014376511136,-1.73623097480073,0.114,-1.85,0.241684334,-1.761829709,-0.030460141,-1.635586354,-0.00371785600000002,-1.93439206,-0.275862331,-1.808148705,TRUE,"f1","1stO",70,"null",265,1,325,2,-0.160593171,-1.797832434,0
0.214308296,-1.641829702,0.298499542332163,-2.1219313908716,-0.118858404700082,-1.6276276566692,-0.343209429283172,-1.68704495432384,0.478,-1.85,0.626323814,-1.660679387,0.373642983,-1.498962357,0.359932342,-1.79864889,0.107251512,-1.63693186,FALSE,"null","null",299,"null",237,2,299,2,0.214308296,-1.641829702,0.134977488395692
0.475593958,-2.01653929,0.967975138797147,-1.96092215783286,0.180992374523496,-1.79326013342764,-0.175184165427671,-1.58276356733114,0.758,-1.85,0.920593612,-2.110598242,0.69742209,-1.910112652,0.635382236,-2.203627654,0.412210715,-2.003142063,FALSE,"null","null",279,"null",218,3,279,2,0.475593958,-2.01653929,0.297562050720516
-0.166000682,-1.882587491,-0.216743222795786,-1.9089312180895,-0.652921694597063,-2.09980808722054,-0.643190532980445,-2.24689148802119,0.142,-1.85,0.351555658,-1.609520978,0.0517734880000003,-1.598090741,0.191765697,-1.863424835,-0.108016473,-1.851994598,TRUE,"L","1stO",63,"null",263,4,323,2,-0.166000682,-1.882587491,-0.396229333935989
0.005617548,-1.642516531,-0.27237424630722,-2.18151855334767,-0.805654696446386,-1.71639563895128,-0.94742999579709,-1.08729770965487,0.282,-1.85,0.421068877,-1.677481877,0.174756416,-1.50622134,0.14959667,-1.805164457,-0.096715791,-1.63390392,FALSE,"null","null",313,"null",251,5,313,2,0.005617548,-1.642516531,0.173223868688779
0.307917319,-1.815588739,-0.515761554441785,-1.63232355218529,-0.182389978737558,-1.95466858895678,0.442078009309149,-1.9335532685758,0.562,-1.85,0.759755973,-1.67877915,0.467628015,-1.610505758,0.554565502,-1.897632686,0.262437544,-1.829359294,FALSE,"null","null",293,"null",232,7,293,2,0.307917319,-1.815588739,-0.204749683800374
0.456837864,-1.654154173,0.13295833608473,-1.32402868229826,0.0262096511355766,-1.86173774648039,-0.121653906656309,-2.12895830489421,0.744,-1.85,0.824618927,-1.583345451,0.541138049,-1.485169121,0.597855292,-1.779758928,0.314374414,-1.681582597,FALSE,"null","null",280,"null",220,8,280,2,0.456837864,-1.654154173,-0.100942795157876
0.259152998,-1.770812787,0.207356402860909,-1.91695568609215,0.198657424926802,-2.21883068578302,0.075011418164053,-1.66773939715191,0.52,-1.85,0.755010814,-1.703853296,0.477466642,-1.589970759,0.517613557,-1.887272331,0.240069385,-1.773389794,FALSE,"null","null",296,"null",235,9,296,2,0.259152998,-1.770812787,-0.0449663091395553
0.285284681,-1.953761999,-0.0364878872766216,-1.73656329950227,-0.323003119620008,-2.00285794742487,-1.25110200574661,-1.83156882334672,0.548,-1.85,0.762093519,-2.051810045,0.537823545,-1.852553981,0.477397719,-2.146405507,0.253127745,-1.947149444,TRUE,"f2","2ndO",210,"null",233,10,294,2,0.285284681,-1.953761999,0.29206625367814
0.12270999,-1.554727857,0.664172796017662,-1.60424042456282,-0.729938284540016,-1.78190867430896,-0.60686186392646,-1.64418179117735,0.31,-1.85,0.658574809,-1.51478983,0.38833719,-1.384514623,0.410634361,-1.68368487,0.140396743,-1.553409663,TRUE,"f1","1stO",60,"null",250,13,311,2,0.12270999,-1.554727857,0.0148669267730911
0.027522773,-1.655680347,-0.046213138386383,-1.27818424953588,-0.228520485348547,-1.51291781009017,-0.467949163734778,-1.34455721857954,0.296,-1.85,0.509215042,-1.60622845,0.235446924,-1.48354586,0.266084743000001,-1.7819773,-0.00768337399999997,-1.65929471,FALSE,"null","null",312,"null",252,14,312,2,0.027522773,-1.655680347,-0.0130450000713196
0.39417782,-1.639003429,0.133353029686953,-1.43702326621416,-0.347297820700876,-2.01404469751172,-0.29538118270843,-1.69482797745101,0.646,-1.85,1.033892953,-1.554687632,0.756712214,-1.43992336,0.795913809,-1.737351057,0.51873307,-1.622586786,TRUE,"f1","1stO",63,"null",226,16,287,2,0.39417782,-1.639003429,-0.0417873152449886
0.400270568,-1.841505177,-0.329279556180253,-1.80415306991979,-0.626383921763136,-2.27218282612077,-0.827596052243448,-1.70651216339051,0.702,-1.85,0.847272478,-1.78518909,0.570752816,-1.668841007,0.608252252,-1.966488101,0.33173259,-1.850140018,TRUE,"f2","1stO",59,"null",223,17,283,2,0.400270568,-1.841505177,-0.0360665090457794
0.528072664,-1.89898993,-0.309908260027889,-1.36321335746644,-0.461344698549001,-2.14037779746846,-0.0803886214206766,-1.65454809425999,0.786,-1.85,1.10242701,-1.913170173,0.84640076,-1.756803428,0.838996311,-2.056712038,0.582970061,-1.900345293,TRUE,"f1","1stO",58,"null",216,19,277,2,0.528072664,-1.89898993,0.113943428346672
0.459345982,-2.018771842,0.647533946331646,-2.19884540967112,-0.215230931810639,-2.38198672018834,0.0082430498833479,-2.02262023491972,0.73,-1.85,0.89642989,-1.963515817,0.619860608,-1.847285733,0.657487044,-2.144916799,0.380917762,-2.028686715,TRUE,"f3","2ndO",193,"null",220,20,281,2,0.459345982,-2.018771842,-0.0364931989774526
0.294136103,-1.660635678,0.669715647123473,-1.54163484772524,0.254581858770978,-1.92843676065934,0.359174483101724,-2.28308188123594,0.576,-1.85,0.8776041,-1.565497006,0.597043158,-1.459263501,0.645322715,-1.755353157,0.364761773,-1.649119652,FALSE,"null","null",292,"null",232,21,292,2,0.294136103,-1.660635678,-0.0723753171446718
0.128510845,-1.759096262,-1.19671756512194,-1.39175394878795,-0.547140045023495,-2.05108871869078,-0.952270813426893,-2.03053191407504,0.422,-1.85,0.608132562,-1.669477315,0.325193842999999,-1.569749277,0.380296188,-1.864645414,0.09735747,-1.764917376,FALSE,"null","null",303,"null",243,22,303,2,0.128510845,-1.759096262,-0.0954638058183364
0.048305504,-1.701024059,0.185589814746771,-1.14127674577789,-0.752272348023331,-1.66511096892727,-0.538788657294653,-1.5995253372524,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.0605641330000004,-1.715121053,TRUE,"L","1stO",56,"null",248,23,308,2,0.048305504,-1.701024059,-0.0395091874809117
0.207231399,-1.694077641,0.0189615872019275,-2.42425341643784,-0.566391885497941,-1.85287721464306,-0.0948973324376684,-1.70901853049289,0.506,-1.85,0.586222451,-1.655463418,0.312548624,-1.532570635,0.342957266,-1.831025514,0.0692834379999997,-1.708132731,FALSE,"null","null",297,"null",237,24,297,2,0.207231399,-1.694077641,-0.0122770900964727
0.041109857,-1.632836315,-0.198991166744812,-2.02213539145503,-0.704992885784706,-1.58707087098911,-1.20978381784267,-1.79669720491712,0.338,-1.85,0.488694487,-1.551618706,0.206280085,-1.450415418,0.259842667,-1.745595109,-0.022571735,-1.644391821,TRUE,"f3","1stO",60,"null",249,25,309,2,0.041109857,-1.632836315,-0.0902449550693902
0.166815285,-2.006941018,-0.217363386354354,-1.51945095974647,-0.359803936683202,-1.61638854810396,-0.112848594214878,-1.68515224732281,0.436,-1.85,0.519690775,-2.093316982,0.302997052,-1.885846911,0.231669562,-2.177244216,0.0149758379999999,-1.969774145,FALSE,"null","null",302,"null",241,26,302,2,0.166815285,-2.006941018,0.329316745822111
