"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.152203308,-1.796780838,-0.450650192288108,-1.28194614832561,-0.471810533401145,-1.4298674711037,-0.340189336301472,-1.72090507387508,0.114,-1.85,0.241684334,-1.761829709,-0.030364438,-1.635380249,-0.00384849600000001,-1.934206126,-0.275897268,-1.807756667,TRUE,"f1","1stO",70,"null",285,1,325,2,-0.152203308,-1.796780838,0
0.231409976,-1.643674184,0.200392990190449,-1.37140398802734,0.397142038678957,-1.92796422685449,-0.529375205676941,-1.33483970033674,0.506,-1.85,0.678283437,-1.662728184,0.425101629,-1.501796609,0.4123217,-1.801524274,0.159139892,-1.640592699,FALSE,"null","null",297,"null",257,2,297,2,0.231409976,-1.643674184,0.131114617902512
0.464581881,-2.014514455,0.43916289997564,-1.83758232054508,-0.519644336208557,-1.51085362463427,0.268717607337506,-2.06312029519563,0.772,-1.85,0.971573574,-2.120847315,0.748088322,-1.920711506,0.686508252000001,-2.214323316,0.463023001,-2.014187507,FALSE,"null","null",278,"null",238,3,278,2,0.464581881,-2.014514455,0.295238364243423
-0.159611694,-1.880803097,-0.32905531823417,-1.97511385268792,-0.813337840050546,-1.88989653378847,-0.180909629279696,-2.03497925655471,0.142,-1.85,0.351555658,-1.609520978,0.0517466539999995,-1.598817658,0.192381809,-1.863811532,-0.107427195,-1.853108211,TRUE,"L","1stO",63,"null",283,4,323,2,-0.159611694,-1.880803097,-0.399411507175959
0.054772921,-1.643749999,-0.152904186491416,-1.93887390418117,-0.290555326751387,-1.28105744710915,-0.554881958832111,-1.1276345796462,0.31,-1.85,0.369248788,-1.673160027,0.124537094,-1.499619866,0.0966027540000001,-1.79831649,-0.148108939,-1.624776329,FALSE,"null","null",311,"null",271,5,311,2,0.054772921,-1.643749999,0.181751512920002
0.288475059,-1.817162897,-0.155799076884812,-1.74486415412288,0.524616459071783,-1.88496787602389,0.120277339317449,-1.98289540057728,0.576,-1.85,0.759755973,-1.67877915,0.468212062,-1.608053283,0.55273362,-1.895900649,0.26118971,-1.825174782,FALSE,"null","null",292,"null",252,7,292,2,0.288475059,-1.817162897,-0.19710359326002
0.466977742,-1.65119679,0.216198903025584,-1.26798581286694,0.124090922562124,-1.69010111015188,0.327008062306323,-1.73008720736194,0.744,-1.85,0.875361027,-1.571977103,0.591742807,-1.474198242,0.64887294,-1.768708256,0.36525472,-1.670929395,FALSE,"null","null",280,"null",240,8,280,2,0.466977742,-1.65119679,-0.103102027090705
0.275763312,-1.765442849,0.3627891696713,-1.99046218102841,0.268912668994559,-2.0230851899376,-0.297276496603025,-1.36433083294261,0.534,-1.85,0.805767057,-1.692548262,0.527944395,-1.579346811,0.568820394,-1.876549019,0.290997732,-1.763347568,FALSE,"null","null",295,"null",255,9,295,2,0.275763312,-1.765442849,-0.0481765186784577
0.306702219,-1.957632623,0.108420154294442,-1.7055643906923,-0.632207123629234,-2.17468447855863,-0.331122760087099,-1.7744251848369,0.562,-1.85,0.762093519,-2.051810045,0.538047617,-1.852302066,0.477291589,-2.146085498,0.253245687,-1.946577519,TRUE,"f2","2ndO",210,"null",253,10,293,2,0.306702219,-1.957632623,0.292432617219692
0.133975777,-1.552552308,-0.809259712039759,-1.15623492849374,-0.149960370598963,-1.84704562336126,-0.190878021863546,-1.89985059945933,0.324,-1.85,0.710097754,-1.507762303,0.439445235,-1.378351276,0.462698257,-1.677448746,0.192045738,-1.548037719,TRUE,"f1","1stO",60,"null",270,13,310,2,0.133975777,-1.552552308,0.010914064641584
0.026131049,-1.656048567,0.0386139807287893,-1.63767946838484,-0.258628370553366,-1.52833243343176,-0.269677706849302,-1.45237222404271,0.296,-1.85,0.509215042,-1.60622845,0.235390326,-1.483672239,0.266165891,-1.782089505,-0.00765882499999999,-1.659533293,FALSE,"null","null",312,"null",272,14,312,2,0.026131049,-1.656048567,-0.0142640451254863
0.407062509,-1.638232802,0.167879952540105,-0.815685916859276,-0.227781655203106,-2.17610870089828,0.0732798854799963,-2.31866656495769,0.66,-1.85,1.033892953,-1.554687632,0.756545608,-1.44032658,0.796179704,-1.737696953,0.518832359,-1.623335901,TRUE,"f1","1stO",63,"null",246,16,286,2,0.407062509,-1.638232802,-0.043999063670429
0.407025435,-1.839524577,-0.880962123453018,-1.73170398239778,-0.263747833715938,-2.20573323614378,-0.166410204031337,-1.80310754039453,0.702,-1.85,0.860659757,-1.783185495,0.584345728,-1.666349895,0.621320144,-1.964062663,0.345006115,-1.847227062,TRUE,"f2","1stO",59,"null",243,17,283,2,0.407025435,-1.839524577,-0.0350602692756075
0.506676582,-1.894138129,0.758705886748926,-1.40405006137859,0.00823446499663011,-1.39065459328815,0.069042022138479,-0.99543262915452,0.8,-1.85,1.206421765,-1.914214682,0.951022928,-1.756825248,0.942419098,-2.056701846,0.687020261,-1.899312412,TRUE,"f1","1stO",58,"null",236,19,276,2,0.506676582,-1.894138129,0.117185326139912
