"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.145315288",-1.796694683,-0.134648368,-1.578504672,-0.597869411,-2.01496507,-0.459349485,-1.793736454,0.114,-1.85,0.241684334,-1.761829709,-0.030534386,-1.635746527,-0.003616264,-1.934536444,-0.275834984,-1.808453262,TRUE,"f1","1stO",70,"null","265","1","325"
"0.26215022",-1.644546275,0.127059163,-1.458930486,-0.253143227,-1.78102092,-0.08353621,-1.582070572,0.52,-1.85,0.777158374,-1.666626878,0.524014453,-1.505635713,0.511163975,-1.805360362,0.258020053,-1.644369197,FALSE,"null","null",296,"null","237","2","296"
"0.477385458",-2.017425701,0.371521392,-1.79946707,-0.020342966,-2.085686551,0.170450383,-1.909756116,0.772,-1.85,1.022553535,-2.131096389,0.798833126,-1.931223482,0.737598317,-2.224907493,0.513877908,-2.025034587,FALSE,"null","null",278,"null","218","3","278"
"-0.155071802",-1.879260091,-0.134517254,-1.640289542,-0.615265914,-2.003972094,-0.459971817,-2.106405887,0.142,-1.85,0.351555658,-1.609520978,0.05173265,-1.599217407,0.192721,-1.864023535,-0.107102009,-1.853719964,TRUE,"L","1stO",63,"null","263","4","323"
"0.068487785",-1.649526166,-0.090084764,-1.471689925,-0.428084174,-1.586746176,-0.433035331,-1.757679555,0.338,-1.85,0.576529143,-1.690447428,0.3296033,-1.520072465,0.305517175,-1.819103999,0.058591332,-1.648729036,FALSE,"null","null",309,"null","251","5","309"
"0.303531721",-1.806012541,0.17877412,-1.629350707,-0.208452176,-2.016860979,-0.086581961,-1.804653929,0.576,-1.85,0.808419373,-1.660452299,0.517226593,-1.588294385,0.600332396,-1.876553687,0.309139616,-1.804395773,FALSE,"null","null",292,"null","232","7","292"
"0.468459957",-1.649764792,0.341535939,-1.471397353,0.079401998,-1.866411189,-0.076202311,-1.703137352,0.744,-1.85,0.926103126,-1.560608755,0.642406613,-1.46305729,0.699772823,-1.75752141,0.416076309,-1.659969945,FALSE,"null","null",280,"null","220","8","280"
"0.250158206",-1.76484225,0.165353599,-1.569549217,-0.143516449,-1.948422286,-0.254871918,-1.747020697,0.562,-1.85,0.805767057,-1.692548262,0.528776861,-1.577324864,0.567485569,-1.874817109,0.290495374,-1.759593711,FALSE,"null","null",293,"null","235","9","293"
"0.307613889",-1.958048964,0.11728964,-1.768255544,-0.073049316,-2.049642652,-0.233802221,-1.846972693,0.576,-1.85,0.813075489,-2.062049121,0.58882826,-1.862767461,0.528368894,-2.156612089,0.304121665,-1.957330429,TRUE,"f2","2ndO",210,"null","233","10","292"
"0.024099699",-1.655984719,-0.132415667,-1.499541472,-0.461534977,-1.884726038,-0.497509191,-1.656595752,0.296,-1.85,0.509215042,-1.60622845,0.2354587,-1.483519585,0.266067877,-1.781953964,-0.007688465,-1.659245099,FALSE,"null","null",312,"null","252","14","312"
"0.393289442",-1.634760225,0.583727896,-1.4318017,0.033920339,-1.835619903,0.113462663,-1.607830864,0.674,-1.85,1.085271598,-1.546672971,0.808602068,-1.430681717,0.846485461,-1.728280186,0.56981593,-1.612288932,TRUE,"f1","1stO",63,"null","226","16","285"
"0.408598491",-1.839344469,0.252091456,-1.679028898,0.006975185,-2.049573058,-0.103371888,-1.844107398,0.702,-1.85,0.860659757,-1.783185495,0.584341845,-1.666359079,0.621326156,-1.964070618,0.345008244,-1.847244202,TRUE,"f2","1stO",59,"null","223","17","283"
"0.517449129",-1.893467253,0.721218635,-1.690750286,0.127407289,-2.01429044,0.33425789,-1.840464991,0.8,-1.85,1.206421765,-1.914214682,0.951246854,-1.756462457,0.942216874,-2.056326525,0.687041963,-1.8985743,TRUE,"f1","1stO",58,"null","216","19","276"
"0.464924582",-1.991878639,0.321877016,-1.815528318,0.055371312,-1.939058532,0.033969336,-2.10981955,0.744,-1.85,0.994525699,-1.928972912,0.718839119,-1.810664375,0.754224211,-2.108570225,0.478537631,-1.990261688,TRUE,"f3","2ndO",193,"null","220","20","280"
"0.294138581",-1.660632487,0.26975231,-1.444105324,-0.042734612,-1.905150076,-0.10240441,-1.680416218,0.576,-1.85,0.8776041,-1.565497006,0.597043652,-1.459262196,0.645321832,-1.755352076,0.364761384,-1.649117266,FALSE,"null","null",292,"null","232","21","292"
"0.128441346",-1.758379411,0.027410129,-1.5676186,-0.430848056,-1.934112875,-0.217229326,-1.786186345,0.422,-1.85,0.659084233,-1.659088513,0.376120378,-1.559431817,0.431297076,-1.854314051,0.148333221,-1.754657356,FALSE,"null","null",303,"null","243","22","303"
"0.048305504",-1.701024059,-0.147692938,-1.56259262,-0.404826561,-1.933880968,-0.537088201,-1.733329891,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.060564133,-1.715121053,TRUE,"L","1stO",56,"null","248","23","308"
"0.228910313",-1.687562585,-0.031306703,-1.535139717,-0.260782348,-1.659194142,-0.291795296,-1.826925645,0.506,-1.85,0.686381923,-1.627461985,0.409249324,-1.512581514,0.448326217,-1.810025621,0.171193618,-1.69514515,FALSE,"null","null",297,"null","237","24","297"
"0.064300152",-1.623803092,-0.033184995,-1.429854389,-0.425346735,-1.822360563,-0.272866586,-1.613071759,0.338,-1.85,0.590726793,-1.531483946,0.30891443,-1.428616106,0.360734449,-1.724106691,0.078922087,-1.621238851,TRUE,"f3","1stO",60,"null","249","25","309"
"0.177698371",-2.008732967,0.093952219,-1.804079276,-0.393440823,-2.029886357,-0.185880317,-1.869810463,0.478,-1.85,0.671477984,-2.129325915,0.454675988,-1.921968989,0.383500621,-2.213403488,0.166698625,-2.006046562,FALSE,"null","null",299,"null","241","26","299"
"0.450694114",-1.943065878,0.344306979,-1.752938951,-0.056627987,-2.084897253,0.030050838,-1.864338886,0.716,-1.85,0.956138862,-1.977625725,0.707168818,-1.810252139,0.686704063,-2.109553315,0.437734019,-1.942179729,FALSE,"null","null",282,"null","222","27","282"
"0.535697348",-1.586380694,0.368095134,-1.432202524,0.071055064,-1.794833008,0.13598224,-1.565230833,0.758,-1.85,1.032662491,-1.544472543,0.761169263,-1.416834666,0.786378234,-1.715773636,0.514885006,-1.58813576,TRUE,"L","1stO",54,"null","219","28","279"
"0.400018176",-1.588928207,0.199316328,-1.437821585,-0.042503523,-1.787569048,-0.014727638,-1.556683799,0.646,-1.85,0.909759215,-1.574336739,0.645765942,-1.431832171,0.654350003,-1.731709336,0.39035673,-1.589204769,TRUE,"f1","1stO",62,"null","228","31","287"
"0.313832496",-1.639931913,0.088906994,-1.485958654,-0.290961595,-1.781553962,-0.126644635,-1.582215747,0.59,-1.85,0.765336847,-1.646865357,0.50786303,-1.492893822,0.503256678,-1.792858456,0.245782861,-1.638886921,FALSE,"null","null",291,"null","232","32","291"
"0.054566056",-1.635821026,-0.22065128,-1.493416151,-0.384156108,-1.824152269,-0.552603036,-1.639419944,0.338,-1.85,0.472714143,-1.607367265,0.203322435,-1.475351708,0.223689463,-1.774659549,-0.045702246,-1.642643992,FALSE,"null","null",309,"null","250","33","309"
"-0.06566284",-1.79916836,-0.097685779,-1.585466445,-0.524787836,-2.024931157,-0.436347318,-1.794978661,0.198,-1.85,0.504447433,-1.71148389,0.224856978,-1.602721868,0.270461531,-1.899235316,-0.009128924,-1.790473294,FALSE,"null","null",319,"null","259","34","319"
"0.071954436",-1.783966342,-0.079267883,-1.599548645,-0.401860424,-1.756358957,-0.317483416,-1.915314516,0.366,-1.85,0.60539205,-1.859231559,0.369089167,-1.674404755,0.327175902,-1.971462457,0.090873018,-1.786635654,FALSE,"null","null",307,"null","248","35","307"
