"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.266912099",-1.808977034,-0.226653585,-1.541139792,-0.685477985,-2.061936183,-0.632654197,-1.771014929,0.142,-1.85,0.224239689,-1.758320357,-0.049586147,-1.635766646,-0.018807855,-1.934183631,-0.292633691,-1.811629921,TRUE,"f1","1stO",70,"null","265","1","323"
"0.160690167",-1.642119297,-0.0113744,-1.438366754,-0.337381755,-1.813275735,-0.396007325,-1.573879342,0.548,-1.85,0.626323814,-1.660679387,0.372696574,-1.500450729,0.360748105,-1.800212691,0.107120865,-1.639984032,TRUE,"f2","f3",241,"null","237","2","294"
"0.427020437",-2.008544283,0.331856719,-1.750900967,-0.083506634,-2.126935174,-0.003704817,-1.84409814,0.786,-1.85,0.920593612,-2.110598242,0.69654008,-1.911098832,0.635795288,-2.204884588,0.411741756,-2.005385177,TRUE,"f2","f3",222,"null","218","3","277"
"-0.21872274",-1.903701908,-0.203204925,-1.622625217,-0.63052563,-1.943771955,-0.62422347,-2.117060693,0.156,-1.85,0.311650298,-1.642861077,0.01231394,-1.622917534,0.144710504,-1.892122196,-0.154625854,-1.872178653,TRUE,"L","1stO",63,"null","263","4","322"
"-0.021571178",-1.643942131,-0.243770161,-1.458228207,-0.514652086,-1.659946376,-0.583081606,-1.692776264,0.352,-1.85,0.421068877,-1.677481877,0.173337209,-1.508280751,0.150670569,-1.807423231,-0.097061098,-1.638222105,TRUE,"f2","f3",304,"null","251","5","308"
"0.232243718",-1.827725516,0.132586874,-1.578681136,-0.254837592,-2.071888224,-0.235696112,-1.792341497,0.59,-1.85,0.759755973,-1.67877915,0.468964343,-1.605021247,0.550483941,-1.893733137,0.259692311,-1.819975235,TRUE,"f2","f3",245,"null","232","7","291"
"0.376796227",-1.668738665,0.219845617,-1.456934956,-0.057641056,-1.89336446,-0.211857333,-1.696346584,0.772,-1.85,0.773876828,-1.5947138,0.490979634,-1.49486803,0.545959258,-1.789787072,0.263062064,-1.689941302,FALSE,"null","null",278,"null","220","8","278"
"0.191270105",-1.773922135,0.176375636,-1.507416244,-0.233716333,-1.991994824,-0.309625657,-1.70864889,0.576,-1.85,0.755010814,-1.703853296,0.478685541,-1.587044293,0.515688613,-1.884753501,0.23936334,-1.767944498,FALSE,"null","null",292,"null","235","9","292"
"0.210240356",-1.941058929,-0.037782072,-1.72248771,-0.178532977,-2.072072518,-0.377859449,-1.822428633,0.604,-1.85,0.660129578,-2.031331892,0.434909608,-1.833150245,0.375889252,-2.127287284,0.150669282,-1.929105637,TRUE,"f2","2ndO",210,"null","233","10","290"
"0.014363253",-1.563774362,-0.055166781,-1.305212086,-0.257903258,-1.802448747,-0.397588474,-1.52659814,0.38,-1.85,0.607051864,-1.521817358,0.337300663,-1.390537926,0.35848494,-1.689789035,0.088733739,-1.558509603,TRUE,"f1","1stO",60,"null","250","13","306"
