"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
-0.247179513716514,-1.81913632573333,-0.246080971875166,-1.52995810530915,-0.670858847196129,-2.00894035043431,-0.731131644161167,-1.81877514065923,0.17,-1.85,0.224239689,-1.758320357,-0.049500045,-1.635574447,-0.018931254,-1.934012965,-0.292670988,-1.811267056,TRUE,"f1","1stO",70,"null","225","1","321"
0.170347750523824,-1.6631207618716,-0.0671436551045528,-1.47312708032587,-0.32860587541839,-1.79558145325241,-0.443340976863381,-1.57254316777454,0.562,-1.85,0.626323814,-1.660679387,0.372929898,-1.500081991,0.360545432,-1.799826257,0.107151516,-1.639228862,TRUE,"L","2ndO",204,"null","197","2","293"
0.388565753615789,-1.99083135803924,0.34891245939986,-1.74263542525289,-0.0722627450215285,-2.11673476845936,-0.0833859557374337,-1.85753968279444,0.8,-1.85,0.920593612,-2.110598242,0.696646175,-1.910979742,0.635745201,-2.204733162,0.411797764,-2.005114662,TRUE,"L","2ndO",185,"null","178","3","276"
-0.256467405897724,-1.90190126295255,-0.206586780703642,-1.63016037616747,-0.629524258601462,-1.95252097335183,-0.630623696629818,-2.09060576082357,0.17,-1.85,0.311650298,-1.642861077,0.012379885,-1.621951264,0.143906662,-1.89158195,-0.15536375,-1.870672137,TRUE,"L","1stO",63,"null","223","4","321"
0.235137845896267,-1.82213687000505,0.0483910260491342,-1.59144811046772,-0.238405731205074,-2.04629221269166,-0.24801946479824,-1.77837451173009,0.59,-1.85,0.759755973,-1.67877915,0.468953643,-1.605063447,0.550515137,-1.893763503,0.259712806,-1.820047801,TRUE,"L","2ndO",198,"null","192","7","291"
0.417734920398294,-1.66561104673266,0.289986504467805,-1.4914013952225,-0.159870854311509,-1.93538369961215,-0.180343540591157,-1.64961297282549,0.772,-1.85,0.773876828,-1.5947138,0.49097758,-1.494873849,0.545963271,-1.78979176,0.263064023,-1.689951809,TRUE,"L","2ndO",184,"null","180","8","278"
0.264528191451379,-1.79249809219804,0.0207748061696659,-1.49202767547883,-0.25425730114923,-1.97616677611637,-0.324350804120993,-1.71059592851955,0.59,-1.85,0.704254571,-1.715158331,0.42745573,-1.599476002,0.465671315,-1.897031995,0.188872473,-1.781349666,TRUE,"L","2ndO",200,"null","195","9","291"
0.170077406264409,-1.92625472975779,-0.00616722052480223,-1.73422093254941,-0.281328334990948,-2.05530363756273,-0.335857552138442,-1.74655960582134,0.604,-1.85,0.660129578,-2.031331892,0.435273052,-1.832737978,0.37571394,-2.126766398,0.150857414,-1.928172484,TRUE,"f2","f3",197,"null","193","10","290"
0.071096096599844,-1.58119657314804,-0.0478724337787374,-1.30405913056921,-0.424669596797758,-1.7869317780357,-0.486705465539319,-1.52895673026188,0.408,-1.85,0.555528919,-1.528844885,0.286455066,-1.396182676,0.30610315,-1.695538573,0.037029297,-1.562876364,TRUE,"f1","1stO",60,"null","210","13","304"
-0.0326410859431375,-1.66967369727129,-0.278018572338265,-1.52403843240217,-0.585108526430518,-1.94347146837811,-0.555829480146668,-1.64768598062129,0.338,-1.85,0.405868298,-1.617866773,0.132069366,-1.495252971,0.162782164,-1.793676703,-0.111016769,-1.6710629,TRUE,"f1","2ndO",220,"null","212","14","309"
