"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.63011842,-1.877668624,-1.668210145,-1.974250478,-1.460023681,-1.765023585,-1.144095458,-2.032733902,-0.194,-1.85,-0.495378116,-1.850749663,-0.779537899,-1.754556015,-0.720764151,-2.048742429,-1.004923933,-1.952548781,TRUE,"f1","1stO",70,"null",145,1,347,2,-0.63011842,-1.877668624,0
-0.498869721,-1.650864012,-1.329912457,-1.742705286,-0.649055926,-1.421847661,-0.781795155,-1.744361298,-0.04,-1.85,-0.0491512859999998,-1.634045026,-0.314383323,-1.493859555,-0.303171484,-1.793649973,-0.568403522,-1.653464501,FALSE,"null","null",336,"null",117,2,336,2,-0.498869721,-1.650864012,0.159806385020067
-0.581296302,-2.069731079,-1.620769304,-2.045462322,-1.4139293,-1.813977542,-0.956772621,-2.119326402,-0.152,-1.85,-0.350357243,-2.009331262,-0.639664751,-1.92995138,-0.563755992,-2.220188973,-0.8530635,-2.14080909,TRUE,"L","1stO",63,"null",143,4,344,2,-0.581296302,-2.069731079,-0.058622179217588
-0.366879244,-1.608721574,-1.202895637,-1.645138978,-1.505074993,-1.789883515,-0.938431288,-1.85923146,0.0720000000000003,-1.85,-0.20077219,-1.625619673,-0.444064605,-1.450095314,-0.474426951,-1.748554906,-0.717719367,-1.573030547,FALSE,"null","null",328,"null",131,5,328,2,-0.366879244,-1.608721574,0.29856928618287
-0.284404516,-1.96443711,-0.137574805999999,-1.616230758,-1.338833997,-1.88064651,-0.68251669,-1.953456333,0.17,-1.85,0.175795165,-1.898701353,-0.102612782,-1.786947092,-0.0601908370000003,-2.083932578,-0.338598784,-1.972178317,FALSE,"null","null",321,"null",112,7,321,2,-0.284404516,-1.96443711,0.0553058564302098
-0.25189221,-1.802582894,-1.46630556,-1.991050316,-1.306871436,-1.737752278,-0.699868718,-1.876320765,0.198,-1.85,-0.13720514,-1.781237467,-0.420072996,-1.681308612,-0.365179994,-1.976243789,-0.64804785,-1.876314935,FALSE,"null","null",319,"null",100,8,319,2,-0.25189221,-1.802582894,0.0131745023401451
-0.25881141,-1.826004346,-0.786218602,-1.722332726,-0.58065746,-1.501824416,-0.715072265,-2.043573744,0.198,-1.85,0.145935898999999,-1.83951371,-0.108723319,-1.680930348,-0.11873093,-1.980763381,-0.373390148,-1.822180019,FALSE,"null","null",319,"null",115,9,319,2,-0.25881141,-1.826004346,0.230552781278274
-0.179477541,-1.856688141,-0.921961168,-1.723920592,-1.343074897,-1.845650729,-0.55998595,-1.773983816,0.268,-1.85,0.0483459310000001,-1.908462977,-0.171760595,-1.704617161,-0.238242988,-1.997157912,-0.458349514,-1.793312095,FALSE,"null","null",314,"null",113,10,314,2,-0.179477541,-1.856688141,0.420651025476693
-0.234842258,-1.562387017,-1.001556571,-1.545574703,-1.391342356,-1.78678517,-0.727519039,-1.777808661,0.156,-1.85,-0.084073484,-1.56568465,-0.340538948,-1.410039331,-0.347099017,-1.709967598,-0.603564481,-1.554322278,TRUE,"f1","1stO",60,"null",130,13,322,2,-0.234842258,-1.562387017,0.219056523296244
-0.219805794,-1.684578973,-0.608324715,-1.58511641,-0.727365697,-2.010420856,-0.959792203,-1.7279032,0.24,-1.85,0.147501439,-1.646962581,-0.126236126,-1.524211834,-0.0956726089999997,-1.822650892,-0.369410173,-1.699900144,FALSE,"null","null",316,"null",132,14,316,2,-0.219805794,-1.684578973,0.0951324361751996
