"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
0,0,0.012207849,0.202673377,-0.483828073,-0.204391464,-0.311853412,-0.017349737,0.266203308,-0.053219162,0.393887642,0.0349511290000002,0.12183887,0.161400589,0.148354812,-0.137425288,-0.12369396,-0.0109758289999999,TRUE,"f1","1stO",70,"null","305","1","325","0.2","-0.152203308",-1.796780838,0
0,0,-0.290582167496521,0.0608119422960544,-0.529266409038053,-0.2096270215356,-0.395372920101414,-0.0117033077110766,0.298961721409213,-0.168667089196406,0.497237827712813,0.044121778921082,0.225189056569494,0.170571237651557,0.251704998237495,-0.128254638754927,-0.0203437738973466,-0.00180518015438163,FALSE,"null","null",297,"null","277","2","297","0.2","0.231487496",-1.643918504,0.130298645810116
0,0,-0.231184362886015,0.0958148793330226,-0.508878821297938,-0.205110516706698,-0.354536870611702,-0.0161108612742048,0.246358736945798,0.247020572974565,0.515972919202673,0.0457842139143815,0.243924147324152,0.172233672718584,0.270440088808529,-0.12659220462622,-0.00160868336032997,-0.000142744865093442,FALSE,"null","null",278,"null","258","3","278","0.2","0.464533799",-2.014852437,0.294580730009621
0,0,0.0922080178438324,0.190242131307098,-0.509017474178853,0.0329214946903622,-0.29238041590016,0.00343389804332356,0.289850431344508,-0.0889110352641544,0.576428541606891,0.0511486682209351,0.304379769799787,0.177598127281625,0.330895711786595,-0.121227749944485,0.0588469403683686,0.00522171003749515,TRUE,"L","1stO",63,"null","303","4","323","0.2","-0.159611694",-1.880803097,-0.399411507175959
0,0,-0.335355730946966,0.0903480545906833,-0.531760124099359,-0.130173017636259,-0.590709020800402,-0.134953278691545,0.282397141787903,-0.156791676686723,0.414170006652863,0.0367508593490101,0.142121235614863,0.163200318843123,0.16863717635489,-0.135625558103723,-0.10341159468311,-0.00917609860960973,TRUE,"f2","f3",299,"null","291","5","311","0.2","0.058526886",-1.647285796,0.171613851458704
0,0,-0.122008776352004,0.164945759641465,-0.58402646423185,-0.103187852939327,-0.448065799794534,0.0621081678114402,0.275432909665135,-0.0885680028165605,0.489130485876946,0.0434023840476772,0.217081714107019,0.169851844415555,0.243597655741713,-0.128974033350878,-0.0284511162238161,-0.00252457396368341,FALSE,"null","null",292,"null","272","7","292","0.2","0.288563447",-1.817018083,-0.196871346208481
0,0,-0.148409444629502,0.15239587302254,-0.434089025675584,-0.133133785676438,-0.598562978468751,-0.0208362637001674,0.255090465376734,-0.226258485382546,0.41436789171182,0.0367684184330872,0.142319119349313,0.163217878022595,0.168835061806873,-0.135607999769917,-0.103213710555635,-0.00915854018040986,FALSE,"null","null",280,"null","260","8","280","0.2","0.466977742",-1.65119679,-0.103102027090705
0,0,-0.13770621118169,0.165469623609291,-0.390100587256105,-0.153107735984202,-0.535529860474394,0.0200190468510615,0.254055038291358,-0.097573890281389,0.532744694863839,0.0472724365245554,0.260695923334175,0.173721895910671,0.28721186480759,-0.125103981032591,0.0151630932779265,0.00134547835352498,FALSE,"null","null",295,"null","275","9","295","0.2","0.275744753",-1.764157971,-0.0457918238621545
0,0,-0.29376115311391,0.114473649311261,-0.365599208453017,-0.202523503840712,-0.579597464414089,-0.0577692121173291,0.213490178669849,0.176842922403914,0.46316628440884,0.0410984829902943,0.191117511849498,0.167547942795816,0.217633454657636,-0.13127793493939,-0.0544153179017051,-0.00482847513386819,TRUE,"f2","2ndO",210,"null","273","10","293","0.2","0.30667293",-1.957979456,0.291689417387513
0,0,-0.271171173951133,0.144359645503983,-0.125691982863992,-0.172996586907146,-0.416213430000975,-0.03916703111724,0.193148201119312,-0.296050007659639,0.574913241120321,0.0510142099208199,0.302864469432522,0.177463669119938,0.329380410906711,-0.121362207895636,0.0573316392189126,0.00508725130348161,TRUE,"f1","1stO",60,"null","290","13","310","0.2","0.13458865",-1.551545355,0.0125711443639893
