"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.100776332",-1.789053601,-0.186314413,-1.612423548,-0.469005737,-2.017073166,-0.598627212,-1.842833305,0.156,-1.85,0.241684334,-1.761829709,-0.02919298,-1.632889874,-0.005419495,-1.931946427,-0.276296809,-1.803006592,TRUE,"f1","1stO",70,"null","145","1","322"
"0.339767426",-1.640026563,0.302847446,-1.450974687,-0.085847454,-1.783391529,-0.156791001,-1.587931107,0.59,-1.85,0.873025165,-1.626308665,0.609446037,-1.483039537,0.617160896,-1.782940322,0.353581768,-1.639671193,TRUE,"f2","2ndO",211,"null","117","2","291"
"0.576211447",-2.035553103,0.708276673,-1.871795489,0.130731679,-2.115509051,0.214446162,-1.918196028,0.856,-1.85,1.175493421,-2.161843608,0.952200592,-1.961493133,0.890338406,-2.255045632,0.667045577,-2.054695157,TRUE,"f2","2ndO",189,"null","98","3","272"
"-0.097397123",-1.841944576,0.013580736,-1.603021583,-0.508478013,-2.082800595,-0.394418108,-1.895983604,0.184,-1.85,0.431366379,-1.54284078,0.131378014,-1.540198665,0.279084058,-1.801317268,-0.020904307,-1.798675153,TRUE,"L","1stO",63,"null","143","4","320"
"0.10324757",-1.643946171,0.106915261,-1.453508562,-0.406551764,-1.732166951,-0.320680222,-1.542423665,0.38,-1.85,0.628349232,-1.694769278,0.384200584,-1.520437876,0.355299485,-1.819042508,0.111150837,-1.644711106,TRUE,"f1","2ndO",225,"null","131","5","306"
"0.35129487",-1.789284526,0.286095718,-1.607945488,-0.104491671,-2.004114813,-0.080317693,-1.807257753,0.646,-1.85,0.857082774,-1.642125449,0.565714581,-1.570679133,0.649524353,-1.858734548,0.35815616,-1.787288232,TRUE,"L","2ndO",194,"null","112","7","287"
"0.551737866",-1.629504023,0.562235133,-1.430358756,0.083018759,-1.849074704,0.15296758,-1.644257595,0.8,-1.85,1.129071524,-1.515135361,0.845068123,-1.418480986,0.903364679,-1.712762333,0.619361278,-1.616107958,TRUE,"L","2ndO",183,"null","100","8","276"
"0.362351983",-1.735031565,0.530896306,-1.544787626,-0.067491962,-1.90377148,-0.016975137,-1.703516719,0.632,-1.85,1.008792029,-1.647328124,0.731177037,-1.533618335,0.771508967,-1.830894865,0.493893974,-1.717185076,TRUE,"L","2ndO",196,"null","115","9","288"
"0.347607643",-1.965459461,0.349075304,-1.77404137,-0.130953414,-2.041781836,-0.104604427,-1.836814803,0.618,-1.85,0.821137487,-2.06366827,0.597204835,-1.864033185,0.536282106,-2.157782093,0.312349454,-1.958147007,TRUE,"L","2ndO",199,"null","113","10","289"
"0.040082489",-1.654277726,-0.034998767,-1.47596533,-0.430247322,-1.864133287,-0.462525085,-1.662885698,0.31,-1.85,0.560888413,-1.600409289,0.287026902,-1.477935322,0.317892091,-1.776343331,0.04403058,-1.653869364,TRUE,"f2","f3",134,"null","132","14","311"
"0.502573722",-1.622965641,0.653137698,-1.424235263,0.041825383,-1.801013069,0.151355576,-1.607094145,0.758,-1.85,1.136650244,-1.53865831,0.859338996,-1.424209755,0.898879264,-1.721592618,0.621568016,-1.607144063,TRUE,"f1","1stO",63,"null","106","16","279"
"0.485960002",-1.822705268,0.494728967,-1.626478542,0.026171911,-2.0175037,0.074569761,-1.814796329,0.744,-1.85,1.00992223,-1.737834487,0.729473058,-1.631306267,0.777441499,-1.927446485,0.496992327,-1.820918265,TRUE,"f2","1stO",59,"null","103","17","280"
"0.635664484",-1.894379953,0.873722786,-1.725430295,0.166028582,-1.994180828,0.356721671,-1.848724339,0.926,-1.85,1.31041652,-1.915259192,1.055372508,-1.757295423,1.046093877,-2.057151901,0.791049866,-1.899188132,TRUE,"f1","1stO",58,"null","96","19","267"
