"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-1.064621388,-1.750125667,-0.580238614,-1.561366629,-0.55740836,-2.065532506,-0.879579853,-1.691494953,-0.782,-1.85,0.0161409530000001,-1.757217626,-0.242676797,-1.605516035,-0.244645353,-1.905509577,-0.503463103,-1.753807986,TRUE,"f1","1stO",70,"null",165,1,389,0.2,-1.064621388,-1.750125667,0
-1.234627972,-1.685480773,-0.943445383,-1.494927845,-1.170205271,0.397452353999998,-1.560602701,-1.720750444,-0.978,-1.85,-0.62070714,-1.611508259,-0.896593071,-1.493665342,-0.860705066,-1.791511025,-1.136590996,-1.673668107,FALSE,"null","null",403,"f2",137,2,403,0.2,-1.234627972,-1.685480773,-0.126475760103774
-1.027875879,-1.764980771,-0.970361253,-2.009996989,-1.163997603,0.436743035,-1.270348026,-1.747432606,-0.768,-1.85,-0.506845318,-1.823624197,-0.748245792,-1.645506789,-0.781799755,-1.943624436,-1.023200229,-1.765507028,FALSE,"null","null",388,"f2",118,3,388,0.2,-1.027875879,-1.764980771,0.105519156934124
-1.060220571,-1.806439908,-0.485772599,-1.609420787,-0.472267307,-2.071178915,-0.922021998,-1.996605699,-0.768,-1.85,0.0792749399999964,-1.823750588,-0.17822424,-1.669821474,-0.182781172999999,-1.969786862,-0.440280353,-1.815857748,TRUE,"L","1stO",63,"null",163,4,388,0.2,-1.060220571,-1.806439908,0.00862845870930455
-0.05350732,-1.638009078,-0.379868122,-1.492071482,-0.59900415,-1.763433092,-0.927941876,-1.659461705,0.198,-1.85,0.317428698999999,-1.668838176,0.0709376810000002,-1.497834731,0.0460898619999999,-1.796803937,-0.200401155,-1.625800492,FALSE,"null","null",319,"null",151,5,319,0.2,-0.05350732,-1.638009078,0.0763591531486475
-0.923738006,-1.913924544,-1.168727719,0.440154597000003,-1.201677997,-1.827992807,-1.196887039,-2.071707989,-0.656,-1.85,-0.600213504,-1.978866586,-0.825418802,-1.780668266,-0.884460933,-2.074800934,-1.109666231,-1.876602615,FALSE,"null","null",380,"f1",132,7,380,0.2,-0.923738006,-1.913924544,0.191538359967492
-0.951653457,-1.883738239,-0.77084279,-2.093283016,-1.156682515,0.391708748000001,-1.194159336,-1.879542385,-0.698,-1.85,-0.392068031,-1.832666125,-0.664433793,-1.706900901,-0.637166791,-2.005659182,-0.909532553,-1.879893958,FALSE,"null","null",383,"f2",120,8,383,0.2,-0.951653457,-1.883738239,-0.0975775174536022
-0.319192156,-1.818160909,-0.973388573,-1.65814274,-1.157188224,0.392047477000001,-0.701372041,-1.700201708,-0.0540000000000004,-1.85,-0.307736634,-1.822628423,-0.495288265,-1.588482345,-0.604288901,-1.867979861,-0.791840532,-1.633833783,FALSE,"null","null",337,"f2",135,9,337,0.2,-0.319192156,-1.818160909,0.365283595290665
-1.216946481,-1.734840881,-1.142129286,-1.94085007,-1.177816872,0.439440318999999,-1.516366778,-1.732077799,-0.936,-1.85,-0.665401656,-1.76511591,-0.916597428,-1.601101631,-0.933040075,-1.900650691,-1.184235847,-1.736636411,FALSE,"null","null",400,"f2",133,10,400,0.2,-1.216946481,-1.734840881,0.048274396603914
-0.611810007,-1.580741645,-1.242650816,-1.632780628,-1.163668889,0.397867512999995,-0.978873988,-1.722556473,-0.376,-1.85,-0.344070902,-1.566843191,-0.611305274,-1.430513478,-0.595753083,-1.730110089,-0.862987455,-1.593780376,TRUE,"f1","1stO",60,"f2",150,13,360,0.2,-0.611810007,-1.580741645,-0.0584257874804552
-0.135055357,-1.67501923,-1.397872896,-1.695468904,-0.696166192,-1.857178796,-0.414534122,-1.682135683,0.17,-1.85,0.095828067,-1.652781742,-0.177163487,-1.528380732,-0.148402146,-1.826998858,-0.4213937,-1.702597847,FALSE,"null","null",321,"null",152,14,321,0.2,-0.135055357,-1.67501923,-0.102580514586679
-1.560543245,-1.991529934,-1.971463968,-1.483422516,-1.30226088599999,0.401865461000001,-1.8923278,-1.729104914,-1.272,-1.85,-1.585183404,-1.971897793,-1.475458241,-2.251111669,-1.288514513,-2.016479952,-1.17878935,-2.295693829,TRUE,"f2","1stO",59,"f2",123,17,424,0.2,-1.560543245,-1.991529934,-2.47539612398358
-1.433699287,-1.82799522,-1.725078575,-1.724980785,-1.284536305,-1.05765009,-1.30126125200001,0.418446712000001,-1.146,-1.85,-1.454804279,-1.83787566,-1.155906534,-1.863568807,-1.283104489,-1.591869193,-0.984206743000001,-1.61756234,TRUE,"f1","1stO",58,"f3",116,19,415,0.2,-1.433699287,-1.82799522,2.69718085498776
-1.044762666,-1.787072479,-0.888095531,-1.769548074,-1.172909819,0.389239345999996,-1.365337103,-1.752540249,-0.754,-1.85,-0.631927806,-1.850081632,-0.866129483,-1.662599434,-0.911392991,-1.959165135,-1.145594668,-1.771682938,FALSE,"null","null",387,"f2",120,20,387,0.2,-1.044762666,-1.787072479,0.144894838660665
-0.818696259,-1.95208658,-1.039301932,-1.82004919,-1.181275473,0.424997780000004,-1.398459656,-2.008859727,-0.558,-1.85,-0.665659217,-1.929197366,-0.944796907,-1.819278531,-0.900420565,-2.115978279,-1.179558255,-2.006059445,FALSE,"null","null",373,"f2",143,22,373,0.2,-0.818696259,-1.95208658,-0.155027857642158
-0.028488425,-1.712457108,-0.318273659,-1.598718936,-0.555657587,-1.668060941,-0.652157443,-1.900482449,0.254,-1.85,0.353282864,-1.67121242,0.0788667709999999,-1.549986153,0.111089791,-1.848250594,-0.163326302,-1.727024328,TRUE,"L","1stO",56,"null",148,23,315,0.2,-0.028488425,-1.712457108,-0.11417957869616
-0.435900584,-1.705753692,0.285421217,-1.516514159,-0.13764559,-2.087472936,-0.213889084,-1.612905404,-0.18,-1.85,0.636302186999998,-1.641462701,0.367982251,-1.507282181,0.38593848,-1.806744322,0.117618544,-1.672563801,FALSE,"null","null",346,"null",137,24,346,0.2,-0.435900584,-1.705753692,-0.06645179288776
0.02676161,-1.640225688,-0.285057389,-1.542189692,-0.542133894,-1.826544412,-0.821957938,-1.726389693,0.282,-1.85,0.386662181,-1.571753467,0.103397576,-1.472954864,0.159467779,-1.767668509,-0.123796825,-1.668869907,TRUE,"f3","1stO",60,"null",149,25,313,0.2,0.02676161,-1.640225688,-0.194568177328683
-0.155516368,-1.941956285,-0.0589457639999998,-1.665296668,-0.7336919,-1.960771608,-0.447494059,-1.864645636,0.142,-1.85,0.418499302,-2.069311027,0.197349264,-1.866597781,0.132369462,-2.159475955,-0.088780577,-1.956762709,FALSE,"null","null",323,"null",141,26,323,0.2,-0.155516368,-1.941956285,0.211767859985831
-1.071101643,-1.661033788,-1.727922191,-1.692647008,-1.192711573,0.403322033,-1.404402703,-1.716047459,-0.81,-1.85,-0.70057039,-1.622060078,-0.974643571,-1.500060525,-0.943261693,-1.798414639,-1.217334875,-1.676415085,TRUE,"f1","1stO",62,"f2",128,31,391,0.2,-1.071101643,-1.661033788,-0.111359884772185
-1.265207427,-1.695944744,-1.023721834,-1.566634137,-1.175269349,0.398665368999995,-1.52960412,-1.722031234,-0.964000000000001,-1.85,-0.638595579,-1.633090676,-0.912076979,-1.509770263,-0.882134889,-1.808272309,-1.155616288,-1.684951896,FALSE,"null","null",402,"f2",132,32,402,0.2,-1.265207427,-1.695944744,-0.1065353173402
-0.123300336,-1.646425152,-0.466411631,-1.538975723,-0.692750377,-1.594381344,-0.701900712,-1.842952175,0.128,-1.85,0.268826592,-1.648523875,0.00982550399999969,-1.497135513,0.00821988100000044,-1.797131217,-0.250781208,-1.645742855,FALSE,"null","null",324,"null",150,33,324,0.2,-0.123300336,-1.646425152,-0.00120980150004905
-0.196563217,-1.822531801,-1.292379084,-1.716020693,-0.583853961,-2.101288705,-0.79132597,-1.897511539,0.0719999999999997,-1.85,0.0426594499999998,-1.787482964,-0.236148377,-1.676730106,-0.192659252,-1.973561196,-0.471467079,-1.862808338,FALSE,"null","null",328,"null",159,34,328,0.2,-0.196563217,-1.822531801,-0.152038238318823
-0.408968855,-1.716130041,-1.005172735,-1.472572432,-1.155541851,0.435346762999995,-1.094699443,-1.719116954,-0.11,-1.85,-0.373383509,-1.724537818,-0.591738568,-1.518816968,-0.660720521,-1.810778421,-0.87907558,-1.605057571,FALSE,"null","null",341,"f2",148,35,341,0.2,-0.408968855,-1.716130041,0.225453978341257
-1.164248338,-1.744075483,-0.979022431,-1.699963988,-0.725187087,-2.078889444,-0.716861996,-1.589534322,-0.908000000000001,-1.85,-0.0957279269999995,-1.742230961,-0.355794096,-1.592679674,-0.355276226,-1.892679227,-0.615342395,-1.74312794,FALSE,"null","null",398,"null",165,36,398,0.2,-1.164248338,-1.744075483,-0.0082881402491562
-0.038235195,-1.664961185,-1.351088182,-1.692675747,-0.516295103,-1.964819551,-0.508685051,-1.693204619,0.226,-1.85,0.182258011,-1.617055053,-0.103473545,-1.525635812,-0.039779152,-1.818796219,-0.325510709,-1.727376979,FALSE,"null","null",317,"null",143,38,317,0.2,-0.038235195,-1.664961185,-0.220504904219661
-0.479611382,-1.909636847,-1.140146616,-1.718766127,-1.165966571,0.387193762999996,-1.046855712,-1.957582459,-0.18,-1.85,-0.446869878,-1.912352539,-0.693389464,-1.741390281,-0.718187329,-2.040363634,-0.964706916,-1.869401376,FALSE,"null","null",346,"f2",128,39,346,0.2,-0.479611382,-1.909636847,0.076192082904345
-1.111798617,-1.69587756,-1.077890849,-1.938436939,-1.166773762,0.398709716,-1.420813975,-1.719873278,-0.852,-1.85,-0.534942971,-1.675582764,-0.799863953,-1.534810347,-0.789315952,-1.834624856,-1.054236933,-1.693852439,FALSE,"null","null",394,"f2",126,40,394,0.2,-1.111798617,-1.69587756,-0.041729156339592
-0.39020108,-1.677970316,-1.28594113,-1.671946284,-1.152472608,0.395618585999997,-0.868339928,-1.659407914,-0.0960000000000001,-1.85,-0.310166396,-1.682103269,-0.56189268,-1.518904379,-0.577363923,-1.818505181,-0.829090207,-1.655306291,FALSE,"null","null",340,"f2",128,41,340,0.2,-0.39020108,-1.677970316,0.045031793543115
-0.734754355,-1.775046871,-1.045388106,-1.627218842,-1.180623226,0.436506448000001,-1.353169877,-1.749071951,-0.432,-1.85,-0.613639246,-1.788409728,-0.855429865,-1.610822294,-0.888329784,-1.909012829,-1.130120403,-1.731425396,FALSE,"null","null",364,"f2",124,43,364,0.2,-0.734754355,-1.775046871,0.103325519116701
-0.13290701,-1.651717566,-0.850387832,-1.574460968,-0.382125177,-1.780019827,-1.145423778,0.438563713000003,0.17,-1.85,-0.0148232500000004,-1.664363365,-0.257181308,-1.487551115,-0.289126179,-1.785845475,-0.531484238,-1.609033225,TRUE,"f2","1stO",66,"f3",146,47,321,0.2,-0.13290701,-1.651717566,0.1001232635582
0.127228834,-1.802928641,-1.074589359,-1.680591701,-0.467653768,-1.671505166,-0.460337283,-1.930258004,0.38,-1.85,0.325539685,-1.842307119,0.099922504,-1.64457779,0.041492473,-1.938832665,-0.184124709,-1.741103336,FALSE,"null","null",306,"null",139,48,306,0.2,0.127228834,-1.802928641,0.189457757490165
-0.18793338,-1.833117518,-1.868532926,-1.599471342,-0.810450685,-1.783171302,-0.806447671,-2.027950244,0.0859999999999998,-1.85,-0.131623193,-1.834004565,-0.389035948,-1.679930968,-0.393761219,-1.979893752,-0.651173975,-1.825820155,FALSE,"null","null",327,"null",159,49,327,0.2,-0.18793338,-1.833117518,0.00918966357378093
0.007642361,-2.000976934,-0.294255192,-1.971232683,-1.11401752299999,0.403125966999998,-0.524620225999999,-1.780909837,0.31,-1.85,-0.024293802,-1.995445099,0.206100725,-2.187586615,0.257302895,-1.891988344,0.487697421999999,-2.08412986,TRUE,"f2","1stO",61,"f2",131,50,311,0.2,0.007642361,-2.000976934,-2.9766409910718
0.222142515,-1.552914841,-0.220772679,-1.372131253,-0.399491109,-1.678844234,-0.656180696,-1.52279395,0.142,-1.85,0.503072227,-1.664568356,0.317035787,-1.429216613,0.206233419,-1.708004768,0.020196979,-1.472653025,FALSE,"null","null",323,"null",143,52,323,0.2,0.222142515,-1.552914841,0.371738122456232
