"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.091664675,-1.789252589,-0.326210956088903,-1.8249316283296,-0.670803740469892,-1.8481886860283,-0.316036112900872,-1.74820085756574,0.1,-1.85,0.293596235,-1.758804071,0.022778077,-1.629740035,0.046414423,-1.928807458,-0.224403735,-1.799743422,TRUE,"f1","1stO",70,"null",205,1,326,0.2,-0.091664675,-1.789252589,0
0.363359117,-1.644603322,-0.573742394112102,-1.33688303709021,0.498260075338644,-1.83748418609539,-0.192150589523843,-1.63663928033144,0.464,-1.85,0.626323814,-1.660679387,0.376153335,-1.495105442,0.357847332,-1.794546405,0.107676852,-1.62897246,TRUE,"f2","f3",251,"null",177,2,300,0.2,0.363359117,-1.644603322,0.139927497256824
0.602881478,-2.040777134,0.47552278324786,-1.89730877007347,-0.0954087245339864,-1.87653626800495,-0.0104290591029647,-1.94327832997328,0.716,-1.85,0.971573574,-2.120847315,0.749518209,-1.919126184,0.685850267,-2.212292336,0.463794902,-2.010571205,FALSE,"null","null",282,"null",158,3,282,0.2,0.602881478,-2.040777134,0.292722329433477
-0.120549041,-1.859751615,0.143769757168742,-1.57741269495256,-0.463863197615022,-2.20533623641414,-0.436729478495847,-1.90858508032233,0.1,-1.85,0.391461018,-1.576180879,0.0915086149999999,-1.5708371,0.236856969,-1.833275391,-0.063095434,-1.827931612,TRUE,"L","1stO",63,"null",203,4,326,0.2,-0.120549041,-1.859751615,-0.426915680444572
0.132070193,-1.648707063,-0.222049407285075,-1.40831083491501,-0.341896341364959,-1.81521610364499,-0.406388263514382,-1.67927457929148,0.254,-1.85,0.421068877,-1.677481877,0.177401187,-1.502478857,0.147677971,-1.801002777,-0.0959897190000001,-1.625999757,FALSE,"null","null",315,"null",191,5,315,0.2,0.132070193,-1.648707063,0.178109760469165
0.348226807,-1.802199291,-0.103766958603259,-1.73693829473416,0.165528382328352,-1.94645095326471,0.154138971765616,-1.9594915378225,0.548,-1.85,0.808419373,-1.660452299,0.515967998,-1.593577844,0.604278708,-1.880285392,0.311827333,-1.813410937,FALSE,"null","null",294,"null",172,7,294,0.2,0.348226807,-1.802199291,-0.219925676136227
0.28811781,-1.776843955,-0.942409020750667,-1.63400489597491,-0.247159727278128,-1.97357581461686,0.13618943727791,-1.78039547625172,0.478,-1.85,0.653498328,-1.726463365,0.375636879,-1.613357153,0.416614751,-1.910545332,0.138753302,-1.79743912,FALSE,"null","null",299,"null",175,9,299,0.2,0.28811781,-1.776843955,-0.0581517021163423
0.333910281,-1.962262547,-0.0559324731891677,-1.76632361519696,-0.0258430353824055,-1.95022330419364,-0.0196298005648534,-1.72804935132467,0.52,-1.85,0.762093519,-2.051810045,0.538493392,-1.851802587,0.477081916,-2.145449706,0.253481789,-1.945442248,FALSE,"null","null",296,"null",173,10,296,0.2,0.333910281,-1.962262547,0.285031793355724
0.116432668,-1.645103819,-0.0148738465748056,-1.68963516475066,-0.198458602843323,-1.79833492028297,-0.292356806882504,-1.86011233904245,0.254,-1.85,0.664235157000001,-1.588770966,0.390446235,-1.466134812,0.421134671,-1.76456105,0.14734575,-1.641924896,FALSE,"null","null",315,"null",192,14,315,0.2,0.116432668,-1.645103819,-0.0236044786346013
0.485901062,-1.828966279,0.427766370314122,-1.69547262196611,-0.496612142672542,-2.170565150872,0.397681083285567,-1.95516484350732,0.66,-1.85,0.910413914,-1.768068493,0.631939048,-1.656481087,0.674538954,-1.953441098,0.396064088,-1.841853693,TRUE,"f2","1stO",59,"null",163,17,286,0.2,0.485901062,-1.828966279,-0.0636117196906746
0.379341573,-1.900876235,0.186880879212866,-1.49015528890424,-0.175005927231968,-1.96797269743237,-0.0262963769078671,-1.97641955290351,0.59,-1.85,0.530455859,-1.907425372,0.277386638,-1.746316809,0.26439714,-2.046035465,0.0113279190000001,-1.884926902,TRUE,"f1","1stO",58,"null",156,19,291,0.2,0.379341573,-1.900876235,0.12218142129003
0.551341739,-2.024473059,-0.195190085261363,-1.9619849844312,0.0719741971422921,-2.21635915262086,0.271524657808911,-2.08706985274864,0.66,-1.85,0.89642989,-1.963515817,0.614490718,-1.860996046,0.666675578,-2.156422417,0.384736406,-2.053902646,FALSE,"null","null",286,"null",160,20,286,0.2,0.551341739,-2.024473059,-0.0959693790410329
0.411861999,-1.640100407,-0.246813890057787,-1.46656473521013,0.0489162110949349,-1.82842048173634,-0.165726804658525,-1.73722783113091,0.52,-1.85,0.980131812,-1.548059449,0.699683866,-1.441528001,0.747648898,-1.737668771,0.467200952,-1.631137322,FALSE,"null","null",296,"null",172,21,296,0.2,0.411861999,-1.640100407,-0.0817030171052142
0.198288782,-1.746243451,0.633567655152839,-1.45681318944816,-0.0977555360992478,-1.99488647887898,-0.442245328366144,-1.6597198464576,0.38,-1.85,0.659084233,-1.659088513,0.375925932,-1.559985652,0.431679488,-1.854759364,0.148521188,-1.755656504,FALSE,"null","null",306,"null",183,22,306,0.2,0.198288782,-1.746243451,-0.108062402945057
0.129700203,-1.686867157,-0.678367930870332,-1.60063116218205,-0.385409526346671,-1.95751518248327,-0.679659734791782,-1.83012937451114,0.282,-1.85,0.606948443,-1.614170556,0.327515365,-1.505004833,0.372691615,-1.801583839,0.093258537,-1.692418116,TRUE,"L","1stO",56,"null",188,23,313,0.2,0.129700203,-1.686867157,-0.0722929632324427
0.280741552,-1.682072688,-0.062966622401655,-1.53508646811895,-0.203645483713727,-1.95137589386618,-0.369420940263538,-1.51295020701878,0.45,-1.85,0.736461659,-1.613461268,0.457217724,-1.503812624,0.50188118,-1.800469287,0.222637246,-1.690820643,TRUE,"L","f1",211,"null",177,24,301,0.2,0.280741552,-1.682072688,-0.0705641609168203
0.129215444,-2.000491829,-0.154553282369375,-1.81048487637703,-0.193103925340708,-2.15583425668159,-0.243024150461608,-1.83937829372161,0.296,-1.85,0.772669457,-2.153331869,0.554559964,-1.947350683,0.48522977,-2.239229638,0.267120277,-2.033248452,TRUE,"L","2ndO",214,"null",181,26,312,0.2,0.129215444,-2.000491829,0.312078357411316
0.447867923,-1.944608728,-0.0732086817541781,-1.43508613896079,-0.149190217549118,-2.1018860078834,0.0491181212497844,-1.99313881862025,0.646,-1.85,0.748461237,-1.966049714,0.499984249,-1.797945026,0.478639812,-2.097184754,0.230162824,-1.929080066,FALSE,"null","null",287,"null",162,27,287,0.2,0.447867923,-1.944608728,0.150077842068429
0.39770834,-1.639236594,0.268318867110496,-1.3612200541034,-0.307393578376384,-1.7347158752853,-0.24965753309839,-1.64593879429026,0.52,-1.85,0.71333935,-1.646355183,0.456979948,-1.490535232,0.450215613,-1.790458962,0.193856211,-1.634639011,FALSE,"null","null",296,"null",172,32,296,0.2,0.39770834,-1.639236594,0.101419251173461
