"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.145315288,-1.796694683,-0.4418113258805,-1.60617693729712,-0.557338388564343,-1.87413370248298,-0.596405583979475,-1.89202784470106,0.114,-1.85,0.241684334,-1.761829709,-0.030534386,-1.635746527,-0.00361626399999998,-1.934536444,-0.275834984,-1.808453262,TRUE,"f1","1stO",70,"null",265,1,325,2,-0.145315288,-1.796694683,0
0.26215022,-1.644546275,0.329812755306176,-1.50725239119141,-0.205183783934056,-1.81497039515113,-0.187571754076916,-1.65588280062537,0.52,-1.85,0.777158374,-1.666626878,0.524014453,-1.505635713,0.511163975,-1.805360362,0.258020053,-1.644369197,FALSE,"null","null",296,"null",237,2,296,2,0.26215022,-1.644546275,0.13269594354996
0.477385458,-2.017425701,0.449586509055454,-1.84753003596679,-0.00781953360370635,-1.98688588199933,0.0679567163748437,-1.86837802169432,0.772,-1.85,1.022553535,-2.131096389,0.798833126,-1.931223482,0.737598317,-2.224907493,0.513877908,-2.025034587,FALSE,"null","null",278,"null",218,3,278,2,0.477385458,-2.017425701,0.295408551029689
-0.155071802,-1.879260091,-0.449459760164711,-1.81278481017174,-0.588530515228912,-2.21163661627921,-0.484873488790634,-2.0379097138444,0.142,-1.85,0.351555658,-1.609520978,0.0517326499999996,-1.599217407,0.192721,-1.864023535,-0.107102009,-1.853719964,TRUE,"L","1stO",63,"null",263,4,323,2,-0.155071802,-1.879260091,-0.399398878077474
0.068487785,-1.649526166,-0.0763993270208317,-1.45453383393987,-0.432215337237992,-1.7593443428504,-0.291466693771333,-1.64757637755159,0.338,-1.85,0.576529143,-1.690447428,0.3296033,-1.520072465,0.305517175,-1.819103999,0.058591332,-1.648729036,FALSE,"null","null",309,"null",251,5,309,2,0.068487785,-1.649526166,0.17022149725028
0.303531721,-1.806012541,0.0056802338310511,-1.6234094882272,-0.075086200661903,-1.93536422074198,0.014451895452842,-2.0670427586604,0.576,-1.85,0.808419373,-1.660452299,0.517226593,-1.588294385,0.600332396,-1.876553687,0.309139616,-1.804395773,FALSE,"null","null",292,"null",232,7,292,2,0.303531721,-1.806012541,-0.190842751993453
0.468459957,-1.649764792,0.365530595476588,-1.51005467707665,-0.00350501554802068,-1.78504148606861,-0.0671279542231648,-1.72545828255598,0.744,-1.85,0.926103126,-1.560608755,0.642406613,-1.46305729,0.699772823,-1.75752141,0.416076309,-1.659969945,FALSE,"null","null",280,"null",220,8,280,2,0.468459957,-1.649764792,-0.102557737325914
0.250158206,-1.76484225,0.340557951367798,-1.59554492534851,-0.149501422174483,-2.07159130823325,0.0395591597776794,-1.69697507476009,0.562,-1.85,0.805767057,-1.692548262,0.528776861,-1.577324864,0.567485569,-1.874817109,0.290495374,-1.759593711,FALSE,"null","null",293,"null",235,9,293,2,0.250158206,-1.76484225,-0.0395418523048028
0.307613889,-1.958048964,0.342420235904528,-1.75319046621353,-0.210342268614033,-1.85098000131038,-0.0492366153042658,-1.81525658529161,0.576,-1.85,0.813075489,-2.062049121,0.58882826,-1.862767461,0.528368894,-2.156612089,0.304121665,-1.957330429,TRUE,"f2","2ndO",210,"null",233,10,292,2,0.307613889,-1.958048964,0.292768869204542
0.024099699,-1.655984719,-0.080853677035299,-1.50064645994684,-0.408767447992448,-1.73406429209527,-0.338260296679002,-1.57616419451736,0.296,-1.85,0.509215042,-1.60622845,0.2354587,-1.483519585,0.266067877,-1.781953964,-0.00768846499999996,-1.659245099,FALSE,"null","null",312,"null",252,14,312,2,0.024099699,-1.655984719,-0.0123605436922332
0.393289442,-1.634760225,0.288457383533031,-1.45571826751854,-0.132748239130008,-1.7786288035143,0.0646391321230937,-1.66321093280939,0.674,-1.85,1.085271598,-1.546672971,0.808602068,-1.430681717,0.846485461,-1.728280186,0.56981593,-1.612288932,TRUE,"f1","1stO",63,"null",226,16,285,2,0.393289442,-1.634760225,-0.0367681084253934
0.408598491,-1.839344469,0.178895603210036,-1.68052755338367,0.000297715605928006,-2.19833549065107,0.036233679094738,-1.77339378233041,0.702,-1.85,0.860659757,-1.783185495,0.584341845,-1.666359079,0.621326156,-1.964070618,0.345008244,-1.847244202,TRUE,"f2","1stO",59,"null",223,17,283,2,0.408598491,-1.839344469,-0.0337475615653761
0.517449129,-1.893467253,0.359170536588585,-1.73155355291734,-0.0647162822741827,-1.9227941328165,0.0732493997148277,-1.74021365337078,0.8,-1.85,1.206421765,-1.914214682,0.951246854,-1.756462457,0.942216874,-2.056326525,0.687041963,-1.8985743,TRUE,"f1","1stO",58,"null",216,19,276,2,0.517449129,-1.893467253,0.119952383845228
0.464924582,-1.991878639,0.403753161416748,-1.78939314177636,0.0284005748432354,-2.02735205956876,0.0620050093139398,-2.02518935793716,0.744,-1.85,0.994525699,-1.928972912,0.718839119,-1.810664375,0.754224211,-2.108570225,0.478537631,-1.990261688,TRUE,"f3","2ndO",193,"null",220,20,280,2,0.464924582,-1.991878639,-0.0283776180875864
0.294138581,-1.660632487,0.190181518486838,-1.45458266918792,-0.147794411204408,-1.82338590638897,-0.144674251283293,-1.80431892629725,0.576,-1.85,0.8776041,-1.565497006,0.597043652,-1.459262196,0.645321832,-1.755352076,0.364761384,-1.649117266,FALSE,"null","null",292,"null",232,21,292,2,0.294138581,-1.660632487,-0.0717821855978135
0.128441346,-1.758379411,-0.0401414340926627,-1.55435783441656,-0.305554296150509,-1.84644146736288,-0.465090487050841,-1.85948210836933,0.422,-1.85,0.659084233000001,-1.659088513,0.376120377999999,-1.559431817,0.431297076,-1.854314051,0.148333221,-1.754657356,FALSE,"null","null",303,"null",243,22,303,2,0.128441346,-1.758379411,-0.0951274632121287
