"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.201305494,-1.802296316,-0.577666794129602,-1.50291052236893,-0.507002682307657,-1.85913673185696,-0.640980743211857,-1.54742236107836,0.17,-1.85,0.241684334,-1.761829709,-0.030691539,-1.636086383,-0.00340051699999999,-1.934842471,-0.27577639,-1.809099146,TRUE,"f1","1stO",70,"null",205,1,321,2,-0.201305494,-1.802296316,0
0.172525621,-1.641838831,0.127620503870435,-1.4664933288301,-0.224140874173791,-1.87987222691359,-0.335666403265124,-1.40467888258558,0.562,-1.85,0.626323814,-1.660679387,0.37296208,-1.500031225,0.360517558,-1.799773004,0.107155824,-1.639124842,TRUE,"f2","f3",200,"null",177,2,293,2,0.172525621,-1.641838831,0.13258966163166
0.400788263,-2.002654452,0.3890842811466,-1.90766449804349,-0.0271211855799229,-1.96895021054087,-0.00604884595319638,-1.72101815788922,0.8,-1.85,0.86961365,-2.100349169,0.645869513,-1.900502826,0.584669571,-2.194194104,0.360925434,-1.99434776,TRUE,"L","2ndO",185,"null",158,3,276,2,0.400788263,-2.002654452,0.296537933639557
-0.226729039,-1.905393654,-0.552795122446277,-1.84496567611912,-0.569745226180289,-2.09028236486117,-0.770481356937664,-2.09478826605604,0.17,-1.85,0.311650298,-1.642861077,0.0123827340000005,-1.621910527,0.143872808,-1.891559115,-0.155394756,-1.870608565,TRUE,"L","1stO",63,"null",203,4,321,2,-0.226729039,-1.905393654,-0.362610706277526
-0.03884398,-1.644116301,0.0475138255085046,-1.46839221385543,-0.618050569399675,-1.88553113163083,-0.505778849522128,-1.57347120421479,0.366,-1.85,0.472888965,-1.681803727,0.22480023,-1.513126581,0.202765904,-1.812316301,-0.04532283,-1.643639155,TRUE,"f1","2ndO",225,"null",191,5,307,2,-0.03884398,-1.644116301,0.164609964648872
0.234069204,-1.82756151,0.180118108619101,-1.64304254617196,-0.0268176091466129,-2.09293095034168,-0.198966178377351,-1.92615100101996,0.59,-1.85,0.759755973,-1.67877915,0.468918739,-1.605201275,0.550617048,-1.893862645,0.259779814,-1.820284771,TRUE,"L","2ndO",198,"null",172,7,291,2,0.234069204,-1.82756151,-0.184715318565853
0.376786869,-1.668760674,0.209799164995111,-1.68495140164155,-0.0599805957076276,-1.8073539599535,0.139931884901631,-1.53527390180889,0.772,-1.85,0.773876828,-1.5947138,0.49097471,-1.494881982,0.545968879,-1.789798312,0.263066761,-1.689966495,TRUE,"f2","f3",174,"null",160,8,278,2,0.376786869,-1.668760674,-0.093260404423135
0.231954476,-1.7703354,-0.0242985550995829,-1.58950973419168,-0.237603806921157,-2.1841590052518,-0.453513784083982,-1.75231342092834,0.590000000000001,-1.85,0.755010814,-1.703853296,0.478363417,-1.587809263,0.516190035,-1.885414954,0.239542638,-1.769370921,TRUE,"L","2ndO",201,"null",175,9,291,2,0.231954476,-1.7703354,-0.0353292270214301
0.216567513,-1.94239745,0.156456461360782,-1.53520189149241,-0.239217228951297,-2.08507613741714,-0.245913994358936,-1.78341300248004,0.604,-1.85,0.711111548,-2.041570969,0.485868581,-1.843415459,0.42688236,-2.137559345,0.201639393,-1.939403836,TRUE,"f2","f3",188,"null",173,10,290,2,0.216567513,-1.94239745,0.289006199147416
0.01786943,-1.564364339,-0.243992354033193,-1.28792339833261,-0.341093383297365,-1.73614450960229,-0.618905165617155,-1.50400586423917,0.407999999999999,-1.85,0.555528919,-1.528844885,0.286398481,-1.396297508,0.306174304,-1.695644993,0.037043866,-1.563097616,TRUE,"f1","1stO",60,"null",190,13,304,2,0.01786943,-1.564364339,0.0251287682780249
-0.045732985,-1.664478821,0.0525778864223778,-1.36981738649993,-0.625417185030074,-1.97749159215576,-0.604337444573135,-1.62699665163835,0.338,-1.85,0.405868298,-1.617866773,0.132033186,-1.495333793,0.162834068,-1.793748447,-0.111001044,-1.671215467,TRUE,"f1","2ndO",219,"null",192,14,309,2,-0.045732985,-1.664478821,-0.011754829753657
0.341344158,-1.647821211,0.0869754437188273,-1.570649543388,-0.217720688405044,-1.99586384836231,-0.240805547433641,-1.64520961576407,0.73,-1.85,0.982514307,-1.562702293,0.705226146,-1.448197815,0.74470644,-1.745588646,0.467418278,-1.631084168,TRUE,"f1","1stO",63,"null",166,16,281,2,0.341344158,-1.647821211,-0.0408878177498899
0.34314674,-1.847420323,0.246616433911703,-1.49518141806913,-0.172553617943265,-2.02910573179346,-0.169010847437463,-1.83392699563119,0.716,-1.85,0.847272478,-1.78518909,0.57104495,-1.668149128,0.607799134,-1.965889165,0.331571606,-1.848849203,TRUE,"f2","1stO",59,"null",163,17,282,2,0.34314674,-1.847420323,-0.0317264998763699
