cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall
0.5231287419,0.4768712581,0,0,0,0,0,0
0.23923807,0.7607003362,0,6.15938182876E-05,0,0,0,0
0.9848634726,0.0151365274,0,0,0,0,0,0
0.6344228145,0.3655144176,0,6.27678199644E-05,0,0,0,0
0.4225638439,0.5375239028,0,0.0399122534,0,0,0,0
0.6533142033,0.2480939542,0,0.0985918424,0,0,0,0
0.695612619,0.2250145948,0.0106958709,0.0686769154,0,0,0,0
0.7516168474,0.2278960445,0.0128213682,0.0076657399,0,0,0,0
0.6113973722,0.3508885085,0.0178161729,0.0198979463,0,0,0,0
0.4797870968,0.4498128372,0.0689057393,0.0014943267,0,0,0,0
0.4673837459,0.4618713497,0.0245954085,0.0461494958,0,0,0,0
0.1562366215,0.2387953768,0.2585891832,0.3463788184,0,0,0,0
0.9238573735,0.0731811729,0.0023654949,0.0005959588,0,0,0,0
0.8780980509,0.1199355834,0.0008165438,0.0011498219,0,0,0,0
0.991828502,0.0046399049,0,0.0035315931,0,0,0,0
0.9399854061,0.0587911798,0,0.0012234141,0,0,0,0
0.9683609133,0.0284712351,0,0.0031678516,0,0,0,0
0.9535359699,0.0410552207,0,0.0054088094,0,0,0,0
0.9825351758,0.013009578,0,0.0044552462,0,0,0,0
0.9702757752,0.0253982033,0,0.0043260214,0,0,0,0
0.9729769077,0.0220665444,0,0.0049565479,0,0,0,0
0.9822762582,0.0123715454,0,0.0053521964,0,0,0,0
0.9702155231,0.0155310473,0,0.0142534296,0,0,0,0
0.9842644069,0.0106899495,0,0.0050456437,0,0,0,0
0.9633930265,0.0231591132,0,0.0134478603,0,0,0,0
0.9694620624,0.0176601458,0,0.0128777918,0,0,0,0
0.9745158407,0.011372755,0,0.0141114044,0,0,0,0
0.8813581362,0.1137915556,0,0.0048503083,0,0,0,0
0.9327724573,0.0628978453,0,0.0043296974,0,0,0,0
0.9622678095,0.0323192025,0,0.005412988,0,0,0,0
0.9658515558,0.0253812288,0,0.0028761698,0,0.0058910456,0,0
0.124775248,0.0698588404,0,0.001042777,0,0.8043231346,0,0
0.052283008,0.1045844128,0,0.0742098445,0,0.7689227348,0,0
0.3105523178,0.1245357914,0,0.0894673675,0,0.4754445233,0,0
0.4943586759,0.0495670737,0,0.0010215149,0,0.4550527355,0,0
0.8880287474,0.0029751438,0,0,0,0.1089961089,0,0
0.8239133818,0.0054265179,0,0,0,0.1706601003,0,0
0.9553573018,0.0116100837,0,0,0,0.0330326144,0,0
0.852935171,0.0069411705,0,0,0,0.1401236585,0,0
0.9857479211,0.0076566053,0,0,0,0.0065954736,0,0
0.7964391645,0.0095660413,0,0,0,0.1939947942,0,0
0.974817342,0.0175258825,0,0,0,0.0076567755,0,0
0.9370329961,0.0114112511,0,0,0,0.0515557528,0,0
0.9842326306,0.0125862467,0,0,0.0031811227,0,0,0
0.9277141122,0.0153096012,0,0,0.000156914,0.0568193727,0,0
0.9245237595,0.0063063731,0,0,0.0691698674,0,0,0
0.8519337878,0.0032972984,0,0,0,0.1447689137,0,0
0.864451849,0.0011683942,0,0,0.1343797569,0,0,0
0.9171207701,0.0057032313,0,0,0.0583602591,0.0188157394,0,0
0.8656703606,0.0014140341,0,0,0.1329156053,0,0,0
0.9226282329,0.0110214658,0,0,0.0503820273,0.015968274,0,0
0.9177832419,0.0034093789,0,0,0.0597004862,0.019106893,0,0
0.901472248,0.0079487986,0,0,0.0043358662,0.0862430872,0,0
0.8975082004,0.0003880214,0,0,0.0014074974,0.1006962808,0,0
0.8708276531,0.0065568428,0,0,1.85244781537E-05,0.1225969797,0,0
0.9284538242,0.0024754225,0,0,0,0.0690707533,0,0
0.9711902128,0.0058435869,0,0,0,0.0229662003,0,0
0.9205959886,0.0013503068,0,0,0,0.0780537046,0,0
0.8809343309,0.006156757,0,0,0,0.112908912,0,0
0.934564345,0.0055688639,0,0,0,0.0598667911,0,0
0.8776571034,0.006250576,0,0,0,0.1160923206,0,0
0.8959738235,0.0011380724,0,0,0,0.1028881041,0,0
0.8869653746,0.0054715854,0,0,0,0.1075630399,0,0
0.9217089741,0.0002658299,0,0,0,0.078025196,0,0
0.8862842432,0.0019153215,0,0,0,0.1118004353,0,0
0.8680085951,0.0036538473,0,0,0,0.1283375576,0,0
0.9230527805,0.000133941,0,0,0,0.0768132786,0,0
0.9449144745,0.0012633358,0,0,0,0.0538221897,0,0
0.8896278204,0.0053997319,0,0,0,0.1049724477,0,0
0.9057145464,0.0013615137,0,0,0,0.09292394,0,0
0.9006698517,0.0015841961,0,0,0,0.0977459522,0,0
0.929643701,0.0002124593,0,0,0,0.0701438396,0,0
0.9196876093,0.0062751154,0,0,0,0.0740372752,0,0
0.9047649536,0.0068305706,0,0,0,0.0884044758,0,0
0.9020989533,0,0,0,0,0.0979010467,0,0
0.9400086288,0.0064486177,0,0,0,0.0535427535,0,0
0.8899162673,0,0,0,0,0.1100837327,0,0
0.859713938,0.0075785556,0,0,0,0.1327075064,0,0
0.9084489132,0.0078140954,0,0,0,0.0837369914,0,0
0.9491036902,0.0078682003,0,0,0,0.0430281094,0,0
0.7809062915,0.008528366,0,0,0,0.2105653425,0,0
0.8821227768,0,0,0,0,0.1178772232,0,0
0.8485261404,0.0190762078,0,0,0,0.1323976518,0,0
0.9184684486,0.0097165543,0,0,0,0.0718149972,0,0
0.7883357581,0.0108326345,0,0,0,0.2008316074,0,0
0.8498464756,0.0113450952,0,0,0,0.1388084292,0,0
0.8200226993,0.0242286854,0,0,0,0.1557486154,0,0
0.8847083013,0.024107437,0,0,0,0.0911842617,0,0
0.6896000661,0.0138674591,0,0,0,0.2965324748,0,0
0.7033385301,0.029658506,0,0,0,0.2670029639,0,0
