cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall
0.5653788479,0.4346211521,0,0,0,0,0,0
0.3569172229,0.6430548231,0.000027954,0,0,0,0,0
0.7510844349,0.2489155651,0,0,0,0,0,0
0.6849609018,0.3150215411,1.75571437302E-05,0,0,0,0,0
0.9054863097,0.0882699499,0.0062437404,0,0,0,0,0
0.8848398792,0.0927941581,0.0223659627,0,0,0,0,0
0.588412253,0.3978737153,0.0137140317,0,0,0,0,0
0.7604046964,0.2369296903,0.0026656133,0,0,0,0,0
0.5769600366,0.4149186115,0.0081213518,0,0,0,0,0
0.622875776,0.3766543615,0.0004698625,0,0,0,0,0
0.7807049601,0.1967434922,0.0225515477,0,0,0,0,0
0.6872996476,0.2636672268,0.0490331256,0,0,0,0,0
0.5288184814,0.4623365633,0.0088449553,0,0,0,0,0
0.8598206164,0.1378287902,0.0023505934,0,0,0,0,0
0.9342944917,0.0636302512,0.0020752571,0,0,0,0,0
0.8753489772,0.1234728562,0.0011781667,0,0,0,0,0
0.9870857398,0.0105109333,0.0024033269,0,0,0,0,0
0.9311771785,0.0667390419,0.0020837795,0,0,0,0,0
0.9863247706,0.0094803619,0.0041948675,0,0,0,0,0
0.9320271167,0.064977486,0.0029953973,0,0,0,0,0
0.9728855445,0.0218530905,0.005261365,0,0,0,0,0
0.9664530964,0.0293420904,0.0042048132,0,0,0,0,0
0.9693212564,0.0236263174,0.0070524263,0,0,0,0,0
0.9777903704,0.0174339672,0.0047756624,0,0,0,0,0
0.9830484822,0.0094212937,0.007530224,0,0,0,0,0
0.9792049389,0.0143833527,0.0064117083,0,0,0,0,0
0.983299465,0.0096739839,0.0070265511,0,0,0,0,0
0.8262816865,0.1699416461,0.0037766674,0,0,0,0,0
0.9100328393,0.0851610242,0.0048061365,0,0,0,0,0
0.9758128271,0.0186401939,0.005546979,0,0,0,0,0
0.9933801102,0.003456612,0.0031632778,0,0,0,0,0
0.9837153267,0.0146628113,0.001621862,0,0,0,0,0
0.9164067581,0.0400535637,0.0435396782,0,0,0,0,0
0.881131079,0.0391555007,0.0797134204,0,0,0,0,0
0.9636715597,0.0217050502,0.0115768631,0,0,0.0030465271,0,0
0.7797062037,0.0467902091,0,0,0,0.1735035873,0,0
0.9508153213,0.0228457024,0,0.000063753,0,0.0262752232,0,0
0.55476267,0.0789548501,0,0,0,0.36628248,0,0
0.9694892566,0.0094968295,0,0.0027894767,0,0.0182244372,0,0
0.9219283862,0.0135463014,0,0.0083165835,0,0.0562087289,0,0
0.959033244,0.0037373841,0,0.0163378803,0,0.0208914916,0,0
0.8656829928,0.0253936347,0,0.0169455202,0,0.0919778523,0,0
0.9629590289,0.0086746134,0,0.0160462627,0,0.0123200951,0,0
0.8842195606,0.0185525758,0,0.0108717357,0,0.0863561278,0,0
0.9428798662,0.0082185622,0,0.0222299773,0,0.0266715943,0,0
0.9560798677,0.0054194951,0,0.0286033658,0,0.0098972714,0,0
0.9304932386,0.0233970094,0,0.0264361529,0,0.019673599,0,0
0.8756490687,0.0147731387,0,0.0296339628,0.0799438298,0,0,0
0.5967805015,0.0512440142,0,0.0077011493,0.344274335,0,0,0
0.5592597065,0.0461062809,0,0.005239122,0.3893948906,0,0,0
0.5624947543,0.0310783956,0,0.0117145357,0.3947123144,0,0,0
0.5733656599,0.0303277893,0,0.0104259805,0.3858805703,0,0,0
0.6311702387,0.021822571,0,0.0108668071,0.3361403833,0,0,0
0.6822415326,0.0201210687,0,0.005473826,0.2921635728,0,0,0
0.7051282918,0.0173887453,0,0.0027406102,0.2747423526,0,0,0
0.7603368456,0.0063540754,0,0.0042513385,0.2290577404,0,0,0
0.8261158944,0.0013593792,0,0.0137305507,0.1587941757,0,0,0
0.8546700016,0.00540575,0,0.0186558696,0.1212683788,0,0,0
0.8957904126,0.0041222408,0,0.024805875,0.0752814716,0,0,0
0.9269324363,0.0063556174,0,0.0297250464,0.0369868999,0,0,0
0.958026415,0.000061414,0,0.020192052,0.0213156806,0.0004044384,0,0
0.9727128574,1.43731131025E-05,0,0.022989262,0.0042835074,0,0,0
0.9686522468,0.0088260099,0,0.0223195163,0.000202227,0,0,0
0.9720634794,0.0067910219,0,0.0211454987,0,0,0,0
0.9785084785,0.0004377795,0,0.019109253,0,0.0019444891,0,0
0.9742310208,0.0063782352,0,0.0193893696,0,1.37435946206E-06,0,0
0.9766123583,0.0058220665,0,0.0175655752,0,0,0,0
0.9789531589,0.0052880892,0,0.015758752,0,0,0,0
0.9816633446,0.0003549415,0,0.0153600271,0,0.0026216868,0,0
0.9854079426,0.0003417674,0,0.0141106723,0,0.0001396178,0,0
0.9826922972,0.0047628711,0,0.0125448318,0,0,0,0
0.9829651858,0.004662815,0,0.0123719992,0,0,0,0
0.9816711243,0.0012657119,0,0.0104692632,0,0.0065939005,0,0
0.9827670765,0.0061582783,0,0.010682521,0,0.0003921241,0,0
0.9843134346,0.0062581755,0,0.0094283898,0,0,0,0
0.9839110806,0.0064436691,0,0.0096452503,0,0,0,0
0.9779210132,0.0059937963,0,0.0069340474,0,0.0091511431,0,0
0.9852597917,0.0067431837,0,0.0072279819,0,0.0007690427,0,0
0.9841330475,0.007033966,0,0.0088329866,0,0,0,0
0.9804558393,0.0134853436,0,0.0060588171,0,0,0,0
0.9763097421,0.0071029341,0,0.0060430093,0,0.0105443146,0,0
0.9846760777,0.0075268863,0,0.0062958979,0,0.0015011381,0,0
0.97843693,0.0151693259,0,0.0063936253,0,1.1877569108E-07,0,0
0.9705015465,0.0232392049,0,0.0062592486,0,0,0,0
0.9721544469,0.0008205506,0,0.004721789,0,0.0223032134,0,0
0.9744485138,0.0169449666,0,0.0064254226,0,0.0021810969,0,0
0.9688199823,0.0250266346,0,0.006153102,0,2.81091766129E-07,0,0
0.9712774554,0.0242967936,0,0.004425751,0,0,0,0
0.9727112419,0.0076885679,0,0.0019973706,0,0.0176028196,0,0
0.9808905979,0.0155051699,0,0.0026765418,0,0.0009276904,0,0
0.9752131061,0.0223345689,0,0.002452325,0,0,0,0
0.9676845465,0.0301193893,0,0.0021960642,0,0,0,0
0.9777725665,0.0024151642,0,0.0019716339,0,0.0178406354,0,0
0.976379491,0.0201302672,0,0.0027780778,0,0.0007121641,0,0
0.9898938714,0.0100146232,0,9.1505333236E-05,0,0,0,0
0.9590177378,0.0107737524,0,0.0023428239,0,0.0278656858,0,0
0.988626929,0.0076222083,0,0.003002664,0,0.0007481987,0,0
0.98985822,0.0064321645,0,0.0037096155,0,0,0,0
0.9418636274,0.0022339906,0,0.0067654736,0,0.0491369084,0,0
0.9875031479,0.0052832867,0,0.006915209,0,0.0002983564,0,0
0.9817978239,0.0099803688,0,0.0082218073,0,0,0,0
0.9624157961,0.0107229944,0,0.0111164934,0,0.0157447161,0,0
0.9718947353,0.0152995968,0,0.0127517696,0,5.38982990096E-05,0,0
0.9402928212,0.0175130904,0,0.0087162729,0,0.0334778155,0,0
0.9826460677,0.008245923,0,0.0087771243,0,0.000330885,0,0
0.9693345995,0.0193102186,0,0.0113551819,0,0,0,0
0.9377175046,0.0303946959,0,0.0230678922,0,0.0088199074,0,0
0.9600632286,0.0245917506,0,0.0153450208,0,0,0,0
0.9507275206,0.0263195981,0,0.0229528813,0,0,0,0
0.8898196472,0.0619905313,0,0.0481898215,0,0,0,0
0.7628347133,0.1232111599,0,0.1139541268,0,0,0,0
0.7398668838,0.119424891,0,0.1407082252,0,0,0,0
0.4826888503,0.2703769142,0,0.2469342354,0,0,0,0
0.7228576757,0.1017719072,0,0.1753704171,0,0,0,0
0.0526048844,0.334346312,0,0.6130488037,0,0,0,0
0.8307666043,0.0175627487,0,0.151670647,0,0,0,0
