x y
0.0 0.0
0.0 2.5
-0.5 0.7
0.0630986262 0.0345132267
0.7867242136 5.0439169814
-0.0868008126 -0.9174437458
3.3871133471 0.5429694732
1.0211271182 -4.4010722541
-1.1976474103 1.1395739417
0.9855122507 0.0108159282
-0.2447622787 1.2673903916
-6.3499516986 1.3615920294
1.0073428034 1.933574919
0.961124434 0.2569362635
0.0617166269 1.181794212
-5.045368028 1.1301005315
-0.7185159495 -2.6569456181
-0.2696616774 1.2428255662
-0.8397301153 1.4755190224
-1.3012417925 -0.7849393783
1.9691726912 1.3539906283
-0.8456799762 3.8850834876
-0.9781574187 1.1258286162
-0.9078739664 0.9382100906
-1.0945836407 1.1182294344
-1.5259611233 -3.1246445288
