x y
0.0 0.0
0.0 2.5
-0.5 0.7
100.0 100.0
-10.7 -7.25
-9.9 -7.25
-9.1 -7.25
-8.3 -7.25
-7.5 -7.25
-6.7 -7.25
-5.9 -7.25
-5.1 -7.25
-4.3 -7.25
-3.5 -7.25
-2.7 -7.25
-1.9 -7.25
-1.1 -7.25
-0.3 -7.25
0.5 -7.25
1.3 -7.25
2.1 -7.25
2.9 -7.25
3.7 -7.25
4.5 -7.25
5.3 -7.25
6.1 -7.25
-10.7 -6.45
-9.9 -6.45
-9.1 -6.45
-8.3 -6.45
-7.5 -6.45
-6.7 -6.45
-5.9 -6.45
-5.1 -6.45
-4.3 -6.45
-3.5 -6.45
-2.7 -6.45
-1.9 -6.45
-1.1 -6.45
-0.3 -6.45
0.5 -6.45
1.3 -6.45
2.1 -6.45
2.9 -6.45
3.7 -6.45
4.5 -6.45
5.3 -6.45
6.1 -6.45
-10.7 -5.65
-9.9 -5.65
-9.1 -5.65
-8.3 -5.65
-7.5 -5.65
-6.7 -5.65
-5.9 -5.65
-5.1 -5.65
-4.3 -5.65
-3.5 -5.65
-2.7 -5.65
-1.9 -5.65
-1.1 -5.65
-0.3 -5.65
0.5 -5.65
1.3 -5.65
2.1 -5.65
2.9 -5.65
3.7 -5.65
4.5 -5.65
5.3 -5.65
6.1 -5.65
-10.7 -4.85
-9.9 -4.85
-9.1 -4.85
-8.3 -4.85
-7.5 -4.85
-6.7 -4.85
-5.9 -4.85
-5.1 -4.85
-4.3 -4.85
-3.5 -4.85
-2.7 -4.85
-1.9 -4.85
-1.1 -4.85
-0.3 -4.85
0.5 -4.85
1.3 -4.85
2.1 -4.85
2.9 -4.85
3.7 -4.85
4.5 -4.85
5.3 -4.85
6.1 -4.85
-10.7 -4.05
-9.9 -4.05
-9.1 -4.05
-8.3 -4.05
-7.5 -4.05
-6.7 -4.05
-5.9 -4.05
-5.1 -4.05
-4.3 -4.05
-3.5 -4.05
-2.7 -4.05
-1.9 -4.05
-1.1 -4.05
-0.3 -4.05
0.5 -4.05
1.3 -4.05
2.1 -4.05
2.9 -4.05
3.7 -4.05
4.5 -4.05
5.3 -4.05
6.1 -4.05
-10.7 -3.25
-9.9 -3.25
-9.1 -3.25
-8.3 -3.25
-7.5 -3.25
-6.7 -3.25
-5.9 -3.25
-5.1 -3.25
-4.3 -3.25
-3.5 -3.25
