cf,x,y,z
1,-4.8418240547,0.1964171827,0.0274309032
1,-4.9059362411,0.1512789428,0.0277270768
1,-4.7848129272,0.2028535455,0.0277350023
1,-4.6660494804,0.2646929324,0.0276291352
1,-4.7021603584,0.2805992663,0.0280447342
1,-4.5719079971,0.3360055685,0.0280354451
1,-4.6399908066,0.2968727648,0.0264972858
1,-4.510679245,0.3511992991,0.026415471
1,-4.400865078,0.4184909463,0.0262912177
1,-4.4016575813,0.4292915761,0.0265030693
1,-4.3259940147,0.4459049702,0.0262985136
1,-4.4025478363,0.4159588814,0.0264055394
1,-4.2689614296,0.4710088074,0.0263282973
1,-4.2627286911,0.4630161822,0.0263186675
1,-4.2131743431,0.4901511967,0.0263909344
1,-4.1129164696,0.5202108026,0.0266240817
1,-4.2024922371,0.4852748811,0.0267978664
1,-4.0593290329,0.5446249843,0.0267446265
1,-4.0234389305,0.5520339608,0.0267313458
1,-3.9763514996,0.5758769512,0.0265162438
1,-3.8871874809,0.5968648791,0.0265271123
1,-3.8701686859,0.6107001305,0.0265303422
1,-3.7850427628,0.6336188316,0.0265589245
1,-3.7608089447,0.637575686,0.0265740454
1,-3.7287418842,0.6665490866,0.0264885202
1,-3.6639909744,0.6836184263,0.0264073703
1,-3.63971591,0.7036081553,0.0265985429
1,-3.5509796143,0.727314055,0.0266410541
1,-3.5068235397,0.7393312454,0.0263946019
1,-3.4531450272,0.7592381835,0.0264351498
1,-3.4387447834,0.7666117549,0.026527347
1,-3.3236310482,0.8094487786,0.026835151
1,-3.3840856552,0.7896914482,0.0254817326
1,-3.2048425674,0.8613732457,0.0253931899
1,-3.1024115086,0.9228161573,0.0255914684
1,-2.8804690838,1.0029735565,0.0257506017
1,-2.9456398487,0.9633962512,0.0257989746
1,-2.7780609131,1.0260851383,0.0257565156
1,-2.6994900703,1.0644052029,0.0257714596
1,-2.6721162796,1.0871453285,0.0260632057
1,-2.5567991734,1.1152185202,0.026497921
1,-2.4260156155,1.1661778688,0.026728997
1,-2.3695678711,1.1734749079,0.0267422777
1,-2.3292248249,1.2005810738,0.0270617139
1,-2.2295536995,1.2207238674,0.0272061564
1,-2.2900285721,1.2040902376,0.0274907164
1,-2.095736742,1.2875878811,0.0276430715
1,-2.0513103008,1.3156838417,0.0272585824
1,-1.9420062304,1.3401341438,0.027412191
1,-1.9999644756,1.3236346245,0.0277378801
1,-1.9515548944,1.3362629414,0.0279214196
1,-1.9058240652,1.3567841053,0.0277773142
1,-1.7884597778,1.4180879593,0.0280856024
1,-1.7953989506,1.3978794813,0.028397439
1,-1.8420236111,1.3863224983,0.0287967715
1,-1.6855825186,1.4375557899,0.0289207958
1,-1.6430495977,1.4514704943,0.0283810943
1,-1.5921444893,1.4711018801,0.0286176614
1,-1.5370221138,1.4807635546,0.0287199505
1,-1.5273997784,1.5013701916,0.0289916918
1,-1.3757055998,1.5395771265,0.0282633714
1,-1.2541302443,1.5950590372,0.0286403429
1,-1.0965906382,1.648045063,0.0292863287
1,-0.9159709215,1.6875755787,0.028019229
1,-0.7687981725,1.7444689274,0.02836328
1,-0.7304642797,1.7508817911,0.0285343621
1,-0.7095315456,1.7476655245,0.028834844
1,-0.6538558006,1.7757568359,0.0288136378
1,-0.5819864273,1.7768585682,0.0291080531
1,-0.4878581166,1.8190393448,0.0296668503
1,-0.4514065683,1.822142005,0.0299469326
1,-0.466163218,1.8051341772,0.0303827077
1,-0.3948992491,1.8373111486,0.0289712418
1,-0.3367051482,1.8323339224,0.0293018725
1,-0.1671000421,1.8814985752,0.0300324988
1,-0.1494262964,1.8823218346,0.029291084
1,-0.0918332562,1.9057947397,0.0295734685
1,-0.1044296846,1.886245966,0.0299119875
1,-0.0958008915,1.8909512758,0.0304474961
1,0.0030111179,1.911696434,0.0307126325
1,0.0236896854,1.9171476364,0.0295860656
1,0.109783262,1.9453014135,0.0299368985
1,0.1278200448,1.9307795763,0.0304433107
1,0.1494633853,1.9385067225,0.0310529824
1,0.2105276585,1.9503639936,0.0312408619
1,0.2383326143,1.9558489323,0.0304295514
1,0.2684207261,1.9781299829,0.0310106594
1,0.2812967002,1.9635182619,0.0316096507
1,0.2945500016,1.9780039787,0.0320398845
1,0.3263524473,1.9682649374,0.030389322
1,0.3180766106,1.9553666115,0.0307508782
1,0.3476068377,1.9642993212,0.0311240461
1,0.3389857411,1.9499688148,0.0315710753
1,0.3801600337,1.9676619768,0.0321614407
1,0.3950798512,1.9651460648,0.030750379
1,0.4284858406,1.9831515551,0.0310020931
1,0.4413732588,1.9832292795,0.0311129894
1,0.4705677032,1.9950158596,0.0313395113
1,0.4866103828,2.0051412582,0.0295620784
1,0.5221017003,2.0072035789,0.0296296719
1,0.5056593418,2.005423069,0.0297366604
1,0.5388005376,2.0062272549,0.0298688915
1,0.5453022718,2.0113735199,0.0302041937
1,0.5455695391,2.0114996433,0.0287497304
1,0.5432879329,2.0077662468,0.0287388675
1,0.5268239975,2.0056023598,0.0288096685
1,0.5248993635,2.0025799274,0.028817242
1,0.5069656372,1.9966114759,0.0274281669
1,0.5245615244,2.008805275,0.0274794605
1,0.5164882541,2.0155031681,0.0276776329
1,0.516661644,2.022310257,0.0269554332
1,0.501478076,2.0167469978,0.0270293634
1,0.5086511374,2.0250153542,0.0270835254
1,0.535322547,2.0323047638,0.0269135851
1,0.5428803563,2.0412852764,0.027009936
1,0.5623680949,2.0452718735,0.0272245221
1,0.5747223496,2.0427958965,0.0274764802
1,0.5676586032,2.0483725071,0.0277433172
1,0.5943856835,2.048191309,0.0275044646
1,0.5855640769,2.0507705212,0.02761898
1,0.5973957777,2.0482048988,0.0278076548
1,0.6078268886,2.0454015732,0.0281317551
