cf,x,y,z
6,2.438845396,1.6275132895,0.0255773515
6,2.4396686554,1.6269420385,0.0256047845
6,2.4399325848,1.6315797567,0.0254378319
6,2.4394278526,1.6317976713,0.0254352037
6,2.4391322136,1.6310422421,0.0254446156
6,2.4395005703,1.6359835863,0.0255351942
6,2.4394934177,1.6362233162,0.025533352
6,2.4391686916,1.6371797323,0.0257387757
6,2.4392273426,1.6359847784,0.0257835444
6,2.4405944347,1.6400156021,0.025903672
6,2.440870285,1.6406744719,0.0259659626
6,2.4409306049,1.6406855583,0.0244091116
6,2.4416408539,1.6454986334,0.0244254787
6,2.4418017864,1.6442269087,0.024397267
6,2.4421720505,1.644973278,0.0243553333
6,2.4415094852,1.6450469494,0.024295982
6,2.4412155151,1.6438889503,0.0253581908
6,2.4410743713,1.64376688,0.0253642313
6,2.4411902428,1.6437792778,0.0253723953
6,2.4413411617,1.6419262886,0.0254375879
6,2.4418046474,1.6418428421,0.0252813939
6,2.4422025681,1.6422972679,0.0252904836
6,2.442065239,1.6421576738,0.0253015738
6,2.4417133331,1.642244339,0.025305843
6,2.4415905476,1.6429969072,0.0253308378
6,2.4421746731,1.6472260952,0.0256763846
6,2.4418308735,1.6458631754,0.0257390514
6,2.4425287247,1.6503314972,0.0258602686
6,2.4425759315,1.6493489742,0.0259281248
6,2.4432146549,1.647768259,0.0256096926
6,2.4438259602,1.6522054672,0.0257052463
6,2.4438023567,1.6516109705,0.0257410668
6,2.4439675808,1.6525501013,0.0257830787
6,2.443772316,1.6521887779,0.0258079637
6,2.4438240528,1.6522257328,0.0259058457
6,2.4433443546,1.6521031857,0.0259359591
6,2.4437940121,1.651771903,0.0259711277
6,2.4439592361,1.6521629095,0.0252197906
6,2.4442987442,1.6565639973,0.025279589
6,2.4440379143,1.655493021,0.0252839494
6,2.4474298954,1.6390224695,0.025736019
6,2.4487266541,1.6438270807,0.0258926433
6,2.4524524212,1.6283148527,0.0250541791
6,2.454811573,1.6199121475,0.0254305601
6,2.4550976753,1.619088769,0.0254628938
6,2.4499511719,1.6049491167,0.0263902955
6,2.4417319298,1.6088728905,0.0269659217
6,2.4443364143,1.5955373049,0.0273517054
6,2.4378073215,1.581730485,0.028034484
6,2.4418115616,1.5858383179,0.0282833446
6,2.4421622753,1.5855309963,0.0284680501
6,2.4431910515,1.5889499187,0.0264474675
6,2.4447777271,1.5868309736,0.0265123788
6,2.4449546337,1.5875433683,0.0265604779
6,2.4453763962,1.5880807638,0.0265916232
6,2.4457051754,1.5910925865,0.0268453732
6,2.4463574886,1.5955785513,0.0269677341
6,2.4471020699,1.5952435732,0.0270151347
6,2.4473669529,1.5992802382,0.0271724667
6,2.4472138882,1.5986577272,0.02723624
6,2.4478294849,1.6024109125,0.0252364445
6,2.4478838444,1.6017693281,0.0251992848
6,2.4481294155,1.6011046171,0.0251758285
6,2.4490799904,1.6012861729,0.0251191761
6,2.4493014812,1.6003381014,0.0258638095
6,2.448543787,1.6004487276,0.0258689467
6,2.4490559101,1.6040804386,0.0259687789
6,2.4518399239,1.5907982588,0.0263718702
6,2.4516253471,1.5915716887,0.0264274143
6,2.4537565708,1.5795675516,0.0261435676
6,2.456366539,1.5711480379,0.0265629347
6,2.4577972889,1.574080348,0.0267116893
6,2.4580571651,1.573319912,0.0267778113
6,2.4586238861,1.5777409077,0.0265847649
6,2.4601852894,1.5673171282,0.0268616844
6,2.4595036507,1.567499876,0.0269168094
6,2.4633235931,1.570371747,0.0270733777
6,2.464527607,1.5740287304,0.0272395182
6,2.4644403458,1.5749210119,0.0264157336
6,2.4642500877,1.5747115612,0.0264280383
6,2.4643638134,1.5758206844,0.026465416
6,2.4643836021,1.5756647587,0.0264862143
6,2.4651155472,1.57553792,0.0259323567
6,2.4663996696,1.5800005198,0.0260210242
6,2.4651553631,1.5799424648,0.0260439739
6,2.4653556347,1.5806381702,0.0260665566
6,2.4651784897,1.5800836086,0.0260869339
6,2.4661738873,1.5835978985,0.0253450833
6,2.4666473866,1.5867371559,0.025382204
6,2.4660620689,1.5865983963,0.0253560357
6,2.467094183,1.5880708694,0.0253700688
6,2.4659216404,1.5876662731,0.0248146728
6,2.4657964706,1.5873252153,0.0247683544
6,2.4655780792,1.5873404741,0.0247100648
6,2.4681196213,1.5743587017,0.0250422116
6,2.4613509178,1.5629554987,0.0257158875
6,2.4614832401,1.5629583597,0.0262308642
6,2.4641759396,1.5555739403,0.0266953446
6,2.4567117691,1.5587384701,0.0271249097
6,2.4581637383,1.5467243195,0.027609339
6,2.4626846313,1.5533434153,0.0275573116
6,2.4456973076,1.5696840286,0.0276778936
6,2.4393486977,1.5577399731,0.028355971
6,2.4403145313,1.5609898567,0.0285979975
6,2.4335541725,1.5499905348,0.0293509178
6,2.433932066,1.55159688,0.0278012082
6,2.4343469143,1.5513942242,0.0278917346
6,2.4342517853,1.5515050888,0.0279703774
6,2.4352655411,1.5547987223,0.0281789191
6,2.4365553856,1.5537946224,0.0262080058
6,2.4371929169,1.5573136806,0.0262609757
6,2.4371669292,1.5570223331,0.0262410995
6,2.437155962,1.5574421883,0.0262300838
6,2.4369211197,1.5609554052,0.0263344552
6,2.4367358685,1.5604803562,0.0245684758
6,2.4377782345,1.5643250942,0.0245556179
6,2.4391176701,1.5639048815,0.0244734883
6,2.439655304,1.5683380365,0.0245054346
6,2.4395914078,1.5683376789,0.0242463946
6,2.4397003651,1.5678578615,0.0241574254
6,2.4406270981,1.5714410543,0.0241557751
6,2.4407126904,1.5711191893,0.0240723509
6,2.4416973591,1.5749419928,0.0241015311
6,2.4420337677,1.5742775202,0.0248140134
6,2.4427773952,1.5786901712,0.0248707626
6,2.4439663887,1.5828484297,0.0249513276
6,2.4439735413,1.5822358131,0.0249516517
6,2.4448757172,1.5858082771,0.0262506977
6,2.4441981316,1.5855836868,0.0263015367
6,2.4452078342,1.5883526802,0.0264438782
6,2.4460856915,1.592623353,0.0266206823
6,2.445956707,1.5922241211,0.0267042983
6,2.447170496,1.5957546234,0.0257403217
6,2.4472844601,1.5952833891,0.0257713646
6,2.4474303722,1.5965399742,0.0258114394
6,2.4477555752,1.5957847834,0.0258590765
6,2.4477350712,1.5955382586,0.025528878
6,2.4480166435,1.5952569246,0.0255281739
6,2.4483013153,1.5952264071,0.0255340114
6,2.4486474991,1.5963488817,0.0255617276
6,2.4485096931,1.5954188108,0.0256043263
6,2.4481647015,1.5952157974,0.0237426832
6,2.4487445354,1.5953963995,0.0236491803
6,2.4477701187,1.5953714848,0.0235603247
6,2.4481201172,1.5953698158,0.0234725531
6,2.4484624863,1.5959677696,0.0240430646
6,2.4484753609,1.5960140228,0.0239936821
6,2.4494247437,1.5997624397,0.0240404457
6,2.4484736919,1.5988750458,0.0240409486
6,2.4494447708,1.6022094488,0.0241127443
6,2.4537370205,1.6083204746,0.0250042621
6,2.4531903267,1.6076372862,0.0250373073
6,2.4533913136,1.6076614857,0.0250563119
6,2.4537796974,1.606967926,0.025083974
6,2.4562726021,1.5962486267,0.0249429755
6,2.4554059505,1.5956575871,0.0249599535
6,2.4576134682,1.5897122622,0.0253725033
6,2.457072258,1.5896646976,0.0253903102
6,2.4589796066,1.5785528421,0.0258482434
6,2.4630339146,1.5775845051,0.0261018816
6,2.4627656937,1.5768864155,0.0262023527
6,2.4572610855,1.5647031069,0.026959423
6,2.450576067,1.5868381262,0.0276772063
6,2.4516034126,1.5778719187,0.0269259196
6,2.4452629089,1.5799685717,0.0273136776
6,2.4443116188,1.5790516138,0.0274472106
6,2.4369983673,1.5773017406,0.0278801359
6,2.4380242825,1.581466794,0.0281610992
6,2.438893795,1.5811020136,0.0266700182
6,2.4310712814,1.5799075365,0.0269730166
6,2.4311230183,1.5796539783,0.0270591974
6,2.4310896397,1.5794395208,0.0271387678
6,2.4312467575,1.5795464516,0.0255740453
6,2.4313220978,1.5789190531,0.0255830735
6,2.4317119122,1.5789093971,0.0255785957
6,2.4317340851,1.5785691738,0.0255808476
6,2.4310889244,1.5791016817,0.0255933553
6,2.4316022396,1.5787318945,0.0253929812
6,2.4321920872,1.578795433,0.0253834482
6,2.4327225685,1.5823556185,0.0254750121
6,2.4326272011,1.582015872,0.0254802648
6,2.4325168133,1.5825096369,0.0249007922
6,2.4339711666,1.5855859518,0.0249699354
6,2.4343953133,1.5849343538,0.0249627139
6,2.4347605705,1.5881929398,0.0250422768
6,2.4347510338,1.587859869,0.0250270572
6,2.4353716373,1.5881090164,0.0249928702
6,2.4362056255,1.5909193754,0.0250831414
6,2.4361035824,1.5898777246,0.0251004808
6,2.4363348484,1.590534091,0.0251160599
6,2.4377393723,1.5892724991,0.024691226
6,2.4385867119,1.5927325487,0.0247363243
6,2.437997818,1.5919926167,0.0247359946
6,2.439438343,1.5947227478,0.0248388927
6,2.4395918846,1.595293045,0.0248419195
6,2.4392950535,1.5953506231,0.0232587624
6,2.4392244816,1.5941886902,0.0231649149
6,2.4387626648,1.5938453674,0.0230993517
6,2.4387176037,1.5933594704,0.0230239686
6,2.4398298264,1.596141696,0.0238455664
6,2.4405860901,1.5954508781,0.0238273274
6,2.4403169155,1.5950248241,0.0237969365
6,2.4401109219,1.5945776701,0.0237704627
6,2.4396474361,1.5936204195,0.0237438772
6,2.4396021366,1.594532609,0.0242419541
6,2.4401111603,1.5943374634,0.0242350511
6,2.4408471584,1.597935915,0.024333097
6,2.4407484531,1.5974385738,0.0243455451
6,2.4403431416,1.597430706,0.0242042542
6,2.4418227673,1.5999734402,0.0242974106
6,2.443488121,1.6027245522,0.0243963357
6,2.4428133965,1.602747798,0.0244154055
6,2.4428408146,1.6030181646,0.0230142474
6,2.4438581467,1.6056536436,0.0230494924
6,2.4440391064,1.6046960354,0.0230274145
6,2.4449317455,1.6078048944,0.0230708122
6,2.4451212883,1.6070452929,0.0238461141
6,2.4467427731,1.6108111143,0.0239229482
6,2.4469900131,1.6129902601,0.024036428
6,2.4473884106,1.6125693321,0.0240594223
6,2.4484298229,1.616470933,0.0242066998
6,2.4486305714,1.615451932,0.0249877535
6,2.4478886127,1.6154438257,0.0250588879
6,2.4480924606,1.6151126623,0.0251234863
6,2.4489088058,1.6178994179,0.0253190026
6,2.4497065544,1.6184617281,0.0248404425
6,2.4491205215,1.6181383133,0.0248890016
6,2.45012784,1.6207200289,0.0250944942
6,2.4502410889,1.6201884747,0.0251671169
6,2.4500861168,1.6202403307,0.0247440059
6,2.450302124,1.6196157932,0.0247959066
6,2.4503951073,1.6196374893,0.0248246975
6,2.4503967762,1.6191978455,0.0248712786
6,2.4488060474,1.6178505421,0.0257706679
6,2.4446790218,1.6187213659,0.02584951
6,2.4449007511,1.6181426048,0.0259522609
6,2.4447832108,1.6181310415,0.0260288883
6,2.4447083473,1.6181206703,0.0261068437
6,2.4456076622,1.6203807592,0.0266353525
6,2.4419264793,1.6245428324,0.0268328469
6,2.442044735,1.6240329742,0.0269631948
6,2.4385502338,1.6280298233,0.0271842722
6,2.4417514801,1.6302366257,0.0260729436
6,2.4425070286,1.6332751513,0.0261948351
6,2.4464273453,1.638625741,0.0264298394
6,2.4465215206,1.6386275291,0.0264953356
6,2.446709156,1.6393866539,0.0265863631
6,2.4473445415,1.6387917995,0.0260357112
6,2.4470450878,1.6393846273,0.0260846075
6,2.4472372532,1.6390174627,0.026154859
6,2.4470696449,1.6387956142,0.0261917319
6,2.4473354816,1.6388052702,0.0249554068
6,2.4504675865,1.6418864727,0.0250049457
6,2.4505341053,1.6418764591,0.0249815732
6,2.4505710602,1.6415771246,0.0249691773
6,2.4506511688,1.6406935453,0.0249876678
6,2.4509994984,1.6408145428,0.0257860273
6,2.4511008263,1.6401040554,0.0258428063
6,2.4510240555,1.6409249306,0.0258970466
6,2.4508299828,1.640313983,0.0259611011
6,2.4509215355,1.63983953,0.0260113329
6,2.4535820484,1.6425414085,0.0261137113
6,2.4536905289,1.6420434713,0.0261705983
6,2.4537024498,1.6426895857,0.0262313541
6,2.453725338,1.6426811218,0.026275903
6,2.4537870884,1.6427639723,0.0246359948
6,2.4533369541,1.6452759504,0.0246724598
6,2.453571558,1.6452655792,0.024648793
6,2.4541656971,1.6481565237,0.0247115046
6,2.454539299,1.6474651098,0.0248398501
6,2.4549751282,1.6498324871,0.0248990804
6,2.4577302933,1.6546529531,0.0250255819
6,2.4572980404,1.6546788216,0.0250172019
6,2.4575309753,1.6546776295,0.0250154622
6,2.4569904804,1.654191494,0.024189936
6,2.4573216438,1.6574718952,0.0242352709
6,2.4605593681,1.6628372669,0.0243706238
6,2.4601552486,1.662386179,0.0243557375
6,2.4601135254,1.6627362967,0.0250214096
6,2.4600245953,1.6627719402,0.0250364728
6,2.4603130817,1.665583849,0.0251295306
6,2.4605693817,1.6677277088,0.0252621174
6,2.460524559,1.66712749,0.0253233481
6,2.4606106281,1.6673649549,0.0239789281
6,2.4606935978,1.6667609215,0.0239650495
6,2.4610185623,1.6667720079,0.0239319
6,2.4640235901,1.671536684,0.0240722504
6,2.4639112949,1.6709660292,0.0240505282
6,2.4634273052,1.670979619,0.024031857
6,2.4634680748,1.6709806919,0.0240202285
6,2.4639172554,1.6798990965,0.0242659803
6,2.4633419514,1.6799479723,0.024152074
6,2.4667975903,1.685839653,0.0243054889
6,2.4664998055,1.6855716705,0.0243095271
6,2.4670555592,1.688155055,0.0243913289
6,2.4683403969,1.690682292,0.0243403651
6,2.4690036774,1.6934900284,0.0244200286
6,2.4684660435,1.6937292814,0.0244255029
6,2.4652471542,1.697347641,0.0245434325
6,2.4649035931,1.6966882944,0.0243501775
6,2.46398139,1.6958664656,0.0243812501
6,2.4639868736,1.6959012747,0.0243779384
6,2.463722229,1.6952433586,0.0244100131
6,2.4665441513,1.698184371,0.0255086627
6,2.4668073654,1.6973410845,0.0255987477
6,2.4687087536,1.6994066238,0.0257349648
6,2.4644165039,1.7029261589,0.02590557
6,2.4637143612,1.7023814917,0.0259842388
6,2.4669561386,1.7077718973,0.0245855451
6,2.4670317173,1.7068872452,0.0246178582
6,2.4664452076,1.7066502571,0.0246224646
6,2.4674992561,1.7083206177,0.0247549415
6,2.4682774544,1.7077225447,0.0240770075
6,2.4699664116,1.7018573284,0.0243989751
6,2.4689748287,1.7010650635,0.0244191568
6,2.4653055668,1.7045673132,0.0245045815
6,2.4663808346,1.7068876028,0.0246198885
6,2.4659247398,1.7056161165,0.0252182689
6,2.4589898586,1.7105365992,0.0253639594
6,2.4581587315,1.7107515335,0.0253910907
6,2.4590280056,1.7107936144,0.0254322607
6,2.4593288898,1.7126637697,0.0261678044
6,2.4594237804,1.7118862867,0.0262696501
6,2.4590642452,1.7117123604,0.026350487
6,2.4598996639,1.7108123302,0.0264637452
6,2.459789753,1.7137055397,0.0266538691
6,2.4582660198,1.7163569927,0.0253790244
6,2.4582660198,1.7163569927,0.0253790244
6,2.4582133293,1.7155745029,0.0254279729
6,2.4582951069,1.7161356211,0.0254663751
6,2.4580485821,1.7154414654,0.0255153403
6,2.4586203098,1.7182289362,0.0253864154
6,2.4593582153,1.7197239399,0.0255091432
6,2.4592320919,1.7197928429,0.0255330671
6,2.4593186378,1.7201224566,0.0255672242
6,2.4587259293,1.7178300619,0.0256348886
6,2.4593808651,1.7202039957,0.0242686439
6,2.4590144157,1.7196122408,0.0242345333
6,2.4595935345,1.7210087776,0.024309909
6,2.4598140717,1.7211225033,0.0242909677
6,2.459738493,1.7210240364,0.0245477483
6,2.4598035812,1.7210561037,0.0245328993
6,2.459810257,1.7198506594,0.0245635938
6,2.4609129429,1.7098609209,0.0249625053
6,2.4496331215,1.7231206894,0.0257518757
6,2.4506590366,1.7145020962,0.025359977
