"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-1.013518631",-1.746629514,-0.482016496,-1.563593889,-0.378347367,-2.01311343,-0.81580896,-1.663709006,-0.726,-1.85,0.118444766,-1.738511219,-0.142431926,-1.590378335,-0.14028042,-1.89037062,-0.401157113,-1.742237736,TRUE,"f1","1stO",70,"null","185","1","385"
"-0.910286835",-1.680414331,-0.575417325,-1.411049915,-0.283706327,-1.685582705,-0.687341752,-1.628758735,-0.642,-1.85,0.158687206,-1.642240214,-0.106308146,-1.501607844,-0.095601675,-1.801416736,-0.360597027,-1.660784366,FALSE,"null","null",379,"null","157","2","379"
"-0.541903841",-1.861910893,-0.312384052,-1.621182248,0.272401175,-2.138729685,-0.293062655,-2.090462962,-0.25,-1.85,0.563733879,-2.038854731,0.330894827,-1.849682916,0.283486756,-2.145913359,0.050647703,-1.956741544,FALSE,"null","null",351,"null","138","3","351"
"-1.051503622",-1.809938527,-0.456564459,-1.614620508,-0.491676038,-2.076318837,-0.905638892,-1.906536369,-0.754,-1.85,0.07927494,-1.823750588,-0.178681241,-1.670588555,-0.182345362,-1.970566178,-0.440301544,-1.817404144,TRUE,"L","1stO",63,"null","183","4","387"
"-0.065184871",-1.638341319,-0.378608154,-1.495303626,-0.630660488,-1.765891297,-0.907242461,-1.657948807,0.212,-1.85,0.26560861,-1.664516326,0.018442754,-1.494489741,-0.00522166,-1.793554944,-0.252387516,-1.623528359,FALSE,"null","null",318,"null","171","5","318"
"-0.821346611",-1.933036951,-1.16502664,0.442887684,-1.110733052,-1.798636682,-1.105546508,-2.055526472,-0.544,-1.85,-0.548964636,-1.987673031,-0.774197889,-1.789506481,-0.833198529,-2.083647475,-1.058431783,-1.885480925,FALSE,"null","null",372,"f1","152","7","372"
"-0.579010661",-1.750293351,-0.76968759,-1.604622255,-0.219831543,-2.086663617,-0.374463496,-1.62257706,-0.306,-1.85,0.321548064,-1.688665882,0.052105733,-1.556753674,0.072587576,-1.856053681,-0.196854755,-1.724141473,FALSE,"null","null",355,"null","140","8","355"
"-0.708247346",-1.820764938,-0.447211151,-1.603767612,0.074488287,-2.083107279,-0.511388568,-2.085909824,-0.446,-1.85,0.405219725,-1.980136511,0.169286212,-1.794838434,0.126780126,-2.091811889,-0.109153387,-1.906513811,FALSE,"null","null",365,"null","153","10","365"
"-0.057966351",-1.560454484,-0.836226156,-1.550476622,-0.295048809,-1.711049711,-1.163258805,-1.666774466,0.156,-1.85,0.175923935,-1.564526109,-0.081233483,-1.410026717,-0.086455172,-1.70998127,-0.343612591,-1.555481878,TRUE,"f1","1stO",60,"null","170","13","322"
"-0.084483647",-1.667992002,-1.387020464,-1.695766092,-0.463922733,-1.929451162,-0.596382121,-1.673110824,0.184,-1.85,0.147501439,-1.646962581,-0.124787201,-1.52103047,-0.097703288,-1.819805405,-0.369991928,-1.693873294,FALSE,"null","null",320,"null","172","14","320"
