"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.192542436",-1.801312936,-0.258602332,-1.540683629,-0.654521351,-2.067510554,-0.633876338,-1.777303009,0.17,-1.85,0.241684334,-1.761829709,-0.030638992,-1.635972622,-0.003472764,-1.934740083,-0.275796089,-1.808882996,TRUE,"f1","1stO",70,"null","185","1","321"
"0.174599856",-1.642664136,-0.05475837,-1.465114337,-0.30555253,-1.827361383,-0.433292521,-1.585428209,0.548,-1.85,0.626323814,-1.660679387,0.372699973,-1.500445347,0.360745145,-1.800207056,0.107121304,-1.639973016,TRUE,"L","2ndO",205,"null","157","2","294"
"0.40242469",-2.003191978,0.329717336,-1.744794652,-0.093240715,-2.123773233,-0.085356342,-1.836451307,0.8,-1.85,0.920593612,-2.110598242,0.696638587,-1.910988255,0.63574878,-2.204743989,0.411793755,-2.005134002,TRUE,"f2","f3",165,"null","138","3","276"
"-0.224104407",-1.904043807,-0.214096233,-1.625285193,-0.669321214,-2.070884464,-0.632267291,-1.990429799,0.17,-1.85,0.311650298,-1.642861077,0.012384947,-1.621878943,0.143846561,-1.891541406,-0.155418789,-1.870559272,TRUE,"L","1stO",63,"null","183","4","321"
"-0.006421876",-1.644709643,-0.145373782,-1.409620661,-0.463957468,-1.752327081,-0.544912465,-1.609742437,0.366,-1.85,0.472888965,-1.681803727,0.225429858,-1.512204229,0.202281937,-1.811309852,-0.045177171,-1.641710353,TRUE,"f1","2ndO",225,"null","171","5","307"
"0.232273702",-1.827848963,0.176669427,-1.559835199,-0.232816669,-2.068481299,-0.232655758,-1.789258906,0.604,-1.85,0.759755973,-1.67877915,0.468947269,-1.605088597,0.55053373,-1.893781599,0.259725026,-1.820091046,TRUE,"L","2ndO",197,"null","152","7","290"
"0.390351158",-1.664842763,0.220135296,-1.467211725,-0.082165648,-1.929861139,-0.12954926,-1.647904308,0.758,-1.85,0.824618927,-1.583345451,0.541601998,-1.483839582,0.596935852,-1.778692367,0.313918923,-1.679186497,TRUE,"f2","f3",173,"null","140","8","279"
"0.216226951",-1.770194048,0.157166561,-1.511107467,-0.202101858,-1.979694938,-0.253629848,-1.701774012,0.59,-1.85,0.755010814,-1.703853296,0.478819422,-1.586728086,0.515481711,-1.884479453,0.239290318,-1.767354243,TRUE,"L","f1",182,"null","155","9","291"
"0.228663573",-1.945179194,0.111519299,-1.690913708,-0.26041052,-2.077472788,-0.303480189,-1.78701866,0.604,-1.85,0.711111548,-2.041570969,0.485728029,-1.843575339,0.426950544,-2.137761007,0.201567024,-1.939765378,TRUE,"f2","f3",155,"null","153","10","290"
"0.015283156",-1.563996269,-0.09495083,-1.316517414,-0.387446512,-1.800372429,-0.468076932,-1.517037869,0.408,-1.85,0.555528919,-1.528844885,0.286530271,-1.396030249,0.306008746,-1.69539723,0.037010099,-1.562582594,TRUE,"f1","1stO",60,"null","170","13","304"
