"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.583182314",-1.872298452,-1.522065916,-2.050692675,-1.458569701,-1.770710075,-1.109400626,-2.02106236,-0.152,-1.85,-0.393074303,-1.832043256,-0.678319539,-1.73911772,-0.616172796,-2.032610109,-0.901418032,-1.939684573,TRUE,"f1","1stO",70,"null","125","1","344"
"-0.55464826",-1.650130046,-1.401396965,-1.749810913,-0.708419107,-1.428574242,-0.865341975,-1.735009768,-0.138,-1.85,-0.101110909,-1.631996229,-0.366703782,-1.492495598,-0.354718436,-1.792256088,-0.620311308,-1.652755457,FALSE,"null","null",343,"null","97","2","343"
"-0.131244831",-1.935006241,0.110745714,-1.619628081,0.355594959,-2.187624086,-0.474389717,-1.906515695,0.296,-1.85,0.716673765,-2.06960195,0.483594844,-1.880725755,0.436562722,-2.177016119,0.203483802,-1.988139924,FALSE,"null","null",312,"null","78","3","312"
"-0.592949318",-2.059233273,-0.71556826,-1.74825238,-1.628504172,-1.847230971,-1.113589692,-2.09059258,-0.152,-1.85,-0.254883425,-1.968091112,-0.544780285,-1.890891306,-0.466688849,-2.180549255,-0.756585709,-2.103349449,TRUE,"L","1stO",63,"null","123","4","344"
"-0.381788051",-1.60923121,-1.262368009,-1.70727652,-1.546841244,-1.785091516,-0.891702075,-1.616305848,0.058,-1.85,-0.252592279,-1.621297823,-0.497325111,-1.447787475,-0.525223064,-1.746487499,-0.769955896,-1.572977152,FALSE,"null","null",329,"null","111","5","329"
"-0.274101913",-1.927893687,-0.338274259,-1.600584077,-0.325293867,-2.196612765,-0.725763608,-1.918445482,0.142,-1.85,0.370448768,-1.825393952,0.090307509,-1.718058611,0.137423007,-2.014335728,-0.142718251,-1.907000387,FALSE,"null","null",323,"null","92","7","323"
"-0.166316847",-1.766083608,0.080797148,-1.463624686,-1.082967905,-1.846310834,-0.552424707,-1.810464355,0.24,-1.85,0.372520642,-1.67838015,0.091990034,-1.572066567,0.140185074,-1.868169991,-0.140345534,-1.761856408,FALSE,"null","null",316,"null","80","8","316"
"-0.211013397",-1.824796012,-0.522755115,-1.846054975,-0.522194917,-1.560289006,-0.803162058,-1.824530604,0.198,-1.85,0.247448385,-1.816903641,-0.014902599,-1.67139776,-0.009738896,-1.971353317,-0.27208988,-1.825847437,FALSE,"null","null",319,"null","95","9","319"
"-0.2152774",-1.849576478,-0.930931438,-1.711126411,-1.378906772,-1.841786848,-0.589652656,-1.801165871,0.226,-1.85,-0.002636039,-1.898223901,-0.222448135,-1.694060627,-0.289352669,-1.986505123,-0.509164765,-1.782341849,FALSE,"null","null",317,"null","93","10","317"
"-0.272291423",-1.562190927,-1.03731544,-1.565039796,-1.414145537,-1.786520112,-0.751278064,-1.785003121,0.114,-1.85,-0.084073484,-1.56568465,-0.34105252,-1.410888737,-0.346620195,-1.710837067,-0.603599232,-1.556041154,TRUE,"f1","1stO",60,"null","110","13","325"
