"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
"-0.152203308",-1.796780838,-0.146759822,-1.5988657,-0.599568544,-2.008570744,-0.493715356,-1.802777006,0.114,-1.85,0.241684334,-1.761829709,-0.030364438,-1.635380249,-0.003848496,-1.934206126,-0.275897268,-1.807756667,TRUE,"f1","1stO",70,"null","285","1","325"
"0.231508276",-1.644726477,-0.048445262,-1.450574647,-0.277925605,-1.777310934,-0.116878724,-1.628920113,0.506,-1.85,0.73024306,-1.664776981,0.476670687,-1.504461507,0.4646196,-1.804219361,0.211047226,-1.643903886,TRUE,"f1","f3",260,"null","257","2","297"
"0.46452412",-2.014904714,0.274055615,-1.796507859,-0.080915218,-2.06109145,0.137312281,-1.947013735,0.772,-1.85,0.971573574,-2.120847315,0.747936235,-1.920881467,0.686579399,-2.214540008,0.46294206,-2.014574159,FALSE,"null","null",278,"null","238","3","278"
"-0.159611694",-1.880803097,-0.169753336,-1.672757598,-0.62920795,-2.037814358,-0.463263252,-2.023080563,0.142,-1.85,0.351555658,-1.609520978,0.051746654,-1.598817658,0.192381809,-1.863811532,-0.107427195,-1.853108211,TRUE,"L","1stO",63,"null","283","4","323"
"0.058680007",-1.649275628,-0.221623041,-1.479033265,-0.374648656,-1.654364875,-0.371716742,-1.702549237,0.31,-1.85,0.576529143,-1.690447428,0.32942708,-1.520328144,0.305650491,-1.81938445,0.058548428,-1.649265166,TRUE,"f2","f3",295,"null","271","5","311"
"0.288436224",-1.816517957,0.134870171,-1.680535838,-0.252858928,-2.028327718,-0.164554531,-1.838403534,0.576,-1.85,0.759755973,-1.67877915,0.468303009,-1.607679433,0.55245533,-1.895634962,0.261002366,-1.824535246,FALSE,"null","null",292,"null","252","7","292"
"0.466977742",-1.65119679,0.302592757,-1.51666154,0.038320543,-1.850936978,-0.121543057,-1.726970274,0.744,-1.85,0.875361027,-1.571977103,0.591742807,-1.474198242,0.64887294,-1.768708256,0.36525472,-1.670929395,FALSE,"null","null",280,"null","240","8","280"
"0.275684212",-1.764320301,0.133624147,-1.609203482,-0.101539588,-1.932106483,-0.248588102,-1.766959026,0.534,-1.85,0.805767057,-1.692548262,0.52818263,-1.578763879,0.568434677,-1.876051236,0.29085025,-1.762266853,FALSE,"null","null",295,"null","255","9","295"
"0.306693583",-1.957924586,0.062956202,-1.766723939,-0.095753858,-2.04092281,-0.249875243,-1.846648653,0.562,-1.85,0.762093519,-2.051810045,0.537924232,-1.852440712,0.477349968,-2.146261675,0.253180682,-1.946892342,TRUE,"f2","2ndO",210,"null","253","10","293"
"0.134430888",-1.550538625,-0.12482994,-1.401492117,0.042464546,-1.727387578,-0.256760057,-1.580697183,0.324,-1.85,0.710097754,-1.507762303,0.439888984,-1.377427271,0.462119921,-1.676602446,0.19191115,-1.546267415,TRUE,"f1","1stO",60,"null","270","13","310"
"0.026071976",-1.655656514,-0.14981619,-1.515548177,-0.472676857,-1.870545634,-0.482065225,-1.664778535,0.296,-1.85,0.509215042,-1.60622845,0.235490357,-1.483448984,0.266022563,-1.781891247,-0.007702121,-1.659111781,FALSE,"null","null",312,"null","272","14","312"
"0.407054665",-1.637624415,0.619303819,-1.448540463,0.019509584,-1.843445339,-0.012010997,-1.642494609,0.66,-1.85,1.033892953,-1.554687632,0.756654993,-1.440061659,0.796004968,-1.737469762,0.518767009,-1.622843788,TRUE,"f1","1stO",63,"null","246","16","286"
"0.407064496",-1.839974025,0.179908266,-1.709023453,0.006000969,-2.023180515,-0.142437879,-1.872146034,0.702,-1.85,0.860659757,-1.783185495,0.584230637,-1.666622457,0.621498644,-1.964298616,0.345069525,-1.847735578,TRUE,"f2","1stO",59,"null","243","17","283"
"0.506676582",-1.894138129,0.709664401,-1.725115417,0.079270759,-2.009025673,0.290958381,-1.865562635,0.8,-1.85,1.206421765,-1.914214682,0.951022928,-1.756825248,0.942419098,-2.056701846,0.687020261,-1.899312412,TRUE,"f1","1stO",58,"null","236","19","276"
"0.450949317",-2.008846504,0.201536265,-1.839220067,-0.056457331,-2.075874017,-0.030232469,-1.954112578,0.744,-1.85,0.945477794,-1.946244364,0.668889087,-1.830060514,0.706565275,-2.127685286,0.429976568,-2.011501435,TRUE,"f3","2ndO",193,"null","240","20","280"
"0.294070812",-1.660242066,0.253121517,-1.47285489,-0.068915789,-1.89654046,-0.085212478,-1.686580989,0.576,-1.85,0.8776041,-1.565497006,0.597114919,-1.459074172,0.645194633,-1.755196345,0.364705452,-1.648773512,FALSE,"null","null",292,"null","252","21","292"
"0.128526686",-1.758946923,-0.00074437,-1.60779276,-0.438986418,-1.929724824,-0.237719789,-1.804101878,0.422,-1.85,0.659084233,-1.659088513,0.376014669,-1.559732476,0.431504599,-1.854555928,0.148435035,-1.755199891,FALSE,"null","null",303,"null","263","22","303"
"0.048305504",-1.701024059,-0.15356986,-1.567316026,-0.413117577,-1.919981815,-0.54226249,-1.742348239,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.060564133,-1.715121053,TRUE,"L","1stO",56,"null","268","23","308"
"0.218407545",-1.693606243,-0.225819426,-1.531336331,-0.302731018,-1.861092387,-0.343366074,-1.673966016,0.506,-1.85,0.636302187,-1.641462701,0.359921262,-1.524785436,0.397066249,-1.822476971,0.120685324,-1.705799706,TRUE,"f2","f3",261,"null","257","24","297"
"0.054540542",-1.625991782,-0.111507396,-1.481616268,-0.439422521,-1.812413112,-0.288007189,-1.634797308,0.338,-1.85,0.590726793,-1.531483946,0.308825738,-1.42885941,0.36090081,-1.724305153,0.078999755,-1.621680617,TRUE,"f3","1stO",60,"null","269","25","309"
"0.189274621",-2.012507235,-0.03403327,-1.788494184,-0.374176097,-2.037731393,-0.189264386,-1.900206437,0.45,-1.85,0.671477984,-2.129325915,0.454291854,-1.922371367,0.383657023,-2.213937347,0.166470893,-2.0069828,FALSE,"null","null",301,"null","261","26","301"
"0.448191173",-1.942945581,0.273767991,-1.777088137,-0.086265052,-2.074798594,0.009678409,-1.87677913,0.716,-1.85,0.956138862,-1.977625725,0.707152144,-1.810276945,0.686717208,-2.109580158,0.43773049,-1.942231378,FALSE,"null","null",282,"null","242","27","282"
"0.52362583",-1.588505181,0.310711594,-1.453546354,0.022732835,-1.799126039,-0.030971911,-1.599228936,0.758,-1.85,0.929560109,-1.558107013,0.659276592,-1.427927059,0.681679203,-1.727089428,0.411395686,-1.596909474,TRUE,"L","1stO",54,"null","239","28","279"
