"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
-0.481088200680422,-1.83306864203522,-1.08084692414196,-2.15680880123136,-0.862997558348512,-1.95982301318823,-0.904528315286907,-1.69380766401346,-0.026,-1.85,0.06729286,-1.747864422,-0.214021506,-1.643642411,-0.163623233,-1.939378804,-0.444937598,-1.835156793,TRUE,"f1","1stO",70,"null","165","1","335"
-0.562644958015629,-1.65572720295828,-1.42360747254569,-1.74196479971089,-0.743165875342029,-1.47661874678773,-0.94689663072531,-1.69144021951432,-0.082,-1.85,-0.049151286,-1.634045026,-0.313896473,-1.492942276,-0.303722446,-1.792769708,-0.568467632,-1.651666958,FALSE,"null","null",339,"null","137","2","339"
-0.693909799107217,-1.82918341218599,-0.902052580353184,-1.77240796108968,-0.609926920675376,-1.62941380490364,-0.552625417974645,-2.18350116978165,-0.194,-1.85,0.104914223,-1.946613074,-0.135519408,-1.767192704,-0.17068519,-2.065124521,-0.411118821,-1.885704152,FALSE,"null","null",347,"null","118","3","347"
-0.400412156381466,-1.95215882691097,-0.705149485629461,-1.65857646583829,-0.721643274857167,-1.86297718566171,-0.940282031431562,-2.15425250803861,0.044,-1.85,0.112123496,-1.809561574,-0.180787619,-1.74473042,-0.090477488,-2.030814464,-0.383388603,-1.96598331,TRUE,"L","1stO",63,"null","163","4","330"
-0.308409754299522,-1.63060940388638,-1.20211391440444,-1.7282308274958,-0.643643162303599,-1.80761998508139,-0.927619915496109,-1.62796435285496,0.198,-1.85,0.058328255,-1.647228925,-0.187897062,-1.475843121,-0.213208863,-1.774773402,-0.459434179,-1.603387598,FALSE,"null","null",319,"null","151","5","319"
-0.327863280485086,-1.92700614333168,-0.171354899354243,-1.60813618985801,-0.38290825558559,-2.26838691432476,-0.768522104246479,-1.89734027080363,0.128,-1.85,0.321785367,-1.843720802,0.042831647,-1.73333592,0.086712395,-2.030109369,-0.192241325,-1.919724487,FALSE,"null","null",324,"null","132","7","324"
-0.210272730608888,-1.80052094904173,-0.174163479955402,-2.05317131242249,-1.21235486675012,-1.89308102416033,-0.609732028534714,-1.82890574520662,0.212,-1.85,0.219602907,-1.709237345,-0.060871062,-1.602774429,-0.012833667,-1.89890347,-0.293307637,-1.792440554,FALSE,"null","null",318,"null","120","8","318"
-0.195780926824956,-1.83452215599586,-0.965824657606154,-1.70895602314187,-0.269455188200297,-1.56387987716509,-0.621574546916713,-2.00418327148744,0.226,-1.85,0.247448385,-1.816903641,-0.01513148,-1.671811206,-0.009495282,-1.971758256,-0.272075147,-1.826665821,FALSE,"null","null",317,"null","135","9","317"
-0.155587583437618,-1.86728447941465,-0.837890915689739,-1.69045426652511,-1.45772545368926,-1.88267837569428,-0.665192663359825,-1.82460537672046,0.296,-1.85,0.048345931,-1.908462977,-0.169919682,-1.70264723,-0.239028541,-1.99457867,-0.457294155,-1.788762923,FALSE,"null","null",312,"null","133","10","312"
-0.203496653177056,-1.55705168970859,-0.874618337768915,-1.47333417415028,-1.50713100594422,-1.72598591588871,-0.727418444878375,-1.77508209421077,0.198,-1.85,-0.032074,-1.565452942,-0.289695834,-1.411729194,-0.294013587,-1.711698121,-0.551635422,-1.557974373,TRUE,"f1","1stO",60,"null","150","13","319"
-0.285083675596557,-1.66932309015568,-0.861844841564723,-1.85686786733005,-1.58341919088125,-1.8391681641732,-0.944988874400886,-1.65646057887284,0.128,-1.85,-0.059192049,-1.670239227,-0.332373737,-1.546256305,-0.303155254,-1.844830048,-0.576336942,-1.720847125,FALSE,"null","null",324,"null","152","14","324"
-0.605819818942872,-1.96867250187906,-0.823244746407795,-1.67185835435216,-1.50544958128355,-1.8067689196445,-0.960121851879919,-2.06980554070201,-0.18,-1.85,-0.169916897,-1.929094296,-0.438630226,-1.795703342,-0.419793516,-2.095111389,-0.688506846,-1.961720435,TRUE,"f2","1stO",59,"null","123","17","346"
-0.182417623416199,-1.90942498479944,-0.43120992523586,-1.74569232710921,-0.968852346867768,-1.99894766977938,-1.58517205488647,-1.83121840510584,0.296,-1.85,-0.041515291,-1.901680571,-0.295864371,-1.742600259,-0.306457423,-2.042413179,-0.560806502,-1.883332866,TRUE,"f1","1stO",58,"null","116","19","312"
-0.0604298790045663,-1.98963974752215,-0.68681360835979,-1.76399426218067,-1.06116500751254,-1.93036510178307,-0.347718292073941,-1.87318721842378,0.394,-1.85,0.14764238,-2.037858903,-0.072368415,-1.833909767,-0.13898815,-2.126419273,-0.358998945,-1.922470137,FALSE,"null","null",305,"null","120","20","305"
-0.237922271556561,-1.82333819984897,-0.386007614248057,-1.64206010089923,-1.52509024492516,-1.83206698503984,-0.834645259950614,-1.91106265023432,0.212,-1.85,0.047664179,-1.783754137,-0.234937428,-1.683074788,-0.180827499,-1.978154634,-0.463429107,-1.877475284,FALSE,"null","null",318,"null","143","22","318"
-0.172760452535696,-1.70696200998251,-0.530724304942482,-1.81453744009461,-0.564716147606888,-1.66986366593592,-0.697008789332407,-1.93220447976834,0.31,-1.85,0.302549748,-1.682620793,0.029680276,-1.557952229,0.058148868,-1.856598406,-0.214720604,-1.731929842,TRUE,"L","1stO",56,"null","148","23","311"
-0.0989123293062176,-1.70300016471694,-1.0002885266614,-1.71827760642336,-0.60925909908137,-1.94092629504244,-0.794150926894113,-1.70658031929858,0.324,-1.85,0.188499457,-1.734014838,-0.05977613,-1.56561284,-0.081478745,-1.864826805,-0.329754332,-1.696424806,FALSE,"null","null",310,"null","137","24","310"
-0.178448178808375,-1.64043910014951,-0.561965750161488,-1.57202789859623,-0.455816345155039,-1.99406888511143,-0.968688709738766,-1.73870251318658,0.282,-1.85,0.182597569,-1.612022987,-0.100411765,-1.512495522,-0.045100412,-1.807352528,-0.328109746,-1.707825062,TRUE,"f3","1stO",60,"null","149","25","313"
-0.122231097337938,-1.90697407156958,-0.729275236681808,-1.74352279690873,-1.54673517861922,-1.88510144358166,-0.828164087361176,-2.04266691190793,0.296,-1.85,0.165520621,-2.00929614,-0.050882514,-1.801522987,-0.122617776,-2.092820175,-0.33902091,-1.885047022,FALSE,"null","null",312,"null","141","26","312"
-0.105636318472404,-1.89981965945167,-0.62556833158542,-1.79278434085975,-0.849752571025814,-2.16780872753362,-0.606946368585282,-1.56307375560886,0.268,-1.85,0.229267174,-1.937109686,-0.019271141,-1.769095682,-0.040506379,-2.068343179,-0.289044695,-1.900329175,FALSE,"null","null",314,"null","122","27","314"
-0.0048792253661193,-1.62276195038126,-0.47500881065565,-1.578073609728,-1.38867648310988,-1.8252769488482,-0.583416145276798,-1.81457206916379,0.436,-1.85,0.209203101,-1.623447041,-0.06058858,-1.492250817,-0.039312002,-1.791495378,-0.309103683,-1.660299155,TRUE,"L","1stO",54,"null","119","28","302"
-0.626323417479903,-1.67356402441243,-0.691387398221294,-1.6361746413848,-0.744439886096023,-1.45418855527331,-0.697018439140254,-1.98233129518218,-0.194,-1.85,0.027253651,-1.606054902,-0.245746364,-1.481672462,-0.21696471,-1.780288631,-0.489964725,-1.655906191,TRUE,"f1","1stO",62,"null","128","31","347"
-0.419073490402229,-1.62536942740648,-1.51294301993473,-1.74974481860366,-0.957579245121014,-1.49635755256836,-0.721663471781894,-1.81305375628971,-0.012,-1.85,-0.014625612,-1.639212756,-0.279387454,-1.49814126,-0.269178033,-1.797967489,-0.533939874,-1.656895992,FALSE,"null","null",334,"null","132","32","334"
-0.245467578040806,-1.66913380333028,-0.678317474714047,-1.90744605502004,-0.530468905930213,-1.62820607122546,-1.04220543686884,-1.67694507330409,0.212,-1.85,0.08776,-1.649334538,-0.173137142,-1.501237673,-0.170944218,-1.801229658,-0.43184136,-1.653132793,FALSE,"null","null",318,"null","150","33","318"
-0.238455908143413,-1.79300572238962,-0.235197050792922,-1.60031654619402,-0.967335191131936,-1.75658360794931,-0.846791224884003,-2.14460231930259,0.17,-1.85,0.196588778,-1.76214994,-0.083110793,-1.653668835,-0.0372084,-1.950136321,-0.316907971,-1.841655217,FALSE,"null","null",321,"null","159","34","321"
-0.259849761989455,-1.75166260447548,-0.709865905729807,-1.50058182654225,-1.38770782040091,-1.79946282122231,-0.97601412252704,-1.88606611575996,0.142,-1.85,-0.167325497,-1.752894395,-0.398070826,-1.561174305,-0.44873263,-1.856865667,-0.679477959,-1.665145578,FALSE,"null","null",323,"null","148","35","323"
-0.43701226531222,-1.7793795134562,-1.06469423433054,-1.75326856854012,-0.552749454288828,-2.1174386704995,-0.937054715708043,-1.8334685311953,0.03,-1.85,-0.095727927,-1.742230961,-0.379040832,-1.64357095,-0.322826456,-1.938257128,-0.606139361,-1.839597116,FALSE,"null","null",331,"null","165","36","331"
-0.0517193360493215,-1.65181530223462,-1.15397379214521,-1.70763062378842,-0.64026801959493,-2.02314297376174,-0.807207172752756,-1.69424078096982,0.31,-1.85,0.182258011,-1.617055053,-0.104663056,-1.529440548,-0.037078909,-1.821728733,-0.323999976,-1.734114229,FALSE,"null","null",311,"null","143","38","311"
-0.106990631414947,-1.8850913803992,-0.838559704588386,-1.67035599317853,-1.3792427754506,-1.89496788863808,-0.673688725483202,-2.04337539973952,0.352,-1.85,0.020202506,-1.882901081,-0.242328826,-1.737720849,-0.236792929,-2.037669768,-0.499324261,-1.892489536,FALSE,"null","null",308,"null","128","39","308"
-0.131416838246153,-1.65336546952991,-1.09854310033463,-1.69537363047455,-1.32039793154073,-1.79808294879935,-0.528926677627884,-1.7005687551795,0.324,-1.85,0.035810066,-1.713331549,-0.205526524,-1.535127591,-0.239187384,-1.833233188,-0.480523973,-1.655029229,FALSE,"null","null",310,"null","126","40","310"
-0.101202373819897,-1.6931440932155,-1.80400937745954,-1.72341985481097,-0.247327593878867,-1.8213604186034,-1.28844580626614,-1.78879440219156,0.352,-1.85,-0.050210358,-1.686884292,-0.276952226,-1.490445688,-0.333702113,-1.785029208,-0.560443982,-1.588590604,FALSE,"null","null",308,"null","128","41","308"
0.0228058325682541,-1.72045243592081,-0.253878138882696,-1.5378329799007,-0.887877983217857,-1.8063950621964,-0.655013581232934,-1.79742200358492,0.478,-1.85,0.264394467,-1.68587779,-0.009083036,-1.562548737,0.020849623,-1.861051728,-0.25262788,-1.737722675,FALSE,"null","null",299,"null","124","43","299"
-0.224838251608034,-1.68474724182033,-0.758719300672767,-1.60753913739475,-0.380724728388702,-1.89728023922377,-0.375453698419126,-1.49874975877812,0.198,-1.85,0.244411266,-1.684299908,-0.011249597,-1.527336463,-0.019353497,-1.827226988,-0.27501436,-1.670263542,TRUE,"f2","1stO",66,"null","146","47","319"
-0.159522730656017,-1.72777797234201,-0.283249890800418,-1.53629412499652,-0.958892388742397,-1.84205402210801,-0.857602431428061,-1.78088263911681,0.324,-1.85,0.120489584,-1.80740073,-0.111593982,-1.617302813,-0.160181825,-1.913342036,-0.392265391,-1.723244118,FALSE,"null","null",310,"null","139","48","310"
-0.324790199718556,-1.86692634917999,-1.26069767505931,-1.77174574268943,-0.630166076050261,-1.73857538484131,-0.930457215806181,-2.08564598717422,0.128,-1.85,-0.027941423,-1.825874947,-0.295859998,-1.69089481,-0.278796938,-1.99040917,-0.546715513,-1.855429034,FALSE,"null","null",324,"null","159","49","324"
-0.0676194845711278,-1.95539881519582,-0.0244565599897388,-1.78660919408831,-1.56321737267166,-1.86282555158151,-0.719676711737234,-1.89249564808685,0.394,-1.85,0.130491048,-2.014878321,-0.102912741,-1.826403731,-0.14943463,-2.122774637,-0.382838419,-1.934300046,TRUE,"f2","1stO",61,"null","131","50","305"
0.0462850649517773,-1.42477765143006,-1.83024589294647,-1.25530802189154,-0.374472239855772,-1.51832332210271,-0.698172963990586,-1.46987392992594,0.296,-1.85,0.079536846,-1.465465918,-0.114094176,-1.236321799,-0.215723293,-1.518583243,-0.409354316,-1.289439125,FALSE,"null","null",312,"null","143","52","312"
-0.0205585345424736,-1.62535427555041,-0.918264639523058,-1.66323615839483,-0.724196160442155,-1.79115122147137,-0.755213475522326,-1.73776021755067,0.366,-1.85,0.204384713,-1.598193364,-0.061938871,-1.460092863,-0.048375621,-1.759786104,-0.314699206,-1.621685603,FALSE,"null","null",307,"null","141","55","307"
-0.441485986085452,-1.64240408286934,-1.16213390618174,-1.52882830561824,-0.590628031985675,-1.94675915778766,-1.09320343131603,-1.85955427791623,-0.04,-1.85,-0.348224868,-1.63060163,-0.619971607,-1.503504386,-0.59416768,-1.802392588,-0.865914419,-1.675295343,FALSE,"null","null",336,"null","169","56","336"
0.0598871309330233,-2.04024259849305,-0.704389220716613,-1.71522159537624,-1.27366597711531,-1.92576139513984,-0.693370287055996,-2.10174483043165,0.422,-1.85,0.049225945,-2.063659874,-0.159440573,-1.848118036,-0.241772021,-2.136599461,-0.45043854,-1.921057623,FALSE,"null","null",303,"null","127","57","303"
-0.0737226558117421,-2.08106809794096,-0.940325995783659,-1.90368993667055,-1.50506543802449,-1.9113378519927,-0.46086575110672,-1.92250994538066,0.38,-1.85,-0.018556048,-2.032345285,-0.31434114,-1.982233615,-0.209846574,-2.263446853,-0.505631665,-2.213335183,TRUE,"f1","1stO",56,"null","126","60","306"
-0.169710319312483,-1.75341477367058,-0.670306369351053,-1.63647732394374,-0.947067408127486,-1.72387218835276,-0.824134806821177,-2.05352466438097,0.254,-1.85,0.160034865,-1.732614762,-0.110417263,-1.602785463,-0.08762667,-1.901918526,-0.358078797,-1.772089227,TRUE,"f2","1stO",67,"null","147","61","315"
-0.150112935543978,-1.8113298121173,0.230352481893633,-1.49210588517367,-0.0536341609966439,-2.0549385391759,0.0611360379823071,-2.09344152370048,0.296,-1.85,0.790029592,-1.794816597,0.522413961,-1.659236826,0.53880625,-1.958788646,0.27119062,-1.823208875,FALSE,"null","null",312,"null","119","62","312"
-0.275945705535682,-2.05578007868318,0.174123916343468,-1.72309123391072,-1.07165129447776,-1.99832600766324,-0.611598812008596,-2.09006699023564,0.142,-1.85,0.2681832,-2.027518155,0.003365534,-1.886551478,0.013693644,-2.186373643,-0.251124022,-2.045406966,TRUE,"L","1stO",53,"null","116","63","323"
-0.147772934283604,-1.83172820352091,-0.917021510254099,-1.58531969554915,-1.39890818993626,-1.82162410462282,-0.710100244597069,-1.92641127795817,0.31,-1.85,-0.00261316,-1.817602113,-0.238619987,-1.632397422,-0.281008541,-1.929387675,-0.517015368,-1.744182984,FALSE,"null","null",311,"null","133","64","311"
0.0495271659173423,-1.83932597573263,-1.04427832944836,-1.77689903958,-1.03199831363029,-1.90802104896947,-0.406027077300618,-1.94488542972487,0.45,-1.85,0.177910034,-1.852451016,-0.091193361,-1.719848744,-0.071478599,-2.019200257,-0.340581995,-1.886597985,TRUE,"f1","1stO",60,"null","129","65","301"
-0.181531339080907,-1.74030645650997,-0.486205585852927,-1.55674495647439,-1.62221376258515,-1.85030808872709,-0.73821563925058,-1.78361524984626,0.268,-1.85,0.014079499,-1.743211805,-0.233874943,-1.574337311,-0.256147324,-1.873509403,-0.504101766,-1.704634909,FALSE,"null","null",314,"null","142","68","314"
-0.172907062212826,-2.09468957990198,-0.477264142518479,-1.85504110318737,-1.33834065238653,-1.96517398680465,-0.835266873202339,-2.06243861848701,0.31,-1.85,0.176202056,-2.071375947,-0.103011469,-1.961649888,-0.058430261,-2.258318923,-0.337643785,-2.148592864,TRUE,"f1","1stO",56,"null","132","71","311"
-0.0335632733124246,-1.80210505270835,-0.952777215775871,-1.65615932401088,-1.34875687164109,-1.93511727373068,-0.53915912753099,-2.02733314330647,0.506,-1.85,0.109626629,-1.799949202,-0.151752817,-1.652705237,-0.148580108,-1.95268846,-0.409959554,-1.805444495,FALSE,"null","null",297,"null","126","72","297"
-0.252981993672653,-2.01245272665337,-0.814194582713711,-1.81549164492833,-0.759508138031114,-1.52135926536384,-0.855843752472009,-2.10821147328692,0.226,-1.85,0.063435637,-2.04200718,-0.179454686,-1.865926826,-0.210499583,-2.164316193,-0.453389907,-1.98823584,TRUE,"f3","1stO",66,"null","140","73","317"
-0.320076238809594,-1.73055787042772,0.117057211978695,-1.46700705886752,-0.552057622846752,-1.96082053602287,0.0368848184682055,-2.02776097251836,0.17,-1.85,0.606384819,-1.593043219,0.326304212,-1.485549715,0.37325241,-1.781853388,0.093171803,-1.674359884,FALSE,"null","null",321,"null","138","74","321"
-0.153327565792188,-1.79845642078156,-0.802945206606827,-1.58557467911422,-1.56167786630632,-1.83258977106224,-0.749110207986783,-1.88483970878317,0.282,-1.85,-0.074852535,-1.812650102,-0.320481972,-1.640411375,-0.346830367,-1.939252071,-0.592459805,-1.767013344,TRUE,"f2","1stO",65,"null","136","76","313"
0.0398964595918452,-1.76819350300747,-1.17456505635442,-1.74660567754618,-0.348716741495957,-1.98538296267454,-0.648318508282974,-1.7518786722277,0.478,-1.85,0.267228001,-1.812633045,0.022812568,-1.638675879,-0.005631041,-1.937324436,-0.250046475,-1.763367269,TRUE,"f2","1stO",58,"null","133","77","299"
0.128628534710128,-1.72109563250292,-0.503888094305119,-1.54522104925686,-1.39317584765871,-1.86778731391218,-0.667856010636686,-1.73272349496249,0.562,-1.85,0.311871081,-1.699374303,0.047464645,-1.557637798,0.056920449,-1.857488741,-0.207485986,-1.715752237,FALSE,"null","null",293,"null","122","79","293"
-0.354831666445109,-1.89444233677107,-0.707952642755497,-1.68404104351448,-1.14517106426016,-2.13243743872863,-1.14843556930369,-1.82085249892083,0.044,-1.85,-0.020509658,-1.778890277,-0.311557262,-1.706149009,-0.229029246,-1.994574262,-0.520076851,-1.921832994,FALSE,"null","null",330,"null","168","80","330"
-0.758271611217871,-1.68396773321539,-1.01151105441665,-1.6810184904144,-0.755019306615077,-1.37099043379088,-0.679385546129374,-2.05033645981829,-0.348,-1.85,-0.027793952,-1.610214683,-0.302787542,-1.490304194,-0.269136277,-1.788410873,-0.544129867,-1.668500384,TRUE,"f2","1stO",66,"null","139","81","358"
-0.396308539169973,-1.70613556224922,-1.24516062082493,-1.72370205047259,-0.33241726901697,-2.08015612758378,-0.919819313283004,-1.42725353581219,0.03,-1.85,0.040601194,-1.656544064,-0.236487277,-1.5415572,-0.197524587,-1.839016287,-0.474613059,-1.724029423,TRUE,"L","f3",11,"null","128","84","331"
-0.0865817132593976,-1.78508344660021,0.627644468786439,-1.49634963191153,-0.519907069071713,-2.02825860141904,0.0752936561129289,-1.73839496812835,0.324,-1.85,0.902651053,-1.714107827,0.635112933,-1.57837517,0.651334063,-1.877936307,0.383795943,-1.74220365,TRUE,"f1","1stO",55,"null","129","85","310"
-0.466282974664181,-1.81922435714,-0.9083587397545,-1.73604324697693,0.0231791455721074,-2.09220112427378,-0.268680139215158,-2.1318716912925,-0.054,-1.85,0.367546894,-1.676919438,0.081042089,-1.58795317,0.147247444,-1.880556744,-0.139257361,-1.791590476,FALSE,"null","null",337,"null","146","86","337"
-0.302754370621372,-1.59233792376736,-1.54962262434723,-1.54093407602867,-1.12755295448669,-1.51667951153992,-0.88159684197612,-1.94503727252684,0.128,-1.85,0.089116151,-1.604921191,-0.17599676,-1.464510563,-0.165039476,-1.764310392,-0.430152387,-1.623899764,FALSE,"null","null",324,"null","143","88","324"
-0.0698190503664637,-1.75623142799204,-0.784544276985337,-1.49108786606862,-1.31616218765943,-1.82131426326423,-0.735102765998314,-1.8966843026135,0.38,-1.85,0.147358606,-1.772012987,-0.096640818,-1.597472789,-0.125797351,-1.896052588,-0.369796776,-1.72151239,FALSE,"null","null",306,"null","127","89","306"
-0.319804200852456,-1.77960888877028,-0.823628634361043,-1.5924636021483,-1.72259129224578,-1.88005881042411,-0.760733365598093,-2.00223794176939,0.114,-1.85,-0.129658186,-1.798880945,-0.393919706,-1.656874435,-0.384770191,-1.95673488,-0.649031711,-1.814728371,TRUE,"f1","1stO",59,"null","148","90","325"
-0.113299372598156,-1.83050684425386,-0.264319045438558,-1.73199552353398,-1.27368416609081,-1.94140723859669,-0.710072912487787,-2.02868443502383,0.296,-1.85,0.067990585,-1.712832449,-0.232007518,-1.711765705,-0.082932294,-1.972105056,-0.382930397,-1.971038312,FALSE,"null","null",312,"null","133","92","312"
