"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1"
-0.185890920960052,-1.77115337306434,-0.130745344936015,-1.57525836951839,-0.602140937748136,-2.00682816350819,-0.469427729701618,-1.80563703391584,0.114,-1.85,0.241684334,-1.761829709,-0.030364438,-1.635380249,-0.003848496,-1.934206126,-0.275897268,-1.807756667,TRUE,"f1","1stO",70,"null","285","1","325"
0.240265085054342,-1.64859472929852,0.0332616777410069,-1.43837089101797,-0.309093272377186,-1.7771748376763,-0.156354297557128,-1.62834654076009,0.506,-1.85,0.73024306,-1.664776981,0.476670687,-1.504461507,0.4646196,-1.804219361,0.211047226,-1.643903886,TRUE,"f1","f3",260,"null","257","2","297"
0.423084755368819,-2.06762373400887,0.320817227243849,-1.81563034270346,-0.0751581577594384,-2.04867014497464,0.117445819725151,-1.95789276613476,0.772,-1.85,0.971573574,-2.120847315,0.747936235,-1.920881467,0.686579399,-2.214540008,0.46294206,-2.014574159,FALSE,"null","null",278,"null","238","3","278"
-0.142190852400959,-1.89596301375952,-0.149052455796536,-1.65012417863747,-0.555166565108276,-2.03255441414239,-0.511083586652075,-2.03638899566574,0.142,-1.85,0.351555658,-1.609520978,0.051746654,-1.598817658,0.192381809,-1.863811532,-0.107427195,-1.853108211,TRUE,"L","1stO",63,"null","283","4","323"
0.0524334361246997,-1.65649527329155,-0.217716692567797,-1.46689451959469,-0.347578184069515,-1.67232409331609,-0.364704939895824,-1.70056073268929,0.31,-1.85,0.576529143,-1.690447428,0.32942708,-1.520328144,0.305650491,-1.81938445,0.058548428,-1.649265166,TRUE,"f2","f3",295,"null","271","5","311"
0.315669275041177,-1.78181937446255,0.189544857056027,-1.67956446741923,-0.314942139462894,-2.03297196324794,-0.295019870669044,-1.83733724234926,0.576,-1.85,0.759755973,-1.67877915,0.468303009,-1.607679433,0.55245533,-1.895634962,0.261002366,-1.824535246,FALSE,"null","null",292,"null","252","7","292"
0.510844914716684,-1.65257463425966,0.349911125918915,-1.49644420841906,0.0558532748123813,-1.83546544102592,-0.0768922415516339,-1.75513677827689,0.744,-1.85,0.875361027,-1.571977103,0.591742807,-1.474198242,0.64887294,-1.768708256,0.36525472,-1.670929395,FALSE,"null","null",280,"null","240","8","280"
0.261053573430394,-1.79020321294082,0.17538649129457,-1.60105222520773,-0.0987986564516861,-1.91927658898657,-0.237866436581734,-1.78222369794745,0.534,-1.85,0.805767057,-1.692548262,0.52818263,-1.578763879,0.568434677,-1.876051236,0.29085025,-1.762266853,FALSE,"null","null",295,"null","255","9","295"
0.291588357920824,-1.96292857124736,0.0262331038808257,-1.76904139401821,-0.0244644610536829,-2.0157964596982,-0.219843662912582,-1.8254603085012,0.562,-1.85,0.762093519,-2.051810045,0.537924232,-1.852440712,0.477349968,-2.146261675,0.253180682,-1.946892342,TRUE,"f2","2ndO",210,"null","253","10","293"
0.132795457099876,-1.56625547627179,-0.263625342264803,-1.41025158248951,0.0610040184432668,-1.74084889528798,-0.264955293350565,-1.59032312955129,0.324,-1.85,0.710097754,-1.507762303,0.439888984,-1.377427271,0.462119921,-1.676602446,0.19191115,-1.546267415,TRUE,"f1","1stO",60,"null","270","13","310"
0.00292150302679461,-1.68311260750769,-0.179078516624663,-1.50221206086686,-0.482162685191666,-1.87975213023185,-0.429178900049784,-1.65571858814317,0.296,-1.85,0.509215042,-1.60622845,0.235490357,-1.483448984,0.266022563,-1.781891247,-0.007702121,-1.659111781,FALSE,"null","null",312,"null","272","14","312"
0.463387880763728,-1.64928205017308,0.686348665168982,-1.48180081059473,-0.0268245299198537,-1.84858329413239,-0.00502220816440308,-1.64567523184573,0.66,-1.85,1.033892953,-1.554687632,0.756654993,-1.440061659,0.796004968,-1.737469762,0.518767009,-1.622843788,TRUE,"f1","1stO",63,"null","246","16","286"
0.404826328709673,-1.87235170759495,0.170088316187688,-1.71135329124406,0.00771820091218519,-2.00951851082361,-0.178618138556053,-1.88337322421263,0.702,-1.85,0.860659757,-1.783185495,0.584230637,-1.666622457,0.621498644,-1.964298616,0.345069525,-1.847735578,TRUE,"f2","1stO",59,"null","243","17","283"
0.537217166599337,-1.84732158677536,0.67673806877998,-1.7420695209607,0.122944013484603,-2.00762367402772,0.288072283752261,-1.86421335569461,0.8,-1.85,1.206421765,-1.914214682,0.951022928,-1.756825248,0.942419098,-2.056701846,0.687020261,-1.899312412,TRUE,"f1","1stO",58,"null","236","19","276"
0.464249778356853,-2.00399295550277,0.0965007647989074,-1.86960678118335,-0.0892692720205768,-2.05551946284158,0.00296790553686616,-1.95136915890308,0.744,-1.85,0.945477794,-1.946244364,0.668889087,-1.830060514,0.706565275,-2.127685286,0.429976568,-2.011501435,TRUE,"f3","2ndO",193,"null","240","20","280"
0.343834358398487,-1.64933877294856,0.221933025612621,-1.46950612208145,-0.0970028336091023,-1.88885335695399,-0.138514348367325,-1.67343799811761,0.576,-1.85,0.8776041,-1.565497006,0.597114919,-1.459074172,0.645194633,-1.755196345,0.364705452,-1.648773512,FALSE,"null","null",292,"null","252","21","292"
0.121179084367454,-1.7790317354179,-0.0424493717094513,-1.60971668596356,-0.402853251069317,-1.92776957397658,-0.240354358020763,-1.80756406583761,0.422,-1.85,0.659084233,-1.659088513,0.376014669,-1.559732476,0.431504599,-1.854555928,0.148435035,-1.755199891,FALSE,"null","null",303,"null","263","22","303"
-0.0458317497221652,-1.6784233118624,-0.184882554916912,-1.59776182692646,-0.379471027665897,-1.89486814973536,-0.571607488971379,-1.75625614956058,0.352,-1.85,0.454749096,-1.648395675,0.177830524,-1.533000248,0.216354439,-1.83051648,-0.060564133,-1.715121053,TRUE,"L","1stO",56,"null","268","23","308"
0.239821145326452,-1.68449858586241,-0.221334517027262,-1.53554327644594,-0.313357629823782,-1.85397697465574,-0.400329314705488,-1.69512206400862,0.506,-1.85,0.636302187,-1.641462701,0.359921262,-1.524785436,0.397066249,-1.822476971,0.120685324,-1.705799706,TRUE,"f2","f3",261,"null","257","24","297"
0.0182065511864001,-1.64236454997137,-0.123598238371566,-1.47528911793205,-0.457314707810182,-1.80291660051966,-0.210743498064773,-1.67631501816257,0.338,-1.85,0.590726793,-1.531483946,0.308825738,-1.42885941,0.36090081,-1.724305153,0.078999755,-1.621680617,TRUE,"f3","1stO",60,"null","269","25","309"
0.206758672472203,-2.01438654164642,0.0311191296048364,-1.77882387258656,-0.38415265770629,-2.03734693350864,-0.183096188399466,-1.89145705734871,0.45,-1.85,0.671477984,-2.129325915,0.454291854,-1.922371367,0.383657023,-2.213937347,0.166470893,-2.0069828,FALSE,"null","null",301,"null","261","26","301"
0.413957407720594,-1.94991648365108,0.193068563115891,-1.77266003566853,-0.0456656343211891,-2.07706396684933,0.0286275336870593,-1.87639627321714,0.716,-1.85,0.956138862,-1.977625725,0.707152144,-1.810276945,0.686717208,-2.109580158,0.43773049,-1.942231378,FALSE,"null","null",282,"null","242","27","282"
