"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.415045792,-1.824453336,-0.157544381,-1.506443337,-0.804950528,-2.102531441,-0.863280033,-1.754737741,0.002,-1.85,0.173261003,-1.748064937,-0.10369834,-1.632767399,-0.065069265,-1.930269994,-0.342028608,-1.814972456,TRUE,"f1","1stO",70,"null",185,1,333,2,-0.415045792,-1.824453336,0
-0.315645054,-1.67922799,-0.118635334,-1.37151663,-0.0624175419999998,-1.825248458,-0.726357594,-1.724803948,0.128,-1.85,0.470444945,-1.654532996,0.206055509,-1.512764783,0.215475353,-1.812616858,-0.0489140830000001,-1.670848644,FALSE,"null","null",324,"null",157,2,324,2,-0.315645054,-1.67922799,0.0977174388972193
-0.129669131,-1.935158814,-0.472474994,-1.805968794,0.374643502,-2.188847176,0.023127078,-2.191997535,0.31,-1.85,0.716673765,-2.06960195,0.48361608,-1.880699553,0.436550648,-2.176984627,0.203492963,-1.98808223,FALSE,"null","null",311,"null",138,3,311,2,-0.129669131,-1.935158814,0.286657653358135
-0.370853131,-1.962691456,-0.369481692,-1.616923621,-0.820912808,-1.849611103,-0.892072487000001,-2.147865936,0.0439999999999999,-1.85,0.112123496,-1.809561574,-0.18086857,-1.745097249,-0.0902002800000005,-2.031067984,-0.383192346,-1.966603659,TRUE,"L","1stO",63,"null",183,4,330,2,-0.370853131,-1.962691456,-0.177906627631283
-0.180524172,-1.624314235,-1.455270489,-1.739385236,-0.509384467,-1.801236119,-0.848405298,-1.632599553,0.212,-1.85,0.0583282549999999,-1.647228925,-0.185967224,-1.473103341,-0.214616664,-1.771732223,-0.458912143,-1.597606639,FALSE,"null","null",318,"null",171,5,318,2,-0.180524172,-1.624314235,0.224765968578127
-0.094233317,-1.950951465,-0.950803102,-1.820502141,-0.546534162,-2.169761809,-0.566665790999999,-1.83678651,0.338,-1.85,0.224458566,-1.880374502,-0.061636187,-1.790098303,0.00322970700000001,-2.083001727,-0.282865046,-1.992725527,FALSE,"null","null",309,"null",152,7,309,2,-0.094233317,-1.950951465,-0.0888187755082115
-0.16566234,-1.737127581,-0.484717392,-1.630606866,0.103424029,-1.672499914,-0.0311675379999997,-2.013856292,0.268,-1.85,0.60676255,-1.63111259,0.32897172,-1.517833047,0.369764174,-1.815046734,0.0919733440000004,-1.701767192,FALSE,"null","null",314,"null",140,8,314,2,-0.16566234,-1.737127581,-0.00727529904324367
-0.070479529,-1.814538096,-0.590396642,-1.73834694,-0.458954499,-2.077647804,-0.353773086,-1.51863426,0.38,-1.85,0.399717114,-1.782988538,0.130450165,-1.650718698,0.150534598,-1.950045635,-0.11873235,-1.817775795,FALSE,"null","null",306,"null",155,9,306,2,-0.070479529,-1.814538096,0.0621238617367437
-0.069962747,-1.878920594,-0.629882404,-1.600736412,-0.957130697,-1.906786405,-0.583101108999999,-1.94897957,0.366,-1.85,0.201291843,-1.939180206,-0.0198030939999999,-1.736406863,-0.0848624919999999,-2.029267367,-0.305957429,-1.826494023,FALSE,"null","null",307,"null",153,10,307,2,-0.069962747,-1.878920594,0.347723624410155
-0.149259417,-1.564011465,-1.39947855,-1.731604272,-0.485100531,-1.762842174,-0.828612544,-1.613910714,0.268,-1.85,0.0719249680000004,-1.564989525,-0.187216832,-1.413842154,-0.188543395,-1.713839221,-0.447685195,-1.56269185,TRUE,"f1","1stO",60,"null",170,13,314,2,-0.149259417,-1.564011465,0.133543973602175
-0.198506631,-1.68214596,-0.91682995,-1.559149095,-0.691017159,-1.964467189,-0.98627878,-1.880779377,0.226,-1.85,0.0958280670000003,-1.652781742,-0.177586981,-1.529314291,-0.147805407,-1.827832394,-0.421220455,-1.704364942,FALSE,"null","null",317,"null",172,14,317,2,-0.198506631,-1.68214596,0.0296863867562036
