"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","3rdO.x","3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","data_raw_preproc_1$modi_start","theta"
0,0,-0.181462266563867,0.104553126043747,-0.344631454481141,-0.315222671539834,-0.517995789597789,-0.186344011786617,0.293947299480773,-0.00557567500832307,NA,NA,NA,NA,NA,NA,-0.191523265839212,-0.0703282666111572,"True","L","2ndO",230,"null","[185]",0.175959544366104
0,0,-0.146979924779356,0.176683032502813,-0.487708244438645,-0.119520480442751,-0.572242151773525,0.0824106169783684,0.27828925313974,-0.223744215648802,NA,NA,NA,NA,NA,NA,-0.280100795014287,0.0326857200595755,"True","f2","2ndO",213,"null","[157]",-0.0580836587665984
0,0,0.0304157899153621,0.189972666341338,-0.512288346959585,0.0463156342492989,-0.347584832660646,0.200452032075259,0.3268027385343,0.100137460358254,NA,NA,NA,NA,NA,NA,-0.177372712414213,0.0838414226625631,"True","f2","2ndO",194,"null","[138]",-0.220778909914737
0,0,-0.107097917598292,0.175495710868208,-0.35867271585041,-0.431098148425464,-0.352389234292924,-0.222003007370178,0.244682215919736,0.176113247531005,NA,NA,NA,NA,NA,NA,-0.151642419829172,-0.141632197917339,"True","f2","f3",185,"null","[183]",0.375639410310719
0,0,-0.119497586681107,0.195577302735135,-0.590766218633474,-0.0441381724698016,-0.528407542298829,0.15987301630725,0.242408862081515,-0.233695880110301,NA,NA,NA,NA,NA,NA,-0.379477261567734,0.0880610811449059,"True","f2","f3",186,"null","[171]",-0.114011487802587
0,0,-0.121757736057744,0.148223702274242,-0.362094554581021,-0.383506051787746,-0.437162910699145,-0.206956954350466,0.26369922229451,0.0577084446301889,NA,NA,NA,NA,NA,NA,-0.141417366746104,-0.103930102272331,"True","f2","2ndO",202,"null","[152]",0.31688912258627
0,0,-0.131745901389129,0.14575709520853,-0.364279769907296,-0.326368020409485,-0.469824927823515,-0.143712965482032,0.324306264825823,-0.110098833815657,NA,NA,NA,NA,NA,NA,-0.228103929966187,-0.0829687992087157,"True","f1","f2",160,"null","[140]",0.174427928750688
0,0,-0.0350306707613952,0.193055282411047,-0.42660826134694,-0.255390325990928,-0.435525029366914,-0.0531754676328737,0.286099480284985,-0.0268614717596366,NA,NA,NA,NA,NA,NA,-0.152041300577903,-0.0472227395911583,"True","L","2ndO",199,"null","[155]",0.150572621895812
0,0,-0.104773766655907,0.128443320741235,-0.331378150699068,0.0792933401888192,-0.440271614513063,0.295620727911731,0.275807562304404,-0.221813078361302,NA,NA,NA,NA,NA,NA,-0.202276289186929,0.0165074595723386,"True","f2","f3",156,"null","[153]",-0.0407140134916462
0,0,-0.179169652473987,0.153156806594483,-0.368521033606603,-0.155660513021823,-0.544119005785687,0.00773698764149571,0.219593002510335,-0.292308066898239,NA,NA,NA,NA,NA,NA,-0.224475351799878,0.00546967246996462,"True","f2","f3",177,"null","[170]",-0.0121808260627108
0,0,-0.102451247356652,0.161679033411516,-0.435297122151884,-0.262294878330326,-0.507267855598035,-0.0694325772411695,0.283162038845026,-0.168224089531873,NA,NA,NA,NA,NA,NA,-0.139883514730226,-0.0278304448858888,"True","f1","2ndO",217,"null","[172]",0.098195001053893
0,0,-0.115265378527063,0.159590622544742,-0.541668287355331,-0.2998783140415,-0.427336329637977,-0.0870041337018243,0.297294364167023,-0.171201470344878,NA,NA,NA,NA,NA,NA,-0.29091590507602,-0.0808426198368208,"True","f2","f3",158,"null","[146]",0.135525513757536
0,0,-0.166431821766654,0.124682198581224,-0.29910320257129,-0.238598318436937,-0.492676322101401,-0.115312031886793,0.298411168607323,0.0503819259963256,NA,NA,NA,NA,NA,NA,-0.258322574956601,-0.0658285806899348,"True","L","f2",161,"null","[143]",0.124760111133152
0,0,0.123840628970175,0.183133217561326,-0.43050354983296,-0.121993032225783,-0.228199805165739,0.0368640575019961,0.290944788304915,0.0448666086732461,NA,NA,NA,NA,NA,NA,-0.101172891339615,0.00493199594274725,"True","f2","f3",150,"null","[136]",-0.0243548182263014
0,0,-0.0962008542656786,0.17193021733355,-0.479821762649219,-0.193996617975763,-0.414158803990418,-0.0114134447506402,0.22410145043152,0.226885092214535,NA,NA,NA,NA,NA,NA,-0.223988136653198,-0.0694554985388956,"True","f2","f3",148,"null","[140]",0.15034188734944
0,0,-0.12019869917399,0.152499081122127,-0.296671783052965,-0.285354347406762,-0.412566784512821,-0.109603378847112,0.314435070888018,-0.13560468084345,NA,NA,NA,NA,NA,NA,-0.0464297948184231,-0.0153020299756117,"True","f1","2ndO",187,"null","[152]",0.159181447273172
0,0,-0.0221631034423381,0.197520092835463,-0.465430425075614,-0.307197238356577,-0.336495725381669,-0.0983699845535636,0.315476051443844,-0.0277570850474756,NA,NA,NA,NA,NA,NA,-0.176258796881939,-0.0705563808704341,"True","f2","f3",168,"null","[163]",0.190382447786552
0,0,-0.190138115814559,0.116435897260246,-0.334815737448451,-0.249308998612762,-0.497933204237371,-0.096731708774179,0.278762583060256,-0.107851640445439,NA,NA,NA,NA,NA,NA,-0.0998003334881753,-0.0243737466078498,"True","f1","2ndO",210,"null","[168]",0.119768061658275
0,0,-0.293716756140573,0.124868148439316,-0.411492429277133,-0.191106254091519,-0.596567686516195,-0.0444011075336219,0.271058094048549,-0.125350525462094,NA,NA,NA,NA,NA,NA,-0.212354175883228,-0.0418484984628967,"True","f2","f3",161,"null","[157]",0.097288020843081
0,0,0.0618328157562753,0.22313254073749,-0.402132851141795,-0.289159883856112,-0.338296516500256,-0.0775607128418952,0.301273731706473,-0.171742642176517,NA,NA,NA,NA,NA,NA,-0.138693079870979,-0.0516426894601214,"True","f1","2ndO",217,"null","[169]",0.178223697273856
0,0,0.0478948343936433,0.187361760420277,-0.547299541933195,0.0942215280943376,-0.415425226096521,0.265761742818151,0.299533917305766,0.100664617623801,NA,NA,NA,NA,NA,NA,-0.248625212118233,0.137708269540682,"True","L","2ndO",207,"null","[161]",-0.252908203453322
0,0,-0.0258375699297657,0.189463430800665,-0.493537266436057,-0.10459459013462,-0.391142173316716,0.0899189397322289,0.264269741595046,0.0764347487508154,NA,NA,NA,NA,NA,NA,-0.18832544989089,0.0273114697340177,"True","L","2ndO",183,"null","[142]",-0.072009338675668
0,0,-0.190527785245583,0.132711601047168,-0.370331444297356,-0.211437819491781,-0.569565532140453,-0.075989800326774,0.252234606429939,-0.227386876372525,NA,NA,NA,NA,NA,NA,-0.312830116222153,-0.0451415742072709,"True","L","f2",155,"null","[139]",0.071655679380575
0,0,-0.232528035503998,0.157747364943647,-0.483616956014297,-0.172719644098823,-0.548984458787307,0.0351859577171835,0.217311502380189,-0.26513556732933,NA,NA,NA,NA,NA,NA,-0.402810724210348,0.00994882891327292,"True","f2","f3",158,"null","[148]",-0.0123467501523733
0,0,-0.243133044711669,0.163512574279499,-0.34947956683159,-0.132651529713065,-0.57424135815463,0.028615957278997,0.261472152267534,-0.216189322563455,NA,NA,NA,NA,NA,NA,-0.27829614590845,0.0110273596780456,"True","L","f2",178,"null","[152]",-0.01980191557258
0,0,-0.290140603504863,0.149972735239631,-0.249076984212901,-0.147651087618297,-0.530024951510572,0.00572283230945019,0.297279289785914,-0.207430270698777,NA,NA,NA,NA,NA,NA,-0.18854135452981,0.00363543744716678,"True","L","2ndO",211,"null","[170]",-0.00963976041130904
0,0,-0.111357260883514,0.158535979047404,-0.4096244346795,-0.294359048963746,-0.412788847392038,-0.0837319528380232,0.278328884392718,0.00776148591219755,NA,NA,NA,NA,NA,NA,-0.162775309133289,-0.0513813726582031,"True","f1","f2",192,"null","[179]",0.152879780763471
0,0,-0.126309474919276,0.200717318718693,-0.484383760716132,-0.0377322298699545,-0.458539425417788,0.168687391778309,0.255263324963161,-0.110380128859378,NA,NA,NA,NA,NA,NA,-0.176625463706501,0.0558674777426462,"True","f2","f3",176,"null","[168]",-0.153173688463146
0,0,-0.0969507292926365,0.162434658195919,-0.418646683688693,-0.319826625947499,-0.40167431868059,-0.10496265057409,0.271437718116527,-0.047997119495534,NA,NA,NA,NA,NA,NA,-0.18315365351394,-0.0722746345792132,"True","L","2ndO",228,"null","[185]",0.187926480700544
0,0,-0.108185424937695,0.158198646421014,-0.401955183044295,-0.366751940233816,-0.392549113360641,-0.146070694892899,0.289273767127485,-0.17918078057715,NA,NA,NA,NA,NA,NA,-0.160786427794359,-0.0769680676296867,"True","L","2ndO",207,"null","[163]",0.223230436128951
0,0,0.0244937735070091,0.202917580286665,-0.492552579898523,-0.16890826803178,-0.29805971328315,-0.00550741168389658,0.28337449237814,0.019198497376514,NA,NA,NA,NA,NA,NA,-0.185611877223534,-0.0174076449963316,"True","f2","f3",161,"null","[148]",0.0467558318592297
0,0,-0.0263925921009319,0.192234220560154,-0.507799384294349,-0.0947586299129166,-0.464898148120144,0.112425349047763,0.246722534749322,-0.139713261316172,NA,NA,NA,NA,NA,NA,-0.271633209735395,0.0489697527458299,"True","L","2ndO",195,"null","[146]",-0.0891815655761306
0,0,-0.021787650765056,0.191366995704419,-0.500864961658131,-0.143472281285666,-0.454649173061182,0.0644097976479779,0.291326217996374,-0.168645723700886,NA,NA,NA,NA,NA,NA,-0.246453546470615,0.0164796329350573,"True","L","2ndO",193,"null","[148]",-0.0333838520181487
0,0,-0.291592719447559,0.0962408783466574,-0.402215742802809,-0.253895473493389,-0.537417830676603,-0.0865708879256487,0.316303353335189,-0.152669668359624,NA,NA,NA,NA,NA,NA,-0.173744517151375,-0.0356445574640807,"True","f1","2ndO",185,"null","[144]",0.101173673588036
0,0,-0.0670755024897904,0.191945810889779,-0.474836677402813,-0.10376944352102,-0.466612860458874,0.105102751080513,0.260558782974121,-0.202769778955003,NA,NA,NA,NA,NA,NA,-0.16708406900063,0.0289274887468479,"True","f1","2ndO",216,"null","[166]",-0.0857159797184195
0,0,-0.0371850830074228,0.195785533266242,-0.487199403105408,-0.0268763611558395,-0.409553555699606,0.17265439395879,0.267587180198246,-0.0769119031857819,NA,NA,NA,NA,NA,NA,-0.138189393437908,0.0505592093632395,"True","f1","2ndO",204,"null","[159]",-0.175370720488957
0,0,-0.0477392808812463,0.187939211763961,-0.490099975039845,-0.192750774459425,-0.435622515133125,0.00826948333272129,0.284885410437409,-0.0127955855305785,NA,NA,NA,NA,NA,NA,-0.163206906427267,-0.0183052502480203,"True","L","2ndO",227,"null","[179]",0.0558464897216173
0,0,0.0498492457358883,0.19129330729741,-0.52667030461389,-0.0121763502574,-0.337148510154494,0.133111335207961,0.318980655841322,0.135845672045618,NA,NA,NA,NA,NA,NA,-0.156486709014071,0.0454459768029152,"True","f2","f3",155,"null","[151]",-0.141319765952555
0,0,-0.0407154002852558,0.254982823383541,-0.470510893483291,0.12470127393709,-0.357267271296112,0.339544059114771,0.0542775815819536,-0.347647298971065,NA,NA,NA,NA,NA,NA,-0.167381590229095,0.187629466046256,"True","L","2ndO",210,"null","[163]",-0.421185467178044
0,0,-0.134212306002529,0.157563390832209,-0.550916543653888,-0.200109700161715,-0.477879207637699,0.0038637190420955,0.276194631543312,-0.249263773411879,NA,NA,NA,NA,NA,NA,-0.228750745842579,-0.0180718823529385,"True","f1","2ndO",213,"null","[161]",0.0394193789825287
0,0,-0.175195771613094,0.133171629582325,-0.309235585572473,-0.165184626355664,-0.451143223183372,-0.0513231308375017,0.310560231429476,-0.188616568606151,NA,NA,NA,NA,NA,NA,-0.364495429380207,-0.0591672104527517,"True","f1","2ndO",231,"null","[189]",0.0804613557531477
0,0,0.0779267871250739,0.175134493768238,-0.514307109559866,0.000440119713657025,-0.288659406788615,0.108900661462166,0.240997787522466,0.228959978535992,NA,NA,NA,NA,NA,NA,-0.140938744517089,0.0410339627322513,"True","f2","f3",175,"null","[147]",-0.141657788250154
0,0,-0.231422900748993,-0.0251385909164712,-0.350869537137706,-0.504998368704823,-0.309122151299309,-0.3113820996445,0.246784165617618,0.102093665312686,NA,NA,NA,NA,NA,NA,-0.163254953287374,-0.182541023800626,"True","f2","f3",154,"null","[146]",0.42055670850401
0,0,-0.0352171011184829,0.193093102182851,-0.456058928545938,-0.23095398689795,-0.414762881139271,-0.0220183177336391,0.312925342188508,-0.0919066282383262,NA,NA,NA,NA,NA,NA,-0.121215841198649,-0.0184919545678098,"True","f2","f3",175,"null","[167]",0.0756933756702182
0,0,-0.0909098171429076,0.172309810794497,-0.437242856316659,-0.265751684707426,-0.444072515745212,-0.0530038342116154,0.307964348499099,0.00393721487719561,NA,NA,NA,NA,NA,NA,-0.16605828886164,-0.0332788297436384,"True","f2","2ndO",188,"null","[139]",0.0988922398514553
0,0,-0.0510738522778848,0.208767523177451,-0.276155485565819,-0.345810330189568,-0.206701778875668,-0.121423232105346,0.218782068588842,0.185511396834172,NA,NA,NA,NA,NA,NA,-0.0452953939352907,-0.046587933334284,"True","f2","2ndO",181,"null","[136]",0.399732208462163
0,0,-0.0663005358096063,0.187386998751164,-0.528674227171717,-0.118420699453799,-0.392711529231033,0.0583427663451715,0.263559537153639,-0.040758528584587,NA,NA,NA,NA,NA,NA,-0.249826205968415,0.00945908988831059,"True","L","2ndO",200,"null","[153]",-0.0189223015614183
0,0,-0.0141638409284063,0.196441687092066,-0.461766762143276,-0.273965966323648,-0.401139181160083,-0.0753989296326733,0.274607561938158,0.00641090496795534,NA,NA,NA,NA,NA,NA,-0.181114996475548,-0.0645769215770918,"True","L","2ndO",195,"null","[149]",0.17124993033776
0,0,-0.150463529612464,0.183521890458193,-0.583182631034978,-0.0736499195251206,-0.440417731926604,0.106386830794678,0.287181347245135,-0.129960819068013,NA,NA,NA,NA,NA,NA,-0.225136484937721,0.0378756027485564,"True","f2","f3",171,"null","[162]",-0.083336612330696
0,0,-0.098812086261084,0.17974947009596,-0.259779670577576,-0.37989825359537,-0.403743028578645,-0.260044826480448,0.203242800325565,0.218715468706852,NA,NA,NA,NA,NA,NA,-0.0938270803265527,-0.0925747473830874,"True","f1","2ndO",192,"null","[152]",0.38933990305481
0,0,-0.132484722351458,0.149709320532551,-0.484674371456559,-0.323468911483874,-0.510822480409203,-0.120960686690408,0.294515398076383,-0.0340273052711382,NA,NA,NA,NA,NA,NA,-0.196961409335445,-0.0706849701767072,"True","f1","2ndO",203,"null","[146]",0.172280647232612
0,0,-0.0565015956705798,0.179522610185666,-0.538917911970399,-0.101156659146257,-0.355609670388389,0.0475343113102065,0.289523701364279,0.189032415457765,NA,NA,NA,NA,NA,NA,-0.285684734566988,-0.0103650102505823,"True","f2","f3",174,"null","[160]",0.0181326908957274
0,0,-0.128401381298503,0.145015778492007,-0.344235118348418,-0.352412438114628,-0.432658947788789,-0.162831241170918,0.296990210940469,-0.0739469477429099,NA,NA,NA,NA,NA,NA,-0.146268659458782,-0.0717331401214956,"True","f1","f2",185,"null","[158]",0.227977316642609
0,0,-0.0091431555905225,0.193251644298903,-0.483322267491258,-0.113892682115939,-0.356820228595624,0.0727092422553838,0.30768629942207,-0.0460706865376007,NA,NA,NA,NA,NA,NA,-0.181626253854092,0.0181036951975874,"True","L","2ndO",200,"null","[156]",-0.0496736980633885
0,0,0.0116801413708043,0.195604545587316,-0.518336140509716,-0.0820234680085537,-0.460541641859296,0.122304408318191,0.256381937112988,-0.0614317730257843,NA,NA,NA,NA,NA,NA,-0.240523115261248,0.0468351102134993,"True","L","2ndO",199,"null","[153]",-0.0961576598105071
0,0,0.0278445059244059,0.200262143777307,-0.464524274771451,-0.194117830885817,-0.318688133565031,-0.000822822460580259,0.305333056483431,-0.150526456409752,NA,NA,NA,NA,NA,NA,-0.119156426372557,-0.0101764098054575,"True","f2","f3",145,"null","[142]",0.0425985247494512
0,0,-0.00882070722482117,0.221497742941275,-0.414959979656558,-0.335917314266449,-0.367513365194306,-0.13645129896204,0.292713782180669,0.0739547688536986,NA,NA,NA,NA,NA,NA,-0.111688646490794,-0.0719087986567029,"True","f1","2ndO",240,"null","[188]",0.286013716278346
0,0,-0.218897949730441,0.155674874690277,-0.538425885829141,-0.181431113462196,-0.581849295315718,0.0301797885528604,0.258429644272205,-0.255237417079511,NA,NA,NA,NA,NA,NA,-0.430383395192505,0.00292396928919116,"True","f2","f3",169,"null","[159]",-0.00339688275040455
0,0,-0.111554915854535,0.158980222183219,-0.388551668985656,-0.289410852713683,-0.508950360694158,-0.114286582800155,0.246140336696186,-0.226318292510196,NA,NA,NA,NA,NA,NA,-0.195919074681647,-0.0560224803151308,"True","f2","2ndO",200,"null","[148]",0.139257418996616
0,0,-0.167885609689953,0.139442892885346,-0.394085013947464,-0.217604230343709,-0.539427012342735,-0.0490108014928224,0.287347528701488,-0.0742585017949757,NA,NA,NA,NA,NA,NA,-0.0650584874513658,-0.00865360846688442,"True","f2","f3",152,"null","[149]",0.0661182684032859
0,0,-0.0818256709003721,0.177797139064502,-0.303270402108342,-0.432365567997399,-0.315496383610809,-0.232541645674479,0.267717279003419,0.0655553791823638,NA,NA,NA,NA,NA,NA,-0.122321130251987,-0.157571696589647,"True","f2","2ndO",221,"null","[166]",0.455340813420532
0,0,-0.128041971855889,0.161782319923434,-0.448901342906521,-0.176234258243767,-0.537707133381239,0.0206556440928328,0.254343628458822,-0.251491295814378,NA,NA,NA,NA,NA,NA,-0.167754950393238,0.000578965339210956,"False","null","null",304,"null","[163]",-0.00172562133152106
0,0,-0.185767114149112,0.189474185121531,-0.547911226623961,-0.0832418766693652,-0.504540879854201,0.123438948709375,0.290533758108429,-0.0938477314116366,NA,NA,NA,NA,NA,NA,-0.224357333233321,0.0427045108058098,"True","f2","f3",153,"null","[147]",-0.0940457623825798
0,0,-0.180442547025864,0.139603221230899,-0.444744383051698,-0.247548770643143,-0.421633160584658,-0.0208630459568656,0.284833623189815,-0.0374283167838453,NA,NA,NA,NA,NA,NA,-0.137321426610145,-0.00832978015972498,"True","f1","f2",182,"null","[168]",0.0302923818573912
0,0,0.0034862754064359,0.225160417295079,-0.176657599155807,-0.333679754308391,-0.291640124444715,-0.158534347940457,0.347908429639559,-0.0984605841871695,NA,NA,NA,NA,NA,NA,-0.0045878223044321,-0.002971578951413,"True","f2","f3",159,"null","[153]",0.287381892755402
