"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.701665165,-1.894905547,-1.54488946614582,-2.25555884525824,-1.46156974108635,-2.55688823976439,-1.19680740679742,-1.88550833303345,-0.292,-1.85,-0.546530023,-1.860102867,-0.832871348,-1.770611829,-0.767202197,-2.063336209,-1.053543522,-1.973845172,FALSE,"null","null",354,"null",1,1,354,2,-0.701665165,-1.894905547,0
-0.449351733,-1.675498441,-0.827002872883304,-1.52279961721161,-0.997233738375317,-1.50957664046374,-1.56004945857065,-1.68278250379343,0.00199999999999961,-1.85,0.314566075,-1.648386605,0.0496016959999995,-1.507695889,0.060242151,-1.807507131,-0.204722228,-1.666816414,FALSE,"null","null",333,"null",1,2,333,2,-0.449351733,-1.675498441,0.185208458582663
-0.554942636,-1.884088564,-0.337649160475208,-1.67638128738547,-0.766526550172978,-1.75068338215159,-0.655326931211221,-1.97997721608693,-0.11,-1.85,0.410793994,-2.008107512,0.17220849,-1.826236796,0.133996582,-2.123793261,-0.104588922,-1.941922545,FALSE,"null","null",341,"null",1,3,341,2,-0.554942636,-1.884088564,0.348404065138456
-0.622456095,-2.080738325,-0.513880391957989,-2.30591374516752,-0.575160273439202,-2.32223458681564,-0.843552881039133,-2.03222142125645,-0.222,-1.85,-0.398094152,-2.029951337,-0.684607325,-1.941012022,-0.618374445,-2.233609366,-0.904887617999999,-2.144670051,FALSE,"null","null",349,"null",1,4,349,2,-0.622456095,-2.080738325,-0.00192622374346002
-0.316195156,-1.61549109,-0.746844503475098,-1.31512933874474,-1.25407846558822,-1.8587284611464,-1.00893248862012,-1.60605928779454,0.0859999999999995,-1.85,-0.0971320119999997,-1.634263374,-0.343183838,-1.46262859,-0.368798008,-1.761533114,-0.614849834,-1.589898331,FALSE,"null","null",327,"null",1,5,327,2,-0.316195156,-1.61549109,0.306168726798827
-0.368192045,-1.946578084,-1.0492720367659,-1.8241616237908,-0.270466676975707,-2.08411435685234,-0.849183396029474,-2.20174901258278,0.0580000000000003,-1.85,0.224458566,-1.880374502,-0.0503956170000002,-1.760144813,-0.0170904909999997,-2.058290362,-0.291944673,-1.938060673,FALSE,"null","null",329,"null",1,7,329,2,-0.368192045,-1.946578084,0.109437678427373
-0.224781438,-1.760756736,-0.774164358516658,-1.77999336643678,-0.210476577631032,-1.80623592845329,-0.734868809768078,-1.73820971812405,0.212,-1.85,0.474465798,-1.657808687,0.195580457,-1.547251161,0.239277502,-1.844051714,-0.0396078389999997,-1.733494189,FALSE,"null","null",318,"null",1,8,318,2,-0.224781438,-1.760756736,0.074507246455386
-0.299366493,-1.825478166,-0.370166408669641,-1.63339687370021,-1.0610115260851,-2.0732102084508,-0.627469435123118,-1.39595488455375,0.128,-1.85,0.196692142,-1.828208676,-0.0622858940000003,-1.676780882,-0.0639371920000003,-1.976776337,-0.322915229,-1.825348544,FALSE,"null","null",324,"null",1,9,324,2,-0.299366493,-1.825478166,0.226188437457297
-0.309856734,-1.836187947,-0.72298488740608,-1.84388964870656,-0.562708534918154,-2.14378477115253,-0.768568343665669,-1.54205761509823,0.142,-1.85,-0.0536180099999996,-1.887984825,-0.278554527,-1.689481518,-0.337995175,-1.98353391,-0.562931693,-1.785030603,FALSE,"null","null",323,"null",1,10,323,2,-0.309856734,-1.836187947,0.420139419332746
-0.384696896,-1.563947461,-1.63106025776103,-1.54523340793377,-0.482986442704315,-1.9697999964057,-0.846753128938716,-1.62819057235363,0.0299999999999997,-1.85,-0.188072451,-1.566148067,-0.446185119,-1.413249895,-0.449542485,-1.713231108,-0.707655153,-1.560332937,FALSE,"null","null",331,"null",1,13,331,2,-0.384696896,-1.563947461,0.231875540798464
-0.302352456,-1.693866707,-0.0400831783947769,-2.10484186512268,-0.637452986190854,-1.84626871903647,-0.731165096674797,-1.83833407251793,0.114,-1.85,-0.00751867699999992,-1.664420065,-0.280947254,-1.540982578,-0.251132965,-1.839497416,-0.524561542,-1.716059928,FALSE,"null","null",325,"null",1,14,325,2,-0.302352456,-1.693866707,0.121138797332955
-0.492834423,-1.888512684,-0.538608651108769,-1.92029398396466,-0.412419149100003,-2.15853409045994,-1.57973095273888,-1.88166814177208,-0.0820000000000005,-1.85,0.396790577000001,-1.851462863,0.130966399,-1.712403499,0.143449546,-2.012143672,-0.122374631,-1.873084308,FALSE,"null","null",339,"null",1,17,339,2,-0.492834423,-1.888512684,0.17906157594269
-0.013851555,-1.896097528,-0.573616902520645,-1.85634001459529,-0.182799705498163,-2.16079820184921,-0.404500988857269,-1.82023576814114,0.436,-1.85,0.270468973,-1.904814099,0.015379833,-1.746923216,0.00618688699999999,-2.046782332,-0.248902252,-1.888891449,FALSE,"null","null",302,"null",1,19,302,2,-0.013851555,-1.896097528,0.251332034515552
-0.085709249,-1.987933169,-0.837485852625847,-1.94091720645193,-1.06915411965816,-1.89445379119974,-0.425811986213008,-1.90601323553553,0.323999999999999,-1.85,0.403570539,-2.083693145,0.177411141,-1.886584224,0.119789507,-2.180998468,-0.106369891,-1.983889547,FALSE,"null","null",310,"null",1,20,310,2,-0.085709249,-1.987933169,0.413957222384373
-0.294202026,-1.759313285,-0.438848344008611,-2.04406847293071,-1.85131958568007,-1.99787888513531,-0.92423729778638,-1.730470604925,0.128,-1.85,0.211173976,-1.678841124,-0.0689889629999996,-1.571562386,-0.0218136059999998,-1.867829978,-0.301976545,-1.76055124,FALSE,"null","null",324,"null",1,21,324,2,-0.294202026,-1.759313285,0.0627774908179272
-0.358530958,-1.860077,-0.977769307277265,-2.14194739781513,-1.44848754791939,-1.8813654014901,-0.299680968082377,-2.3604473377727,0.1,-1.85,-0.105190834,-1.814920543,-0.387288876,-1.712838739,-0.334645291,-2.008183712,-0.616743333,-1.906101908,FALSE,"null","null",326,"null",1,22,326,2,-0.358530958,-1.860077,0.0442921730981718
-0.501293326,-1.762552414,-0.963060810027786,-1.60114907763947,-1.25736983776169,-1.94295595369787,-0.835989401708482,-1.68626636046713,-0.0539999999999999,-1.85,-0.206269299,-1.736291005,-0.478353279,-1.609917322,-0.451754109,-1.908735802,-0.723838089,-1.782362119,FALSE,"null","null",337,"null",1,23,337,2,-0.501293326,-1.762552414,0.131903600762995
-0.172184591,-1.707195891,-0.770169648027922,-1.62208197687739,-0.839728439870838,-1.60359971952126,-0.722776326716595,-1.81817457376168,0.24,-1.85,0.136581016,-1.731103571,-0.110871447,-1.561494377,-0.134031086,-1.860599093,-0.381483549,-1.6909899,FALSE,"null","null",316,"null",1,24,316,2,-0.172184591,-1.707195891,0.297959764306774
-0.284133323,-1.70038165,-1.29898148293826,-1.77760360963636,-0.474954010308251,-1.99762384327365,-0.73370564802963,-1.65809546819212,0.156,-1.85,0.0295491109999997,-1.642225128,-0.253249175,-1.54209956,-0.198561318,-1.837072844,-0.481359604,-1.736947276,FALSE,"null","null",322,"null",1,25,322,2,-0.284133323,-1.70038165,0.0373662019871078
-0.229647435,-1.907518178,-0.187110262156181,-1.41779561749027,-0.0856889073923847,-2.18803974623095,-0.77410258757901,-1.69236782613099,0.184,-1.85,-0.138053797,-1.937278275,-0.338794034,-1.714335778,-0.431497782,-1.999653171,-0.632238019,-1.776710673,FALSE,"null","null",320,"null",1,26,320,2,-0.229647435,-1.907518178,0.534838608158204
-0.194787768,-1.907804439,-0.394728483264627,-1.75716256139334,-0.27769910974157,-2.10231776116438,-1.11165071496071,-2.01850473861694,0.212,-1.85,0.229267174,-1.937109686,-0.0195808509999995,-1.769554739,-0.0402636790000001,-2.068840924,-0.289111704,-1.901285977,FALSE,"null","null",318,"null",1,27,318,2,-0.194787768,-1.907804439,0.289681576963692
-0.062689667,-1.647682874,-0.170687164169957,-1.04951616155188,-0.647770295951198,-1.93162361073196,-0.746678959729508,-1.76902429418391,0.352,-1.85,0.468140093,-1.599960144,0.195944932,-1.473826111,0.222807235,-1.772621052,-0.049387926,-1.646487019,FALSE,"null","null",308,"null",1,28,308,2,-0.062689667,-1.647682874,0.131022986248566
-0.586557648,-1.656319256,-1.01837003900619,-1.4893801804746,-1.2418774343021,-1.77074110761083,-1.24083804712218,-1.56507804669716,-0.152,-1.85,-0.02473378,-1.607198129,-0.296618929,-1.480397238,-0.270489148,-1.779257129,-0.542374296,-1.652456237,FALSE,"null","null",344,"null",1,31,344,2,-0.586557648,-1.656319256,0.133474308774401
-0.454821869,-1.653213464,-1.39276482791307,-1.55268287994635,-1.47460777244968,-1.72235842724877,-1.05249893164769,-1.91119150876824,-0.0259999999999997,-1.85,-0.014625612,-1.639212756,-0.279070352,-1.49754773,-0.269533493,-1.797396106,-0.533978233,-1.65573108,FALSE,"null","null",335,"null",1,32,335,2,-0.454821869,-1.653213464,0.188889197198942
-0.319422261,-1.655750094,-0.652604392087242,-1.79469026611208,-1.41796870363892,-1.5652781173936,-0.811639630599356,-1.73262800667743,0.128,-1.85,0.139759479,-1.649101729,-0.122192495,-1.502878737,-0.117849334,-1.802847297,-0.379801308,-1.656624305,FALSE,"null","null",324,"null",1,33,324,2,-0.319422261,-1.655750094,0.206206372365502
-0.535065771,-1.877690346,-0.6971319872945,-1.51627515799991,-1.38240866708688,-2.31295138060647,-0.522979418755512,-2.11961398613528,-0.096,-1.85,-0.265199204,-1.838149014,-0.544008163,-1.727399004,-0.500516006,-2.02422965,-0.779324964,-1.913479639,FALSE,"null","null",340,"null",1,34,340,2,-0.535065771,-1.877690346,0.075197533147298
-0.396702849,-1.718369047,-0.474069348029149,-1.85781881867993,-1.1956363984543,-2.1529006034202,-0.670172830273871,-1.4425938434527,0.0440000000000003,-1.85,-0.270354503,-1.738716106,-0.503008736,-1.549317036,-0.550706026,-1.845501048,-0.783360259,-1.656101978,FALSE,"null","null",330,"null",1,35,330,2,-0.396702849,-1.718369047,0.38035261450316
-0.622436204,-1.843514114,-1.72041485094087,-1.69151049496026,-0.978835079013026,-2.21355399714986,-1.16742788699774,-2.04130978547341,-0.194,-1.85,-0.350799316,-1.792615351,-0.633788541,-1.693030721,-0.578536747,-1.987898894,-0.861525972,-1.888314264,FALSE,"null","null",347,"null",1,36,347,2,-0.622436204,-1.843514114,0.0354540415627615
-0.357134851,-1.744194985,-0.638707749917822,-1.53971807309196,-1.57812567085995,-2.214419931789,-0.7528119484216,-1.75409566662021,0.086,-1.85,-0.171161678999999,-1.704178658,-0.456709652,-1.612187597,-0.393602261,-1.905474926,-0.679150234,-1.813483866,FALSE,"null","null",327,"null",1,38,327,2,-0.357134851,-1.744194985,0.00874297532855284
-0.076968663,-1.878474921,-1.08109185718681,-2.18299079422583,-1.44420257528764,-1.9325935820011,-0.507384876892118,-1.88396805989198,0.338,-1.85,0.383481026,-1.859994391,0.117866881999999,-1.720534267,0.129897944,-2.020292926,-0.135716201,-1.880832802,FALSE,"null","null",309,"null",1,39,309,2,-0.076968663,-1.878474921,0.180569784822842
-0.123710887,-1.70699208,-0.392444218017212,-1.19222545914413,-1.04923738354554,-1.52182679567263,-0.852184735717304,-1.76367565078338,0.31,-1.85,0.243356624,-1.72705838,-0.00787590499999997,-1.563100409,-0.0242514080000001,-1.862653148,-0.275483937,-1.698695177,TRUE,"L","f2",221,"null",1,40,311,2,-0.123710887,-1.70699208,0.275296235725386
-0.070362011,-1.679922127,-0.938992934315379,-1.69339762696797,-1.06956651987028,-1.83607141936328,-0.509953893400283,-1.67317760283527,0.366,-1.85,0.0537720570000003,-1.688796701,-0.194677672,-1.520651728,-0.216070625,-1.819887992,-0.464520355,-1.65174302,TRUE,"f2","1stO",61,"null",1,41,307,2,-0.070362011,-1.679922127,0.292054503777279
-0.049330878,-1.717990019,-0.421182435533125,-1.63128003149468,0.0494649033987167,-2.03639095847325,-0.931109821136513,-1.55940775135026,0.366,-1.85,0.161096383,-1.697940371,-0.11176755,-1.573259684,-0.083312226,-1.871907126,-0.356176159,-1.747226439,FALSE,"null","null",307,"null",1,43,307,2,-0.049330878,-1.717990019,0.125690196401768
-0.314394426,-1.678548665,-0.675660870346204,-1.26327887704431,-0.72094784714542,-1.89301791856905,-0.70561746462438,-1.45492851173921,0.0999999999999998,-1.85,0.296258169000001,-1.688287217,0.0388754429999997,-1.534163461,0.0340917169999996,-1.834125318,-0.223291009,-1.680001562,FALSE,"null","null",326,"null",1,47,326,2,-0.314394426,-1.678548665,0.236630509437205
