"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.047592763,-1.783439177,0.315486138535446,-1.62355971657518,-0.486784775374448,-1.86360553970498,-0.540416592231401,-1.87697694765787,0.142,-1.85,0.293596235,-1.758804071,0.023660783,-1.627903913,0.045265647,-1.927124951,-0.224669806,-1.796224793,TRUE,"f1","1stO",70,"null",185,1,323,0.2,-0.047592763,-1.783439177,0
-0.050626808,-1.819098615,0.346729160539244,-1.43011958414968,-0.503137881095699,-2.13340824498686,-0.592782367062402,-2.08925161485512,0.128,-1.85,0.471271739,-1.50950068,0.171292684,-1.513045595,0.324352198,-1.77106262,0.024373142,-1.774607535,TRUE,"L","1stO",63,"null",183,4,324,0.2,-0.050626808,-1.819098615,-0.463336824528836
0.463756916,-1.743524057,1.02440505512286,-1.48239749839205,0.0190348141463593,-1.89955369760421,-0.40023162896142,-1.90483771136603,0.618,-1.85,1.051736377,-1.568818048,0.759966546,-1.499030041,0.845413275,-1.78660413,0.553643444,-1.716816123,TRUE,"f2","2ndO",200,"null",152,7,289,0.2,0.463756916,-1.743524057,-0.216742568515185
0.430933677,-1.717444979,0.578860903376831,-1.545958671184,0.0994480675618062,-1.8222497023235,-0.0521029386294478,-1.53741078910876,0.604,-1.85,1.026952497,-1.643283208,0.750611593000001,-1.526511187,0.787654508,-1.824215441,0.511313605,-1.70744342,TRUE,"L","2ndO",197,"null",155,9,290,0.2,0.430933677,-1.717444979,-0.0517137087283888
0.429141472,-1.977248117,0.507059473896433,-1.87308423229854,0.0903070390046828,-1.79210128592395,-0.339434132603673,-1.65941473097059,0.603999999999999,-1.85,0.88352505,-2.060931142,0.655182824,-1.866355122,0.60084616,-2.161393301,0.372503934,-1.966817281,TRUE,"f2","f3",155,"null",153,10,290,0.2,0.429141472,-1.977248117,0.254206024207021
0.586596049,-1.798814935,1.09889268937848,-1.58964525644372,0.187214511995888,-2.05445700982469,0.285876197596783,-1.76407019014802,0.73,-1.85,1.117524281,-1.670829221,0.829799427999999,-1.585891542,0.900103667,-1.877537413,0.612378814,-1.792599734,TRUE,"f2","1stO",59,"null",143,17,281,0.2,0.586596049,-1.798814935,-0.164468673401394
0.73969174,-1.890418855,0.974136771425422,-1.75884853736235,0.199280499365828,-1.83380815593541,0.14551178956539,-1.80046394530679,0.884,-1.85,1.411690774,-1.900486365,1.154159267,-1.746611341,1.149665341,-2.04657768,0.892133834,-1.892702656,TRUE,"f1","1stO",58,"null",136,19,270,0.2,0.73969174,-1.890418855,0.0870589246195693
0.625035157,-1.933616495,0.571155765678027,-1.74255018625866,0.376302780200308,-2.17551826231148,0.243576637843706,-2.0621249225206,0.8,-1.85,1.288813125,-1.825344195,1.008246179,-1.719126545,1.056542468,-2.015213472,0.775975523,-1.908995822,TRUE,"f2","f3",146,"null",140,20,276,0.2,0.625035157,-1.933616495,-0.0896126440458957
0.277433687,-1.722486189,-0.141119890206617,-1.58306714663512,-0.129515921376721,-2.02350176857148,-0.075956754706493,-1.75686287855943,0.422,-1.85,0.913842588000001,-1.607144502,0.631449672,-1.505881278,0.684949605,-1.80107233,0.402556689,-1.699809105,TRUE,"f2","f3",167,"null",163,22,303,0.2,0.277433687,-1.722486189,-0.107213536823555
0.168686564,-1.681463525,0.487743545736751,-1.47664520468717,-0.114723618974162,-1.93121925429192,-0.270147981294277,-1.82331991185034,0.31,-1.85,0.606948443,-1.614170556,0.327385361,-1.505338194,0.372915311,-1.801863106,0.093352229,-1.693030743,TRUE,"L","1stO",56,"null",168,23,311,0.2,0.168686564,-1.681463525,-0.0802766230257349
0.595247178,-1.95090399,0.979161026164621,-1.83566824386663,0.0894341027266566,-2.00857808219927,0.340278094406747,-1.92291623404159,0.73,-1.85,1.201653442,-1.982728201,0.950064042,-1.819318366,0.934341673,-2.118906094,0.682752274,-1.955496259,TRUE,"L","2ndO",183,"null",142,27,281,0.2,0.595247178,-1.95090399,0.124510527140513
0.019609221,-1.785723434,0.544303548178092,-1.60649877423082,-0.483362843034401,-1.81103555866657,-0.386162436815931,-1.91664803701492,0.17,-1.85,0.607066984,-1.694595207,0.327336501,-1.586193838,0.373323404,-1.882648227,0.09359292,-1.774246858,TRUE,"f2","f3",194,"null",179,34,321,0.2,0.019609221,-1.785723434,-0.0818178293783154
0.1682573,-1.794870692,0.385488673939155,-1.68458031568503,-0.411712658282796,-1.95414108370521,-0.449686389267816,-1.68116434586178,0.352,-1.85,0.75993556,-1.880498992,0.524291,-1.694833589,0.481322325,-1.991740465,0.245677766,-1.806075063,TRUE,"f2","f3",174,"null",168,35,308,0.2,0.1682573,-1.794870692,0.215801816689353
