"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.275862885,-1.810208344,-0.217831061962971,-2.16655786028916,-1.61964373888085,-2.61433801649509,-1.32078565747195,-1.78067736178259,0.016,-1.85,0.173261003,-1.748064937,-0.104653754,-1.635089772,-0.063535738,-1.932258594,-0.341450495,-1.819283429,TRUE,"f1","1stO",70,"null",145,1,332,2,-0.275862885,-1.810208344,0
0.09209423,-1.637332002,-1.9515333035079,-1.24499402623722,0.149112087177784,-2.35761233989092,-1.10428504154503,-1.83771111334723,0.352,-1.85,0.470444945,-1.654532996,0.217717833,-1.492888303,0.204092978,-1.792578748,-0.0486341340000001,-1.630934055,FALSE,"null","null",308,"null",117,2,308,2,0.09209423,-1.637332002,0.182924653481813
0.32999609,-1.985272196,0.492865919607969,-1.81606213916625,1.19858415539866,-2.11954215336934,-0.346043775762409,-1.23325894509454,0.604,-1.85,0.767653726,-2.079851023,0.545392068,-1.878357214,0.48202414,-2.171588361,0.259762481,-1.970094551,FALSE,"null","null",290,"null",98,3,290,2,0.32999609,-1.985272196,0.350322373396344
-0.300998468,-1.952347305,-1.70656699100087,-2.10396597072509,0.41767396328137,-1.62392056984023,-0.498769275371706,-2.42390977028545,-0.04,-1.85,0.191934217,-1.742881375,-0.105843959,-1.70643747,0.0114837820000001,-1.982542887,-0.286294394,-1.946098982,TRUE,"L","1stO",63,"null",143,4,336,2,-0.300998468,-1.952347305,-0.264325461290928
0.002529424,-1.640489681,-0.136487552260542,-1.33393093153341,-0.802208416969744,-1.48255203152696,-0.45202988468684,-1.1475868326982,0.282,-1.85,0.317428699,-1.668838176,0.0721167169999998,-1.496147611,0.0452182910000001,-1.794939302,-0.200093691,-1.622248736,FALSE,"null","null",313,"null",131,5,313,2,0.002529424,-1.640489681,0.22727483316661
0.141129588,-1.869003788,-1.13038284105373,-1.85750032537993,-1.07342230235322,-2.39844346252673,-0.175486486639262,-2.26059048813265,0.422,-1.85,0.56510237,-1.752086551,0.274767141,-1.676552092,0.354519995,-1.965757006,0.064184766,-1.890222547,FALSE,"null","null",303,"null",112,7,303,2,0.141129588,-1.869003788,-0.13158528167539
0.277108343,-1.691579689,0.0325210683382682,-2.06762514260825,-1.4641823693221,-1.80689015645378,-0.0752923007455827,-1.88576834842807,0.576,-1.85,0.60676255,-1.63111259,0.32415588,-1.530447453,0.378280649,-1.825524577,0.0956739789999999,-1.72485944,FALSE,"null","null",292,"null",100,8,292,2,0.277108343,-1.691579689,-0.0439164255600814
0.151313562,-1.805734811,-0.440015569429619,-1.3274129299403,-1.62678501474406,-2.13875370803264,-0.369727806518274,-1.44907491346675,0.450000000000001,-1.85,0.450473357,-1.771683503,0.175368617,-1.652028238,0.209296488,-1.950103563,-0.0658082519999995,-1.830448298,TRUE,"f1","2ndO",221,"null",115,9,301,2,0.151313562,-1.805734811,0.024157467966167
0.089170923,-1.914646092,0.808835604238418,-2.60340593955566,-0.34777146527683,-2.98990332393716,-0.747784079327892,-2.6886431806928,0.366,-1.85,0.558165637,-2.01085374,0.333800479,-1.81170486,0.273515069,-2.105585226,0.049149912,-1.906436347,FALSE,"null","null",307,"null",113,10,307,2,0.089170923,-1.914646092,0.339821846271894
0.00985291,-1.563071854,-0.122268759796348,-1.46977390992904,-1.08024758319771,-1.44544463175211,-0.749780014806823,-1.72105591161613,0.212,-1.85,0.504005974,-1.535872413,0.236347125,-1.400377982,0.252834931,-1.69992456,-0.014823918,-1.56443013,TRUE,"f1","1stO",60,"null",130,13,318,2,0.00985291,-1.563071854,0.0825057873124116
0.005831316,-1.657652121,0.513571365641096,-1.39647213672994,-1.36267271820574,-1.65372132113818,-1.11341239536004,-1.50514874967479,0.268,-1.85,0.405868298,-1.617866773,0.132491228,-1.494315254,0.162181009,-1.792842501,-0.111196061,-1.669290982,FALSE,"null","null",314,"null",132,14,314,2,0.005831316,-1.657652121,0.038364640953875
0.277150892,-1.86272906,-0.421131511937861,-1.7678829060702,0.329325437585205,-2.22237836897862,0.278549402852809,-1.78292753702884,0.534,-1.85,0.692990813,-1.808279513,0.415907578,-1.693280031,0.454856722,-1.990740892,0.177773487,-1.87574141,TRUE,"f2","1stO",59,"null",103,17,295,2,0.277150892,-1.86272906,0.00729483111335108
0.173104075,-1.889965504,-0.112909155937744,-1.58763756240028,0.421820936357738,-2.19365287039757,-0.510710053011397,-1.94028218184518,0.464,-1.85,0.738445369000001,-1.909514391,0.483976673,-1.750625489,0.473609196000001,-2.050446295,0.219140501,-1.891557393,TRUE,"f1","1stO",58,"null",96,19,300,2,0.173104075,-1.889965504,0.17205798358303
0.314072568,-2.028269861,-0.257183769289491,-2.03256111955912,-0.829339484398905,-1.42672980476769,-0.630993222879894,-1.46393930717761,0.575999999999999,-1.85,0.749286177,-2.015330176,0.485135511,-1.873117568,0.494051113,-2.172985058,0.229900447,-2.03077245,FALSE,"null","null",292,"null",100,20,292,2,0.314072568,-2.028269861,0.107769797249517
0.105930868,-1.692898886,-0.405573554873448,-1.88547959286017,-0.343304214117576,-1.37690163159511,0.290120335066981,-1.51799736626288,0.394,-1.85,0.570020966,-1.617809676,0.289590486999999,-1.511232255,0.337506973,-1.807380884,0.057076494,-1.700803464,FALSE,"null","null",305,"null",112,21,305,2,0.105930868,-1.692898886,-0.0229158020448866
0.074461262,-1.773848165,-0.0922122798144153,-1.20980463096447,-0.134455367194346,-1.37924939053511,-1.00817770903212,-1.96349093398079,0.351999999999999,-1.85,0.506229219,-1.690254919,0.222646527,-1.592373069,0.279669704,-1.886903809,-0.00391298800000006,-1.789021959,FALSE,"null","null",308,"null",123,22,308,2,0.074461262,-1.773848165,-0.053747994022166
-0.022405127,-1.71007164,-0.483213197894398,-1.9347697742716,1.40988007629379,-2.04965528911307,0.0129926067943126,-1.96116441148718,0.24,-1.85,0.40401598,-1.659804047,0.128434157,-1.5412517,0.163555724,-1.839188733,-0.112026098,-1.720636385,TRUE,"L","1stO",56,"null",128,23,316,2,-0.022405127,-1.71007164,0.0201518624292665
0.073677903,-1.699234468,-0.894655335911583,-1.24498001557102,-1.22462809036162,-2.17769028253031,0.178523492056679,-1.31090542745741,0.338,-1.85,0.536142715,-1.669464135,0.267235703,-1.536464064,0.286507769,-1.835844403,0.017600757,-1.702844332,FALSE,"null","null",309,"null",117,24,309,2,0.073677903,-1.699234468,0.0732083566443418
0.032431605,-1.635408682,0.304652436536419,-1.3063438233256,0.028945156678644,-1.02677858985529,-0.467406693147336,-1.90363781865603,0.324,-1.85,0.488694487,-1.551618706,0.20606657,-1.451013237,0.260253635999999,-1.746078928,-0.022374281,-1.645473458,TRUE,"f3","1stO",60,"null",129,25,310,2,0.032431605,-1.635408682,-0.0441275535718058
0.056732603,-1.985373345,0.761189621917,-1.94452085014554,-0.698297356600931,-2.39825959562292,-0.656786790724781,-1.94484992412984,0.324,-1.85,0.620882248,-2.117322937,0.402063841,-1.912095003,0.33374044,-2.204211269,0.114922033,-1.998983336,TRUE,"L","f1",216,"null",121,26,310,2,0.056732603,-1.985373345,0.367253697175209
0.203434898,-1.931141284,0.0700432431660915,-1.55753534481713,-0.756871103055316,-2.46531017332855,-0.420658381348421,-2.31470300067696,0.506,-1.85,0.696541831,-1.963155711,0.44699817,-1.796638562,0.427561919,-2.096008286,0.178018257,-1.929491137,FALSE,"null","null",297,"null",102,27,297,2,0.203434898,-1.931141284,0.202325756573291
